# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 43K of event 'cycles'
# Event count (approx.): 8986606922361
#
# Children      Self  Command          Shared Object     Symbol                                   
# ........  ........  ...............  ................  .........................................
#
     0.34%     0.00%  migration/69     [kernel.vmlinux]  [k] smpboot_thread_fn
     0.34%     0.00%  migration/69     [kernel.vmlinux]  [k] update_sd_lb_stats.constprop.0
     0.34%     0.01%  iou-wrk-68062    [kernel.vmlinux]  [k] schedule
     0.34%     0.34%  iou-wrk-68053    [kernel.vmlinux]  [k] copy_mc_fragile
     0.34%     0.33%  iou-wrk-68045    [kernel.vmlinux]  [k] copy_mc_fragile
     0.34%     0.00%  iou-wrk-68045    [kernel.vmlinux]  [k] pmem_do_read
     0.34%     0.13%  iou-wrk-68044    [kernel.vmlinux]  [k] filemap_get_read_batch
     0.34%     0.02%  iou-wrk-68054    [kernel.vmlinux]  [k] __schedule
     0.34%     0.00%  iou-wrk-68037    [kernel.vmlinux]  [k] evict_pages
     0.34%     0.00%  iou-wrk-68037    [kernel.vmlinux]  [k] lru_gen_shrink_lruvec
     0.34%     0.00%  iou-wrk-68037    [kernel.vmlinux]  [k] shrink_lruvec
     0.34%     0.01%  iou-wrk-68047    [kernel.vmlinux]  [k] schedule
     0.34%     0.20%  fio              [kernel.vmlinux]  [k] io_import_iovec
     0.34%     0.01%  iou-wrk-68054    [kernel.vmlinux]  [k] __alloc_pages
     0.34%     0.00%  iou-wrk-68057    [kernel.vmlinux]  [k] __alloc_pages
     0.34%     0.33%  fio              [kernel.vmlinux]  [k] _raw_spin_lock_irqsave
     0.34%     0.00%  iou-wrk-68041    [kernel.vmlinux]  [k] __alloc_pages
     0.34%     0.00%  iou-wrk-68070    [kernel.vmlinux]  [k] __alloc_pages_slowpath.constprop.0
     0.34%     0.01%  iou-wrk-68042    [kernel.vmlinux]  [k] schedule_timeout
     0.33%     0.00%  iou-wrk-68046    [kernel.vmlinux]  [k] schedule_timeout
     0.33%     0.01%  iou-wrk-68052    [kernel.vmlinux]  [k] schedule_timeout
     0.33%     0.01%  iou-wrk-68063    [kernel.vmlinux]  [k] schedule_timeout
     0.33%     0.00%  iou-wrk-68067    [kernel.vmlinux]  [k] __alloc_pages
     0.33%     0.00%  iou-wrk-68050    [kernel.vmlinux]  [k] __alloc_pages
     0.33%     0.01%  iou-wrk-68064    [kernel.vmlinux]  [k] schedule_timeout
     0.33%     0.02%  iou-wrk-68055    [kernel.vmlinux]  [k] schedule_timeout
     0.33%     0.00%  iou-wrk-68044    [kernel.vmlinux]  [k] do_try_to_free_pages
     0.33%     0.00%  iou-wrk-68044    [kernel.vmlinux]  [k] shrink_node
     0.33%     0.00%  iou-wrk-68044    [kernel.vmlinux]  [k] try_to_free_pages
     0.33%     0.00%  iou-wrk-68040    [kernel.vmlinux]  [k] schedule_timeout
     0.33%     0.01%  iou-wrk-68058    [kernel.vmlinux]  [k] __alloc_pages
     0.33%     0.02%  iou-wrk-68059    [kernel.vmlinux]  [k] schedule
     0.33%     0.01%  iou-wrk-68048    [kernel.vmlinux]  [k] schedule_timeout
     0.33%     0.00%  iou-wrk-68051    [kernel.vmlinux]  [k] __alloc_pages_slowpath.constprop.0
     0.33%     0.02%  iou-wrk-68062    [kernel.vmlinux]  [k] __schedule
     0.33%     0.33%  jbd2/sda2-8      [kernel.vmlinux]  [k] update_sd_lb_stats.constprop.0
     0.33%     0.00%  jbd2/sda2-8      [kernel.vmlinux]  [k] __schedule
     0.33%     0.00%  jbd2/sda2-8      [kernel.vmlinux]  [k] __wait_on_bit
     0.33%     0.00%  jbd2/sda2-8      [kernel.vmlinux]  [k] bit_wait_io
     0.33%     0.00%  jbd2/sda2-8      [kernel.vmlinux]  [k] find_busiest_group
     0.33%     0.00%  jbd2/sda2-8      [kernel.vmlinux]  [k] io_schedule
     0.33%     0.00%  jbd2/sda2-8      [kernel.vmlinux]  [k] jbd2_journal_commit_transaction
     0.33%     0.00%  jbd2/sda2-8      [kernel.vmlinux]  [k] kjournald2
     0.33%     0.00%  jbd2/sda2-8      [kernel.vmlinux]  [k] kthread
     0.33%     0.00%  jbd2/sda2-8      [kernel.vmlinux]  [k] load_balance
     0.33%     0.00%  jbd2/sda2-8      [kernel.vmlinux]  [k] newidle_balance
     0.33%     0.00%  jbd2/sda2-8      [kernel.vmlinux]  [k] out_of_line_wait_on_bit
     0.33%     0.00%  jbd2/sda2-8      [kernel.vmlinux]  [k] pick_next_task_fair
     0.33%     0.00%  jbd2/sda2-8      [kernel.vmlinux]  [k] ret_from_fork
     0.33%     0.00%  jbd2/sda2-8      [kernel.vmlinux]  [k] schedule
     0.33%     0.00%  iou-wrk-68070    [kernel.vmlinux]  [k] do_try_to_free_pages
     0.33%     0.00%  iou-wrk-68070    [kernel.vmlinux]  [k] shrink_node
     0.33%     0.00%  iou-wrk-68070    [kernel.vmlinux]  [k] try_to_free_pages
     0.33%     0.01%  iou-wrk-68038    [kernel.vmlinux]  [k] schedule_timeout
     0.33%     0.00%  iou-wrk-68033    [kernel.vmlinux]  [k] __alloc_pages
     0.33%     0.00%  iou-wrk-68056    [kernel.vmlinux]  [k] pmem_do_read
     0.33%     0.01%  iou-wrk-68046    [kernel.vmlinux]  [k] __alloc_pages
     0.33%     0.00%  iou-wrk-68049    [kernel.vmlinux]  [k] __alloc_pages_slowpath.constprop.0
     0.33%     0.00%  iou-wrk-68060    [kernel.vmlinux]  [k] schedule_timeout
     0.33%     0.32%  fio              [kernel.vmlinux]  [k] __update_load_avg_se
     0.33%     0.00%  iou-wrk-68070    [kernel.vmlinux]  [k] evict_pages
     0.33%     0.00%  iou-wrk-68070    [kernel.vmlinux]  [k] lru_gen_shrink_lruvec
     0.33%     0.00%  iou-wrk-68070    [kernel.vmlinux]  [k] shrink_lruvec
     0.33%     0.00%  iou-wrk-68044    [kernel.vmlinux]  [k] evict_pages
     0.33%     0.00%  iou-wrk-68044    [kernel.vmlinux]  [k] lru_gen_shrink_lruvec
     0.33%     0.00%  iou-wrk-68044    [kernel.vmlinux]  [k] shrink_lruvec
     0.33%     0.00%  iou-wrk-68033    [kernel.vmlinux]  [k] pmem_do_read
     0.33%     0.00%  iou-wrk-68065    [kernel.vmlinux]  [k] __alloc_pages_slowpath.constprop.0
     0.33%     0.00%  iou-wrk-68066    [kernel.vmlinux]  [k] __alloc_pages_slowpath.constprop.0
     0.33%     0.00%  iou-wrk-68068    [kernel.vmlinux]  [k] __alloc_pages
     0.32%     0.01%  iou-wrk-68043    [kernel.vmlinux]  [k] schedule_timeout
     0.32%     0.01%  iou-wrk-68033    [kernel.vmlinux]  [k] schedule_timeout
     0.32%     0.32%  iou-wrk-68033    [kernel.vmlinux]  [k] copy_mc_fragile
     0.32%     0.00%  iou-wrk-68065    [kernel.vmlinux]  [k] do_try_to_free_pages
     0.32%     0.00%  iou-wrk-68065    [kernel.vmlinux]  [k] shrink_node
     0.32%     0.00%  iou-wrk-68065    [kernel.vmlinux]  [k] try_to_free_pages
     0.32%     0.03%  iou-wrk-68047    [kernel.vmlinux]  [k] __schedule
     0.32%     0.32%  iou-wrk-68056    [kernel.vmlinux]  [k] copy_mc_fragile
     0.32%     0.00%  iou-wrk-68051    [kernel.vmlinux]  [k] do_try_to_free_pages
     0.32%     0.00%  iou-wrk-68051    [kernel.vmlinux]  [k] shrink_node
     0.32%     0.00%  iou-wrk-68051    [kernel.vmlinux]  [k] try_to_free_pages
     0.32%     0.00%  iou-wrk-68031    [kernel.vmlinux]  [k] schedule
     0.32%     0.00%  iou-wrk-68037    [kernel.vmlinux]  [k] schedule_timeout
     0.32%     0.00%  iou-wrk-68047    [kernel.vmlinux]  [k] __alloc_pages
     0.32%     0.01%  iou-wrk-68048    [kernel.vmlinux]  [k] __alloc_pages
     0.32%     0.00%  iou-wrk-68065    [kernel.vmlinux]  [k] lru_gen_shrink_lruvec
     0.32%     0.00%  iou-wrk-68065    [kernel.vmlinux]  [k] shrink_lruvec
     0.32%     0.00%  iou-wrk-68049    [kernel.vmlinux]  [k] do_try_to_free_pages
     0.32%     0.00%  iou-wrk-68049    [kernel.vmlinux]  [k] shrink_node
     0.32%     0.00%  iou-wrk-68049    [kernel.vmlinux]  [k] try_to_free_pages
     0.32%     0.00%  iou-wrk-68036    [kernel.vmlinux]  [k] __alloc_pages
     0.32%     0.02%  iou-wrk-68065    [kernel.vmlinux]  [k] evict_pages
     0.32%     0.32%  iou-wrk-68052    [kernel.vmlinux]  [k] native_queued_spin_lock_slowpath
     0.32%     0.01%  iou-wrk-68066    [kernel.vmlinux]  [k] schedule
     0.31%     0.00%  iou-wrk-68034    [kernel.vmlinux]  [k] __alloc_pages
     0.31%     0.00%  iou-wrk-68066    [kernel.vmlinux]  [k] do_try_to_free_pages
     0.31%     0.00%  iou-wrk-68066    [kernel.vmlinux]  [k] shrink_node
     0.31%     0.00%  iou-wrk-68066    [kernel.vmlinux]  [k] try_to_free_pages
     0.31%     0.00%  iou-wrk-68069    [kernel.vmlinux]  [k] schedule_timeout
     0.31%     0.00%  iou-wrk-68053    [kernel.vmlinux]  [k] schedule_timeout
     0.31%     0.01%  iou-wrk-68049    [kernel.vmlinux]  [k] evict_pages
     0.31%     0.00%  iou-wrk-68049    [kernel.vmlinux]  [k] lru_gen_shrink_lruvec
     0.31%     0.00%  iou-wrk-68049    [kernel.vmlinux]  [k] shrink_lruvec
     0.31%     0.00%  iou-wrk-68052    [kernel.vmlinux]  [k] __alloc_pages_slowpath.constprop.0
     0.31%     0.01%  iou-wrk-68035    [kernel.vmlinux]  [k] schedule
     0.31%     0.00%  iou-wrk-68066    [kernel.vmlinux]  [k] lru_gen_shrink_lruvec
     0.31%     0.00%  iou-wrk-68066    [kernel.vmlinux]  [k] shrink_lruvec
     0.31%     0.00%  iou-wrk-68040    [kernel.vmlinux]  [k] __alloc_pages
     0.31%     0.00%  iou-wrk-68035    [kernel.vmlinux]  [k] __alloc_pages_slowpath.constprop.0
     0.31%     0.00%  iou-wrk-68051    [kernel.vmlinux]  [k] evict_pages
     0.31%     0.00%  iou-wrk-68051    [kernel.vmlinux]  [k] lru_gen_shrink_lruvec
     0.31%     0.00%  iou-wrk-68051    [kernel.vmlinux]  [k] shrink_lruvec
     0.31%     0.00%  iou-wrk-68031    [kernel.vmlinux]  [k] __alloc_pages_slowpath.constprop.0
     0.31%     0.01%  iou-wrk-68068    [kernel.vmlinux]  [k] schedule_timeout
     0.31%     0.01%  iou-wrk-68055    [kernel.vmlinux]  [k] evict_pages
     0.31%     0.00%  iou-wrk-68055    [kernel.vmlinux]  [k] __alloc_pages_slowpath.constprop.0
     0.31%     0.00%  iou-wrk-68055    [kernel.vmlinux]  [k] do_try_to_free_pages
     0.31%     0.00%  iou-wrk-68055    [kernel.vmlinux]  [k] lru_gen_shrink_lruvec
     0.31%     0.00%  iou-wrk-68055    [kernel.vmlinux]  [k] shrink_lruvec
     0.31%     0.00%  iou-wrk-68055    [kernel.vmlinux]  [k] shrink_node
     0.31%     0.00%  iou-wrk-68055    [kernel.vmlinux]  [k] try_to_free_pages
     0.31%     0.00%  iou-wrk-68069    [kernel.vmlinux]  [k] __alloc_pages
     0.31%     0.01%  iou-wrk-68066    [kernel.vmlinux]  [k] evict_pages
     0.30%     0.01%  iou-wrk-68060    [kernel.vmlinux]  [k] __alloc_pages
     0.30%     0.00%  iou-wrk-68057    [kernel.vmlinux]  [k] __alloc_pages_slowpath.constprop.0
     0.30%     0.00%  iou-wrk-68035    [kernel.vmlinux]  [k] do_try_to_free_pages
     0.30%     0.00%  iou-wrk-68035    [kernel.vmlinux]  [k] shrink_node
     0.30%     0.00%  iou-wrk-68035    [kernel.vmlinux]  [k] try_to_free_pages
     0.30%     0.03%  iou-wrk-68059    [kernel.vmlinux]  [k] __schedule
     0.30%     0.00%  iou-wrk-68058    [kernel.vmlinux]  [k] schedule
     0.30%     0.30%  iou-wrk-68037    [kernel.vmlinux]  [k] native_queued_spin_lock_slowpath
     0.30%     0.04%  iou-wrk-68066    [kernel.vmlinux]  [k] __schedule
     0.30%     0.00%  iou-wrk-68031    [kernel.vmlinux]  [k] do_try_to_free_pages
     0.30%     0.00%  iou-wrk-68031    [kernel.vmlinux]  [k] shrink_node
     0.30%     0.00%  iou-wrk-68031    [kernel.vmlinux]  [k] try_to_free_pages
     0.30%     0.03%  iou-wrk-68031    [kernel.vmlinux]  [k] __schedule
     0.30%     0.30%  fio              [kernel.vmlinux]  [k] __io_file_supports_nowait
     0.30%     0.00%  iou-wrk-68032    [kernel.vmlinux]  [k] schedule_timeout
     0.30%     0.01%  iou-wrk-68036    [kernel.vmlinux]  [k] schedule
     0.30%     0.00%  iou-wrk-68061    [kernel.vmlinux]  [k] __alloc_pages_slowpath.constprop.0
     0.30%     0.00%  iou-wrk-68056    [kernel.vmlinux]  [k] schedule
     0.30%     0.00%  iou-wrk-68057    [kernel.vmlinux]  [k] do_try_to_free_pages
     0.30%     0.00%  iou-wrk-68057    [kernel.vmlinux]  [k] shrink_node
     0.30%     0.00%  iou-wrk-68057    [kernel.vmlinux]  [k] try_to_free_pages
     0.30%     0.01%  iou-wrk-68035    [kernel.vmlinux]  [k] evict_pages
     0.30%     0.00%  iou-wrk-68035    [kernel.vmlinux]  [k] lru_gen_shrink_lruvec
     0.30%     0.00%  iou-wrk-68035    [kernel.vmlinux]  [k] shrink_lruvec
     0.30%     0.00%  iou-wrk-68050    [kernel.vmlinux]  [k] __alloc_pages_slowpath.constprop.0
     0.30%     0.01%  iou-wrk-68050    [kernel.vmlinux]  [k] schedule
     0.30%     0.00%  iou-wrk-68067    [kernel.vmlinux]  [k] __alloc_pages_slowpath.constprop.0
     0.30%     0.03%  iou-wrk-68035    [kernel.vmlinux]  [k] __schedule
     0.30%     0.00%  iou-wrk-68041    [kernel.vmlinux]  [k] __alloc_pages_slowpath.constprop.0
     0.30%     0.00%  iou-wrk-68054    [kernel.vmlinux]  [k] __alloc_pages_slowpath.constprop.0
     0.30%     0.01%  iou-wrk-68070    [kernel.vmlinux]  [k] schedule
     0.30%     0.00%  iou-wrk-68049    [kernel.vmlinux]  [k] schedule
     0.30%     0.04%  iou-wrk-68058    [kernel.vmlinux]  [k] __schedule
     0.30%     0.00%  iou-wrk-68059    [kernel.vmlinux]  [k] __alloc_pages
     0.30%     0.00%  iou-wrk-68052    [kernel.vmlinux]  [k] do_try_to_free_pages
     0.30%     0.00%  iou-wrk-68052    [kernel.vmlinux]  [k] shrink_node
     0.30%     0.00%  iou-wrk-68052    [kernel.vmlinux]  [k] try_to_free_pages
     0.30%     0.00%  iou-wrk-68031    [kernel.vmlinux]  [k] lru_gen_shrink_lruvec
     0.30%     0.00%  iou-wrk-68031    [kernel.vmlinux]  [k] shrink_lruvec
     0.29%     0.00%  iou-wrk-68043    [kernel.vmlinux]  [k] __alloc_pages
     0.29%     0.01%  iou-wrk-68039    [kernel.vmlinux]  [k] schedule_timeout
     0.29%     0.00%  iou-wrk-68038    [kernel.vmlinux]  [k] __alloc_pages_slowpath.constprop.0
     0.29%     0.00%  iou-wrk-68038    [kernel.vmlinux]  [k] do_try_to_free_pages
     0.29%     0.00%  iou-wrk-68038    [kernel.vmlinux]  [k] shrink_node
     0.29%     0.00%  iou-wrk-68038    [kernel.vmlinux]  [k] try_to_free_pages
     0.29%     0.01%  iou-wrk-68065    [kernel.vmlinux]  [k] schedule
     0.29%     0.00%  iou-wrk-68067    [kernel.vmlinux]  [k] do_try_to_free_pages
     0.29%     0.00%  iou-wrk-68067    [kernel.vmlinux]  [k] shrink_node
     0.29%     0.00%  iou-wrk-68067    [kernel.vmlinux]  [k] try_to_free_pages
     0.29%     0.00%  iou-wrk-68052    [kernel.vmlinux]  [k] lru_gen_shrink_lruvec
     0.29%     0.00%  iou-wrk-68052    [kernel.vmlinux]  [k] shrink_lruvec
     0.29%     0.01%  iou-wrk-68057    [kernel.vmlinux]  [k] evict_pages
     0.29%     0.00%  iou-wrk-68057    [kernel.vmlinux]  [k] lru_gen_shrink_lruvec
     0.29%     0.00%  iou-wrk-68057    [kernel.vmlinux]  [k] shrink_lruvec
     0.29%     0.01%  iou-wrk-68031    [kernel.vmlinux]  [k] evict_pages
     0.29%     0.00%  iou-wrk-68068    [kernel.vmlinux]  [k] __alloc_pages_slowpath.constprop.0
     0.29%     0.00%  iou-wrk-68050    [kernel.vmlinux]  [k] do_try_to_free_pages
     0.29%     0.00%  iou-wrk-68050    [kernel.vmlinux]  [k] shrink_node
     0.29%     0.00%  iou-wrk-68050    [kernel.vmlinux]  [k] try_to_free_pages
     0.29%     0.00%  iou-wrk-68061    [kernel.vmlinux]  [k] do_try_to_free_pages
     0.29%     0.00%  iou-wrk-68061    [kernel.vmlinux]  [k] shrink_node
     0.29%     0.00%  iou-wrk-68061    [kernel.vmlinux]  [k] try_to_free_pages
     0.29%     0.00%  iou-wrk-68054    [kernel.vmlinux]  [k] do_try_to_free_pages
     0.29%     0.00%  iou-wrk-68054    [kernel.vmlinux]  [k] shrink_node
     0.29%     0.00%  iou-wrk-68054    [kernel.vmlinux]  [k] try_to_free_pages
     0.29%     0.01%  iou-wrk-68067    [kernel.vmlinux]  [k] evict_pages
     0.29%     0.00%  iou-wrk-68067    [kernel.vmlinux]  [k] lru_gen_shrink_lruvec
     0.29%     0.00%  iou-wrk-68067    [kernel.vmlinux]  [k] shrink_lruvec
     0.29%     0.01%  iou-wrk-68052    [kernel.vmlinux]  [k] evict_pages
     0.29%     0.00%  iou-wrk-68063    [kernel.vmlinux]  [k] __alloc_pages
     0.29%     0.00%  iou-wrk-68057    [kernel.vmlinux]  [k] schedule
     0.29%     0.00%  iou-wrk-68050    [kernel.vmlinux]  [k] evict_pages
     0.29%     0.00%  iou-wrk-68050    [kernel.vmlinux]  [k] lru_gen_shrink_lruvec
     0.29%     0.00%  iou-wrk-68050    [kernel.vmlinux]  [k] shrink_lruvec
     0.29%     0.03%  iou-wrk-68036    [kernel.vmlinux]  [k] __schedule
     0.29%     0.02%  iou-wrk-68041    [kernel.vmlinux]  [k] schedule
     0.29%     0.00%  iou-wrk-68038    [kernel.vmlinux]  [k] lru_gen_shrink_lruvec
     0.29%     0.00%  iou-wrk-68038    [kernel.vmlinux]  [k] shrink_lruvec
     0.29%     0.00%  iou-wrk-68064    [kernel.vmlinux]  [k] schedule
     0.29%     0.01%  iou-wrk-68041    [kernel.vmlinux]  [k] evict_pages
     0.29%     0.00%  iou-wrk-68041    [kernel.vmlinux]  [k] do_try_to_free_pages
     0.29%     0.00%  iou-wrk-68041    [kernel.vmlinux]  [k] lru_gen_shrink_lruvec
     0.29%     0.00%  iou-wrk-68041    [kernel.vmlinux]  [k] shrink_lruvec
     0.29%     0.00%  iou-wrk-68041    [kernel.vmlinux]  [k] shrink_node
     0.29%     0.00%  iou-wrk-68041    [kernel.vmlinux]  [k] try_to_free_pages
     0.29%     0.03%  iou-wrk-68056    [kernel.vmlinux]  [k] __schedule
     0.29%     0.04%  iou-wrk-68049    [kernel.vmlinux]  [k] __schedule
     0.29%     0.00%  iou-wrk-68062    [kernel.vmlinux]  [k] __alloc_pages
     0.29%     0.00%  iou-wrk-68068    [kernel.vmlinux]  [k] do_try_to_free_pages
     0.29%     0.00%  iou-wrk-68068    [kernel.vmlinux]  [k] shrink_node
     0.29%     0.00%  iou-wrk-68068    [kernel.vmlinux]  [k] try_to_free_pages
     0.29%     0.02%  iou-wrk-68064    [kernel.vmlinux]  [k] __schedule
     0.29%     0.01%  iou-wrk-68060    [kernel.vmlinux]  [k] schedule
     0.29%     0.00%  iou-wrk-68056    [kernel.vmlinux]  [k] __alloc_pages_slowpath.constprop.0
     0.29%     0.01%  iou-wrk-68061    [kernel.vmlinux]  [k] evict_pages
     0.29%     0.00%  iou-wrk-68061    [kernel.vmlinux]  [k] lru_gen_shrink_lruvec
     0.29%     0.00%  iou-wrk-68061    [kernel.vmlinux]  [k] shrink_lruvec
     0.29%     0.00%  iou-wrk-68054    [kernel.vmlinux]  [k] lru_gen_shrink_lruvec
     0.29%     0.00%  iou-wrk-68054    [kernel.vmlinux]  [k] shrink_lruvec
     0.28%     0.02%  iou-wrk-68070    [kernel.vmlinux]  [k] __schedule
     0.28%     0.00%  iou-wrk-68053    [kernel.vmlinux]  [k] __alloc_pages
     0.28%     0.01%  iou-wrk-68068    [kernel.vmlinux]  [k] evict_pages
     0.28%     0.00%  iou-wrk-68068    [kernel.vmlinux]  [k] lru_gen_shrink_lruvec
     0.28%     0.00%  iou-wrk-68068    [kernel.vmlinux]  [k] shrink_lruvec
     0.28%     0.00%  iou-wrk-68038    [kernel.vmlinux]  [k] evict_pages
     0.28%     0.00%  iou-wrk-68047    [kernel.vmlinux]  [k] __alloc_pages_slowpath.constprop.0
     0.28%     0.28%  iou-wrk-68050    [kernel.vmlinux]  [k] native_queued_spin_lock_slowpath
     0.28%     0.28%  iou-wrk-68070    [kernel.vmlinux]  [k] native_queued_spin_lock_slowpath
     0.28%     0.01%  iou-wrk-68054    [kernel.vmlinux]  [k] evict_pages
     0.28%     0.00%  iou-wrk-68034    [kernel.vmlinux]  [k] __alloc_pages_slowpath.constprop.0
     0.28%     0.01%  iou-wrk-68037    [kernel.vmlinux]  [k] schedule
     0.28%     0.01%  iou-wrk-68043    [kernel.vmlinux]  [k] schedule
     0.28%     0.00%  iou-wrk-68042    [kernel.vmlinux]  [k] schedule
     0.28%     0.00%  iou-wrk-68040    [kernel.vmlinux]  [k] schedule
     0.28%     0.00%  iou-wrk-68040    [kernel.vmlinux]  [k] __alloc_pages_slowpath.constprop.0
     0.28%     0.00%  iou-wrk-68064    [kernel.vmlinux]  [k] __alloc_pages
     0.28%     0.01%  iou-wrk-68038    [kernel.vmlinux]  [k] schedule
     0.28%     0.03%  iou-wrk-68057    [kernel.vmlinux]  [k] __schedule
     0.28%     0.00%  iou-wrk-68055    [kernel.vmlinux]  [k] schedule
     0.28%     0.01%  iou-wrk-68063    [kernel.vmlinux]  [k] schedule
     0.28%     0.02%  iou-wrk-68065    [kernel.vmlinux]  [k] __schedule
     0.28%     0.00%  iou-wrk-68033    [kernel.vmlinux]  [k] __alloc_pages_slowpath.constprop.0
     0.28%     0.03%  iou-wrk-68050    [kernel.vmlinux]  [k] __schedule
     0.28%     0.01%  kswapd0          [kernel.vmlinux]  [k] __remove_mapping
     0.28%     0.00%  iou-wrk-68045    [kernel.vmlinux]  [k] __alloc_pages
     0.27%     0.00%  iou-wrk-68048    [kernel.vmlinux]  [k] __alloc_pages_slowpath.constprop.0
     0.27%     0.00%  iou-wrk-68034    [kernel.vmlinux]  [k] schedule
     0.27%     0.00%  iou-wrk-68056    [kernel.vmlinux]  [k] try_to_free_pages
     0.27%     0.01%  iou-wrk-68033    [kernel.vmlinux]  [k] schedule
     0.27%     0.00%  iou-wrk-68034    [kernel.vmlinux]  [k] do_try_to_free_pages
     0.27%     0.00%  iou-wrk-68034    [kernel.vmlinux]  [k] shrink_node
     0.27%     0.00%  iou-wrk-68034    [kernel.vmlinux]  [k] try_to_free_pages
     0.27%     0.03%  iou-wrk-68040    [kernel.vmlinux]  [k] __schedule
     0.27%     0.00%  iou-wrk-68048    [kernel.vmlinux]  [k] do_try_to_free_pages
     0.27%     0.00%  iou-wrk-68048    [kernel.vmlinux]  [k] evict_pages
     0.27%     0.00%  iou-wrk-68048    [kernel.vmlinux]  [k] lru_gen_shrink_lruvec
     0.27%     0.00%  iou-wrk-68048    [kernel.vmlinux]  [k] shrink_lruvec
     0.27%     0.00%  iou-wrk-68048    [kernel.vmlinux]  [k] shrink_node
     0.27%     0.00%  iou-wrk-68048    [kernel.vmlinux]  [k] try_to_free_pages
     0.27%     0.00%  iou-wrk-68051    [kernel.vmlinux]  [k] schedule_timeout
     0.27%     0.01%  iou-wrk-68056    [kernel.vmlinux]  [k] evict_pages
     0.27%     0.00%  iou-wrk-68056    [kernel.vmlinux]  [k] do_try_to_free_pages
     0.27%     0.00%  iou-wrk-68056    [kernel.vmlinux]  [k] lru_gen_shrink_lruvec
     0.27%     0.00%  iou-wrk-68056    [kernel.vmlinux]  [k] shrink_lruvec
     0.27%     0.00%  iou-wrk-68056    [kernel.vmlinux]  [k] shrink_node
     0.27%     0.00%  iou-wrk-68047    [kernel.vmlinux]  [k] shrink_node
     0.27%     0.00%  iou-wrk-68047    [kernel.vmlinux]  [k] do_try_to_free_pages
     0.27%     0.00%  iou-wrk-68047    [kernel.vmlinux]  [k] try_to_free_pages
     0.27%     0.00%  iou-wrk-68032    [kernel.vmlinux]  [k] __alloc_pages
     0.27%     0.03%  iou-wrk-68043    [kernel.vmlinux]  [k] __schedule
     0.27%     0.00%  iou-wrk-68033    [kernel.vmlinux]  [k] do_try_to_free_pages
     0.27%     0.00%  iou-wrk-68033    [kernel.vmlinux]  [k] shrink_node
     0.27%     0.00%  iou-wrk-68033    [kernel.vmlinux]  [k] try_to_free_pages
     0.27%     0.03%  iou-wrk-68038    [kernel.vmlinux]  [k] __schedule
     0.27%     0.04%  iou-wrk-68047    [kernel.vmlinux]  [k] filemap_get_read_batch
     0.27%     0.00%  iou-wrk-68046    [kernel.vmlinux]  [k] __alloc_pages_slowpath.constprop.0
     0.27%     0.00%  iou-wrk-68032    [kernel.vmlinux]  [k] schedule
     0.27%     0.26%  swapper          [kernel.vmlinux]  [k] poll_idle
     0.27%     0.01%  iou-wrk-68033    [kernel.vmlinux]  [k] evict_pages
     0.27%     0.00%  iou-wrk-68033    [kernel.vmlinux]  [k] lru_gen_shrink_lruvec
     0.27%     0.00%  iou-wrk-68033    [kernel.vmlinux]  [k] shrink_lruvec
     0.27%     0.00%  iou-wrk-68040    [kernel.vmlinux]  [k] do_try_to_free_pages
     0.27%     0.00%  iou-wrk-68040    [kernel.vmlinux]  [k] shrink_node
     0.27%     0.00%  iou-wrk-68040    [kernel.vmlinux]  [k] try_to_free_pages
     0.27%     0.00%  iou-wrk-68048    [kernel.vmlinux]  [k] schedule
     0.27%     0.01%  iou-wrk-68052    [kernel.vmlinux]  [k] schedule
     0.27%     0.01%  iou-wrk-68046    [kernel.vmlinux]  [k] schedule
     0.27%     0.02%  iou-wrk-68060    [kernel.vmlinux]  [k] __schedule
     0.27%     0.00%  iou-wrk-68034    [kernel.vmlinux]  [k] evict_pages
     0.27%     0.00%  iou-wrk-68034    [kernel.vmlinux]  [k] lru_gen_shrink_lruvec
     0.27%     0.00%  iou-wrk-68034    [kernel.vmlinux]  [k] shrink_lruvec
     0.27%     0.26%  fio              [kernel.vmlinux]  [k] io_prep_rw
     0.27%     0.00%  iou-wrk-68060    [kernel.vmlinux]  [k] __alloc_pages_slowpath.constprop.0
     0.27%     0.01%  iou-wrk-68040    [kernel.vmlinux]  [k] evict_pages
     0.27%     0.00%  iou-wrk-68040    [kernel.vmlinux]  [k] lru_gen_shrink_lruvec
     0.27%     0.00%  iou-wrk-68040    [kernel.vmlinux]  [k] shrink_lruvec
     0.27%     0.03%  iou-wrk-68037    [kernel.vmlinux]  [k] __schedule
     0.26%     0.02%  iou-wrk-68055    [kernel.vmlinux]  [k] __schedule
     0.26%     0.02%  iou-wrk-68034    [kernel.vmlinux]  [k] __schedule
     0.26%     0.00%  iou-wrk-68036    [kernel.vmlinux]  [k] __alloc_pages_slowpath.constprop.0
     0.26%     0.01%  iou-wrk-68047    [kernel.vmlinux]  [k] evict_pages
     0.26%     0.00%  iou-wrk-68047    [kernel.vmlinux]  [k] lru_gen_shrink_lruvec
     0.26%     0.00%  iou-wrk-68047    [kernel.vmlinux]  [k] shrink_lruvec
     0.26%     0.26%  iou-wrk-68034    [kernel.vmlinux]  [k] native_queued_spin_lock_slowpath
