# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 43K of event 'cycles'
# Event count (approx.): 8986606922361
#
# Children      Self  Command          Shared Object     Symbol                                   
# ........  ........  ...............  ................  .........................................
#
     1.82%     0.01%  iou-wrk-68045    [kernel.vmlinux]  [k] io_wqe_worker
     1.82%     0.00%  iou-wrk-68045    [kernel.vmlinux]  [k] ret_from_fork
     1.81%     0.01%  iou-wrk-68057    [kernel.vmlinux]  [k] io_wqe_worker
     1.81%     0.00%  iou-wrk-68057    [kernel.vmlinux]  [k] ret_from_fork
     1.80%     0.01%  iou-wrk-68041    [kernel.vmlinux]  [k] io_wqe_worker
     1.80%     0.00%  iou-wrk-68041    [kernel.vmlinux]  [k] ret_from_fork
     1.79%     0.01%  iou-wrk-68043    [kernel.vmlinux]  [k] io_wqe_worker
     1.79%     0.00%  iou-wrk-68043    [kernel.vmlinux]  [k] ret_from_fork
     1.79%     0.01%  iou-wrk-68040    [kernel.vmlinux]  [k] io_wqe_worker
     1.79%     0.00%  iou-wrk-68040    [kernel.vmlinux]  [k] ret_from_fork
     1.78%     0.01%  iou-wrk-68059    [kernel.vmlinux]  [k] io_wqe_worker
     1.78%     0.00%  iou-wrk-68059    [kernel.vmlinux]  [k] ret_from_fork
     1.77%     0.42%  fio              [kernel.vmlinux]  [k] enqueue_entity
     1.77%     0.01%  iou-wrk-68048    [kernel.vmlinux]  [k] io_wqe_worker
     1.77%     0.00%  iou-wrk-68048    [kernel.vmlinux]  [k] ret_from_fork
     1.77%     0.02%  iou-wrk-68060    [kernel.vmlinux]  [k] io_wqe_worker
     1.77%     0.00%  iou-wrk-68060    [kernel.vmlinux]  [k] ret_from_fork
     1.76%     0.01%  iou-wrk-68032    [kernel.vmlinux]  [k] io_wqe_worker
     1.76%     0.00%  iou-wrk-68032    [kernel.vmlinux]  [k] ret_from_fork
     1.76%     0.02%  iou-wrk-68064    [kernel.vmlinux]  [k] io_wqe_worker
     1.76%     0.00%  iou-wrk-68064    [kernel.vmlinux]  [k] ret_from_fork
     1.75%     0.00%  iou-wrk-68056    [kernel.vmlinux]  [k] io_wqe_worker
     1.75%     0.00%  iou-wrk-68056    [kernel.vmlinux]  [k] ret_from_fork
     1.75%     0.01%  iou-wrk-68046    [kernel.vmlinux]  [k] io_wqe_worker
     1.75%     0.00%  iou-wrk-68046    [kernel.vmlinux]  [k] ret_from_fork
     1.73%     1.73%  swapper          [kernel.vmlinux]  [k] intel_idle
     1.71%     0.00%  iou-wrk-68069    [kernel.vmlinux]  [k] io_wqe_worker
     1.71%     0.00%  iou-wrk-68069    [kernel.vmlinux]  [k] ret_from_fork
     1.71%     0.00%  iou-wrk-68033    [kernel.vmlinux]  [k] io_wqe_worker
     1.71%     0.00%  iou-wrk-68033    [kernel.vmlinux]  [k] ret_from_fork
     1.69%     0.00%  iou-wrk-68062    [kernel.vmlinux]  [k] io_wqe_worker
     1.69%     0.00%  iou-wrk-68062    [kernel.vmlinux]  [k] ret_from_fork
     1.68%     0.27%  fio              [kernel.vmlinux]  [k] pick_next_task_fair
     1.67%     0.01%  iou-wrk-68039    [kernel.vmlinux]  [k] io_wqe_worker
     1.67%     0.00%  iou-wrk-68039    [kernel.vmlinux]  [k] ret_from_fork
     1.66%     1.64%  fio              [kernel.vmlinux]  [k] psi_group_change
     1.65%     0.02%  iou-wrk-68044    [kernel.vmlinux]  [k] io_worker_handle_work
     1.64%     0.01%  iou-wrk-68037    [kernel.vmlinux]  [k] io_worker_handle_work
     1.63%     0.02%  iou-wrk-68042    [kernel.vmlinux]  [k] io_worker_handle_work
     1.59%     0.01%  iou-wrk-68053    [kernel.vmlinux]  [k] io_wqe_worker
     1.59%     0.00%  iou-wrk-68053    [kernel.vmlinux]  [k] ret_from_fork
     1.59%     0.00%  iou-wrk-68044    [kernel.vmlinux]  [k] io_wq_submit_work
     1.58%     0.00%  iou-wrk-68044    [kernel.vmlinux]  [k] io_read
     1.58%     0.00%  iou-wrk-68044    [kernel.vmlinux]  [k] io_issue_sqe
     1.57%     0.02%  iou-wrk-68061    [kernel.vmlinux]  [k] io_worker_handle_work
     1.57%     0.00%  iou-wrk-68037    [kernel.vmlinux]  [k] io_issue_sqe
     1.57%     0.00%  iou-wrk-68037    [kernel.vmlinux]  [k] io_wq_submit_work
     1.56%     0.01%  iou-wrk-68037    [kernel.vmlinux]  [k] io_read
     1.56%     0.02%  iou-wrk-68051    [kernel.vmlinux]  [k] io_worker_handle_work
     1.56%     0.02%  iou-wrk-68066    [kernel.vmlinux]  [k] io_worker_handle_work
     1.55%     0.01%  iou-wrk-68042    [kernel.vmlinux]  [k] io_wq_submit_work
     1.55%     0.56%  fio              [kernel.vmlinux]  [k] update_load_avg
     1.55%     0.01%  iou-wrk-68042    [kernel.vmlinux]  [k] io_issue_sqe
     1.55%     0.02%  iou-wrk-68044    [kernel.vmlinux]  [k] filemap_read
     1.55%     0.01%  iou-wrk-68055    [kernel.vmlinux]  [k] io_worker_handle_work
     1.54%     0.01%  iou-wrk-68068    [kernel.vmlinux]  [k] io_worker_handle_work
     1.54%     0.02%  iou-wrk-68034    [kernel.vmlinux]  [k] io_worker_handle_work
     1.54%     0.00%  iou-wrk-68042    [kernel.vmlinux]  [k] io_read
     1.54%     0.02%  iou-wrk-68036    [kernel.vmlinux]  [k] io_worker_handle_work
     1.53%     0.02%  iou-wrk-68052    [kernel.vmlinux]  [k] io_worker_handle_work
     1.52%     0.02%  iou-wrk-68058    [kernel.vmlinux]  [k] io_worker_handle_work
     1.51%     0.01%  iou-wrk-68051    [kernel.vmlinux]  [k] io_issue_sqe
     1.51%     0.00%  iou-wrk-68051    [kernel.vmlinux]  [k] io_wq_submit_work
     1.51%     0.01%  iou-wrk-68049    [kernel.vmlinux]  [k] io_worker_handle_work
     1.51%     0.00%  iou-wrk-68051    [kernel.vmlinux]  [k] io_read
     1.50%     0.04%  iou-wrk-68037    [kernel.vmlinux]  [k] filemap_read
     1.50%     0.02%  iou-wrk-68065    [kernel.vmlinux]  [k] io_worker_handle_work
     1.50%     0.01%  iou-wrk-68063    [kernel.vmlinux]  [k] io_worker_handle_work
     1.49%     0.01%  iou-wrk-68035    [kernel.vmlinux]  [k] io_worker_handle_work
     1.49%     0.01%  iou-wrk-68047    [kernel.vmlinux]  [k] io_worker_handle_work
     1.49%     0.02%  iou-wrk-68038    [kernel.vmlinux]  [k] io_worker_handle_work
     1.49%     0.03%  iou-wrk-68042    [kernel.vmlinux]  [k] filemap_read
     1.48%     0.01%  iou-wrk-68068    [kernel.vmlinux]  [k] io_wq_submit_work
     1.48%     0.00%  iou-wrk-68061    [kernel.vmlinux]  [k] io_wq_submit_work
     1.48%     0.00%  iou-wrk-68055    [kernel.vmlinux]  [k] io_wq_submit_work
     1.48%     0.00%  iou-wrk-68068    [kernel.vmlinux]  [k] io_issue_sqe
     1.48%     0.01%  iou-wrk-68061    [kernel.vmlinux]  [k] io_issue_sqe
     1.47%     0.04%  iou-wrk-68051    [kernel.vmlinux]  [k] filemap_read
     1.47%     0.01%  iou-wrk-68055    [kernel.vmlinux]  [k] io_issue_sqe
     1.47%     0.01%  iou-wrk-68068    [kernel.vmlinux]  [k] io_read
     1.47%     0.00%  iou-wrk-68066    [kernel.vmlinux]  [k] io_wq_submit_work
     1.47%     0.01%  iou-wrk-68061    [kernel.vmlinux]  [k] io_read
     1.47%     0.01%  iou-wrk-68066    [kernel.vmlinux]  [k] io_issue_sqe
     1.46%     0.01%  iou-wrk-68055    [kernel.vmlinux]  [k] io_read
     1.46%     0.01%  iou-wrk-68070    [kernel.vmlinux]  [k] io_worker_handle_work
     1.46%     0.01%  iou-wrk-68066    [kernel.vmlinux]  [k] io_read
     1.46%     0.00%  iou-wrk-68052    [kernel.vmlinux]  [k] io_wq_submit_work
     1.45%     0.01%  iou-wrk-68052    [kernel.vmlinux]  [k] io_read
     1.45%     0.00%  iou-wrk-68052    [kernel.vmlinux]  [k] io_issue_sqe
     1.45%     0.01%  iou-wrk-68034    [kernel.vmlinux]  [k] io_issue_sqe
     1.45%     0.00%  iou-wrk-68034    [kernel.vmlinux]  [k] io_wq_submit_work
     1.44%     0.00%  iou-wrk-68058    [kernel.vmlinux]  [k] io_wq_submit_work
     1.44%     0.00%  iou-wrk-68049    [kernel.vmlinux]  [k] io_wq_submit_work
     1.44%     0.00%  iou-wrk-68058    [kernel.vmlinux]  [k] io_read
     1.44%     0.00%  iou-wrk-68058    [kernel.vmlinux]  [k] io_issue_sqe
     1.44%     0.02%  iou-wrk-68043    [kernel.vmlinux]  [k] io_worker_handle_work
     1.44%     0.02%  iou-wrk-68041    [kernel.vmlinux]  [k] io_worker_handle_work
     1.44%     0.02%  iou-wrk-68031    [kernel.vmlinux]  [k] io_worker_handle_work
     1.44%     0.00%  iou-wrk-68049    [kernel.vmlinux]  [k] io_issue_sqe
     1.44%     0.00%  iou-wrk-68034    [kernel.vmlinux]  [k] io_read
