# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11K of event 'cycles'
# Event count (approx.): 2348785061025
#
# Children      Self  Command          Shared Object     Symbol                                 
# ........  ........  ...............  ................  .......................................
#
    28.23%     0.02%  fio              [kernel.vmlinux]  [k] entry_SYSCALL_64_after_hwframe
    28.21%     0.01%  fio              [kernel.vmlinux]  [k] do_syscall_64
    27.92%     0.01%  fio              [kernel.vmlinux]  [k] __do_sys_io_uring_enter
    27.87%     1.04%  fio              [kernel.vmlinux]  [k] io_submit_sqes
    25.71%     0.51%  fio              [kernel.vmlinux]  [k] __io_queue_sqe
    18.08%     0.07%  fio              [kernel.vmlinux]  [k] io_queue_async_work
    17.62%     0.21%  fio              [kernel.vmlinux]  [k] io_wqe_enqueue
    17.05%     0.38%  fio              [kernel.vmlinux]  [k] io_wqe_activate_free_worker
    16.43%     0.57%  fio              [kernel.vmlinux]  [k] try_to_wake_up
     8.11%     0.16%  fio              [kernel.vmlinux]  [k] ttwu_do_activate
     7.13%     0.21%  fio              [kernel.vmlinux]  [k] io_issue_sqe
     6.92%     0.37%  fio              [kernel.vmlinux]  [k] io_read
     6.47%     0.04%  swapper          [kernel.vmlinux]  [k] do_idle
     6.47%     0.00%  swapper          [kernel.vmlinux]  [k] cpu_startup_entry
     6.47%     0.00%  swapper          [kernel.vmlinux]  [k] secondary_startup_64_no_verify
     6.44%     0.00%  swapper          [kernel.vmlinux]  [k] start_secondary
     5.76%     0.24%  fio              [kernel.vmlinux]  [k] io_setup_async_rw
     5.39%     0.61%  fio              [kernel.vmlinux]  [k] __kmalloc
     5.34%     0.03%  swapper          [kernel.vmlinux]  [k] cpuidle_enter_state
     5.34%     0.00%  swapper          [kernel.vmlinux]  [k] cpuidle_enter
     4.85%     2.05%  fio              [kernel.vmlinux]  [k] select_task_rq_fair
     4.70%     4.70%  swapper          [kernel.vmlinux]  [k] intel_idle
     4.56%     0.14%  fio              [kernel.vmlinux]  [k] __cond_resched
     4.44%     0.98%  fio              [kernel.vmlinux]  [k] enqueue_task_fair
     4.43%     0.74%  fio              [kernel.vmlinux]  [k] __schedule
     4.42%     0.13%  fio              [kernel.vmlinux]  [k] preempt_schedule_common
     3.51%     0.41%  fio              [kernel.vmlinux]  [k] psi_task_change
     2.58%     2.56%  fio              [kernel.vmlinux]  [k] psi_group_change
     2.15%     0.26%  fio              [kernel.vmlinux]  [k] pick_next_task_fair
     2.05%     0.50%  fio              [kernel.vmlinux]  [k] enqueue_entity
     2.02%     0.01%  iou-wrk-3062     [kernel.vmlinux]  [k] io_wqe_worker
     2.02%     0.00%  iou-wrk-3062     [kernel.vmlinux]  [k] ret_from_fork
     1.97%     0.02%  iou-wrk-3074     [kernel.vmlinux]  [k] io_wqe_worker
     1.97%     0.00%  iou-wrk-3074     [kernel.vmlinux]  [k] ret_from_fork
     1.95%     0.02%  iou-wrk-3090     [kernel.vmlinux]  [k] io_wqe_worker
     1.95%     0.00%  iou-wrk-3090     [kernel.vmlinux]  [k] ret_from_fork
     1.89%     0.01%  iou-wrk-3067     [kernel.vmlinux]  [k] io_wqe_worker
     1.89%     0.00%  iou-wrk-3067     [kernel.vmlinux]  [k] ret_from_fork
     1.82%     0.02%  iou-wrk-3070     [kernel.vmlinux]  [k] io_wqe_worker
     1.82%     0.00%  iou-wrk-3070     [kernel.vmlinux]  [k] ret_from_fork
     1.81%     0.01%  iou-wrk-3071     [kernel.vmlinux]  [k] io_wqe_worker
     1.81%     0.00%  iou-wrk-3071     [kernel.vmlinux]  [k] ret_from_fork
     1.76%     0.02%  iou-wrk-3084     [kernel.vmlinux]  [k] io_wqe_worker
     1.76%     0.00%  iou-wrk-3084     [kernel.vmlinux]  [k] ret_from_fork
     1.76%     0.01%  iou-wrk-3095     [kernel.vmlinux]  [k] io_wqe_worker
     1.76%     0.00%  iou-wrk-3095     [kernel.vmlinux]  [k] ret_from_fork
     1.76%     0.74%  fio              [kernel.vmlinux]  [k] update_load_avg
     1.74%     0.02%  iou-wrk-3078     [kernel.vmlinux]  [k] io_wqe_worker
     1.74%     0.00%  iou-wrk-3078     [kernel.vmlinux]  [k] ret_from_fork
     1.73%     0.01%  iou-wrk-3058     [kernel.vmlinux]  [k] io_wqe_worker
     1.73%     0.00%  iou-wrk-3058     [kernel.vmlinux]  [k] ret_from_fork
     1.73%     0.01%  iou-wrk-3080     [kernel.vmlinux]  [k] io_wqe_worker
     1.73%     0.00%  iou-wrk-3080     [kernel.vmlinux]  [k] ret_from_fork
     1.71%     0.01%  iou-wrk-3077     [kernel.vmlinux]  [k] io_wqe_worker
     1.71%     0.00%  iou-wrk-3077     [kernel.vmlinux]  [k] ret_from_fork
     1.71%     0.03%  iou-wrk-3096     [kernel.vmlinux]  [k] io_wqe_worker
     1.71%     0.00%  iou-wrk-3096     [kernel.vmlinux]  [k] ret_from_fork
     1.66%     0.00%  iou-wrk-3089     [kernel.vmlinux]  [k] io_wqe_worker
     1.66%     0.00%  iou-wrk-3089     [kernel.vmlinux]  [k] ret_from_fork
     1.66%     1.61%  fio              [kernel.vmlinux]  [k] available_idle_cpu
     1.64%     0.02%  iou-wrk-3097     [kernel.vmlinux]  [k] io_wqe_worker
     1.64%     0.00%  iou-wrk-3097     [kernel.vmlinux]  [k] ret_from_fork
     1.61%     0.01%  iou-wrk-3073     [kernel.vmlinux]  [k] io_wqe_worker
     1.61%     0.00%  iou-wrk-3073     [kernel.vmlinux]  [k] ret_from_fork
