# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 40K of event 'cycles'
# Event count (approx.): 7834943067802
#
# Children      Self  Command          Shared Object     Symbol                                 
# ........  ........  ...............  ................  .......................................
#
     1.60%     0.01%  iou-wrk-3063     [kernel.vmlinux]  [k] io_wqe_worker
     1.60%     0.00%  iou-wrk-3063     [kernel.vmlinux]  [k] ret_from_fork
     1.60%     0.01%  iou-wrk-3062     [kernel.vmlinux]  [k] io_wqe_worker
     1.60%     0.00%  iou-wrk-3062     [kernel.vmlinux]  [k] ret_from_fork
     1.60%     0.02%  iou-wrk-3089     [kernel.vmlinux]  [k] io_wqe_worker
     1.60%     0.00%  iou-wrk-3089     [kernel.vmlinux]  [k] ret_from_fork
     1.60%     0.02%  iou-wrk-3091     [kernel.vmlinux]  [k] io_wqe_worker
     1.60%     0.00%  iou-wrk-3091     [kernel.vmlinux]  [k] ret_from_fork
     1.58%     0.01%  iou-wrk-3080     [kernel.vmlinux]  [k] io_wqe_worker
     1.58%     0.00%  iou-wrk-3080     [kernel.vmlinux]  [k] ret_from_fork
     1.58%     0.01%  iou-wrk-3078     [kernel.vmlinux]  [k] io_wqe_worker
     1.58%     0.00%  iou-wrk-3078     [kernel.vmlinux]  [k] ret_from_fork
     1.56%     0.01%  iou-wrk-3066     [kernel.vmlinux]  [k] io_wqe_worker
     1.56%     0.00%  iou-wrk-3066     [kernel.vmlinux]  [k] ret_from_fork
     1.55%     0.01%  iou-wrk-3093     [kernel.vmlinux]  [k] io_wqe_worker
     1.55%     0.00%  iou-wrk-3093     [kernel.vmlinux]  [k] ret_from_fork
     1.54%     0.00%  iou-wrk-3077     [kernel.vmlinux]  [k] io_wqe_worker
     1.54%     0.00%  iou-wrk-3077     [kernel.vmlinux]  [k] ret_from_fork
     1.50%     0.01%  iou-wrk-3097     [kernel.vmlinux]  [k] io_wqe_worker
     1.50%     0.00%  iou-wrk-3097     [kernel.vmlinux]  [k] ret_from_fork
     1.50%     0.00%  swapper          [kernel.vmlinux]  [k] cpuidle_enter_state
     1.50%     0.00%  swapper          [kernel.vmlinux]  [k] cpuidle_enter
     1.49%     0.02%  iou-wrk-3088     [kernel.vmlinux]  [k] io_wqe_worker
     1.49%     0.00%  iou-wrk-3088     [kernel.vmlinux]  [k] ret_from_fork
     1.49%     0.01%  iou-wrk-3070     [kernel.vmlinux]  [k] io_wqe_worker
     1.49%     0.00%  iou-wrk-3070     [kernel.vmlinux]  [k] ret_from_fork
     1.49%     0.01%  iou-wrk-3071     [kernel.vmlinux]  [k] io_wqe_worker
     1.49%     0.00%  iou-wrk-3071     [kernel.vmlinux]  [k] ret_from_fork
     1.47%     0.01%  iou-wrk-3085     [kernel.vmlinux]  [k] io_wqe_worker
     1.47%     0.00%  iou-wrk-3085     [kernel.vmlinux]  [k] ret_from_fork
     1.46%     0.01%  iou-wrk-3068     [kernel.vmlinux]  [k] io_wqe_worker
     1.46%     0.00%  iou-wrk-3068     [kernel.vmlinux]  [k] ret_from_fork
     1.41%     0.01%  iou-wrk-3081     [kernel.vmlinux]  [k] io_wqe_worker
     1.41%     0.00%  iou-wrk-3081     [kernel.vmlinux]  [k] ret_from_fork
     1.34%     0.01%  iou-wrk-3098     [kernel.vmlinux]  [k] io_wqe_worker
     1.34%     0.00%  iou-wrk-3098     [kernel.vmlinux]  [k] ret_from_fork
     1.33%     0.02%  iou-wrk-3101     [kernel.vmlinux]  [k] io_wqe_worker
     1.33%     0.00%  iou-wrk-3101     [kernel.vmlinux]  [k] ret_from_fork
     1.30%     0.63%  fio              [kernel.vmlinux]  [k] update_curr
     1.27%     1.23%  fio              [kernel.vmlinux]  [k] available_idle_cpu
     1.25%     0.00%  kswapd0          [kernel.vmlinux]  [k] balance_pgdat
     1.25%     0.00%  kswapd0          [kernel.vmlinux]  [k] kswapd
     1.25%     0.00%  kswapd0          [kernel.vmlinux]  [k] kthread
     1.25%     0.00%  kswapd0          [kernel.vmlinux]  [k] ret_from_fork
     1.25%     0.00%  kswapd0          [kernel.vmlinux]  [k] shrink_node
     1.24%     0.13%  iou-wrk-3086     [kernel.vmlinux]  [k] io_worker_handle_work
     1.23%     0.07%  kswapd0          [kernel.vmlinux]  [k] evict_pages
