# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 12K of event 'cycles'
# Event count (approx.): 2697294022688
#
# Children      Self  Command          Shared Object               Symbol                                 
# ........  ........  ...............  ..........................  .......................................
#
     1.65%     0.00%  iou-wrk-3238     [kernel.vmlinux]            [k] ret_from_fork
     1.64%     0.02%  iou-wrk-3260     [kernel.vmlinux]            [k] io_wqe_worker
     1.64%     0.00%  iou-wrk-3260     [kernel.vmlinux]            [k] ret_from_fork
     1.63%     0.02%  iou-wrk-3255     [kernel.vmlinux]            [k] io_wqe_worker
     1.63%     0.00%  iou-wrk-3255     [kernel.vmlinux]            [k] ret_from_fork
     1.62%     0.01%  iou-wrk-3232     [kernel.vmlinux]            [k] io_wqe_worker
     1.62%     0.00%  iou-wrk-3232     [kernel.vmlinux]            [k] ret_from_fork
     1.61%     0.01%  iou-wrk-3265     [kernel.vmlinux]            [k] io_wqe_worker
     1.61%     0.00%  iou-wrk-3265     [kernel.vmlinux]            [k] ret_from_fork
     1.61%     0.00%  iou-wrk-3257     [kernel.vmlinux]            [k] io_wqe_worker
     1.61%     0.00%  iou-wrk-3257     [kernel.vmlinux]            [k] ret_from_fork
     1.61%     0.23%  iou-wrk-3269     [kernel.vmlinux]            [k] io_wqe_worker
     1.61%     0.00%  iou-wrk-3269     [kernel.vmlinux]            [k] ret_from_fork
     1.61%     0.01%  iou-wrk-3240     [kernel.vmlinux]            [k] io_wqe_worker
     1.61%     0.00%  iou-wrk-3240     [kernel.vmlinux]            [k] ret_from_fork
     1.55%     0.02%  iou-wrk-3263     [kernel.vmlinux]            [k] io_wqe_worker
     1.55%     0.00%  iou-wrk-3263     [kernel.vmlinux]            [k] ret_from_fork
     1.55%     0.88%  fio              [kernel.vmlinux]            [k] _raw_spin_lock
     1.53%     0.01%  iou-wrk-3231     [kernel.vmlinux]            [k] io_wqe_worker
     1.53%     0.00%  iou-wrk-3231     [kernel.vmlinux]            [k] ret_from_fork
     1.53%     0.01%  iou-wrk-3237     [kernel.vmlinux]            [k] io_wqe_worker
     1.53%     0.00%  iou-wrk-3237     [kernel.vmlinux]            [k] ret_from_fork
     1.51%     0.00%  iou-wrk-3272     [kernel.vmlinux]            [k] io_wqe_worker
     1.51%     0.00%  iou-wrk-3272     [kernel.vmlinux]            [k] ret_from_fork
     1.51%     0.01%  iou-wrk-3247     [kernel.vmlinux]            [k] io_wqe_worker
     1.51%     0.00%  iou-wrk-3247     [kernel.vmlinux]            [k] ret_from_fork
     1.51%     0.01%  iou-wrk-3270     [kernel.vmlinux]            [k] io_worker_handle_work
     1.47%     0.01%  iou-wrk-3261     [kernel.vmlinux]            [k] io_wqe_worker
     1.47%     0.00%  iou-wrk-3261     [kernel.vmlinux]            [k] ret_from_fork
     1.46%     0.00%  iou-wrk-3236     [kernel.vmlinux]            [k] io_worker_handle_work
     1.44%     0.00%  iou-wrk-3262     [kernel.vmlinux]            [k] io_worker_handle_work
     1.44%     0.01%  iou-wrk-3236     [kernel.vmlinux]            [k] io_issue_sqe
     1.44%     0.00%  iou-wrk-3236     [kernel.vmlinux]            [k] io_wq_submit_work
     1.43%     0.03%  iou-wrk-3271     [kernel.vmlinux]            [k] io_worker_handle_work
     1.43%     0.01%  iou-wrk-3249     [kernel.vmlinux]            [k] io_worker_handle_work
     1.43%     0.01%  iou-wrk-3242     [kernel.vmlinux]            [k] io_wqe_worker
     1.43%     0.00%  iou-wrk-3242     [kernel.vmlinux]            [k] ret_from_fork
     1.43%     0.01%  iou-wrk-3236     [kernel.vmlinux]            [k] io_read
     1.41%     0.01%  iou-wrk-3267     [kernel.vmlinux]            [k] io_wqe_worker
     1.41%     0.00%  iou-wrk-3267     [kernel.vmlinux]            [k] ret_from_fork
     1.41%     0.00%  iou-wrk-3259     [kernel.vmlinux]            [k] io_wqe_worker
     1.41%     0.00%  iou-wrk-3259     [kernel.vmlinux]            [k] ret_from_fork
     1.41%     0.01%  iou-wrk-3270     [kernel.vmlinux]            [k] io_issue_sqe
     1.41%     0.00%  iou-wrk-3270     [kernel.vmlinux]            [k] io_wq_submit_work
     1.39%     0.01%  iou-wrk-3230     [kernel.vmlinux]            [k] io_worker_handle_work
     1.39%     0.00%  iou-wrk-3270     [kernel.vmlinux]            [k] io_read
     1.39%     0.00%  iou-wrk-3253     [kernel.vmlinux]            [k] io_worker_handle_work
     1.39%     0.01%  iou-wrk-3262     [kernel.vmlinux]            [k] io_issue_sqe
     1.39%     0.00%  iou-wrk-3262     [kernel.vmlinux]            [k] io_wq_submit_work
     1.38%     0.01%  iou-wrk-3262     [kernel.vmlinux]            [k] io_read
     1.37%     0.00%  iou-wrk-3252     [kernel.vmlinux]            [k] io_wqe_worker
     1.37%     0.00%  iou-wrk-3252     [kernel.vmlinux]            [k] ret_from_fork
     1.37%     0.01%  iou-wrk-3243     [kernel.vmlinux]            [k] io_worker_handle_work
     1.36%     0.01%  iou-wrk-3273     [kernel.vmlinux]            [k] io_wqe_worker
     1.36%     0.00%  iou-wrk-3273     [kernel.vmlinux]            [k] ret_from_fork
     1.35%     0.04%  iou-wrk-3266     [kernel.vmlinux]            [k] io_worker_handle_work
     1.35%     0.01%  iou-wrk-3249     [kernel.vmlinux]            [k] io_issue_sqe
     1.35%     0.00%  iou-wrk-3249     [kernel.vmlinux]            [k] io_wq_submit_work
     1.34%     0.01%  iou-wrk-3236     [kernel.vmlinux]            [k] filemap_read
     1.34%     0.00%  iou-wrk-3258     [kernel.vmlinux]            [k] io_worker_handle_work
     1.34%     0.02%  iou-wrk-3270     [kernel.vmlinux]            [k] filemap_read
     1.34%     0.03%  iou-wrk-3249     [kernel.vmlinux]            [k] io_read
     1.34%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_inactive_list
     1.34%     0.01%  iou-wrk-3246     [kernel.vmlinux]            [k] io_wqe_worker
     1.34%     0.00%  iou-wrk-3246     [kernel.vmlinux]            [k] ret_from_fork
     1.32%     0.02%  iou-wrk-3260     [kernel.vmlinux]            [k] io_worker_handle_work
     1.32%     0.05%  iou-wrk-3262     [kernel.vmlinux]            [k] filemap_read
     1.32%     0.01%  iou-wrk-3254     [kernel.vmlinux]            [k] io_worker_handle_work
     1.32%     0.01%  iou-wrk-3232     [kernel.vmlinux]            [k] io_worker_handle_work
     1.30%     0.01%  iou-wrk-3250     [kernel.vmlinux]            [k] io_wqe_worker
     1.30%     0.00%  iou-wrk-3250     [kernel.vmlinux]            [k] ret_from_fork
     1.30%     0.01%  iou-wrk-3230     [kernel.vmlinux]            [k] io_issue_sqe
     1.30%     0.00%  iou-wrk-3230     [kernel.vmlinux]            [k] io_wq_submit_work
     1.30%     0.02%  iou-wrk-3233     [kernel.vmlinux]            [k] io_worker_handle_work
     1.30%     0.01%  iou-wrk-3243     [kernel.vmlinux]            [k] io_wq_submit_work
     1.30%     0.03%  iou-wrk-3268     [kernel.vmlinux]            [k] io_worker_handle_work
     1.29%     0.00%  iou-wrk-3234     [kernel.vmlinux]            [k] io_wqe_worker
     1.29%     0.00%  iou-wrk-3234     [kernel.vmlinux]            [k] ret_from_fork
     1.29%     0.01%  iou-wrk-3243     [kernel.vmlinux]            [k] io_issue_sqe
     1.29%     0.00%  iou-wrk-3230     [kernel.vmlinux]            [k] io_read
     1.28%     0.01%  iou-wrk-3243     [kernel.vmlinux]            [k] io_read
     1.28%     0.01%  iou-wrk-3271     [kernel.vmlinux]            [k] io_wq_submit_work
     1.27%     0.01%  iou-wrk-3271     [kernel.vmlinux]            [k] io_issue_sqe
     1.27%     0.01%  iou-wrk-3271     [kernel.vmlinux]            [k] io_read
     1.26%     0.02%  iou-wrk-3243     [kernel.vmlinux]            [k] filemap_read
     1.26%     0.01%  iou-wrk-3232     [kernel.vmlinux]            [k] io_read
     1.26%     0.00%  iou-wrk-3232     [kernel.vmlinux]            [k] io_issue_sqe
     1.26%     0.00%  iou-wrk-3232     [kernel.vmlinux]            [k] io_wq_submit_work
     1.26%     0.03%  iou-wrk-3256     [kernel.vmlinux]            [k] io_worker_handle_work
     1.26%     0.02%  iou-wrk-3249     [kernel.vmlinux]            [k] filemap_read
     1.26%     1.26%  kworker/59:2-mm  [kernel.vmlinux]            [k] cpumask_next_and
     1.26%     0.00%  kworker/59:2-mm  [kernel.vmlinux]            [k] __sched_text_start
     1.26%     0.00%  kworker/59:2-mm  [kernel.vmlinux]            [k] find_busiest_group
     1.26%     0.00%  kworker/59:2-mm  [kernel.vmlinux]            [k] kthread
     1.26%     0.00%  kworker/59:2-mm  [kernel.vmlinux]            [k] load_balance
     1.26%     0.00%  kworker/59:2-mm  [kernel.vmlinux]            [k] newidle_balance
     1.26%     0.00%  kworker/59:2-mm  [kernel.vmlinux]            [k] pick_next_task_fair
     1.26%     0.00%  kworker/59:2-mm  [kernel.vmlinux]            [k] ret_from_fork
     1.26%     0.00%  kworker/59:2-mm  [kernel.vmlinux]            [k] schedule
     1.26%     0.00%  kworker/59:2-mm  [kernel.vmlinux]            [k] update_sd_lb_stats.constprop.0
     1.26%     0.00%  kworker/59:2-mm  [kernel.vmlinux]            [k] worker_thread
     1.25%     0.04%  iou-wrk-3230     [kernel.vmlinux]            [k] filemap_read
     1.22%     0.00%  iou-wrk-3265     [kernel.vmlinux]            [k] io_worker_handle_work
     1.21%     0.02%  iou-wrk-3231     [kernel.vmlinux]            [k] io_worker_handle_work
     1.21%     0.01%  iou-wrk-3237     [kernel.vmlinux]            [k] io_worker_handle_work
     1.21%     0.07%  iou-wrk-3271     [kernel.vmlinux]            [k] filemap_read
     1.21%     0.01%  iou-wrk-3260     [kernel.vmlinux]            [k] io_issue_sqe
