# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 42K of event 'cycles'
# Event count (approx.): 8473004961970
#
# Children      Self  Command          Shared Object               Symbol                                  
# ........  ........  ...............  ..........................  ........................................
#
     1.73%     0.00%  iou-wrk-3443     [kernel.vmlinux]            [k] ret_from_fork
     1.73%     0.01%  iou-wrk-3447     [kernel.vmlinux]            [k] io_wqe_worker
     1.73%     0.00%  iou-wrk-3447     [kernel.vmlinux]            [k] ret_from_fork
     1.72%     0.01%  iou-wrk-3481     [kernel.vmlinux]            [k] io_wqe_worker
     1.72%     0.00%  iou-wrk-3481     [kernel.vmlinux]            [k] ret_from_fork
     1.72%     0.02%  iou-wrk-3458     [kernel.vmlinux]            [k] io_wqe_worker
     1.72%     0.00%  iou-wrk-3458     [kernel.vmlinux]            [k] ret_from_fork
     1.71%     0.02%  iou-wrk-3457     [kernel.vmlinux]            [k] io_wqe_worker
     1.71%     0.00%  iou-wrk-3457     [kernel.vmlinux]            [k] ret_from_fork
     1.69%     0.01%  iou-wrk-3475     [kernel.vmlinux]            [k] io_wqe_worker
     1.69%     0.00%  iou-wrk-3475     [kernel.vmlinux]            [k] ret_from_fork
     1.69%     0.00%  iou-wrk-3449     [kernel.vmlinux]            [k] io_wqe_worker
     1.69%     0.00%  iou-wrk-3449     [kernel.vmlinux]            [k] ret_from_fork
     1.68%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_inactive_list
     1.66%     0.01%  iou-wrk-3442     [kernel.vmlinux]            [k] io_wqe_worker
     1.66%     0.00%  iou-wrk-3442     [kernel.vmlinux]            [k] ret_from_fork
     1.66%     0.01%  iou-wrk-3452     [kernel.vmlinux]            [k] io_wqe_worker
     1.66%     0.00%  iou-wrk-3452     [kernel.vmlinux]            [k] ret_from_fork
     1.66%     0.00%  iou-wrk-3454     [kernel.vmlinux]            [k] io_wqe_worker
     1.66%     0.00%  iou-wrk-3454     [kernel.vmlinux]            [k] ret_from_fork
     1.66%     0.00%  iou-wrk-3472     [kernel.vmlinux]            [k] io_wqe_worker
     1.66%     0.00%  iou-wrk-3472     [kernel.vmlinux]            [k] ret_from_fork
     1.65%     0.01%  iou-wrk-3471     [kernel.vmlinux]            [k] io_wqe_worker
     1.65%     0.00%  iou-wrk-3471     [kernel.vmlinux]            [k] ret_from_fork
     1.64%     0.01%  iou-wrk-3448     [kernel.vmlinux]            [k] io_wqe_worker
     1.64%     0.00%  iou-wrk-3448     [kernel.vmlinux]            [k] ret_from_fork
     1.60%     0.01%  iou-wrk-3441     [kernel.vmlinux]            [k] io_wqe_worker
     1.60%     0.00%  iou-wrk-3441     [kernel.vmlinux]            [k] ret_from_fork
     1.58%     0.01%  iou-wrk-3462     [kernel.vmlinux]            [k] io_wqe_worker
     1.58%     0.00%  iou-wrk-3462     [kernel.vmlinux]            [k] ret_from_fork
     1.57%     0.02%  iou-wrk-3461     [kernel.vmlinux]            [k] io_wqe_worker
     1.57%     0.00%  iou-wrk-3461     [kernel.vmlinux]            [k] ret_from_fork
     1.54%     0.01%  iou-wrk-3482     [kernel.vmlinux]            [k] io_wqe_worker
     1.54%     0.00%  iou-wrk-3482     [kernel.vmlinux]            [k] ret_from_fork
     1.54%     0.00%  swapper          [kernel.vmlinux]            [k] cpuidle_enter_state
     1.54%     0.00%  swapper          [kernel.vmlinux]            [k] cpuidle_enter
     1.53%     0.00%  iou-wrk-3444     [kernel.vmlinux]            [k] io_wqe_worker
     1.53%     0.00%  iou-wrk-3444     [kernel.vmlinux]            [k] ret_from_fork
     1.51%     0.01%  iou-wrk-3476     [kernel.vmlinux]            [k] io_wqe_worker
     1.51%     0.00%  iou-wrk-3476     [kernel.vmlinux]            [k] ret_from_fork
     1.50%     0.01%  iou-wrk-3467     [kernel.vmlinux]            [k] io_wqe_worker
     1.50%     0.00%  iou-wrk-3467     [kernel.vmlinux]            [k] ret_from_fork
     1.46%     0.02%  iou-wrk-3451     [kernel.vmlinux]            [k] io_worker_handle_work
     1.46%     0.02%  iou-wrk-3479     [kernel.vmlinux]            [k] io_worker_handle_work
     1.44%     0.01%  iou-wrk-3445     [kernel.vmlinux]            [k] io_worker_handle_work
     1.42%     0.00%  iou-wrk-3455     [kernel.vmlinux]            [k] io_wqe_worker
     1.42%     0.00%  iou-wrk-3455     [kernel.vmlinux]            [k] ret_from_fork
     1.39%     0.02%  iou-wrk-3463     [kernel.vmlinux]            [k] io_worker_handle_work
     1.39%     0.02%  iou-wrk-3440     [kernel.vmlinux]            [k] io_worker_handle_work
     1.35%     0.03%  iou-wrk-3453     [kernel.vmlinux]            [k] io_worker_handle_work
     1.35%     0.00%  iou-wrk-3451     [kernel.vmlinux]            [k] io_wq_submit_work
     1.35%     0.01%  iou-wrk-3451     [kernel.vmlinux]            [k] io_read
     1.35%     0.00%  iou-wrk-3451     [kernel.vmlinux]            [k] io_issue_sqe
     1.35%     0.03%  iou-wrk-3465     [kernel.vmlinux]            [k] io_worker_handle_work
     1.34%     0.00%  iou-wrk-3445     [kernel.vmlinux]            [k] io_wq_submit_work
     1.34%     0.01%  iou-wrk-3479     [kernel.vmlinux]            [k] io_issue_sqe
     1.34%     0.00%  iou-wrk-3479     [kernel.vmlinux]            [k] io_wq_submit_work
     1.34%     0.00%  iou-wrk-3445     [kernel.vmlinux]            [k] io_issue_sqe
     1.34%     0.00%  iou-wrk-3445     [kernel.vmlinux]            [k] io_read
     1.33%     0.00%  iou-wrk-3479     [kernel.vmlinux]            [k] io_read
     1.33%     0.03%  iou-wrk-3446     [kernel.vmlinux]            [k] io_worker_handle_work
     1.33%     0.02%  iou-wrk-3460     [kernel.vmlinux]            [k] io_worker_handle_work
     1.32%     0.03%  iou-wrk-3478     [kernel.vmlinux]            [k] io_worker_handle_work
     1.31%     0.02%  iou-wrk-3450     [kernel.vmlinux]            [k] io_worker_handle_work
     1.30%     0.03%  iou-wrk-3451     [kernel.vmlinux]            [k] filemap_read
     1.30%     0.67%  fio              [kernel.vmlinux]            [k] _raw_spin_lock
     1.30%     0.00%  iou-wrk-3440     [kernel.vmlinux]            [k] io_wq_submit_work
     1.30%     0.01%  iou-wrk-3440     [kernel.vmlinux]            [k] io_read
     1.30%     0.00%  iou-wrk-3440     [kernel.vmlinux]            [k] io_issue_sqe
     1.30%     0.02%  iou-wrk-3481     [kernel.vmlinux]            [k] io_worker_handle_work
     1.30%     0.03%  iou-wrk-3469     [kernel.vmlinux]            [k] io_worker_handle_work
     1.29%     0.01%  iou-wrk-3459     [kernel.vmlinux]            [k] io_worker_handle_work
