# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 42K of event 'cycles'
# Event count (approx.): 8473004961970
#
# Children      Self  Command          Shared Object               Symbol                                  
# ........  ........  ...............  ..........................  ........................................
#
     0.21%     0.00%  iou-wrk-3468     [kernel.vmlinux]            [k] __alloc_pages
     0.21%     0.00%  iou-wrk-3478     [kernel.vmlinux]            [k] do_try_to_free_pages
     0.21%     0.00%  iou-wrk-3478     [kernel.vmlinux]            [k] shrink_lruvec
     0.21%     0.00%  iou-wrk-3478     [kernel.vmlinux]            [k] shrink_node
     0.21%     0.00%  iou-wrk-3478     [kernel.vmlinux]            [k] try_to_free_pages
     0.21%     0.07%  iou-wrk-3479     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.21%     0.00%  iou-wrk-3459     [kernel.vmlinux]            [k] add_to_page_cache_lru
     0.21%     0.00%  iou-wrk-3440     [kernel.vmlinux]            [k] submit_bio
     0.21%     0.01%  iou-wrk-3448     [kernel.vmlinux]            [k] copy_page_to_iter
     0.21%     0.01%  iou-wrk-3455     [kernel.vmlinux]            [k] copy_page_to_iter
     0.21%     0.00%  iou-wrk-3440     [kernel.vmlinux]            [k] do_try_to_free_pages
     0.21%     0.00%  iou-wrk-3440     [kernel.vmlinux]            [k] shrink_node
     0.21%     0.00%  iou-wrk-3440     [kernel.vmlinux]            [k] try_to_free_pages
     0.21%     0.21%  iou-wrk-3481     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.21%     0.00%  iou-wrk-3481     [kernel.vmlinux]            [k] copyout
     0.21%     0.00%  iou-wrk-3477     [kernel.vmlinux]            [k] shrink_lruvec
     0.21%     0.00%  iou-wrk-3478     [kernel.vmlinux]            [k] copyout
     0.21%     0.10%  iou-wrk-3469     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.21%     0.01%  iou-wrk-3449     [kernel.vmlinux]            [k] workingset_refault
     0.21%     0.01%  iou-wrk-3476     [kernel.vmlinux]            [k] _raw_spin_lock_irq
     0.21%     0.00%  iou-wrk-3447     [kernel.vmlinux]            [k] try_to_free_pages
     0.21%     0.00%  iou-wrk-3440     [kernel.vmlinux]            [k] __submit_bio
     0.21%     0.00%  iou-wrk-3440     [kernel.vmlinux]            [k] submit_bio_noacct
     0.21%     0.00%  iou-wrk-3482     [kernel.vmlinux]            [k] __alloc_pages_slowpath.constprop.0
     0.21%     0.00%  iou-wrk-3440     [kernel.vmlinux]            [k] shrink_lruvec
     0.21%     0.00%  iou-wrk-3465     [kernel.vmlinux]            [k] __alloc_pages_slowpath.constprop.0
     0.21%     0.00%  iou-wrk-3456     [kernel.vmlinux]            [k] __alloc_pages_slowpath.constprop.0
     0.21%     0.00%  iou-wrk-3470     [kernel.vmlinux]            [k] shrink_lruvec
     0.21%     0.00%  iou-wrk-3461     [kernel.vmlinux]            [k] add_to_page_cache_lru
     0.21%     0.00%  iou-wrk-3471     [kernel.vmlinux]            [k] __alloc_pages
     0.21%     0.20%  iou-wrk-3478     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.21%     0.00%  iou-wrk-3482     [kernel.vmlinux]            [k] _raw_spin_lock_irq
     0.21%     0.00%  iou-wrk-3443     [kernel.vmlinux]            [k] copy_page_to_iter
     0.21%     0.00%  iou-wrk-3451     [kernel.vmlinux]            [k] __alloc_pages_slowpath.constprop.0
     0.21%     0.00%  iou-wrk-3444     [kernel.vmlinux]            [k] do_try_to_free_pages
     0.21%     0.00%  iou-wrk-3444     [kernel.vmlinux]            [k] shrink_lruvec
     0.21%     0.00%  iou-wrk-3444     [kernel.vmlinux]            [k] shrink_node
     0.21%     0.00%  iou-wrk-3444     [kernel.vmlinux]            [k] try_to_free_pages
     0.21%     0.20%  iou-wrk-3466     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.21%     0.00%  iou-wrk-3466     [kernel.vmlinux]            [k] copyout
     0.21%     0.01%  iou-wrk-3446     [kernel.vmlinux]            [k] copy_page_to_iter
     0.21%     0.21%  iou-wrk-3479     [kernel.vmlinux]            [k] copy_mc_fragile
     0.21%     0.00%  iou-wrk-3479     [nd_pmem]                   [k] pmem_do_read
     0.21%     0.00%  iou-wrk-3473     [kernel.vmlinux]            [k] _raw_spin_lock_irq
     0.21%     0.00%  iou-wrk-3459     [kernel.vmlinux]            [k] __alloc_pages
     0.21%     0.00%  iou-wrk-3447     [kernel.vmlinux]            [k] do_try_to_free_pages
     0.21%     0.00%  iou-wrk-3447     [kernel.vmlinux]            [k] shrink_lruvec
     0.21%     0.00%  iou-wrk-3447     [kernel.vmlinux]            [k] shrink_node
     0.21%     0.00%  iou-wrk-3479     [kernel.vmlinux]            [k] add_to_page_cache_lru
     0.21%     0.00%  iou-wrk-3469     [kernel.vmlinux]            [k] __alloc_pages_slowpath.constprop.0
     0.21%     0.00%  iou-wrk-3446     [kernel.vmlinux]            [k] __alloc_pages
     0.21%     0.01%  iou-wrk-3463     [kernel.vmlinux]            [k] copy_page_to_iter
     0.21%     0.00%  iou-wrk-3443     [kernel.vmlinux]            [k] try_to_free_pages
     0.20%     0.20%  fio              [kernel.vmlinux]            [k] __calc_delta
     0.20%     0.20%  iou-wrk-3443     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.20%     0.00%  iou-wrk-3443     [kernel.vmlinux]            [k] copyout
     0.20%     0.00%  iou-wrk-3463     [kernel.vmlinux]            [k] __alloc_pages
     0.20%     0.00%  iou-wrk-3451     [kernel.vmlinux]            [k] do_try_to_free_pages
     0.20%     0.00%  iou-wrk-3451     [kernel.vmlinux]            [k] shrink_node
     0.20%     0.00%  iou-wrk-3451     [kernel.vmlinux]            [k] try_to_free_pages
     0.20%     0.07%  iou-wrk-3453     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.20%     0.20%  iou-wrk-3465     [kernel.vmlinux]            [k] xas_load
     0.20%     0.00%  fio              [kernel.vmlinux]            [k] schedule
     0.20%     0.01%  iou-wrk-3447     [kernel.vmlinux]            [k] copy_page_to_iter
     0.20%     0.00%  iou-wrk-3458     [kernel.vmlinux]            [k] _raw_spin_lock_irq
     0.20%     0.00%  iou-wrk-3449     [kernel.vmlinux]            [k] __alloc_pages_slowpath.constprop.0
     0.20%     0.00%  iou-wrk-3472     [kernel.vmlinux]            [k] workingset_refault
     0.20%     0.00%  iou-wrk-3443     [kernel.vmlinux]            [k] do_try_to_free_pages
     0.20%     0.00%  iou-wrk-3443     [kernel.vmlinux]            [k] shrink_lruvec
     0.20%     0.00%  iou-wrk-3443     [kernel.vmlinux]            [k] shrink_node
     0.20%     0.00%  iou-wrk-3451     [kernel.vmlinux]            [k] shrink_lruvec
     0.20%     0.00%  iou-wrk-3442     [kernel.vmlinux]            [k] __alloc_pages_slowpath.constprop.0
     0.20%     0.00%  iou-wrk-3450     [kernel.vmlinux]            [k] copy_page_to_iter
     0.20%     0.00%  iou-wrk-3457     [kernel.vmlinux]            [k] add_to_page_cache_lru
     0.20%     0.02%  iou-wrk-3468     [kernel.vmlinux]            [k] copy_page_to_iter
     0.20%     0.00%  iou-wrk-3440     [nd_pmem]                   [k] pmem_submit_bio
     0.20%     0.08%  iou-wrk-3463     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.20%     0.00%  iou-wrk-3442     [kernel.vmlinux]            [k] add_to_page_cache_lru
     0.20%     0.00%  iou-wrk-3475     [kernel.vmlinux]            [k] __alloc_pages
     0.20%     0.00%  iou-wrk-3441     [kernel.vmlinux]            [k] do_try_to_free_pages
     0.20%     0.00%  iou-wrk-3441     [kernel.vmlinux]            [k] shrink_node
     0.20%     0.00%  iou-wrk-3441     [kernel.vmlinux]            [k] try_to_free_pages
     0.20%     0.20%  iou-wrk-3455     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.20%     0.00%  iou-wrk-3455     [kernel.vmlinux]            [k] copyout
     0.20%     0.00%  iou-wrk-3471     [kernel.vmlinux]            [k] __alloc_pages_slowpath.constprop.0
     0.20%     0.01%  iou-wrk-3479     [kernel.vmlinux]            [k] copy_page_to_iter
     0.20%     0.07%  iou-wrk-3470     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.20%     0.08%  iou-wrk-3475     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.20%     0.00%  iou-wrk-3461     [kernel.vmlinux]            [k] __alloc_pages
     0.20%     0.07%  iou-wrk-3451     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.20%     0.00%  iou-wrk-3452     [kernel.vmlinux]            [k] _raw_spin_lock_irq
     0.20%     0.00%  iou-wrk-3468     [kernel.vmlinux]            [k] __alloc_pages_slowpath.constprop.0
     0.20%     0.07%  iou-wrk-3452     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.20%     0.00%  iou-wrk-3450     [kernel.vmlinux]            [k] try_to_free_pages
     0.20%     0.19%  fio              [kernel.vmlinux]            [k] io_worker_release
     0.20%     0.20%  iou-wrk-3469     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.20%     0.00%  iou-wrk-3469     [kernel.vmlinux]            [k] copyout
     0.20%     0.00%  iou-wrk-3478     [kernel.vmlinux]            [k] add_to_page_cache_lru
     0.20%     0.00%  iou-wrk-3452     [kernel.vmlinux]            [k] __alloc_pages
     0.20%     0.00%  iou-wrk-3441     [kernel.vmlinux]            [k] shrink_lruvec
     0.20%     0.00%  iou-wrk-3456     [kernel.vmlinux]            [k] do_try_to_free_pages
     0.20%     0.00%  iou-wrk-3456     [kernel.vmlinux]            [k] shrink_node
     0.20%     0.00%  iou-wrk-3456     [kernel.vmlinux]            [k] try_to_free_pages
     0.20%     0.00%  iou-wrk-3465     [kernel.vmlinux]            [k] do_try_to_free_pages
     0.20%     0.00%  iou-wrk-3465     [kernel.vmlinux]            [k] shrink_lruvec
     0.20%     0.00%  iou-wrk-3465     [kernel.vmlinux]            [k] shrink_node
     0.20%     0.00%  iou-wrk-3465     [kernel.vmlinux]            [k] try_to_free_pages
     0.20%     0.00%  iou-wrk-3441     [kernel.vmlinux]            [k] copy_page_to_iter
     0.20%     0.00%  iou-wrk-3475     [kernel.vmlinux]            [k] add_to_page_cache_lru
     0.20%     0.00%  iou-wrk-3473     [kernel.vmlinux]            [k] __alloc_pages
     0.20%     0.09%  iou-wrk-3447     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.20%     0.01%  iou-wrk-3470     [kernel.vmlinux]            [k] copy_page_to_iter
     0.20%     0.01%  iou-wrk-3472     [kernel.vmlinux]            [k] copy_page_to_iter
     0.20%     0.20%  iou-wrk-3450     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.20%     0.00%  iou-wrk-3450     [kernel.vmlinux]            [k] copyout
     0.20%     0.19%  iou-wrk-3446     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.20%     0.00%  iou-wrk-3446     [kernel.vmlinux]            [k] copyout
     0.20%     0.00%  iou-wrk-3450     [kernel.vmlinux]            [k] do_try_to_free_pages
     0.20%     0.00%  iou-wrk-3450     [kernel.vmlinux]            [k] shrink_node
     0.20%     0.01%  iou-wrk-3452     [kernel.vmlinux]            [k] copy_page_to_iter
     0.20%     0.00%  iou-wrk-3481     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.20%     0.00%  iou-wrk-3481     [kernel.vmlinux]            [k] read_pages
     0.20%     0.19%  iou-wrk-3448     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.20%     0.00%  iou-wrk-3448     [kernel.vmlinux]            [k] copyout
     0.20%     0.00%  iou-wrk-3456     [kernel.vmlinux]            [k] shrink_lruvec
     0.20%     0.19%  iou-wrk-3463     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.20%     0.00%  iou-wrk-3463     [kernel.vmlinux]            [k] copyout
     0.20%     0.20%  iou-wrk-3441     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.20%     0.00%  iou-wrk-3441     [kernel.vmlinux]            [k] copyout
     0.20%     0.00%  iou-wrk-3473     [kernel.vmlinux]            [k] __alloc_pages_slowpath.constprop.0
     0.20%     0.00%  iou-wrk-3467     [kernel.vmlinux]            [k] copy_page_to_iter
     0.20%     0.00%  iou-wrk-3463     [kernel.vmlinux]            [k] __alloc_pages_slowpath.constprop.0
     0.20%     0.00%  iou-wrk-3472     [kernel.vmlinux]            [k] __alloc_pages
     0.19%     0.01%  iou-wrk-3461     [kernel.vmlinux]            [k] copy_page_to_iter
     0.19%     0.19%  iou-wrk-3447     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.19%     0.00%  iou-wrk-3447     [kernel.vmlinux]            [k] copyout
     0.19%     0.00%  iou-wrk-3450     [kernel.vmlinux]            [k] shrink_lruvec
     0.19%     0.00%  iou-wrk-3444     [kernel.vmlinux]            [k] add_to_page_cache_lru
     0.19%     0.00%  iou-wrk-3452     [kernel.vmlinux]            [k] __alloc_pages_slowpath.constprop.0
     0.19%     0.00%  iou-wrk-3476     [kernel.vmlinux]            [k] add_to_page_cache_lru
     0.19%     0.06%  iou-wrk-3477     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.19%     0.00%  iou-wrk-3471     [kernel.vmlinux]            [k] read_pages
     0.19%     0.08%  iou-wrk-3448     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.19%     0.00%  iou-wrk-3461     [kernel.vmlinux]            [k] __alloc_pages_slowpath.constprop.0
     0.19%     0.00%  iou-wrk-3456     [kernel.vmlinux]            [k] add_to_page_cache_lru
     0.19%     0.19%  iou-wrk-3479     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.19%     0.00%  iou-wrk-3479     [kernel.vmlinux]            [k] copyout
     0.19%     0.19%  fio              [kernel.vmlinux]            [k] __bitmap_and
     0.19%     0.00%  iou-wrk-3468     [kernel.vmlinux]            [k] try_to_free_pages
     0.19%     0.07%  iou-wrk-3445     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.19%     0.00%  iou-wrk-3468     [kernel.vmlinux]            [k] add_to_page_cache_lru
     0.19%     0.00%  iou-wrk-3475     [kernel.vmlinux]            [k] __alloc_pages_slowpath.constprop.0
     0.19%     0.00%  iou-wrk-3469     [kernel.vmlinux]            [k] do_try_to_free_pages
     0.19%     0.00%  iou-wrk-3469     [kernel.vmlinux]            [k] shrink_lruvec
     0.19%     0.00%  iou-wrk-3469     [kernel.vmlinux]            [k] shrink_node
     0.19%     0.00%  iou-wrk-3469     [kernel.vmlinux]            [k] try_to_free_pages
     0.19%     0.00%  iou-wrk-3445     [kernel.vmlinux]            [k] lru_note_cost
     0.19%     0.00%  iou-wrk-3471     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.19%     0.08%  iou-wrk-3440     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.19%     0.00%  iou-wrk-3457     [kernel.vmlinux]            [k] do_try_to_free_pages
     0.19%     0.00%  iou-wrk-3457     [kernel.vmlinux]            [k] shrink_node
     0.19%     0.00%  iou-wrk-3457     [kernel.vmlinux]            [k] try_to_free_pages
     0.19%     0.19%  iou-wrk-3467     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.19%     0.00%  iou-wrk-3467     [kernel.vmlinux]            [k] copyout
     0.19%     0.00%  iou-wrk-3468     [kernel.vmlinux]            [k] do_try_to_free_pages
     0.19%     0.00%  iou-wrk-3468     [kernel.vmlinux]            [k] shrink_lruvec
     0.19%     0.00%  iou-wrk-3468     [kernel.vmlinux]            [k] shrink_node
     0.19%     0.19%  iou-wrk-3440     [kernel.vmlinux]            [k] copy_mc_fragile
     0.19%     0.00%  iou-wrk-3440     [nd_pmem]                   [k] pmem_do_read
     0.19%     0.00%  iou-wrk-3455     [kernel.vmlinux]            [k] add_to_page_cache_lru
     0.19%     0.01%  iou-wrk-3455     [kernel.vmlinux]            [k] __alloc_pages
     0.19%     0.00%  iou-wrk-3482     [kernel.vmlinux]            [k] do_try_to_free_pages
     0.19%     0.00%  iou-wrk-3482     [kernel.vmlinux]            [k] shrink_lruvec
     0.19%     0.00%  iou-wrk-3482     [kernel.vmlinux]            [k] shrink_node
     0.19%     0.00%  iou-wrk-3482     [kernel.vmlinux]            [k] try_to_free_pages
     0.19%     0.00%  iou-wrk-3449     [kernel.vmlinux]            [k] do_try_to_free_pages
     0.19%     0.00%  iou-wrk-3449     [kernel.vmlinux]            [k] shrink_node
     0.19%     0.00%  iou-wrk-3449     [kernel.vmlinux]            [k] try_to_free_pages
     0.19%     0.19%  iou-wrk-3470     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.19%     0.00%  iou-wrk-3470     [kernel.vmlinux]            [k] copyout
     0.19%     0.00%  iou-wrk-3469     [kernel.vmlinux]            [k] workingset_refault
     0.19%     0.00%  iou-wrk-3440     [kernel.vmlinux]            [k] workingset_refault
     0.19%     0.00%  iou-wrk-3457     [kernel.vmlinux]            [k] shrink_lruvec
     0.19%     0.00%  iou-wrk-3463     [kernel.vmlinux]            [k] do_try_to_free_pages
     0.19%     0.00%  iou-wrk-3463     [kernel.vmlinux]            [k] shrink_lruvec
     0.19%     0.00%  iou-wrk-3463     [kernel.vmlinux]            [k] shrink_node
     0.19%     0.00%  iou-wrk-3463     [kernel.vmlinux]            [k] try_to_free_pages
     0.19%     0.00%  iou-wrk-3459     [kernel.vmlinux]            [k] __alloc_pages_slowpath.constprop.0
     0.19%     0.19%  iou-wrk-3452     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.19%     0.00%  iou-wrk-3452     [kernel.vmlinux]            [k] copyout
     0.19%     0.09%  iou-wrk-3441     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.19%     0.00%  iou-wrk-3448     [kernel.vmlinux]            [k] __alloc_pages
     0.19%     0.00%  iou-wrk-3452     [kernel.vmlinux]            [k] shrink_lruvec
     0.19%     0.00%  iou-wrk-3452     [kernel.vmlinux]            [k] do_try_to_free_pages
     0.19%     0.00%  iou-wrk-3452     [kernel.vmlinux]            [k] shrink_node
     0.19%     0.00%  iou-wrk-3452     [kernel.vmlinux]            [k] try_to_free_pages
     0.19%     0.00%  iou-wrk-3446     [kernel.vmlinux]            [k] __alloc_pages_slowpath.constprop.0
     0.19%     0.00%  iou-wrk-3442     [kernel.vmlinux]            [k] do_try_to_free_pages
     0.19%     0.00%  iou-wrk-3442     [kernel.vmlinux]            [k] shrink_node
     0.19%     0.00%  iou-wrk-3442     [kernel.vmlinux]            [k] try_to_free_pages
     0.19%     0.00%  iou-wrk-3472     [kernel.vmlinux]            [k] __alloc_pages_slowpath.constprop.0
     0.19%     0.19%  iou-wrk-3468     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.19%     0.00%  iou-wrk-3468     [kernel.vmlinux]            [k] copyout
     0.19%     0.00%  iou-wrk-3454     [kernel.vmlinux]            [k] __alloc_pages
     0.19%     0.05%  iou-wrk-3482     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.19%     0.05%  iou-wrk-3468     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.19%     0.00%  iou-wrk-3475     [kernel.vmlinux]            [k] copy_page_to_iter
     0.19%     0.00%  iou-wrk-3446     [kernel.vmlinux]            [k] add_to_page_cache_lru
     0.18%     0.00%  iou-wrk-3447     [kernel.vmlinux]            [k] add_to_page_cache_lru
     0.18%     0.00%  iou-wrk-3449     [kernel.vmlinux]            [k] shrink_lruvec
     0.18%     0.00%  iou-wrk-3476     [kernel.vmlinux]            [k] __alloc_pages
     0.18%     0.00%  iou-wrk-3473     [kernel.vmlinux]            [k] do_try_to_free_pages
     0.18%     0.00%  iou-wrk-3473     [kernel.vmlinux]            [k] shrink_lruvec
     0.18%     0.00%  iou-wrk-3473     [kernel.vmlinux]            [k] shrink_node
     0.18%     0.00%  iou-wrk-3473     [kernel.vmlinux]            [k] try_to_free_pages
     0.18%     0.18%  iou-wrk-3461     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.18%     0.00%  iou-wrk-3461     [kernel.vmlinux]            [k] copyout
     0.18%     0.01%  iou-wrk-3465     [kernel.vmlinux]            [k] workingset_refault
     0.18%     0.18%  fio              [kernel.vmlinux]            [k] resched_curr
     0.18%     0.01%  iou-wrk-3476     [kernel.vmlinux]            [k] copy_page_to_iter
     0.18%     0.06%  iou-wrk-3481     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.18%     0.18%  iou-wrk-3475     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.18%     0.00%  iou-wrk-3475     [kernel.vmlinux]            [k] copyout
     0.18%     0.08%  iou-wrk-3460     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.18%     0.08%  iou-wrk-3472     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.18%     0.00%  iou-wrk-3477     [kernel.vmlinux]            [k] add_to_page_cache_lru
     0.18%     0.00%  iou-wrk-3467     [kernel.vmlinux]            [k] add_to_page_cache_lru
     0.18%     0.00%  iou-wrk-3461     [kernel.vmlinux]            [k] do_try_to_free_pages
     0.18%     0.00%  iou-wrk-3461     [kernel.vmlinux]            [k] shrink_node
     0.18%     0.00%  iou-wrk-3461     [kernel.vmlinux]            [k] try_to_free_pages
     0.18%     0.01%  iou-wrk-3444     [kernel.vmlinux]            [k] copy_page_to_iter
     0.18%     0.00%  iou-wrk-3481     [kernel.vmlinux]            [k] lru_note_cost
     0.18%     0.00%  iou-wrk-3467     [kernel.vmlinux]            [k] _raw_spin_lock_irq
     0.18%     0.01%  iou-wrk-3467     [kernel.vmlinux]            [k] __alloc_pages
     0.18%     0.00%  iou-wrk-3482     [kernel.vmlinux]            [k] copy_page_to_iter
     0.18%     0.00%  iou-wrk-3442     [kernel.vmlinux]            [k] shrink_lruvec
     0.18%     0.00%  iou-wrk-3454     [kernel.vmlinux]            [k] __alloc_pages_slowpath.constprop.0
     0.18%     0.08%  iou-wrk-3462     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.18%     0.00%  swapper          [kernel.vmlinux]            [k] pick_next_task_fair
     0.18%     0.00%  iou-wrk-3448     [kernel.vmlinux]            [k] __alloc_pages_slowpath.constprop.0
     0.18%     0.00%  iou-wrk-3442     [kernel.vmlinux]            [k] copy_page_to_iter
     0.18%     0.00%  iou-wrk-3458     [kernel.vmlinux]            [k] add_to_page_cache_lru
     0.18%     0.00%  iou-wrk-3460     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.18%     0.00%  iou-wrk-3460     [kernel.vmlinux]            [k] read_pages
     0.18%     0.00%  iou-wrk-3461     [kernel.vmlinux]            [k] shrink_lruvec
     0.18%     0.00%  iou-wrk-3471     [kernel.vmlinux]            [k] do_try_to_free_pages
     0.18%     0.00%  iou-wrk-3471     [kernel.vmlinux]            [k] shrink_node
     0.18%     0.00%  iou-wrk-3471     [kernel.vmlinux]            [k] try_to_free_pages
     0.18%     0.06%  iou-wrk-3454     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.18%     0.00%  iou-wrk-3462     [kernel.vmlinux]            [k] __alloc_pages
     0.18%     0.00%  iou-wrk-3450     [kernel.vmlinux]            [k] add_to_page_cache_lru
     0.18%     0.18%  iou-wrk-3472     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.18%     0.00%  iou-wrk-3472     [kernel.vmlinux]            [k] copyout
     0.18%     0.00%  iou-wrk-3459     [kernel.vmlinux]            [k] do_try_to_free_pages
     0.18%     0.00%  iou-wrk-3459     [kernel.vmlinux]            [k] shrink_lruvec
     0.18%     0.00%  iou-wrk-3459     [kernel.vmlinux]            [k] shrink_node
     0.18%     0.00%  iou-wrk-3459     [kernel.vmlinux]            [k] try_to_free_pages
     0.18%     0.06%  iou-wrk-3457     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.18%     0.00%  iou-wrk-3481     [kernel.vmlinux]            [k] __alloc_pages
     0.18%     0.18%  iou-wrk-3442     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.18%     0.00%  iou-wrk-3442     [kernel.vmlinux]            [k] copyout
     0.18%     0.01%  iou-wrk-3453     [kernel.vmlinux]            [k] copy_page_to_iter
     0.18%     0.05%  iou-wrk-3461     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.18%     0.00%  iou-wrk-3476     [kernel.vmlinux]            [k] __alloc_pages_slowpath.constprop.0
     0.18%     0.06%  iou-wrk-3442     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.18%     0.18%  iou-wrk-3465     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.18%     0.00%  iou-wrk-3465     [kernel.vmlinux]            [k] copy_page_to_iter
     0.18%     0.00%  iou-wrk-3465     [kernel.vmlinux]            [k] copyout
     0.17%     0.00%  iou-wrk-3471     [kernel.vmlinux]            [k] submit_bio
     0.17%     0.00%  iou-wrk-3468     [kernel.vmlinux]            [k] read_pages
     0.17%     0.08%  iou-wrk-3443     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.17%     0.00%  iou-wrk-3466     [kernel.vmlinux]            [k] add_to_page_cache_lru
     0.17%     0.01%  iou-wrk-3443     [kernel.vmlinux]            [k] workingset_refault
     0.17%     0.00%  iou-wrk-3471     [kernel.vmlinux]            [k] shrink_lruvec
     0.17%     0.00%  iou-wrk-3476     [kernel.vmlinux]            [k] do_try_to_free_pages
     0.17%     0.00%  iou-wrk-3476     [kernel.vmlinux]            [k] shrink_lruvec
     0.17%     0.00%  iou-wrk-3476     [kernel.vmlinux]            [k] shrink_node
     0.17%     0.00%  iou-wrk-3476     [kernel.vmlinux]            [k] try_to_free_pages
     0.17%     0.06%  iou-wrk-3476     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.17%     0.01%  iou-wrk-3471     [kernel.vmlinux]            [k] copy_page_to_iter
     0.17%     0.17%  iou-wrk-3482     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.17%     0.00%  iou-wrk-3482     [kernel.vmlinux]            [k] copyout
     0.17%     0.01%  iou-wrk-3468     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.17%     0.00%  iou-wrk-3446     [kernel.vmlinux]            [k] do_try_to_free_pages
     0.17%     0.00%  iou-wrk-3446     [kernel.vmlinux]            [k] shrink_node
     0.17%     0.00%  iou-wrk-3446     [kernel.vmlinux]            [k] try_to_free_pages
     0.17%     0.17%  iou-wrk-3476     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.17%     0.00%  iou-wrk-3476     [kernel.vmlinux]            [k] copyout
     0.17%     0.01%  iou-wrk-3453     [kernel.vmlinux]            [k] workingset_refault
     0.17%     0.00%  iou-wrk-3470     [kernel.vmlinux]            [k] read_pages
     0.17%     0.00%  iou-wrk-3441     [kernel.vmlinux]            [k] add_to_page_cache_lru
     0.17%     0.00%  iou-wrk-3471     [kernel.vmlinux]            [k] __submit_bio
     0.17%     0.00%  iou-wrk-3471     [kernel.vmlinux]            [k] submit_bio_noacct
     0.17%     0.01%  iou-wrk-3462     [kernel.vmlinux]            [k] workingset_refault
     0.17%     0.00%  iou-wrk-3481     [kernel.vmlinux]            [k] __alloc_pages_slowpath.constprop.0
     0.17%     0.00%  iou-wrk-3440     [kernel.vmlinux]            [k] lru_note_cost
     0.17%     0.00%  iou-wrk-3481     [kernel.vmlinux]            [k] submit_bio
     0.17%     0.01%  iou-wrk-3448     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.17%     0.00%  iou-wrk-3448     [kernel.vmlinux]            [k] read_pages
     0.17%     0.00%  iou-wrk-3458     [kernel.vmlinux]            [k] __alloc_pages
     0.17%     0.00%  iou-wrk-3475     [kernel.vmlinux]            [k] do_try_to_free_pages
     0.17%     0.00%  iou-wrk-3475     [kernel.vmlinux]            [k] shrink_lruvec
