# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 895K of event 'cycles'
# Event count (approx.): 94767389225873
#
# Children      Self  Command          Shared Object               Symbol                                        
# ........  ........  ...............  ..........................  ..............................................
#
     1.18%     0.01%  iou-wrk-3007     [kernel.vmlinux]            [k] io_worker_handle_work
     1.18%     0.01%  iou-wrk-2984     [kernel.vmlinux]            [k] io_worker_handle_work
     1.18%     0.00%  iou-wrk-2970     [kernel.vmlinux]            [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-2970     [kernel.vmlinux]            [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3005     [kernel.vmlinux]            [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3005     [kernel.vmlinux]            [k] ret_from_fork
     1.18%     0.00%  iou-wrk-2934     [kernel.vmlinux]            [k] io_wq_submit_work
     1.18%     0.00%  iou-wrk-2995     [kernel.vmlinux]            [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-2995     [kernel.vmlinux]            [k] ret_from_fork
     1.18%     0.01%  iou-wrk-2991     [kernel.vmlinux]            [k] io_worker_handle_work
     1.18%     0.00%  iou-wrk-2992     [kernel.vmlinux]            [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-2992     [kernel.vmlinux]            [k] ret_from_fork
     1.18%     0.00%  iou-wrk-2990     [kernel.vmlinux]            [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-2990     [kernel.vmlinux]            [k] ret_from_fork
     1.18%     0.00%  iou-wrk-2988     [kernel.vmlinux]            [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-2988     [kernel.vmlinux]            [k] ret_from_fork
     1.18%     0.00%  iou-wrk-2945     [kernel.vmlinux]            [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-2945     [kernel.vmlinux]            [k] ret_from_fork
     1.18%     0.00%  iou-wrk-2934     [kernel.vmlinux]            [k] io_issue_sqe
     1.18%     0.00%  iou-wrk-3003     [kernel.vmlinux]            [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3003     [kernel.vmlinux]            [k] ret_from_fork
     1.18%     0.00%  iou-wrk-2965     [kernel.vmlinux]            [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-2965     [kernel.vmlinux]            [k] ret_from_fork
     1.18%     0.00%  iou-wrk-2958     [kernel.vmlinux]            [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-2958     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-2996     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-2996     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-2934     [kernel.vmlinux]            [k] io_read
     1.17%     0.00%  iou-wrk-2948     [kernel.vmlinux]            [k] io_worker_handle_work
     1.17%     0.00%  iou-wrk-2963     [kernel.vmlinux]            [k] io_worker_handle_work
     1.17%     0.00%  iou-wrk-2977     [kernel.vmlinux]            [k] io_wqe_worker
