# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11K of event 'cycles'
# Event count (approx.): 2293805531353
#
# Children      Self  Command          Shared Object     Symbol                                 
# ........  ........  ...............  ................  .......................................
#
     1.60%     0.00%  iou-wrk-2949     [kernel.vmlinux]  [k] ret_from_fork
     1.60%     0.00%  iou-wrk-2975     [kernel.vmlinux]  [k] io_wqe_worker
     1.60%     0.00%  iou-wrk-2975     [kernel.vmlinux]  [k] ret_from_fork
     1.59%     0.00%  iou-wrk-2953     [kernel.vmlinux]  [k] io_wqe_worker
     1.59%     0.00%  iou-wrk-2953     [kernel.vmlinux]  [k] ret_from_fork
     1.57%     0.03%  iou-wrk-2944     [kernel.vmlinux]  [k] io_wqe_worker
     1.57%     0.00%  iou-wrk-2944     [kernel.vmlinux]  [k] ret_from_fork
     1.55%     0.00%  iou-wrk-2963     [kernel.vmlinux]  [k] io_wqe_worker
     1.55%     0.00%  iou-wrk-2963     [kernel.vmlinux]  [k] ret_from_fork
     1.55%     0.02%  iou-wrk-2982     [kernel.vmlinux]  [k] io_wqe_worker
     1.55%     0.00%  iou-wrk-2982     [kernel.vmlinux]  [k] ret_from_fork
     1.53%     0.00%  kswapd0          [kernel.vmlinux]  [k] balance_pgdat
     1.53%     0.00%  kswapd0          [kernel.vmlinux]  [k] kswapd
     1.53%     0.00%  kswapd0          [kernel.vmlinux]  [k] kthread
     1.53%     0.00%  kswapd0          [kernel.vmlinux]  [k] ret_from_fork
     1.53%     0.00%  kswapd0          [kernel.vmlinux]  [k] shrink_node
     1.53%     0.09%  kswapd0          [kernel.vmlinux]  [k] evict_pages
     1.53%     0.00%  kswapd0          [kernel.vmlinux]  [k] lru_gen_shrink_lruvec
     1.53%     0.00%  kswapd0          [kernel.vmlinux]  [k] shrink_lruvec
     1.51%     1.51%  fio              [kernel.vmlinux]  [k] available_idle_cpu
     1.49%     0.00%  iou-wrk-2964     [kernel.vmlinux]  [k] io_wqe_worker
     1.49%     0.00%  iou-wrk-2964     [kernel.vmlinux]  [k] ret_from_fork
     1.49%     0.03%  fio              [kernel.vmlinux]  [k] raw_spin_rq_lock_nested.constprop.0
     1.45%     0.02%  iou-wrk-2979     [kernel.vmlinux]  [k] io_wqe_worker
     1.45%     0.00%  iou-wrk-2979     [kernel.vmlinux]  [k] ret_from_fork
     1.45%     0.03%  iou-wrk-2951     [kernel.vmlinux]  [k] io_wqe_worker
     1.45%     0.00%  iou-wrk-2951     [kernel.vmlinux]  [k] ret_from_fork
     1.44%     0.00%  iou-wrk-2978     [kernel.vmlinux]  [k] io_wqe_worker
     1.44%     0.00%  iou-wrk-2978     [kernel.vmlinux]  [k] ret_from_fork
     1.44%     0.02%  iou-wrk-2971     [kernel.vmlinux]  [k] io_wqe_worker
     1.44%     0.00%  iou-wrk-2971     [kernel.vmlinux]  [k] ret_from_fork
     1.39%     0.01%  iou-wrk-2957     [kernel.vmlinux]  [k] io_wqe_worker
     1.39%     0.00%  iou-wrk-2957     [kernel.vmlinux]  [k] ret_from_fork
     1.37%     0.00%  iou-wrk-2966     [kernel.vmlinux]  [k] io_wqe_worker
     1.37%     0.00%  iou-wrk-2966     [kernel.vmlinux]  [k] ret_from_fork
     1.36%     0.02%  iou-wrk-2969     [kernel.vmlinux]  [k] io_wqe_worker
     1.36%     0.00%  iou-wrk-2969     [kernel.vmlinux]  [k] ret_from_fork
     1.36%     0.06%  kswapd0          [kernel.vmlinux]  [k] shrink_page_list
     1.35%     0.00%  iou-wrk-2956     [kernel.vmlinux]  [k] io_wqe_worker
     1.35%     0.00%  iou-wrk-2956     [kernel.vmlinux]  [k] ret_from_fork
     1.35%     0.01%  iou-wrk-2967     [kernel.vmlinux]  [k] io_worker_handle_work
     1.34%     0.03%  iou-wrk-2972     [kernel.vmlinux]  [k] io_wqe_worker
     1.34%     0.00%  iou-wrk-2972     [kernel.vmlinux]  [k] ret_from_fork
     1.32%     0.04%  iou-wrk-2960     [kernel.vmlinux]  [k] io_worker_handle_work
     1.31%     0.03%  iou-wrk-2961     [kernel.vmlinux]  [k] io_worker_handle_work
     1.28%     0.02%  iou-wrk-2952     [kernel.vmlinux]  [k] io_wqe_worker
     1.28%     0.00%  iou-wrk-2952     [kernel.vmlinux]  [k] ret_from_fork
     1.24%     0.03%  iou-wrk-2947     [kernel.vmlinux]  [k] io_worker_handle_work
     1.21%     0.01%  iou-wrk-2959     [kernel.vmlinux]  [k] io_worker_handle_work
     1.21%     0.01%  iou-wrk-2967     [kernel.vmlinux]  [k] io_wq_submit_work
     1.20%     0.03%  iou-wrk-2973     [kernel.vmlinux]  [k] io_worker_handle_work
     1.20%     0.00%  iou-wrk-2962     [kernel.vmlinux]  [k] io_wqe_worker
     1.20%     0.00%  iou-wrk-2962     [kernel.vmlinux]  [k] ret_from_fork
     1.20%     0.00%  iou-wrk-2967     [kernel.vmlinux]  [k] io_issue_sqe
     1.20%     0.00%  iou-wrk-2967     [kernel.vmlinux]  [k] io_read
     1.18%     0.06%  iou-wrk-2977     [kernel.vmlinux]  [k] io_worker_handle_work
     1.17%     1.17%  fio              [kernel.vmlinux]  [k] native_queued_spin_lock_slowpath
     1.17%     0.04%  iou-wrk-2954     [kernel.vmlinux]  [k] io_worker_handle_work
     1.15%     0.05%  iou-wrk-2967     [kernel.vmlinux]  [k] filemap_read
     1.15%     0.51%  fio              [kernel.vmlinux]  [k] update_curr
     1.15%     0.03%  iou-wrk-2974     [kernel.vmlinux]  [k] io_worker_handle_work
     1.14%     0.01%  iou-wrk-2960     [kernel.vmlinux]  [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-2960     [kernel.vmlinux]  [k] io_wq_submit_work
     1.14%     0.04%  fio              [kernel.vmlinux]  [k] ttwu_do_wakeup
     1.14%     0.00%  iou-wrk-2961     [kernel.vmlinux]  [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-2961     [kernel.vmlinux]  [k] io_read
     1.14%     0.00%  iou-wrk-2961     [kernel.vmlinux]  [k] io_wq_submit_work
     1.13%     0.02%  iou-wrk-2960     [kernel.vmlinux]  [k] io_read
     1.13%     0.03%  iou-wrk-2965     [kernel.vmlinux]  [k] io_worker_handle_work
     1.10%     0.08%  fio              [kernel.vmlinux]  [k] check_preempt_curr
     1.09%     0.05%  iou-wrk-2961     [kernel.vmlinux]  [k] filemap_read
     1.09%     0.03%  iou-wrk-2950     [kernel.vmlinux]  [k] io_wqe_worker
     1.09%     0.00%  iou-wrk-2950     [kernel.vmlinux]  [k] ret_from_fork
     1.09%     0.01%  iou-wrk-2947     [kernel.vmlinux]  [k] io_wq_submit_work
     1.08%     0.04%  iou-wrk-2944     [kernel.vmlinux]  [k] io_worker_handle_work
     1.08%     0.02%  iou-wrk-2947     [kernel.vmlinux]  [k] io_issue_sqe
     1.08%     0.02%  iou-wrk-2958     [kernel.vmlinux]  [k] io_wqe_worker
     1.08%     0.00%  iou-wrk-2958     [kernel.vmlinux]  [k] ret_from_fork
     1.07%     0.01%  iou-wrk-2973     [kernel.vmlinux]  [k] io_issue_sqe
     1.07%     0.00%  iou-wrk-2973     [kernel.vmlinux]  [k] io_wq_submit_work
     1.06%     0.03%  iou-wrk-2955     [kernel.vmlinux]  [k] io_worker_handle_work
     1.06%     0.00%  iou-wrk-2947     [kernel.vmlinux]  [k] io_read
     1.06%     0.01%  iou-wrk-2973     [kernel.vmlinux]  [k] io_read
     1.05%     0.02%  iou-wrk-2975     [kernel.vmlinux]  [k] io_worker_handle_work
     1.04%     0.03%  iou-wrk-2976     [kernel.vmlinux]  [k] io_worker_handle_work
     1.03%     0.04%  iou-wrk-2963     [kernel.vmlinux]  [k] io_worker_handle_work
     1.03%     0.01%  iou-wrk-2981     [kernel.vmlinux]  [k] io_worker_handle_work
     1.03%     0.04%  iou-wrk-2945     [kernel.vmlinux]  [k] io_worker_handle_work
     1.03%     0.07%  iou-wrk-2960     [kernel.vmlinux]  [k] filemap_read
     1.03%     0.05%  iou-wrk-2947     [kernel.vmlinux]  [k] filemap_read
     1.01%     0.02%  iou-wrk-2959     [kernel.vmlinux]  [k] io_read
     1.01%     0.00%  iou-wrk-2959     [kernel.vmlinux]  [k] io_issue_sqe
     1.01%     0.00%  iou-wrk-2959     [kernel.vmlinux]  [k] io_wq_submit_work
     1.01%     0.06%  swapper          [kernel.vmlinux]  [k] __schedule
     1.01%     0.00%  swapper          [kernel.vmlinux]  [k] schedule_idle
     1.01%     0.02%  iou-wrk-2977     [kernel.vmlinux]  [k] io_issue_sqe
     1.01%     0.00%  iou-wrk-2977     [kernel.vmlinux]  [k] io_wq_submit_work
     0.99%     0.02%  iou-wrk-2979     [kernel.vmlinux]  [k] io_worker_handle_work
     0.99%     0.00%  iou-wrk-2977     [kernel.vmlinux]  [k] io_read
     0.98%     0.02%  iou-wrk-2974     [kernel.vmlinux]  [k] io_issue_sqe
     0.98%     0.00%  iou-wrk-2974     [kernel.vmlinux]  [k] io_wq_submit_work
     0.98%     0.04%  iou-wrk-2973     [kernel.vmlinux]  [k] filemap_read
     0.98%     0.31%  fio              [kernel.vmlinux]  [k] check_preempt_wakeup
     0.98%     0.02%  iou-wrk-2964     [kernel.vmlinux]  [k] io_worker_handle_work
     0.98%     0.01%  iou-wrk-2954     [kernel.vmlinux]  [k] io_read
     0.98%     0.00%  iou-wrk-2954     [kernel.vmlinux]  [k] io_issue_sqe
     0.98%     0.00%  iou-wrk-2954     [kernel.vmlinux]  [k] io_wq_submit_work
     0.97%     0.01%  iou-wrk-2965     [kernel.vmlinux]  [k] io_issue_sqe
     0.97%     0.00%  iou-wrk-2965     [kernel.vmlinux]  [k] io_wq_submit_work
     0.97%     0.03%  iou-wrk-2983     [kernel.vmlinux]  [k] io_worker_handle_work
     0.97%     0.01%  iou-wrk-2965     [kernel.vmlinux]  [k] io_read
     0.96%     0.01%  iou-wrk-2974     [kernel.vmlinux]  [k] io_read
     0.95%     0.01%  kswapd0          [kernel.vmlinux]  [k] __remove_mapping
     0.94%     0.01%  iou-wrk-2975     [kernel.vmlinux]  [k] io_wq_submit_work
     0.94%     0.05%  iou-wrk-2955     [kernel.vmlinux]  [k] filemap_read
     0.94%     0.00%  iou-wrk-2955     [kernel.vmlinux]  [k] io_issue_sqe
     0.94%     0.00%  iou-wrk-2955     [kernel.vmlinux]  [k] io_read
     0.94%     0.00%  iou-wrk-2955     [kernel.vmlinux]  [k] io_wq_submit_work
     0.93%     0.02%  iou-wrk-2975     [kernel.vmlinux]  [k] io_issue_sqe
     0.93%     0.02%  iou-wrk-2976     [kernel.vmlinux]  [k] io_wq_submit_work
