# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11K of event 'cycles'
# Event count (approx.): 2379524085286
#
# Children      Self  Command          Shared Object     Symbol                                         
# ........  ........  ...............  ................  ...............................................
#
     1.53%     0.01%  iou-wrk-2966     [kernel.vmlinux]  [k] io_wqe_worker
     1.53%     0.00%  iou-wrk-2966     [kernel.vmlinux]  [k] ret_from_fork
     1.51%     0.01%  iou-wrk-2982     [kernel.vmlinux]  [k] io_wqe_worker
     1.51%     0.00%  iou-wrk-2982     [kernel.vmlinux]  [k] ret_from_fork
     1.49%     1.26%  fio              [kernel.vmlinux]  [k] available_idle_cpu
     1.48%     0.00%  iou-wrk-2984     [kernel.vmlinux]  [k] io_wqe_worker
     1.48%     0.00%  iou-wrk-2984     [kernel.vmlinux]  [k] ret_from_fork
     1.45%     0.01%  iou-wrk-2968     [kernel.vmlinux]  [k] io_wqe_worker
     1.45%     0.00%  iou-wrk-2968     [kernel.vmlinux]  [k] ret_from_fork
     1.41%     0.01%  iou-wrk-2959     [kernel.vmlinux]  [k] io_wqe_worker
     1.41%     0.00%  iou-wrk-2959     [kernel.vmlinux]  [k] ret_from_fork
     1.41%     0.03%  iou-wrk-2953     [kernel.vmlinux]  [k] io_wqe_worker
     1.41%     0.00%  iou-wrk-2953     [kernel.vmlinux]  [k] ret_from_fork
     1.40%     1.40%  fio              [kernel.vmlinux]  [k] native_queued_spin_lock_slowpath
     1.36%     0.03%  iou-wrk-2954     [kernel.vmlinux]  [k] io_worker_handle_work
     1.35%     0.01%  iou-wrk-2974     [kernel.vmlinux]  [k] io_wqe_worker
     1.35%     0.00%  iou-wrk-2974     [kernel.vmlinux]  [k] ret_from_fork
     1.32%     0.02%  iou-wrk-2957     [kernel.vmlinux]  [k] io_worker_handle_work
     1.32%     0.01%  iou-wrk-2964     [kernel.vmlinux]  [k] io_worker_handle_work
     1.30%     0.02%  swapper          [kernel.vmlinux]  [k] schedule_idle
     1.30%     0.72%  fio              [kernel.vmlinux]  [k] update_curr
     1.29%     0.10%  swapper          [kernel.vmlinux]  [k] __schedule
     1.27%     0.01%  iou-wrk-2969     [kernel.vmlinux]  [k] io_wqe_worker
     1.27%     0.00%  iou-wrk-2969     [kernel.vmlinux]  [k] ret_from_fork
     1.27%     0.02%  iou-wrk-2981     [kernel.vmlinux]  [k] io_worker_handle_work
     1.25%     0.08%  kswapd0          [kernel.vmlinux]  [k] evict_pages
     1.25%     0.00%  kswapd0          [kernel.vmlinux]  [k] balance_pgdat
     1.25%     0.00%  kswapd0          [kernel.vmlinux]  [k] kswapd
     1.25%     0.00%  kswapd0          [kernel.vmlinux]  [k] kthread
     1.25%     0.00%  kswapd0          [kernel.vmlinux]  [k] lru_gen_shrink_lruvec
     1.25%     0.00%  kswapd0          [kernel.vmlinux]  [k] ret_from_fork
     1.25%     0.00%  kswapd0          [kernel.vmlinux]  [k] shrink_lruvec
     1.25%     0.00%  kswapd0          [kernel.vmlinux]  [k] shrink_node
     1.21%     0.02%  iou-wrk-2970     [kernel.vmlinux]  [k] io_worker_handle_work
     1.20%     0.02%  iou-wrk-2971     [kernel.vmlinux]  [k] io_wqe_worker
     1.20%     0.00%  iou-wrk-2971     [kernel.vmlinux]  [k] ret_from_fork
     1.20%     0.01%  iou-wrk-2964     [kernel.vmlinux]  [k] io_wq_submit_work
     1.20%     0.03%  iou-wrk-2964     [kernel.vmlinux]  [k] io_issue_sqe
     1.19%     0.01%  iou-wrk-2961     [kernel.vmlinux]  [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-2961     [kernel.vmlinux]  [k] ret_from_fork
     1.18%     0.03%  iou-wrk-2951     [kernel.vmlinux]  [k] io_worker_handle_work
     1.18%     0.05%  iou-wrk-2979     [kernel.vmlinux]  [k] io_worker_handle_work
     1.17%     0.01%  fio              [kernel.vmlinux]  [k] ttwu_do_wakeup
     1.17%     0.01%  iou-wrk-2965     [kernel.vmlinux]  [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-2965     [kernel.vmlinux]  [k] ret_from_fork
     1.17%     0.01%  iou-wrk-2964     [kernel.vmlinux]  [k] io_read
     1.16%     0.11%  fio              [kernel.vmlinux]  [k] check_preempt_curr
     1.16%     0.01%  iou-wrk-2963     [kernel.vmlinux]  [k] io_worker_handle_work
     1.15%     0.02%  iou-wrk-2975     [kernel.vmlinux]  [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-2975     [kernel.vmlinux]  [k] ret_from_fork
     1.15%     0.01%  iou-wrk-2957     [kernel.vmlinux]  [k] io_wq_submit_work
     1.14%     0.01%  iou-wrk-2973     [kernel.vmlinux]  [k] io_worker_handle_work
     1.14%     0.02%  iou-wrk-2957     [kernel.vmlinux]  [k] io_issue_sqe
     1.13%     0.07%  kswapd0          [kernel.vmlinux]  [k] shrink_page_list
     1.13%     0.02%  iou-wrk-2986     [kernel.vmlinux]  [k] io_wqe_worker
     1.13%     0.00%  iou-wrk-2986     [kernel.vmlinux]  [k] ret_from_fork
     1.12%     0.00%  iou-wrk-2957     [kernel.vmlinux]  [k] io_read
     1.10%     0.02%  iou-wrk-2985     [kernel.vmlinux]  [k] io_worker_handle_work
     1.10%     0.01%  iou-wrk-2954     [kernel.vmlinux]  [k] io_issue_sqe
     1.10%     0.00%  iou-wrk-2954     [kernel.vmlinux]  [k] io_wq_submit_work
     1.09%     0.01%  iou-wrk-2954     [kernel.vmlinux]  [k] io_read
