# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11K of event 'cycles'
# Event count (approx.): 2379524085286
#
# Children      Self  Command          Shared Object     Symbol                                         
# ........  ........  ...............  ................  ...............................................
#
     0.12%     0.00%  iou-wrk-2977     [kernel.vmlinux]  [k] pmem_do_read
     0.12%     0.00%  iou-wrk-2977     [kernel.vmlinux]  [k] pmem_submit_bio
     0.12%     0.11%  iou-wrk-2952     [kernel.vmlinux]  [k] xas_load
     0.12%     0.03%  iou-wrk-2971     [kernel.vmlinux]  [k] pick_next_task_fair
     0.12%     0.00%  iou-wrk-2960     [kernel.vmlinux]  [k] ext4_mpage_readpages
     0.12%     0.04%  iou-wrk-2976     [kernel.vmlinux]  [k] pick_next_task_fair
     0.12%     0.10%  iou-wrk-2978     [kernel.vmlinux]  [k] xas_load
     0.12%     0.02%  iou-wrk-2956     [kernel.vmlinux]  [k] copy_page_to_iter
     0.12%     0.04%  iou-wrk-2965     [kernel.vmlinux]  [k] _raw_spin_lock
     0.12%     0.12%  fio              [kernel.vmlinux]  [k] set_next_buddy
     0.12%     0.00%  iou-wrk-2969     [kernel.vmlinux]  [k] __submit_bio
     0.12%     0.00%  iou-wrk-2969     [kernel.vmlinux]  [k] submit_bio
     0.12%     0.00%  iou-wrk-2969     [kernel.vmlinux]  [k] submit_bio_noacct
     0.12%     0.02%  iou-wrk-2985     [kernel.vmlinux]  [k] psi_task_switch
     0.12%     0.01%  iou-wrk-2976     [kernel.vmlinux]  [k] ext4_mpage_readpages
     0.12%     0.00%  iou-wrk-2976     [kernel.vmlinux]  [k] read_pages
     0.12%     0.00%  iou-wrk-2973     [kernel.vmlinux]  [k] submit_bio
     0.12%     0.02%  iou-wrk-2976     [kernel.vmlinux]  [k] dequeue_task_fair
     0.12%     0.05%  iou-wrk-2978     [kernel.vmlinux]  [k] _raw_spin_lock
     0.12%     0.11%  iou-wrk-2948     [kernel.vmlinux]  [k] xas_load
     0.12%     0.04%  iou-wrk-2947     [kernel.vmlinux]  [k] _raw_spin_lock
     0.12%     0.00%  iou-wrk-2957     [kernel.vmlinux]  [k] ext4_mpage_readpages
     0.12%     0.02%  iou-wrk-2955     [kernel.vmlinux]  [k] dequeue_task_fair
     0.12%     0.04%  iou-wrk-2986     [kernel.vmlinux]  [k] _raw_spin_lock
     0.12%     0.06%  iou-wrk-2968     [kernel.vmlinux]  [k] _raw_spin_lock
     0.11%     0.00%  iou-wrk-2951     [kernel.vmlinux]  [k] ext4_mpage_readpages
     0.11%     0.00%  iou-wrk-2951     [kernel.vmlinux]  [k] read_pages
     0.11%     0.00%  iou-wrk-2975     [kernel.vmlinux]  [k] submit_bio
     0.11%     0.01%  iou-wrk-2962     [kernel.vmlinux]  [k] ext4_mpage_readpages
     0.11%     0.11%  iou-wrk-2970     [kernel.vmlinux]  [k] xas_load
     0.11%     0.01%  iou-wrk-2950     [kernel.vmlinux]  [k] read_pages
     0.11%     0.00%  iou-wrk-2955     [kernel.vmlinux]  [k] __submit_bio
     0.11%     0.00%  iou-wrk-2955     [kernel.vmlinux]  [k] submit_bio_noacct
     0.11%     0.11%  iou-wrk-2977     [kernel.vmlinux]  [k] native_queued_spin_lock_slowpath
     0.11%     0.02%  iou-wrk-2960     [kernel.vmlinux]  [k] pick_next_task_fair
     0.11%     0.11%  iou-wrk-2974     [kernel.vmlinux]  [k] copy_user_enhanced_fast_string
     0.11%     0.00%  iou-wrk-2974     [kernel.vmlinux]  [k] copy_page_to_iter
     0.11%     0.00%  iou-wrk-2974     [kernel.vmlinux]  [k] copyout
     0.11%     0.10%  iou-wrk-2959     [kernel.vmlinux]  [k] xas_load
     0.11%     0.11%  iou-wrk-2967     [kernel.vmlinux]  [k] copy_mc_fragile
     0.11%     0.00%  iou-wrk-2967     [kernel.vmlinux]  [k] pmem_do_read
     0.11%     0.11%  iou-wrk-2961     [kernel.vmlinux]  [k] copy_user_enhanced_fast_string
     0.11%     0.00%  iou-wrk-2961     [kernel.vmlinux]  [k] copy_page_to_iter
     0.11%     0.00%  iou-wrk-2961     [kernel.vmlinux]  [k] copyout
     0.11%     0.02%  iou-wrk-2972     [kernel.vmlinux]  [k] psi_task_switch
     0.11%     0.11%  iou-wrk-2958     [kernel.vmlinux]  [k] copy_mc_fragile
     0.11%     0.00%  iou-wrk-2958     [kernel.vmlinux]  [k] pmem_do_read
     0.11%     0.02%  iou-wrk-2981     [kernel.vmlinux]  [k] pick_next_task_fair
     0.11%     0.03%  iou-wrk-2962     [kernel.vmlinux]  [k] filemap_get_read_batch
     0.11%     0.01%  iou-wrk-2967     [kernel.vmlinux]  [k] dequeue_task_fair
     0.11%     0.01%  iou-wrk-2966     [kernel.vmlinux]  [k] read_pages
     0.11%     0.01%  iou-wrk-2985     [kernel.vmlinux]  [k] submit_bio
     0.11%     0.11%  iou-wrk-2969     [kernel.vmlinux]  [k] copy_mc_fragile
     0.11%     0.00%  iou-wrk-2969     [kernel.vmlinux]  [k] pmem_do_read
     0.11%     0.00%  iou-wrk-2969     [kernel.vmlinux]  [k] pmem_submit_bio
     0.11%     0.01%  iou-wrk-2951     [kernel.vmlinux]  [k] dequeue_task_fair
     0.11%     0.00%  iou-wrk-2973     [kernel.vmlinux]  [k] __submit_bio
     0.11%     0.00%  iou-wrk-2973     [kernel.vmlinux]  [k] pmem_submit_bio
     0.11%     0.00%  iou-wrk-2973     [kernel.vmlinux]  [k] submit_bio_noacct
     0.11%     0.00%  iou-wrk-2961     [kernel.vmlinux]  [k] submit_bio
     0.11%     0.02%  iou-wrk-2954     [kernel.vmlinux]  [k] psi_task_switch
     0.11%     0.00%  fio              [kernel.vmlinux]  [k] __sysvec_apic_timer_interrupt
     0.11%     0.00%  fio              [kernel.vmlinux]  [k] hrtimer_interrupt
     0.11%     0.11%  iou-wrk-2969     [kernel.vmlinux]  [k] native_queued_spin_lock_slowpath
     0.11%     0.06%  iou-wrk-2971     [kernel.vmlinux]  [k] _raw_spin_lock
     0.11%     0.00%  iou-wrk-2971     [kernel.vmlinux]  [k] ext4_mpage_readpages
     0.11%     0.00%  iou-wrk-2971     [kernel.vmlinux]  [k] read_pages
     0.11%     0.00%  iou-wrk-2947     [kernel.vmlinux]  [k] submit_bio
     0.10%     0.01%  iou-wrk-2955     [kernel.vmlinux]  [k] pmem_do_read
     0.10%     0.00%  iou-wrk-2955     [kernel.vmlinux]  [k] pmem_submit_bio
     0.10%     0.01%  iou-wrk-2950     [kernel.vmlinux]  [k] ext4_mpage_readpages
     0.10%     0.10%  iou-wrk-2978     [kernel.vmlinux]  [k] copy_user_enhanced_fast_string
     0.10%     0.00%  iou-wrk-2978     [kernel.vmlinux]  [k] copy_page_to_iter
     0.10%     0.00%  iou-wrk-2978     [kernel.vmlinux]  [k] copyout
     0.10%     0.02%  iou-wrk-2955     [kernel.vmlinux]  [k] psi_task_switch
     0.10%     0.04%  iou-wrk-2967     [kernel.vmlinux]  [k] pick_next_task_fair
     0.10%     0.10%  iou-wrk-2967     [kernel.vmlinux]  [k] psi_group_change
     0.10%     0.00%  iou-wrk-2972     [kernel.vmlinux]  [k] ext4_mpage_readpages
     0.10%     0.01%  iou-wrk-2961     [kernel.vmlinux]  [k] pick_next_task_fair
     0.10%     0.10%  fio              [kernel.vmlinux]  [k] kmalloc_slab
     0.10%     0.00%  iou-wrk-2978     [kernel.vmlinux]  [k] pick_next_task_fair
     0.10%     0.00%  iou-wrk-2960     [kernel.vmlinux]  [k] submit_bio
     0.10%     0.00%  iou-wrk-2978     [kernel.vmlinux]  [k] submit_bio
     0.10%     0.01%  iou-wrk-2965     [kernel.vmlinux]  [k] dequeue_task_fair
     0.10%     0.02%  iou-wrk-2981     [kernel.vmlinux]  [k] dequeue_task_fair
     0.10%     0.01%  iou-wrk-2966     [kernel.vmlinux]  [k] ext4_mpage_readpages
     0.10%     0.02%  iou-wrk-2980     [kernel.vmlinux]  [k] dequeue_task_fair
     0.10%     0.00%  iou-wrk-2981     [kernel.vmlinux]  [k] __submit_bio
     0.10%     0.00%  iou-wrk-2981     [kernel.vmlinux]  [k] submit_bio_noacct
     0.10%     0.10%  iou-wrk-2973     [kernel.vmlinux]  [k] copy_mc_fragile
     0.10%     0.00%  iou-wrk-2973     [kernel.vmlinux]  [k] pmem_do_read
     0.10%     0.03%  iou-wrk-2956     [kernel.vmlinux]  [k] filemap_get_read_batch
     0.10%     0.03%  iou-wrk-2984     [kernel.vmlinux]  [k] pick_next_task_fair
     0.10%     0.10%  iou-wrk-2956     [kernel.vmlinux]  [k] copy_user_enhanced_fast_string
     0.10%     0.00%  iou-wrk-2956     [kernel.vmlinux]  [k] copyout
     0.10%     0.01%  iou-wrk-2961     [kernel.vmlinux]  [k] __submit_bio
     0.10%     0.00%  iou-wrk-2961     [kernel.vmlinux]  [k] submit_bio_noacct
     0.10%     0.10%  iou-wrk-2955     [kernel.vmlinux]  [k] native_queued_spin_lock_slowpath
     0.10%     0.01%  fio              [kernel.vmlinux]  [k] __hrtimer_run_queues
     0.10%     0.10%  fio              [kernel.vmlinux]  [k] import_single_range
     0.10%     0.10%  iou-wrk-2966     [kernel.vmlinux]  [k] native_queued_spin_lock_slowpath
     0.10%     0.07%  fio              [kernel.vmlinux]  [k] ttwu_queue_wakelist
     0.10%     0.00%  iou-wrk-2975     [kernel.vmlinux]  [k] __submit_bio
     0.10%     0.00%  iou-wrk-2975     [kernel.vmlinux]  [k] submit_bio_noacct
     0.10%     0.01%  iou-wrk-2949     [kernel.vmlinux]  [k] pick_next_task_fair
     0.10%     0.00%  iou-wrk-2951     [kernel.vmlinux]  [k] submit_bio
     0.10%     0.10%  iou-wrk-2955     [kernel.vmlinux]  [k] copy_mc_fragile
     0.10%     0.00%  iou-wrk-2950     [kernel.vmlinux]  [k] submit_bio
     0.10%     0.08%  iou-wrk-2971     [kernel.vmlinux]  [k] xas_load
     0.10%     0.02%  iou-wrk-2954     [kernel.vmlinux]  [k] pick_next_task_fair
     0.10%     0.10%  iou-wrk-2980     [kernel.vmlinux]  [k] psi_group_change
     0.10%     0.03%  iou-wrk-2957     [kernel.vmlinux]  [k] pick_next_task_fair
     0.10%     0.03%  iou-wrk-2979     [kernel.vmlinux]  [k] pick_next_task_fair
     0.10%     0.00%  iou-wrk-2964     [kernel.vmlinux]  [k] psi_task_switch
     0.10%     0.01%  iou-wrk-2975     [kernel.vmlinux]  [k] pick_next_task_fair
     0.10%     0.01%  iou-wrk-2950     [kernel.vmlinux]  [k] psi_task_switch
     0.10%     0.00%  iou-wrk-2984     [kernel.vmlinux]  [k] submit_bio
     0.09%     0.00%  iou-wrk-2960     [kernel.vmlinux]  [k] __submit_bio
     0.09%     0.00%  iou-wrk-2960     [kernel.vmlinux]  [k] pmem_submit_bio
     0.09%     0.00%  iou-wrk-2960     [kernel.vmlinux]  [k] submit_bio_noacct
     0.09%     0.02%  iou-wrk-2965     [kernel.vmlinux]  [k] pick_next_task_fair
     0.09%     0.00%  iou-wrk-2959     [kernel.vmlinux]  [k] psi_task_switch
     0.09%     0.09%  iou-wrk-2947     [kernel.vmlinux]  [k] native_queued_spin_lock_slowpath
     0.09%     0.00%  iou-wrk-2966     [kernel.vmlinux]  [k] submit_bio
     0.09%     0.00%  iou-wrk-2981     [kernel.vmlinux]  [k] pmem_submit_bio
     0.09%     0.00%  iou-wrk-2978     [kernel.vmlinux]  [k] __submit_bio
     0.09%     0.00%  iou-wrk-2978     [kernel.vmlinux]  [k] submit_bio_noacct
     0.09%     0.09%  iou-wrk-2985     [kernel.vmlinux]  [k] psi_group_change
     0.09%     0.01%  iou-wrk-2961     [kernel.vmlinux]  [k] pmem_submit_bio
     0.09%     0.00%  iou-wrk-2961     [kernel.vmlinux]  [k] pmem_do_read
     0.09%     0.00%  iou-wrk-2974     [kernel.vmlinux]  [k] pick_next_task_fair
     0.09%     0.00%  iou-wrk-2952     [kernel.vmlinux]  [k] ext4_mpage_readpages
     0.09%     0.00%  iou-wrk-2952     [kernel.vmlinux]  [k] read_pages
     0.09%     0.00%  iou-wrk-2976     [kernel.vmlinux]  [k] submit_bio
     0.09%     0.00%  fio              [kernel.vmlinux]  [k] tick_sched_timer
     0.09%     0.09%  kswapd0          [kernel.vmlinux]  [k] xas_clear_mark
     0.09%     0.00%  kswapd0          [kernel.vmlinux]  [k] xas_init_marks
     0.09%     0.00%  fio              [kernel.vmlinux]  [k] schedule
     0.09%     0.02%  iou-wrk-2969     [kernel.vmlinux]  [k] dequeue_task_fair
     0.09%     0.01%  iou-wrk-2957     [kernel.vmlinux]  [k] pmem_do_read
     0.09%     0.00%  iou-wrk-2957     [kernel.vmlinux]  [k] __submit_bio
     0.09%     0.00%  iou-wrk-2957     [kernel.vmlinux]  [k] pmem_submit_bio
     0.09%     0.00%  iou-wrk-2957     [kernel.vmlinux]  [k] submit_bio
     0.09%     0.00%  iou-wrk-2957     [kernel.vmlinux]  [k] submit_bio_noacct
     0.09%     0.05%  fio              [kernel.vmlinux]  [k] sugov_update_single_freq
     0.09%     0.09%  iou-wrk-2953     [kernel.vmlinux]  [k] native_queued_spin_lock_slowpath
     0.09%     0.03%  iou-wrk-2983     [kernel.vmlinux]  [k] _raw_spin_lock
     0.09%     0.00%  iou-wrk-2971     [kernel.vmlinux]  [k] submit_bio
     0.09%     0.01%  iou-wrk-2954     [kernel.vmlinux]  [k] dequeue_task_fair
     0.09%     0.00%  iou-wrk-2947     [kernel.vmlinux]  [k] __submit_bio
     0.09%     0.00%  iou-wrk-2947     [kernel.vmlinux]  [k] submit_bio_noacct
     0.09%     0.00%  iou-wrk-2951     [kernel.vmlinux]  [k] __submit_bio
     0.09%     0.00%  iou-wrk-2951     [kernel.vmlinux]  [k] pmem_submit_bio
     0.09%     0.00%  iou-wrk-2951     [kernel.vmlinux]  [k] submit_bio_noacct
     0.09%     0.09%  iou-wrk-2975     [kernel.vmlinux]  [k] copy_mc_fragile
     0.09%     0.00%  iou-wrk-2975     [kernel.vmlinux]  [k] pmem_do_read
     0.09%     0.00%  iou-wrk-2975     [kernel.vmlinux]  [k] pmem_submit_bio
     0.09%     0.00%  iou-wrk-2950     [kernel.vmlinux]  [k] __submit_bio
     0.09%     0.00%  iou-wrk-2950     [kernel.vmlinux]  [k] pmem_submit_bio
     0.09%     0.00%  iou-wrk-2950     [kernel.vmlinux]  [k] submit_bio_noacct
     0.09%     0.03%  iou-wrk-2947     [kernel.vmlinux]  [k] pick_next_task_fair
     0.09%     0.02%  iou-wrk-2952     [kernel.vmlinux]  [k] dequeue_task_fair
     0.09%     0.01%  iou-wrk-2965     [kernel.vmlinux]  [k] ext4_mpage_readpages
     0.09%     0.00%  iou-wrk-2965     [kernel.vmlinux]  [k] read_pages
     0.09%     0.08%  iou-wrk-2962     [kernel.vmlinux]  [k] copy_mc_fragile
     0.09%     0.00%  iou-wrk-2962     [kernel.vmlinux]  [k] __submit_bio
     0.09%     0.00%  iou-wrk-2962     [kernel.vmlinux]  [k] pmem_do_read
     0.09%     0.00%  iou-wrk-2962     [kernel.vmlinux]  [k] pmem_submit_bio
     0.09%     0.00%  iou-wrk-2962     [kernel.vmlinux]  [k] submit_bio
     0.09%     0.00%  iou-wrk-2962     [kernel.vmlinux]  [k] submit_bio_noacct
     0.09%     0.02%  iou-wrk-2963     [kernel.vmlinux]  [k] pick_next_task_fair
     0.09%     0.02%  iou-wrk-2951     [kernel.vmlinux]  [k] io_wq_free_work
     0.09%     0.00%  iou-wrk-2972     [kernel.vmlinux]  [k] submit_bio
     0.09%     0.06%  iou-wrk-2962     [kernel.vmlinux]  [k] _raw_spin_lock
     0.09%     0.09%  iou-wrk-2955     [kernel.vmlinux]  [k] psi_group_change
     0.09%     0.00%  iou-wrk-2948     [kernel.vmlinux]  [k] ext4_mpage_readpages
     0.09%     0.00%  iou-wrk-2948     [kernel.vmlinux]  [k] read_pages
     0.09%     0.00%  iou-wrk-2956     [kernel.vmlinux]  [k] read_pages
     0.09%     0.08%  iou-wrk-2947     [kernel.vmlinux]  [k] xas_load
     0.09%     0.01%  iou-wrk-2977     [kernel.vmlinux]  [k] psi_task_switch
     0.09%     0.09%  iou-wrk-2972     [kernel.vmlinux]  [k] psi_group_change
     0.09%     0.00%  iou-wrk-2960     [kernel.vmlinux]  [k] dequeue_task_fair
     0.09%     0.02%  iou-wrk-2966     [kernel.vmlinux]  [k] pick_next_task_fair
     0.09%     0.09%  iou-wrk-2960     [kernel.vmlinux]  [k] copy_mc_fragile
     0.09%     0.00%  iou-wrk-2960     [kernel.vmlinux]  [k] pmem_do_read
     0.09%     0.09%  iou-wrk-2983     [kernel.vmlinux]  [k] native_queued_spin_lock_slowpath
     0.09%     0.09%  iou-wrk-2959     [kernel.vmlinux]  [k] psi_group_change
     0.09%     0.00%  iou-wrk-2985     [kernel.vmlinux]  [k] __submit_bio
     0.09%     0.00%  iou-wrk-2985     [kernel.vmlinux]  [k] submit_bio_noacct
     0.09%     0.00%  iou-wrk-2973     [kernel.vmlinux]  [k] dequeue_task_fair
     0.09%     0.00%  iou-wrk-2983     [kernel.vmlinux]  [k] __submit_bio
     0.09%     0.00%  iou-wrk-2983     [kernel.vmlinux]  [k] ext4_mpage_readpages
     0.09%     0.00%  iou-wrk-2983     [kernel.vmlinux]  [k] pmem_submit_bio
     0.09%     0.00%  iou-wrk-2983     [kernel.vmlinux]  [k] read_pages
     0.09%     0.00%  iou-wrk-2983     [kernel.vmlinux]  [k] submit_bio
     0.09%     0.00%  iou-wrk-2983     [kernel.vmlinux]  [k] submit_bio_noacct
     0.09%     0.09%  iou-wrk-2981     [kernel.vmlinux]  [k] copy_mc_fragile
     0.09%     0.00%  iou-wrk-2981     [kernel.vmlinux]  [k] pmem_do_read
     0.09%     0.03%  iou-wrk-2952     [kernel.vmlinux]  [k] psi_task_switch
     0.09%     0.01%  iou-wrk-2951     [kernel.vmlinux]  [k] pick_next_task_fair
     0.09%     0.00%  iou-wrk-2978     [kernel.vmlinux]  [k] pmem_submit_bio
     0.09%     0.09%  iou-wrk-2961     [kernel.vmlinux]  [k] copy_mc_fragile
     0.09%     0.00%  iou-wrk-2952     [kernel.vmlinux]  [k] submit_bio
     0.09%     0.09%  iou-wrk-2956     [kernel.vmlinux]  [k] native_queued_spin_lock_slowpath
     0.09%     0.07%  iou-wrk-2983     [kernel.vmlinux]  [k] xas_load
     0.09%     0.00%  fio              [kernel.vmlinux]  [k] tick_sched_handle.isra.0
     0.09%     0.00%  fio              [kernel.vmlinux]  [k] update_process_times
     0.09%     0.02%  iou-wrk-2970     [kernel.vmlinux]  [k] dequeue_task_fair
     0.09%     0.09%  iou-wrk-2964     [kernel.vmlinux]  [k] native_queued_spin_lock_slowpath
     0.09%     0.09%  iou-wrk-2957     [kernel.vmlinux]  [k] copy_mc_fragile
     0.08%     0.08%  fio              [kernel.vmlinux]  [k] memcpy_erms
     0.08%     0.00%  iou-wrk-2980     [kernel.vmlinux]  [k] __alloc_pages
     0.08%     0.08%  iou-wrk-2965     [kernel.vmlinux]  [k] native_queued_spin_lock_slowpath
     0.08%     0.08%  iou-wrk-2949     [kernel.vmlinux]  [k] native_queued_spin_lock_slowpath
     0.08%     0.08%  iou-wrk-2984     [kernel.vmlinux]  [k] native_queued_spin_lock_slowpath
     0.08%     0.00%  iou-wrk-2971     [kernel.vmlinux]  [k] __submit_bio
     0.08%     0.00%  iou-wrk-2971     [kernel.vmlinux]  [k] submit_bio_noacct
     0.08%     0.03%  iou-wrk-2948     [kernel.vmlinux]  [k] _raw_spin_lock
     0.08%     0.01%  iou-wrk-2974     [kernel.vmlinux]  [k] ext4_mpage_readpages
     0.08%     0.00%  iou-wrk-2974     [kernel.vmlinux]  [k] read_pages
     0.08%     0.00%  swapper          [kernel.vmlinux]  [k] asm_sysvec_apic_timer_interrupt
     0.08%     0.00%  swapper          [kernel.vmlinux]  [k] sysvec_apic_timer_interrupt
     0.08%     0.08%  iou-wrk-2951     [kernel.vmlinux]  [k] copy_mc_fragile
     0.08%     0.00%  iou-wrk-2951     [kernel.vmlinux]  [k] pmem_do_read
     0.08%     0.08%  iou-wrk-2950     [kernel.vmlinux]  [k] copy_mc_fragile
     0.08%     0.00%  iou-wrk-2950     [kernel.vmlinux]  [k] pmem_do_read
     0.08%     0.08%  iou-wrk-2947     [kernel.vmlinux]  [k] copy_mc_fragile
     0.08%     0.00%  iou-wrk-2947     [kernel.vmlinux]  [k] pmem_do_read
     0.08%     0.00%  iou-wrk-2947     [kernel.vmlinux]  [k] pmem_submit_bio
     0.08%     0.01%  iou-wrk-2980     [kernel.vmlinux]  [k] __submit_bio
     0.08%     0.00%  iou-wrk-2980     [kernel.vmlinux]  [k] submit_bio_noacct
     0.08%     0.04%  iou-wrk-2961     [kernel.vmlinux]  [k] _raw_spin_lock
     0.08%     0.01%  iou-wrk-2979     [kernel.vmlinux]  [k] dequeue_task_fair
     0.08%     0.02%  iou-wrk-2985     [kernel.vmlinux]  [k] pick_next_task_fair
     0.08%     0.00%  iou-wrk-2972     [kernel.vmlinux]  [k] __submit_bio
     0.08%     0.00%  iou-wrk-2972     [kernel.vmlinux]  [k] pmem_submit_bio
     0.08%     0.00%  iou-wrk-2972     [kernel.vmlinux]  [k] submit_bio_noacct
     0.08%     0.02%  iou-wrk-2953     [kernel.vmlinux]  [k] dequeue_task_fair
     0.08%     0.08%  iou-wrk-2953     [kernel.vmlinux]  [k] xas_load
     0.08%     0.00%  iou-wrk-2948     [kernel.vmlinux]  [k] __submit_bio
     0.08%     0.00%  iou-wrk-2948     [kernel.vmlinux]  [k] pmem_submit_bio
     0.08%     0.00%  iou-wrk-2948     [kernel.vmlinux]  [k] submit_bio
     0.08%     0.00%  iou-wrk-2948     [kernel.vmlinux]  [k] submit_bio_noacct
     0.08%     0.02%  iou-wrk-2957     [kernel.vmlinux]  [k] dequeue_task_fair
     0.08%     0.02%  iou-wrk-2963     [kernel.vmlinux]  [k] dequeue_task_fair
     0.08%     0.01%  iou-wrk-2971     [kernel.vmlinux]  [k] psi_task_switch
     0.08%     0.01%  iou-wrk-2968     [kernel.vmlinux]  [k] psi_task_switch
     0.08%     0.02%  iou-wrk-2951     [kernel.vmlinux]  [k] psi_task_switch
     0.08%     0.02%  iou-wrk-2966     [kernel.vmlinux]  [k] dequeue_task_fair
     0.08%     0.07%  iou-wrk-2969     [kernel.vmlinux]  [k] xas_load
     0.08%     0.01%  iou-wrk-2984     [kernel.vmlinux]  [k] io_wq_free_work
     0.08%     0.01%  iou-wrk-2957     [kernel.vmlinux]  [k] __io_free_req
     0.08%     0.00%  iou-wrk-2957     [kernel.vmlinux]  [k] io_wq_free_work
     0.08%     0.04%  iou-wrk-2958     [kernel.vmlinux]  [k] dequeue_entity
     0.08%     0.04%  iou-wrk-2951     [kernel.vmlinux]  [k] update_load_avg
     0.08%     0.02%  iou-wrk-2982     [kernel.vmlinux]  [k] psi_task_switch
     0.08%     0.00%  iou-wrk-2986     [kernel.vmlinux]  [k] ext4_mpage_readpages
     0.08%     0.00%  iou-wrk-2986     [kernel.vmlinux]  [k] read_pages
     0.08%     0.02%  iou-wrk-2977     [kernel.vmlinux]  [k] __alloc_pages
     0.08%     0.02%  iou-wrk-2978     [kernel.vmlinux]  [k] update_load_avg
     0.08%     0.01%  iou-wrk-2985     [kernel.vmlinux]  [k] pmem_submit_bio
     0.08%     0.08%  iou-wrk-2962     [kernel.vmlinux]  [k] xas_load
     0.08%     0.01%  iou-wrk-2971     [kernel.vmlinux]  [k] dequeue_task_fair
     0.08%     0.02%  iou-wrk-2960     [kernel.vmlinux]  [k] psi_task_switch
     0.08%     0.00%  iou-wrk-2956     [kernel.vmlinux]  [k] ext4_mpage_readpages
     0.08%     0.08%  iou-wrk-2983     [kernel.vmlinux]  [k] copy_mc_fragile
     0.08%     0.00%  iou-wrk-2983     [kernel.vmlinux]  [k] pmem_do_read
     0.08%     0.02%  iou-wrk-2976     [kernel.vmlinux]  [k] psi_task_switch
     0.08%     0.07%  fio              [kernel.vmlinux]  [k] rb_insert_color
     0.08%     0.01%  iou-wrk-2947     [kernel.vmlinux]  [k] psi_task_switch
     0.08%     0.08%  fio              [kernel.vmlinux]  [k] update_min_vruntime
     0.08%     0.08%  iou-wrk-2982     [kernel.vmlinux]  [k] psi_group_change
     0.08%     0.00%  iou-wrk-2977     [kernel.vmlinux]  [k] dequeue_task_fair
     0.08%     0.02%  iou-wrk-2983     [kernel.vmlinux]  [k] pick_next_task_fair
     0.08%     0.00%  iou-wrk-2966     [kernel.vmlinux]  [k] __submit_bio
     0.08%     0.00%  iou-wrk-2966     [kernel.vmlinux]  [k] submit_bio_noacct
     0.08%     0.01%  iou-wrk-2976     [kernel.vmlinux]  [k] submit_bio_noacct
     0.08%     0.00%  iou-wrk-2983     [kernel.vmlinux]  [k] psi_task_switch
     0.08%     0.01%  iou-wrk-2953     [kernel.vmlinux]  [k] psi_task_switch
     0.08%     0.00%  swapper          [kernel.vmlinux]  [k] start_kernel
     0.08%     0.02%  iou-wrk-2982     [kernel.vmlinux]  [k] pick_next_task_fair
     0.08%     0.07%  fio              [kernel.vmlinux]  [k] attach_entity_load_avg
     0.08%     0.07%  iou-wrk-2986     [kernel.vmlinux]  [k] native_queued_spin_lock_slowpath
     0.08%     0.08%  iou-wrk-2968     [kernel.vmlinux]  [k] native_queued_spin_lock_slowpath
     0.07%     0.00%  iou-wrk-2974     [kernel.vmlinux]  [k] submit_bio
     0.07%     0.02%  iou-wrk-2950     [kernel.vmlinux]  [k] _raw_spin_lock
     0.07%     0.00%  iou-wrk-2986     [kernel.vmlinux]  [k] psi_task_switch
     0.07%     0.07%  iou-wrk-2981     [kernel.vmlinux]  [k] psi_group_change
     0.07%     0.01%  iou-wrk-2958     [kernel.vmlinux]  [k] kiocb_done
     0.07%     0.02%  iou-wrk-2977     [kernel.vmlinux]  [k] pick_next_task_fair
     0.07%     0.06%  iou-wrk-2959     [kernel.vmlinux]  [k] _raw_spin_lock
     0.07%     0.07%  iou-wrk-2963     [kernel.vmlinux]  [k] psi_group_change
     0.07%     0.02%  iou-wrk-2961     [kernel.vmlinux]  [k] psi_task_switch
     0.07%     0.07%  iou-wrk-2948     [kernel.vmlinux]  [k] copy_mc_fragile
     0.07%     0.00%  iou-wrk-2948     [kernel.vmlinux]  [k] pmem_do_read
     0.07%     0.01%  iou-wrk-2979     [kernel.vmlinux]  [k] psi_task_switch
     0.07%     0.03%  iou-wrk-2969     [kernel.vmlinux]  [k] update_load_avg
     0.07%     0.01%  iou-wrk-2968     [kernel.vmlinux]  [k] dequeue_task_fair
     0.07%     0.00%  iou-wrk-2968     [kernel.vmlinux]  [k] ext4_mpage_readpages
     0.07%     0.00%  iou-wrk-2968     [kernel.vmlinux]  [k] read_pages
     0.07%     0.01%  iou-wrk-2984     [kernel.vmlinux]  [k] __io_free_req
     0.07%     0.01%  iou-wrk-2986     [kernel.vmlinux]  [k] __io_free_req
     0.07%     0.00%  iou-wrk-2986     [kernel.vmlinux]  [k] io_wq_free_work
     0.07%     0.01%  iou-wrk-2981     [kernel.vmlinux]  [k] psi_task_switch
     0.07%     0.00%  iou-wrk-2953     [kernel.vmlinux]  [k] submit_bio
     0.07%     0.02%  iou-wrk-2964     [kernel.vmlinux]  [k] pick_next_task_fair
     0.07%     0.07%  iou-wrk-2985     [kernel.vmlinux]  [k] copy_mc_fragile
     0.07%     0.00%  iou-wrk-2985     [kernel.vmlinux]  [k] pmem_do_read
     0.07%     0.00%  iou-wrk-2982     [kernel.vmlinux]  [k] dequeue_task_fair
     0.07%     0.07%  iou-wrk-2964     [kernel.vmlinux]  [k] psi_group_change
     0.07%     0.07%  iou-wrk-2954     [kernel.vmlinux]  [k] psi_group_change
