# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 31570845903901
#
# Children      Self  Command          Shared Object               Symbol                                        
# ........  ........  ...............  ..........................  ..............................................
#
     1.20%     0.00%  iou-wrk-3114     [kernel.vmlinux]            [k] ret_from_fork
     1.20%     0.01%  iou-wrk-3065     [kernel.vmlinux]            [k] io_worker_handle_work
     1.20%     0.01%  iou-wrk-3119     [kernel.vmlinux]            [k] io_worker_handle_work
     1.20%     0.01%  iou-wrk-3114     [kernel.vmlinux]            [k] io_worker_handle_work
     1.20%     0.01%  iou-wrk-3123     [kernel.vmlinux]            [k] io_worker_handle_work
     1.20%     0.00%  iou-wrk-3098     [kernel.vmlinux]            [k] io_wqe_worker
     1.20%     0.00%  iou-wrk-3098     [kernel.vmlinux]            [k] ret_from_fork
     1.20%     0.01%  iou-wrk-3098     [kernel.vmlinux]            [k] io_worker_handle_work
     1.20%     0.00%  iou-wrk-3094     [kernel.vmlinux]            [k] io_wqe_worker
     1.20%     0.00%  iou-wrk-3094     [kernel.vmlinux]            [k] ret_from_fork
     1.20%     0.00%  iou-wrk-3094     [kernel.vmlinux]            [k] io_worker_handle_work
     1.20%     0.00%  iou-wrk-3131     [kernel.vmlinux]            [k] io_wqe_worker
     1.20%     0.00%  iou-wrk-3131     [kernel.vmlinux]            [k] ret_from_fork
     1.20%     0.00%  iou-wrk-3134     [kernel.vmlinux]            [k] io_wqe_worker
     1.20%     0.00%  iou-wrk-3134     [kernel.vmlinux]            [k] ret_from_fork
     1.20%     0.00%  iou-wrk-3136     [kernel.vmlinux]            [k] io_wqe_worker
     1.20%     0.00%  iou-wrk-3136     [kernel.vmlinux]            [k] ret_from_fork
     1.20%     0.01%  iou-wrk-3136     [kernel.vmlinux]            [k] io_worker_handle_work
     1.20%     0.01%  iou-wrk-3140     [kernel.vmlinux]            [k] io_worker_handle_work
     1.20%     0.00%  iou-wrk-3140     [kernel.vmlinux]            [k] io_wqe_worker
     1.20%     0.00%  iou-wrk-3140     [kernel.vmlinux]            [k] ret_from_fork
     1.20%     0.01%  iou-wrk-3131     [kernel.vmlinux]            [k] io_worker_handle_work
     1.20%     0.01%  iou-wrk-3134     [kernel.vmlinux]            [k] io_worker_handle_work
     1.20%     0.00%  iou-wrk-3117     [kernel.vmlinux]            [k] io_wqe_worker
     1.20%     0.00%  iou-wrk-3117     [kernel.vmlinux]            [k] ret_from_fork
     1.20%     0.00%  iou-wrk-3127     [kernel.vmlinux]            [k] io_wqe_worker
     1.20%     0.00%  iou-wrk-3127     [kernel.vmlinux]            [k] ret_from_fork
