# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 43K of event 'cycles'
# Event count (approx.): 8777788382501
#
# Children      Self  Command          Shared Object     Symbol                                 
# ........  ........  ...............  ................  .......................................
#
     1.81%     0.01%  iou-wrk-3367     [kernel.vmlinux]  [k] io_wqe_worker
     1.81%     0.00%  iou-wrk-3367     [kernel.vmlinux]  [k] ret_from_fork
     1.80%     0.00%  iou-wrk-3349     [kernel.vmlinux]  [k] io_wqe_worker
     1.80%     0.00%  iou-wrk-3349     [kernel.vmlinux]  [k] ret_from_fork
     1.80%     0.01%  iou-wrk-3362     [kernel.vmlinux]  [k] io_wqe_worker
     1.80%     0.00%  iou-wrk-3362     [kernel.vmlinux]  [k] ret_from_fork
     1.80%     0.00%  iou-wrk-3376     [kernel.vmlinux]  [k] io_wqe_worker
     1.80%     0.00%  iou-wrk-3376     [kernel.vmlinux]  [k] ret_from_fork
     1.80%     0.01%  iou-wrk-3354     [kernel.vmlinux]  [k] io_wqe_worker
     1.80%     0.00%  iou-wrk-3354     [kernel.vmlinux]  [k] ret_from_fork
     1.78%     0.01%  iou-wrk-3351     [kernel.vmlinux]  [k] io_wqe_worker
     1.78%     0.00%  iou-wrk-3351     [kernel.vmlinux]  [k] ret_from_fork
     1.77%     0.01%  iou-wrk-3383     [kernel.vmlinux]  [k] io_wqe_worker
     1.77%     0.00%  iou-wrk-3383     [kernel.vmlinux]  [k] ret_from_fork
     1.77%     0.01%  iou-wrk-3361     [kernel.vmlinux]  [k] io_wqe_worker
     1.77%     0.00%  iou-wrk-3361     [kernel.vmlinux]  [k] ret_from_fork
     1.76%     0.01%  iou-wrk-3357     [kernel.vmlinux]  [k] io_wqe_worker
     1.76%     0.00%  iou-wrk-3357     [kernel.vmlinux]  [k] ret_from_fork
     1.74%     0.01%  iou-wrk-3368     [kernel.vmlinux]  [k] io_wqe_worker
     1.74%     0.00%  iou-wrk-3368     [kernel.vmlinux]  [k] ret_from_fork
     1.73%     0.00%  iou-wrk-3365     [kernel.vmlinux]  [k] io_wqe_worker
     1.73%     0.00%  iou-wrk-3365     [kernel.vmlinux]  [k] ret_from_fork
     1.72%     0.00%  iou-wrk-3373     [kernel.vmlinux]  [k] io_wqe_worker
     1.72%     0.00%  iou-wrk-3373     [kernel.vmlinux]  [k] ret_from_fork
     1.72%     0.44%  fio              [kernel.vmlinux]  [k] enqueue_entity
     1.71%     0.01%  iou-wrk-3372     [kernel.vmlinux]  [k] io_wqe_worker
     1.71%     0.00%  iou-wrk-3372     [kernel.vmlinux]  [k] ret_from_fork
     1.70%     0.02%  iou-wrk-3386     [kernel.vmlinux]  [k] io_worker_handle_work
     1.69%     0.00%  iou-wrk-3356     [kernel.vmlinux]  [k] io_wqe_worker
     1.69%     0.00%  iou-wrk-3356     [kernel.vmlinux]  [k] ret_from_fork
     1.67%     1.66%  fio              [kernel.vmlinux]  [k] psi_group_change
     1.65%     0.02%  iou-wrk-3381     [kernel.vmlinux]  [k] io_wqe_worker
     1.65%     0.00%  iou-wrk-3381     [kernel.vmlinux]  [k] ret_from_fork
     1.64%     0.01%  iou-wrk-3350     [kernel.vmlinux]  [k] io_wqe_worker
     1.64%     0.00%  iou-wrk-3350     [kernel.vmlinux]  [k] ret_from_fork
     1.63%     0.01%  iou-wrk-3359     [kernel.vmlinux]  [k] io_worker_handle_work
     1.63%     0.00%  iou-wrk-3369     [kernel.vmlinux]  [k] io_worker_handle_work
     1.62%     0.00%  iou-wrk-3386     [kernel.vmlinux]  [k] io_issue_sqe
     1.62%     0.00%  iou-wrk-3386     [kernel.vmlinux]  [k] io_wq_submit_work
     1.61%     0.00%  iou-wrk-3386     [kernel.vmlinux]  [k] io_read
     1.61%     0.01%  iou-wrk-3344     [kernel.vmlinux]  [k] io_worker_handle_work
     1.59%     0.03%  iou-wrk-3347     [kernel.vmlinux]  [k] io_worker_handle_work
