# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 789K of event 'cycles'
# Event count (approx.): 71959522793739
#
# Children      Self  Command          Shared Object               Symbol                                        
# ........  ........  ...............  ..........................  ..............................................
#
     0.93%     0.00%  iou-wrk-3084     [kernel.vmlinux]            [k] ret_from_fork
     0.93%     0.01%  iou-wrk-3054     [kernel.vmlinux]            [k] io_wqe_worker
     0.93%     0.00%  iou-wrk-3054     [kernel.vmlinux]            [k] ret_from_fork
     0.93%     0.01%  iou-wrk-3046     [kernel.vmlinux]            [k] io_wqe_worker
     0.93%     0.00%  iou-wrk-3046     [kernel.vmlinux]            [k] ret_from_fork
     0.93%     0.01%  iou-wrk-3078     [kernel.vmlinux]            [k] io_wqe_worker
     0.93%     0.00%  iou-wrk-3078     [kernel.vmlinux]            [k] ret_from_fork
     0.93%     0.01%  iou-wrk-3063     [kernel.vmlinux]            [k] io_wqe_worker
     0.93%     0.00%  iou-wrk-3063     [kernel.vmlinux]            [k] ret_from_fork
     0.93%     0.01%  iou-wrk-3071     [kernel.vmlinux]            [k] io_wqe_worker
     0.93%     0.00%  iou-wrk-3071     [kernel.vmlinux]            [k] ret_from_fork
     0.93%     0.01%  iou-wrk-3074     [kernel.vmlinux]            [k] io_wqe_worker
     0.93%     0.00%  iou-wrk-3074     [kernel.vmlinux]            [k] ret_from_fork
     0.93%     0.01%  iou-wrk-3031     [kernel.vmlinux]            [k] io_wqe_worker
     0.93%     0.00%  iou-wrk-3031     [kernel.vmlinux]            [k] ret_from_fork
     0.93%     0.01%  iou-wrk-3070     [kernel.vmlinux]            [k] io_wqe_worker
     0.93%     0.00%  iou-wrk-3070     [kernel.vmlinux]            [k] ret_from_fork
     0.93%     0.01%  iou-wrk-3029     [kernel.vmlinux]            [k] io_wqe_worker
     0.93%     0.00%  iou-wrk-3029     [kernel.vmlinux]            [k] ret_from_fork
     0.93%     0.00%  iou-wrk-3055     [kernel.vmlinux]            [k] io_wqe_worker
     0.93%     0.00%  iou-wrk-3055     [kernel.vmlinux]            [k] ret_from_fork
     0.93%     0.01%  iou-wrk-3096     [kernel.vmlinux]            [k] io_wqe_worker
     0.93%     0.00%  iou-wrk-3096     [kernel.vmlinux]            [k] ret_from_fork
     0.93%     0.00%  iou-wrk-3045     [kernel.vmlinux]            [k] io_wqe_worker
     0.93%     0.00%  iou-wrk-3045     [kernel.vmlinux]            [k] ret_from_fork
     0.93%     0.01%  iou-wrk-3036     [kernel.vmlinux]            [k] io_wqe_worker
     0.93%     0.00%  iou-wrk-3036     [kernel.vmlinux]            [k] ret_from_fork
     0.93%     0.00%  iou-wrk-3056     [kernel.vmlinux]            [k] io_wqe_worker
     0.93%     0.00%  iou-wrk-3056     [kernel.vmlinux]            [k] ret_from_fork
     0.93%     0.01%  iou-wrk-3030     [kernel.vmlinux]            [k] io_wqe_worker
     0.93%     0.00%  iou-wrk-3030     [kernel.vmlinux]            [k] ret_from_fork
     0.93%     0.01%  iou-wrk-3077     [kernel.vmlinux]            [k] io_wqe_worker
     0.93%     0.00%  iou-wrk-3077     [kernel.vmlinux]            [k] ret_from_fork
     0.93%     0.01%  iou-wrk-3097     [kernel.vmlinux]            [k] io_wqe_worker
     0.93%     0.00%  iou-wrk-3097     [kernel.vmlinux]            [k] ret_from_fork
     0.93%     0.01%  iou-wrk-3067     [kernel.vmlinux]            [k] io_wqe_worker
     0.93%     0.00%  iou-wrk-3067     [kernel.vmlinux]            [k] ret_from_fork
     0.93%     0.01%  iou-wrk-3058     [kernel.vmlinux]            [k] io_wqe_worker
     0.93%     0.00%  iou-wrk-3058     [kernel.vmlinux]            [k] ret_from_fork
     0.93%     0.01%  iou-wrk-3088     [kernel.vmlinux]            [k] io_wqe_worker
     0.93%     0.00%  iou-wrk-3088     [kernel.vmlinux]            [k] ret_from_fork
     0.93%     0.01%  iou-wrk-3062     [kernel.vmlinux]            [k] io_wqe_worker
     0.93%     0.00%  iou-wrk-3062     [kernel.vmlinux]            [k] ret_from_fork
     0.93%     0.01%  iou-wrk-3033     [kernel.vmlinux]            [k] io_wqe_worker
     0.93%     0.00%  iou-wrk-3033     [kernel.vmlinux]            [k] ret_from_fork
     0.93%     0.01%  iou-wrk-3072     [kernel.vmlinux]            [k] io_wqe_worker
     0.93%     0.00%  iou-wrk-3072     [kernel.vmlinux]            [k] ret_from_fork
     0.93%     0.00%  iou-wrk-3087     [kernel.vmlinux]            [k] io_wqe_worker
     0.93%     0.00%  iou-wrk-3087     [kernel.vmlinux]            [k] ret_from_fork
     0.93%     0.00%  iou-wrk-3041     [kernel.vmlinux]            [k] io_wqe_worker
     0.93%     0.00%  iou-wrk-3041     [kernel.vmlinux]            [k] ret_from_fork
     0.92%     0.01%  iou-wrk-3038     [kernel.vmlinux]            [k] io_wqe_worker
     0.92%     0.00%  iou-wrk-3038     [kernel.vmlinux]            [k] ret_from_fork
     0.92%     0.01%  iou-wrk-3099     [kernel.vmlinux]            [k] io_wqe_worker
     0.92%     0.00%  iou-wrk-3099     [kernel.vmlinux]            [k] ret_from_fork
     0.92%     0.01%  iou-wrk-3079     [kernel.vmlinux]            [k] io_wqe_worker
     0.92%     0.00%  iou-wrk-3079     [kernel.vmlinux]            [k] ret_from_fork
     0.92%     0.00%  iou-wrk-3035     [kernel.vmlinux]            [k] io_wqe_worker
     0.92%     0.00%  iou-wrk-3035     [kernel.vmlinux]            [k] ret_from_fork
     0.92%     0.00%  iou-wrk-3051     [kernel.vmlinux]            [k] io_wqe_worker
     0.92%     0.00%  iou-wrk-3051     [kernel.vmlinux]            [k] ret_from_fork
     0.92%     0.01%  iou-wrk-3066     [kernel.vmlinux]            [k] io_wqe_worker
     0.92%     0.00%  iou-wrk-3066     [kernel.vmlinux]            [k] ret_from_fork
     0.92%     0.01%  iou-wrk-3053     [kernel.vmlinux]            [k] io_wqe_worker
     0.92%     0.00%  iou-wrk-3053     [kernel.vmlinux]            [k] ret_from_fork
     0.92%     0.00%  iou-wrk-3105     [kernel.vmlinux]            [k] io_wqe_worker
     0.92%     0.00%  iou-wrk-3105     [kernel.vmlinux]            [k] ret_from_fork
     0.92%     0.00%  iou-wrk-3052     [kernel.vmlinux]            [k] io_wqe_worker
     0.92%     0.00%  iou-wrk-3052     [kernel.vmlinux]            [k] ret_from_fork
     0.92%     0.01%  iou-wrk-3044     [kernel.vmlinux]            [k] io_wqe_worker
