# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 906K of event 'cycles'
# Event count (approx.): 83830674564148
#
# Children      Self  Command          Shared Object       Symbol                                          
# ........  ........  ...............  ..................  ................................................
#
     1.03%     0.00%  iou-wrk-3190     [kernel.vmlinux]    [k] ret_from_fork
     1.03%     0.00%  iou-wrk-3229     [kernel.vmlinux]    [k] io_wqe_worker
     1.03%     0.00%  iou-wrk-3229     [kernel.vmlinux]    [k] ret_from_fork
     1.03%     0.00%  iou-wrk-3240     [kernel.vmlinux]    [k] io_wqe_worker
     1.03%     0.00%  iou-wrk-3240     [kernel.vmlinux]    [k] ret_from_fork
     1.03%     0.00%  iou-wrk-3164     [kernel.vmlinux]    [k] io_wqe_worker
     1.03%     0.00%  iou-wrk-3164     [kernel.vmlinux]    [k] ret_from_fork
     1.03%     0.00%  iou-wrk-3181     [kernel.vmlinux]    [k] io_wq_submit_work
     1.03%     0.00%  iou-wrk-3192     [kernel.vmlinux]    [k] io_wqe_worker
     1.03%     0.00%  iou-wrk-3192     [kernel.vmlinux]    [k] ret_from_fork
     1.02%     0.00%  iou-wrk-3183     [kernel.vmlinux]    [k] io_wq_submit_work
     1.02%     0.00%  iou-wrk-3177     [kernel.vmlinux]    [k] io_wqe_worker
     1.02%     0.00%  iou-wrk-3177     [kernel.vmlinux]    [k] ret_from_fork
     1.02%     0.00%  iou-wrk-3181     [kernel.vmlinux]    [k] io_issue_sqe
     1.02%     0.00%  iou-wrk-3236     [kernel.vmlinux]    [k] io_wqe_worker
     1.02%     0.00%  iou-wrk-3236     [kernel.vmlinux]    [k] ret_from_fork
     1.02%     0.00%  iou-wrk-3195     [kernel.vmlinux]    [k] io_wqe_worker
     1.02%     0.00%  iou-wrk-3195     [kernel.vmlinux]    [k] ret_from_fork
     1.02%     0.00%  iou-wrk-3194     [kernel.vmlinux]    [k] io_wqe_worker
     1.02%     0.00%  iou-wrk-3194     [kernel.vmlinux]    [k] ret_from_fork
     1.02%     0.00%  iou-wrk-3187     [kernel.vmlinux]    [k] io_wqe_worker
     1.02%     0.00%  iou-wrk-3187     [kernel.vmlinux]    [k] ret_from_fork
