# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11K of event 'cycles'
# Event count (approx.): 2302828998275
#
# Children      Self  Command          Shared Object     Symbol                                 
# ........  ........  ...............  ................  .......................................
#
    28.91%     0.00%  fio              [kernel.vmlinux]  [k] do_syscall_64
    28.91%     0.00%  fio              [kernel.vmlinux]  [k] entry_SYSCALL_64_after_hwframe
    28.65%     0.05%  fio              [kernel.vmlinux]  [k] __do_sys_io_uring_enter
    28.57%     0.62%  fio              [kernel.vmlinux]  [k] io_submit_sqes
    26.88%     0.70%  fio              [kernel.vmlinux]  [k] __io_queue_sqe
    18.01%     0.10%  fio              [kernel.vmlinux]  [k] io_queue_async_work
    17.53%     0.60%  fio              [kernel.vmlinux]  [k] io_wqe_enqueue
    16.42%     0.65%  fio              [kernel.vmlinux]  [k] io_wqe_activate_free_worker
    15.52%     0.65%  fio              [kernel.vmlinux]  [k] try_to_wake_up
     8.18%     0.35%  fio              [kernel.vmlinux]  [k] io_issue_sqe
     7.82%     0.67%  fio              [kernel.vmlinux]  [k] io_read
     7.74%     0.13%  fio              [kernel.vmlinux]  [k] ttwu_do_activate
     6.61%     0.27%  fio              [kernel.vmlinux]  [k] io_setup_async_rw
     6.14%     0.47%  fio              [kernel.vmlinux]  [k] __kmalloc
     5.20%     0.17%  fio              [kernel.vmlinux]  [k] __cond_resched
     5.04%     0.15%  fio              [kernel.vmlinux]  [k] preempt_schedule_common
     4.98%     0.68%  fio              [kernel.vmlinux]  [k] __schedule
     4.35%     0.55%  fio              [kernel.vmlinux]  [k] enqueue_task_fair
     3.70%     1.51%  fio              [kernel.vmlinux]  [k] select_task_rq_fair
     3.67%     0.02%  swapper          [kernel.vmlinux]  [k] do_idle
     3.67%     0.00%  swapper          [kernel.vmlinux]  [k] cpu_startup_entry
     3.67%     0.00%  swapper          [kernel.vmlinux]  [k] secondary_startup_64_no_verify
     3.64%     0.00%  swapper          [kernel.vmlinux]  [k] start_secondary
     3.27%     0.15%  fio              [kernel.vmlinux]  [k] psi_task_change
     2.63%     2.62%  fio              [kernel.vmlinux]  [k] psi_group_change
     2.37%     0.29%  fio              [kernel.vmlinux]  [k] pick_next_task_fair
     2.26%     0.78%  fio              [kernel.vmlinux]  [k] _raw_spin_lock
     2.23%     0.02%  swapper          [kernel.vmlinux]  [k] cpuidle_enter_state
     2.23%     0.00%  swapper          [kernel.vmlinux]  [k] cpuidle_enter
     2.20%     0.70%  fio              [kernel.vmlinux]  [k] enqueue_entity
     2.20%     0.03%  iou-wrk-2908     [kernel.vmlinux]  [k] io_wqe_worker
     2.20%     0.00%  iou-wrk-2908     [kernel.vmlinux]  [k] ret_from_fork
     2.09%     0.02%  iou-wrk-2888     [kernel.vmlinux]  [k] io_wqe_worker
     2.09%     0.00%  iou-wrk-2888     [kernel.vmlinux]  [k] ret_from_fork
     1.99%     0.02%  iou-wrk-2885     [kernel.vmlinux]  [k] io_wqe_worker
     1.99%     0.00%  iou-wrk-2885     [kernel.vmlinux]  [k] ret_from_fork
     1.95%     0.01%  iou-wrk-2913     [kernel.vmlinux]  [k] io_wqe_worker
     1.95%     0.00%  iou-wrk-2913     [kernel.vmlinux]  [k] ret_from_fork
     1.84%     0.79%  fio              [kernel.vmlinux]  [k] update_load_avg
     1.83%     0.02%  iou-wrk-2915     [kernel.vmlinux]  [k] io_wqe_worker
     1.83%     0.00%  iou-wrk-2915     [kernel.vmlinux]  [k] ret_from_fork
     1.80%     0.01%  iou-wrk-2917     [kernel.vmlinux]  [k] io_wqe_worker
     1.80%     0.00%  iou-wrk-2917     [kernel.vmlinux]  [k] ret_from_fork
     1.80%     0.02%  iou-wrk-2909     [kernel.vmlinux]  [k] io_wqe_worker
     1.80%     0.00%  iou-wrk-2909     [kernel.vmlinux]  [k] ret_from_fork
     1.80%     0.02%  iou-wrk-2920     [kernel.vmlinux]  [k] io_wqe_worker
     1.80%     0.00%  iou-wrk-2920     [kernel.vmlinux]  [k] ret_from_fork
     1.79%     0.02%  iou-wrk-2898     [kernel.vmlinux]  [k] io_wqe_worker
     1.79%     0.00%  iou-wrk-2898     [kernel.vmlinux]  [k] ret_from_fork
     1.76%     0.01%  iou-wrk-2916     [kernel.vmlinux]  [k] io_wqe_worker
     1.76%     0.00%  iou-wrk-2916     [kernel.vmlinux]  [k] ret_from_fork
     1.74%     0.01%  iou-wrk-2896     [kernel.vmlinux]  [k] io_wqe_worker
     1.74%     0.00%  iou-wrk-2896     [kernel.vmlinux]  [k] ret_from_fork
     1.73%     0.01%  iou-wrk-2890     [kernel.vmlinux]  [k] io_wqe_worker
     1.73%     0.00%  iou-wrk-2890     [kernel.vmlinux]  [k] ret_from_fork
     1.73%     0.02%  fio              [kernel.vmlinux]  [k] raw_spin_rq_lock_nested.constprop.0
     1.73%     0.01%  iou-wrk-2893     [kernel.vmlinux]  [k] io_wqe_worker
     1.73%     0.00%  iou-wrk-2893     [kernel.vmlinux]  [k] ret_from_fork
     1.70%     0.01%  iou-wrk-2905     [kernel.vmlinux]  [k] io_wqe_worker
     1.70%     0.00%  iou-wrk-2905     [kernel.vmlinux]  [k] ret_from_fork
     1.68%     0.02%  iou-wrk-2892     [kernel.vmlinux]  [k] io_wqe_worker
     1.68%     0.00%  iou-wrk-2892     [kernel.vmlinux]  [k] ret_from_fork
     1.66%     0.01%  iou-wrk-2906     [kernel.vmlinux]  [k] io_wqe_worker
     1.66%     0.00%  iou-wrk-2906     [kernel.vmlinux]  [k] ret_from_fork
     1.64%     0.03%  iou-wrk-2886     [kernel.vmlinux]  [k] io_wqe_worker
     1.64%     0.00%  iou-wrk-2886     [kernel.vmlinux]  [k] ret_from_fork
     1.64%     0.00%  iou-wrk-2901     [kernel.vmlinux]  [k] io_wqe_worker
     1.64%     0.00%  iou-wrk-2901     [kernel.vmlinux]  [k] ret_from_fork
     1.61%     0.02%  iou-wrk-2912     [kernel.vmlinux]  [k] io_wqe_worker
     1.61%     0.00%  iou-wrk-2912     [kernel.vmlinux]  [k] ret_from_fork
     1.60%     0.02%  iou-wrk-2904     [kernel.vmlinux]  [k] io_wqe_worker
     1.60%     0.00%  iou-wrk-2904     [kernel.vmlinux]  [k] ret_from_fork
     1.59%     0.02%  iou-wrk-2910     [kernel.vmlinux]  [k] io_wqe_worker
     1.59%     0.00%  iou-wrk-2910     [kernel.vmlinux]  [k] ret_from_fork
     1.59%     0.03%  iou-wrk-2895     [kernel.vmlinux]  [k] io_wqe_worker
     1.59%     0.00%  iou-wrk-2895     [kernel.vmlinux]  [k] ret_from_fork
     1.58%     0.02%  iou-wrk-2903     [kernel.vmlinux]  [k] io_wqe_worker
     1.58%     0.00%  iou-wrk-2903     [kernel.vmlinux]  [k] ret_from_fork
     1.58%     0.02%  iou-wrk-2907     [kernel.vmlinux]  [k] io_wqe_worker
     1.58%     0.00%  iou-wrk-2907     [kernel.vmlinux]  [k] ret_from_fork
     1.56%     0.01%  iou-wrk-2887     [kernel.vmlinux]  [k] io_wqe_worker
     1.56%     0.00%  iou-wrk-2887     [kernel.vmlinux]  [k] ret_from_fork
     1.56%     0.01%  iou-wrk-2911     [kernel.vmlinux]  [k] io_wqe_worker
     1.56%     0.00%  iou-wrk-2911     [kernel.vmlinux]  [k] ret_from_fork
     1.51%     0.01%  iou-wrk-2914     [kernel.vmlinux]  [k] io_wqe_worker
     1.51%     0.00%  iou-wrk-2914     [kernel.vmlinux]  [k] ret_from_fork
     1.51%     0.01%  iou-wrk-2918     [kernel.vmlinux]  [k] io_wqe_worker
     1.51%     0.00%  iou-wrk-2918     [kernel.vmlinux]  [k] ret_from_fork
     1.49%     0.01%  iou-wrk-2889     [kernel.vmlinux]  [k] io_wqe_worker
