# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 853K of event 'cycles'
# Event count (approx.): 81032972670636
#
# Children      Self  Command          Shared Object       Symbol                                    
# ........  ........  ...............  ..................  ..........................................
#
     0.02%     0.00%  iou-wrk-3212     [kernel.vmlinux]    [k] kiocb_done
     0.02%     0.00%  iou-wrk-3220     [kernel.vmlinux]    [k] set_next_entity
     0.02%     0.01%  iou-wrk-3236     [kernel.vmlinux]    [k] submit_bio_checks
     0.02%     0.00%  iou-wrk-3204     [kernel.vmlinux]    [k] io_assign_current_work
     0.02%     0.00%  iou-wrk-3205     [kernel.vmlinux]    [k] set_next_entity
     0.02%     0.01%  iou-wrk-3234     [kernel.vmlinux]    [k] submit_bio_checks
     0.02%     0.00%  iou-wrk-3196     [kernel.vmlinux]    [k] del_timer_sync
     0.02%     0.00%  swapper          [kernel.vmlinux]    [k] irq_exit_rcu
     0.02%     0.00%  iou-wrk-3227     [kernel.vmlinux]    [k] set_next_entity
     0.02%     0.00%  iou-wrk-3230     [kernel.vmlinux]    [k] kiocb_done
     0.02%     0.01%  iou-wrk-3208     [kernel.vmlinux]    [k] lock_timer_base
     0.02%     0.00%  iou-wrk-3199     [kernel.vmlinux]    [k] free_pcppages_bulk
     0.02%     0.02%  iou-wrk-3215     [kernel.vmlinux]    [k] __list_del_entry_valid
     0.02%     0.00%  iou-wrk-3218     [kernel.vmlinux]    [k] free_pcppages_bulk
     0.02%     0.00%  iou-wrk-3226     [kernel.vmlinux]    [k] io_dismantle_req
     0.02%     0.00%  iou-wrk-3197     [kernel.vmlinux]    [k] io_dismantle_req
     0.02%     0.00%  swapper          [kernel.vmlinux]    [k] sched_ttwu_pending
     0.02%     0.00%  iou-wrk-3232     [kernel.vmlinux]    [k] lock_timer_base
     0.02%     0.01%  iou-wrk-3212     [kernel.vmlinux]    [k] submit_bio_checks
     0.02%     0.00%  iou-wrk-3222     [kernel.vmlinux]    [k] try_to_del_timer_sync
     0.02%     0.00%  iou-wrk-3226     [kernel.vmlinux]    [k] lock_timer_base
     0.02%     0.00%  iou-wrk-3208     [kernel.vmlinux]    [k] ext4_map_blocks
     0.02%     0.00%  iou-wrk-3194     [kernel.vmlinux]    [k] free_pcppages_bulk
     0.02%     0.01%  iou-wrk-3218     [kernel.vmlinux]    [k] set_next_entity
     0.02%     0.00%  iou-wrk-3215     [kernel.vmlinux]    [k] del_timer_sync
     0.02%     0.00%  iou-wrk-3232     [kernel.vmlinux]    [k] del_timer_sync
     0.02%     0.01%  iou-wrk-3220     [kernel.vmlinux]    [k] io_req_complete_post
     0.02%     0.01%  iou-wrk-3213     [kernel.vmlinux]    [k] io_req_complete_post
     0.02%     0.01%  fio              [kernel.vmlinux]    [k] perf_event_task_tick
     0.02%     0.00%  iou-wrk-3196     [kernel.vmlinux]    [k] set_next_entity
     0.02%     0.00%  iou-wrk-3216     [kernel.vmlinux]    [k] ext4_map_blocks
     0.02%     0.00%  iou-wrk-3197     [kernel.vmlinux]    [k] del_timer_sync
     0.02%     0.00%  iou-wrk-3224     [kernel.vmlinux]    [k] kiocb_done
     0.02%     0.00%  iou-wrk-3194     [kernel.vmlinux]    [k] del_timer_sync
     0.02%     0.00%  iou-wrk-3231     [kernel.vmlinux]    [k] kiocb_done
     0.02%     0.00%  iou-wrk-3208     [kernel.vmlinux]    [k] del_timer_sync
     0.02%     0.00%  iou-wrk-3210     [kernel.vmlinux]    [k] kiocb_done
     0.02%     0.00%  iou-wrk-3213     [kernel.vmlinux]    [k] ext4_map_blocks
     0.02%     0.00%  iou-wrk-3198     [kernel.vmlinux]    [k] del_timer_sync
     0.02%     0.01%  iou-wrk-3208     [kernel.vmlinux]    [k] submit_bio_checks
     0.02%     0.00%  iou-wrk-3230     [kernel.vmlinux]    [k] lock_timer_base
     0.02%     0.00%  iou-wrk-3223     [kernel.vmlinux]    [k] io_dismantle_req
     0.02%     0.00%  iou-wrk-3224     [kernel.vmlinux]    [k] try_to_del_timer_sync
     0.02%     0.01%  iou-wrk-3235     [kernel.vmlinux]    [k] lock_timer_base
     0.02%     0.00%  iou-wrk-3223     [kernel.vmlinux]    [k] del_timer_sync
     0.02%     0.00%  iou-wrk-3218     [kernel.vmlinux]    [k] io_dismantle_req
     0.02%     0.00%  iou-wrk-3232     [kernel.vmlinux]    [k] set_next_entity
     0.02%     0.00%  iou-wrk-3229     [kernel.vmlinux]    [k] ext4_map_blocks
     0.02%     0.00%  iou-wrk-3231     [kernel.vmlinux]    [k] io_dismantle_req
     0.02%     0.00%  iou-wrk-3194     [kernel.vmlinux]    [k] lock_timer_base
     0.02%     0.00%  iou-wrk-3235     [kernel.vmlinux]    [k] del_timer_sync
     0.02%     0.00%  iou-wrk-3218     [kernel.vmlinux]    [k] ext4_map_blocks
     0.02%     0.00%  iou-wrk-3198     [kernel.vmlinux]    [k] set_next_entity
     0.02%     0.00%  iou-wrk-3224     [kernel.vmlinux]    [k] io_dismantle_req
     0.02%     0.00%  iou-wrk-3195     [kernel.vmlinux]    [k] lock_timer_base
     0.02%     0.01%  iou-wrk-3229     [kernel.vmlinux]    [k] submit_bio_checks
     0.02%     0.00%  iou-wrk-3221     [kernel.vmlinux]    [k] kiocb_done
     0.02%     0.00%  iou-wrk-3209     [kernel.vmlinux]    [k] lock_timer_base
     0.02%     0.00%  iou-wrk-3195     [kernel.vmlinux]    [k] del_timer_sync
     0.02%     0.02%  iou-wrk-3231     [kernel.vmlinux]    [k] __switch_to_asm
     0.02%     0.00%  iou-wrk-3200     [kernel.vmlinux]    [k] ext4_map_blocks
     0.02%     0.00%  iou-wrk-3225     [kernel.vmlinux]    [k] kiocb_done
     0.02%     0.00%  iou-wrk-3219     [kernel.vmlinux]    [k] del_timer_sync
     0.02%     0.00%  iou-wrk-3229     [kernel.vmlinux]    [k] kiocb_done
     0.02%     0.02%  iou-wrk-3216     [kernel.vmlinux]    [k] __switch_to_asm
     0.02%     0.00%  iou-wrk-3235     [kernel.vmlinux]    [k] ext4_map_blocks
     0.02%     0.00%  iou-wrk-3199     [kernel.vmlinux]    [k] del_timer_sync
     0.02%     0.00%  iou-wrk-3225     [kernel.vmlinux]    [k] free_pcppages_bulk
     0.02%     0.00%  iou-wrk-3214     [kernel.vmlinux]    [k] ext4_map_blocks
     0.02%     0.00%  iou-wrk-3215     [kernel.vmlinux]    [k] io_dismantle_req
     0.02%     0.01%  iou-wrk-3200     [kernel.vmlinux]    [k] set_next_entity
     0.02%     0.00%  iou-wrk-3222     [kernel.vmlinux]    [k] ext4_map_blocks
     0.02%     0.00%  iou-wrk-3216     [kernel.vmlinux]    [k] set_next_entity
     0.02%     0.00%  iou-wrk-3215     [kernel.vmlinux]    [k] kiocb_done
     0.02%     0.00%  iou-wrk-3206     [kernel.vmlinux]    [k] set_next_entity
     0.02%     0.02%  iou-wrk-3199     [kernel.vmlinux]    [k] __list_del_entry_valid
     0.02%     0.00%  iou-wrk-3202     [kernel.vmlinux]    [k] kiocb_done
     0.02%     0.00%  iou-wrk-3195     [kernel.vmlinux]    [k] kiocb_done
     0.02%     0.00%  iou-wrk-3228     [kernel.vmlinux]    [k] kiocb_done
     0.02%     0.01%  iou-wrk-3233     [kernel.vmlinux]    [k] submit_bio_checks
     0.02%     0.01%  iou-wrk-3197     [kernel.vmlinux]    [k] submit_bio_checks
     0.02%     0.00%  iou-wrk-3227     [kernel.vmlinux]    [k] lock_timer_base
     0.02%     0.00%  iou-wrk-3226     [kernel.vmlinux]    [k] kiocb_done
     0.02%     0.02%  iou-wrk-3234     [kernel.vmlinux]    [k] __switch_to_asm
     0.02%     0.02%  iou-wrk-3194     [kernel.vmlinux]    [k] workingset_refault
     0.02%     0.00%  iou-wrk-3206     [kernel.vmlinux]    [k] del_timer_sync
     0.02%     0.00%  iou-wrk-3233     [kernel.vmlinux]    [k] kiocb_done
     0.02%     0.00%  iou-wrk-3220     [kernel.vmlinux]    [k] del_timer_sync
     0.02%     0.01%  iou-wrk-3196     [kernel.vmlinux]    [k] io_req_complete_post
     0.02%     0.02%  iou-wrk-3210     [kernel.vmlinux]    [k] __switch_to_asm
     0.02%     0.00%  iou-wrk-3221     [kernel.vmlinux]    [k] set_next_entity
     0.02%     0.00%  iou-wrk-3214     [kernel.vmlinux]    [k] io_dismantle_req
     0.02%     0.00%  iou-wrk-3217     [kernel.vmlinux]    [k] del_timer_sync
     0.02%     0.02%  iou-wrk-3206     [kernel.vmlinux]    [k] workingset_refault
     0.02%     0.01%  iou-wrk-3205     [kernel.vmlinux]    [k] lock_timer_base
     0.02%     0.00%  iou-wrk-3236     [kernel.vmlinux]    [k] kiocb_done
     0.02%     0.00%  iou-wrk-3233     [kernel.vmlinux]    [k] set_next_entity
     0.02%     0.00%  iou-wrk-3229     [kernel.vmlinux]    [k] del_timer_sync
     0.02%     0.00%  iou-wrk-3213     [kernel.vmlinux]    [k] set_next_entity
     0.02%     0.00%  iou-wrk-3221     [kernel.vmlinux]    [k] del_timer_sync
     0.02%     0.00%  iou-wrk-3226     [kernel.vmlinux]    [k] del_timer_sync
     0.02%     0.00%  iou-wrk-3200     [kernel.vmlinux]    [k] try_to_del_timer_sync
     0.02%     0.00%  swapper          [kernel.vmlinux]    [k] __softirqentry_text_start
     0.02%     0.02%  iou-wrk-3197     [kernel.vmlinux]    [k] __list_del_entry_valid
     0.02%     0.00%  iou-wrk-3209     [kernel.vmlinux]    [k] kiocb_done
     0.02%     0.00%  iou-wrk-3228     [kernel.vmlinux]    [k] set_next_entity
     0.02%     0.00%  iou-wrk-3208     [kernel.vmlinux]    [k] set_next_entity
     0.02%     0.01%  iou-wrk-3216     [kernel.vmlinux]    [k] submit_bio_checks
     0.02%     0.00%  iou-wrk-3209     [kernel.vmlinux]    [k] ext4_map_blocks
     0.02%     0.00%  iou-wrk-3204     [kernel.vmlinux]    [k] try_to_del_timer_sync
     0.02%     0.00%  iou-wrk-3229     [kernel.vmlinux]    [k] io_dismantle_req
     0.02%     0.00%  iou-wrk-3205     [kernel.vmlinux]    [k] ext4_map_blocks
     0.02%     0.00%  iou-wrk-3223     [kernel.vmlinux]    [k] set_next_entity
     0.02%     0.00%  iou-wrk-3233     [kernel.vmlinux]    [k] io_dismantle_req
     0.02%     0.01%  iou-wrk-3194     [kernel.vmlinux]    [k] submit_bio_checks
     0.02%     0.01%  iou-wrk-3214     [kernel.vmlinux]    [k] submit_bio_checks
     0.02%     0.00%  iou-wrk-3194     [kernel.vmlinux]    [k] set_next_entity
     0.02%     0.02%  iou-wrk-3226     [kernel.vmlinux]    [k] workingset_refault
     0.02%     0.01%  iou-wrk-3204     [kernel.vmlinux]    [k] submit_bio_checks
     0.02%     0.00%  iou-wrk-3217     [kernel.vmlinux]    [k] set_next_entity
     0.02%     0.01%  iou-wrk-3210     [kernel.vmlinux]    [k] submit_bio_checks
     0.02%     0.02%  iou-wrk-3221     [kernel.vmlinux]    [k] workingset_refault
     0.02%     0.00%  iou-wrk-3214     [kernel.vmlinux]    [k] try_to_del_timer_sync
     0.02%     0.00%  iou-wrk-3202     [kernel.vmlinux]    [k] set_next_entity
     0.02%     0.00%  iou-wrk-3194     [kernel.vmlinux]    [k] __check_block_validity.constprop.0
     0.02%     0.01%  iou-wrk-3208     [kernel.vmlinux]    [k] io_req_complete_post
     0.02%     0.01%  iou-wrk-3213     [kernel.vmlinux]    [k] workingset_refault
     0.02%     0.01%  iou-wrk-3198     [kernel.vmlinux]    [k] submit_bio_checks
     0.02%     0.01%  iou-wrk-3217     [kernel.vmlinux]    [k] submit_bio_checks
     0.02%     0.02%  iou-wrk-3231     [kernel.vmlinux]    [k] workingset_refault
     0.02%     0.02%  iou-wrk-3235     [kernel.vmlinux]    [k] __switch_to_asm
     0.02%     0.00%  iou-wrk-3216     [kernel.vmlinux]    [k] kiocb_done
     0.02%     0.01%  iou-wrk-3196     [kernel.vmlinux]    [k] submit_bio_checks
     0.02%     0.00%  iou-wrk-3225     [kernel.vmlinux]    [k] del_timer_sync
     0.02%     0.01%  iou-wrk-3230     [kernel.vmlinux]    [k] io_req_complete_post
     0.02%     0.02%  iou-wrk-3200     [kernel.vmlinux]    [k] workingset_refault
     0.02%     0.02%  iou-wrk-3209     [kernel.vmlinux]    [k] workingset_refault
     0.02%     0.01%  iou-wrk-3205     [kernel.vmlinux]    [k] workingset_refault
     0.02%     0.00%  iou-wrk-3210     [kernel.vmlinux]    [k] del_timer_sync
     0.02%     0.01%  iou-wrk-3220     [kernel.vmlinux]    [k] submit_bio_checks
     0.02%     0.01%  iou-wrk-3227     [kernel.vmlinux]    [k] submit_bio_checks
     0.02%     0.00%  iou-wrk-3210     [kernel.vmlinux]    [k] io_dismantle_req
     0.02%     0.00%  iou-wrk-3236     [kernel.vmlinux]    [k] io_dismantle_req
     0.02%     0.00%  iou-wrk-3218     [kernel.vmlinux]    [k] try_to_del_timer_sync
     0.02%     0.02%  iou-wrk-3225     [kernel.vmlinux]    [k] workingset_refault
     0.02%     0.01%  iou-wrk-3226     [kernel.vmlinux]    [k] submit_bio_checks
     0.02%     0.00%  iou-wrk-3231     [kernel.vmlinux]    [k] del_timer_sync
     0.02%     0.00%  iou-wrk-3230     [kernel.vmlinux]    [k] set_next_entity
     0.02%     0.00%  iou-wrk-3212     [kernel.vmlinux]    [k] lock_timer_base
     0.02%     0.00%  iou-wrk-3222     [kernel.vmlinux]    [k] io_dismantle_req
     0.02%     0.00%  iou-wrk-3220     [kernel.vmlinux]    [k] io_dismantle_req
     0.02%     0.00%  iou-wrk-3227     [kernel.vmlinux]    [k] io_dismantle_req
     0.02%     0.01%  iou-wrk-3219     [kernel.vmlinux]    [k] io_req_complete_post
     0.02%     0.02%  iou-wrk-3230     [kernel.vmlinux]    [k] workingset_refault
     0.02%     0.01%  fio              [kernel.vmlinux]    [k] sched_clock
     0.02%     0.01%  iou-wrk-3204     [kernel.vmlinux]    [k] io_req_complete_post
     0.02%     0.00%  iou-wrk-3235     [kernel.vmlinux]    [k] io_dismantle_req
     0.02%     0.01%  iou-wrk-3203     [kernel.vmlinux]    [k] io_req_complete_post
     0.02%     0.00%  iou-wrk-3209     [kernel.vmlinux]    [k] set_next_entity
     0.02%     0.00%  iou-wrk-3203     [kernel.vmlinux]    [k] set_next_entity
     0.02%     0.00%  iou-wrk-3231     [kernel.vmlinux]    [k] set_next_entity
     0.02%     0.00%  iou-wrk-3228     [kernel.vmlinux]    [k] del_timer_sync
     0.02%     0.01%  iou-wrk-3222     [kernel.vmlinux]    [k] submit_bio_checks
     0.02%     0.01%  iou-wrk-3194     [kernel.vmlinux]    [k] ext4_es_lookup_extent
     0.02%     0.02%  iou-wrk-3224     [kernel.vmlinux]    [k] __switch_to_asm
     0.02%     0.01%  iou-wrk-3204     [kernel.vmlinux]    [k] security_file_permission
     0.02%     0.01%  iou-wrk-3197     [kernel.vmlinux]    [k] io_req_complete_post
     0.02%     0.00%  iou-wrk-3199     [kernel.vmlinux]    [k] io_assign_current_work
     0.02%     0.00%  iou-wrk-3205     [kernel.vmlinux]    [k] kiocb_done
     0.02%     0.00%  iou-wrk-3227     [kernel.vmlinux]    [k] __mem_cgroup_charge
     0.02%     0.00%  iou-wrk-3212     [kernel.vmlinux]    [k] io_dismantle_req
     0.02%     0.00%  iou-wrk-3198     [kernel.vmlinux]    [k] io_dismantle_req
     0.02%     0.00%  swapper          [kernel.vmlinux]    [k] tick_nohz_idle_exit
     0.02%     0.02%  iou-wrk-3233     [kernel.vmlinux]    [k] __switch_to_asm
     0.02%     0.00%  iou-wrk-3230     [kernel.vmlinux]    [k] try_to_del_timer_sync
     0.02%     0.00%  iou-wrk-3213     [kernel.vmlinux]    [k] io_dismantle_req
     0.02%     0.01%  iou-wrk-3217     [kernel.vmlinux]    [k] io_req_complete_post
     0.02%     0.01%  iou-wrk-3214     [kernel.vmlinux]    [k] io_req_complete_post
     0.02%     0.00%  iou-wrk-3227     [kernel.vmlinux]    [k] del_timer_sync
     0.02%     0.00%  iou-wrk-3215     [kernel.vmlinux]    [k] raw_spin_rq_lock_nested.constprop.0
     0.02%     0.00%  iou-wrk-3234     [kernel.vmlinux]    [k] del_timer_sync
     0.02%     0.00%  iou-wrk-3235     [kernel.vmlinux]    [k] kiocb_done
     0.02%     0.00%  iou-wrk-3225     [kernel.vmlinux]    [k] io_dismantle_req
     0.02%     0.00%  iou-wrk-3222     [kernel.vmlinux]    [k] set_next_entity
     0.02%     0.01%  iou-wrk-3204     [kernel.vmlinux]    [k] workingset_refault
     0.02%     0.00%  iou-wrk-3202     [kernel.vmlinux]    [k] io_dismantle_req
     0.02%     0.00%  iou-wrk-3231     [kernel.vmlinux]    [k] io_assign_current_work
     0.02%     0.01%  iou-wrk-3200     [kernel.vmlinux]    [k] io_req_complete_post
     0.02%     0.00%  iou-wrk-3198     [kernel.vmlinux]    [k] try_to_del_timer_sync
     0.02%     0.00%  iou-wrk-3209     [kernel.vmlinux]    [k] io_dismantle_req
     0.02%     0.01%  iou-wrk-3196     [kernel.vmlinux]    [k] workingset_refault
     0.02%     0.00%  iou-wrk-3199     [kernel.vmlinux]    [k] io_dismantle_req
     0.02%     0.00%  iou-wrk-3233     [kernel.vmlinux]    [k] try_to_del_timer_sync
     0.02%     0.00%  iou-wrk-3228     [kernel.vmlinux]    [k] __mem_cgroup_charge
     0.02%     0.01%  iou-wrk-3198     [kernel.vmlinux]    [k] io_req_complete_post
     0.02%     0.01%  iou-wrk-3227     [kernel.vmlinux]    [k] io_req_complete_post
     0.02%     0.00%  iou-wrk-3203     [kernel.vmlinux]    [k] try_to_del_timer_sync
     0.02%     0.00%  iou-wrk-3236     [kernel.vmlinux]    [k] set_next_entity
     0.02%     0.00%  iou-wrk-3215     [kernel.vmlinux]    [k] io_assign_current_work
     0.02%     0.00%  iou-wrk-3216     [kernel.vmlinux]    [k] io_dismantle_req
     0.02%     0.00%  iou-wrk-3203     [kernel.vmlinux]    [k] io_dismantle_req
     0.02%     0.00%  iou-wrk-3225     [kernel.vmlinux]    [k] raw_spin_rq_lock_nested.constprop.0
     0.02%     0.00%  iou-wrk-3204     [kernel.vmlinux]    [k] io_dismantle_req
     0.02%     0.00%  iou-wrk-3215     [kernel.vmlinux]    [k] set_next_entity
     0.02%     0.00%  iou-wrk-3213     [kernel.vmlinux]    [k] try_to_del_timer_sync
     0.02%     0.01%  iou-wrk-3232     [kernel.vmlinux]    [k] submit_bio_checks
     0.02%     0.02%  iou-wrk-3203     [kernel.vmlinux]    [k] workingset_refault
     0.02%     0.01%  iou-wrk-3224     [kernel.vmlinux]    [k] workingset_refault
     0.02%     0.00%  iou-wrk-3232     [kernel.vmlinux]    [k] try_to_del_timer_sync
     0.02%     0.00%  iou-wrk-3216     [kernel.vmlinux]    [k] del_timer_sync
     0.02%     0.00%  iou-wrk-3209     [kernel.vmlinux]    [k] raw_spin_rq_lock_nested.constprop.0
     0.02%     0.00%  iou-wrk-3236     [kernel.vmlinux]    [k] del_timer_sync
     0.02%     0.00%  iou-wrk-3234     [kernel.vmlinux]    [k] io_dismantle_req
     0.02%     0.00%  iou-wrk-3230     [kernel.vmlinux]    [k] __mem_cgroup_charge
     0.02%     0.00%  iou-wrk-3194     [kernel.vmlinux]    [k] io_dismantle_req
     0.02%     0.01%  iou-wrk-3208     [kernel.vmlinux]    [k] workingset_refault
     0.02%     0.00%  iou-wrk-3220     [kernel.vmlinux]    [k] io_assign_current_work
     0.02%     0.01%  iou-wrk-3227     [kernel.vmlinux]    [k] workingset_refault
     0.02%     0.01%  iou-wrk-3234     [kernel.vmlinux]    [k] io_req_complete_post
     0.02%     0.02%  iou-wrk-3197     [kernel.vmlinux]    [k] __switch_to_asm
     0.02%     0.00%  swapper          [kernel.vmlinux]    [k] sched_clock_cpu
     0.02%     0.02%  iou-wrk-3218     [kernel.vmlinux]    [k] workingset_refault
     0.02%     0.00%  kcompactd0       [kernel.vmlinux]    [k] migrate_page
     0.02%     0.01%  iou-wrk-3235     [kernel.vmlinux]    [k] submit_bio_checks
     0.02%     0.01%  iou-wrk-3229     [kernel.vmlinux]    [k] workingset_refault
     0.02%     0.01%  iou-wrk-3224     [kernel.vmlinux]    [k] submit_bio_checks
     0.02%     0.02%  iou-wrk-3236     [kernel.vmlinux]    [k] mark_page_accessed
     0.02%     0.01%  iou-wrk-3212     [kernel.vmlinux]    [k] io_req_complete_post
     0.02%     0.00%  iou-wrk-3221     [kernel.vmlinux]    [k] raw_spin_rq_lock_nested.constprop.0
     0.02%     0.01%  iou-wrk-3223     [kernel.vmlinux]    [k] submit_bio_checks
     0.02%     0.02%  fio              [kernel.vmlinux]    [k] cgroup_rstat_updated
     0.02%     0.01%  iou-wrk-3231     [kernel.vmlinux]    [k] submit_bio_checks
     0.02%     0.00%  iou-wrk-3194     [kernel.vmlinux]    [k] try_to_del_timer_sync
     0.02%     0.00%  iou-wrk-3212     [kernel.vmlinux]    [k] del_timer_sync
     0.02%     0.00%  iou-wrk-3204     [kernel.vmlinux]    [k] set_next_entity
     0.02%     0.01%  iou-wrk-3216     [kernel.vmlinux]    [k] workingset_refault
     0.02%     0.02%  iou-wrk-3205     [kernel.vmlinux]    [k] __switch_to_asm
     0.02%     0.01%  iou-wrk-3209     [kernel.vmlinux]    [k] submit_bio_checks
     0.02%     0.01%  iou-wrk-3210     [kernel.vmlinux]    [k] security_file_permission
     0.02%     0.00%  iou-wrk-3223     [kernel.vmlinux]    [k] __mem_cgroup_charge
     0.02%     0.00%  iou-wrk-3212     [kernel.vmlinux]    [k] raw_spin_rq_lock_nested.constprop.0
     0.02%     0.00%  iou-wrk-3231     [kernel.vmlinux]    [k] __mem_cgroup_charge
     0.02%     0.01%  iou-wrk-3195     [kernel.vmlinux]    [k] submit_bio_checks
     0.02%     0.00%  iou-wrk-3206     [kernel.vmlinux]    [k] io_dismantle_req
     0.02%     0.00%  iou-wrk-3202     [kernel.vmlinux]    [k] try_to_del_timer_sync
     0.02%     0.01%  iou-wrk-3226     [kernel.vmlinux]    [k] security_file_permission
     0.02%     0.01%  iou-wrk-3197     [kernel.vmlinux]    [k] workingset_refault
     0.02%     0.00%  iou-wrk-3199     [kernel.vmlinux]    [k] kiocb_done
     0.02%     0.00%  iou-wrk-3229     [kernel.vmlinux]    [k] io_assign_current_work
     0.02%     0.00%  iou-wrk-3225     [kernel.vmlinux]    [k] set_next_entity
     0.02%     0.00%  iou-wrk-3224     [kernel.vmlinux]    [k] set_next_entity
     0.02%     0.00%  iou-wrk-3219     [kernel.vmlinux]    [k] __mem_cgroup_charge
     0.02%     0.00%  iou-wrk-3219     [kernel.vmlinux]    [k] io_dismantle_req
     0.02%     0.00%  iou-wrk-3222     [kernel.vmlinux]    [k] raw_spin_rq_lock_nested.constprop.0
     0.02%     0.00%  iou-wrk-3234     [kernel.vmlinux]    [k] io_assign_current_work
     0.02%     0.00%  iou-wrk-3221     [kernel.vmlinux]    [k] io_dismantle_req
     0.02%     0.00%  iou-wrk-3212     [kernel.vmlinux]    [k] __mem_cgroup_charge
     0.02%     0.01%  iou-wrk-3233     [kernel.vmlinux]    [k] workingset_refault
     0.02%     0.01%  iou-wrk-3194     [kernel.vmlinux]    [k] io_req_complete_post
     0.02%     0.01%  iou-wrk-3233     [kernel.vmlinux]    [k] security_file_permission
     0.02%     0.00%  iou-wrk-3213     [kernel.vmlinux]    [k] raw_spin_rq_lock_nested.constprop.0
     0.02%     0.00%  iou-wrk-3210     [kernel.vmlinux]    [k] set_next_entity
     0.02%     0.00%  iou-wrk-3217     [kernel.vmlinux]    [k] __mem_cgroup_charge
     0.02%     0.00%  iou-wrk-3231     [kernel.vmlinux]    [k] raw_spin_rq_lock_nested.constprop.0
     0.02%     0.00%  iou-wrk-3205     [kernel.vmlinux]    [k] del_timer_sync
     0.02%     0.02%  iou-wrk-3195     [kernel.vmlinux]    [k] __switch_to_asm
     0.02%     0.01%  iou-wrk-3215     [kernel.vmlinux]    [k] workingset_refault
     0.02%     0.01%  iou-wrk-3195     [kernel.vmlinux]    [k] workingset_refault
     0.02%     0.00%  iou-wrk-3196     [kernel.vmlinux]    [k] try_to_del_timer_sync
     0.02%     0.02%  iou-wrk-3229     [kernel.vmlinux]    [k] __switch_to_asm
     0.02%     0.00%  iou-wrk-3228     [kernel.vmlinux]    [k] io_dismantle_req
     0.02%     0.00%  iou-wrk-3229     [kernel.vmlinux]    [k] set_next_entity
     0.02%     0.00%  iou-wrk-3200     [kernel.vmlinux]    [k] io_assign_current_work
     0.02%     0.02%  fio              [kernel.vmlinux]    [k] save_fpregs_to_fpstate
     0.02%     0.00%  iou-wrk-3195     [kernel.vmlinux]    [k] try_to_del_timer_sync
     0.02%     0.00%  iou-wrk-3210     [kernel.vmlinux]    [k] raw_spin_rq_lock_nested.constprop.0
     0.02%     0.01%  iou-wrk-3213     [kernel.vmlinux]    [k] submit_bio_checks
     0.02%     0.00%  iou-wrk-3200     [kernel.vmlinux]    [k] io_dismantle_req
     0.02%     0.02%  iou-wrk-3226     [kernel.vmlinux]    [k] __switch_to_asm
     0.02%     0.00%  iou-wrk-3198     [kernel.vmlinux]    [k] io_assign_current_work
     0.02%     0.00%  iou-wrk-3217     [kernel.vmlinux]    [k] try_to_del_timer_sync
     0.02%     0.00%  iou-wrk-3224     [kernel.vmlinux]    [k] raw_spin_rq_lock_nested.constprop.0
     0.02%     0.01%  iou-wrk-3195     [kernel.vmlinux]    [k] io_req_complete_post
     0.02%     0.00%  iou-wrk-3220     [kernel.vmlinux]    [k] try_to_del_timer_sync
     0.02%     0.01%  iou-wrk-3210     [kernel.vmlinux]    [k] io_req_complete_post
     0.02%     0.01%  iou-wrk-3232     [kernel.vmlinux]    [k] io_req_complete_post
     0.02%     0.00%  iou-wrk-3205     [kernel.vmlinux]    [k] io_dismantle_req
     0.02%     0.00%  iou-wrk-3234     [kernel.vmlinux]    [k] raw_spin_rq_lock_nested.constprop.0
     0.02%     0.01%  iou-wrk-3222     [kernel.vmlinux]    [k] workingset_refault
     0.02%     0.00%  iou-wrk-3221     [kernel.vmlinux]    [k] try_to_del_timer_sync
     0.02%     0.02%  iou-wrk-3202     [kernel.vmlinux]    [k] __switch_to_asm
     0.02%     0.01%  iou-wrk-3215     [kernel.vmlinux]    [k] submit_bio_checks
     0.02%     0.01%  iou-wrk-3202     [kernel.vmlinux]    [k] io_req_complete_post
     0.02%     0.01%  iou-wrk-3222     [kernel.vmlinux]    [k] io_req_complete_post
     0.02%     0.01%  iou-wrk-3225     [kernel.vmlinux]    [k] submit_bio_checks
     0.02%     0.02%  iou-wrk-3217     [kernel.vmlinux]    [k] __switch_to_asm
     0.02%     0.00%  iou-wrk-3194     [kernel.vmlinux]    [k] io_assign_current_work
     0.02%     0.02%  iou-wrk-3200     [kernel.vmlinux]    [k] __switch_to_asm
     0.02%     0.00%  iou-wrk-3208     [kernel.vmlinux]    [k] io_dismantle_req
     0.02%     0.00%  iou-wrk-3206     [kernel.vmlinux]    [k] io_assign_current_work
     0.02%     0.01%  iou-wrk-3221     [kernel.vmlinux]    [k] io_req_complete_post
     0.02%     0.00%  iou-wrk-3219     [kernel.vmlinux]    [k] try_to_del_timer_sync
     0.02%     0.02%  iou-wrk-3222     [kernel.vmlinux]    [k] mark_page_accessed
     0.02%     0.00%  iou-wrk-3206     [kernel.vmlinux]    [k] try_to_del_timer_sync
     0.02%     0.01%  iou-wrk-3218     [kernel.vmlinux]    [k] io_req_complete_post
     0.02%     0.01%  iou-wrk-3236     [kernel.vmlinux]    [k] workingset_refault
     0.02%     0.00%  iou-wrk-3197     [kernel.vmlinux]    [k] set_next_entity
     0.02%     0.00%  iou-wrk-3226     [kernel.vmlinux]    [k] io_assign_current_work
