# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 853K of event 'cycles'
# Event count (approx.): 81032972670636
#
# Children      Self  Command          Shared Object       Symbol                                    
# ........  ........  ...............  ..................  ..........................................
#
     1.87%     0.00%  iou-wrk-3236     [kernel.vmlinux]    [k] ret_from_fork
     1.87%     0.01%  iou-wrk-3203     [kernel.vmlinux]    [k] io_wqe_worker
     1.87%     0.00%  iou-wrk-3203     [kernel.vmlinux]    [k] ret_from_fork
     1.87%     0.01%  iou-wrk-3199     [kernel.vmlinux]    [k] io_wqe_worker
     1.87%     0.00%  iou-wrk-3199     [kernel.vmlinux]    [k] ret_from_fork
     1.86%     0.01%  iou-wrk-3196     [kernel.vmlinux]    [k] io_wqe_worker
     1.86%     0.00%  iou-wrk-3196     [kernel.vmlinux]    [k] ret_from_fork
     1.86%     0.01%  iou-wrk-3228     [kernel.vmlinux]    [k] io_wqe_worker
     1.86%     0.00%  iou-wrk-3228     [kernel.vmlinux]    [k] ret_from_fork
     1.86%     0.01%  iou-wrk-3225     [kernel.vmlinux]    [k] io_wqe_worker
     1.86%     0.00%  iou-wrk-3225     [kernel.vmlinux]    [k] ret_from_fork
     1.85%     0.01%  iou-wrk-3235     [kernel.vmlinux]    [k] io_wqe_worker
     1.85%     0.00%  iou-wrk-3235     [kernel.vmlinux]    [k] ret_from_fork
     1.85%     0.01%  iou-wrk-3227     [kernel.vmlinux]    [k] io_wqe_worker
     1.85%     0.00%  iou-wrk-3227     [kernel.vmlinux]    [k] ret_from_fork
     1.84%     0.01%  iou-wrk-3195     [kernel.vmlinux]    [k] io_wqe_worker
     1.84%     0.00%  iou-wrk-3195     [kernel.vmlinux]    [k] ret_from_fork
     1.84%     0.01%  iou-wrk-3205     [kernel.vmlinux]    [k] io_wqe_worker
     1.84%     0.00%  iou-wrk-3205     [kernel.vmlinux]    [k] ret_from_fork
     1.82%     0.01%  iou-wrk-3219     [kernel.vmlinux]    [k] io_wqe_worker
     1.82%     0.00%  iou-wrk-3219     [kernel.vmlinux]    [k] ret_from_fork
     1.82%     0.01%  iou-wrk-3221     [kernel.vmlinux]    [k] io_wqe_worker
     1.82%     0.00%  iou-wrk-3221     [kernel.vmlinux]    [k] ret_from_fork
     1.82%     0.01%  iou-wrk-3202     [kernel.vmlinux]    [k] io_wqe_worker
     1.82%     0.00%  iou-wrk-3202     [kernel.vmlinux]    [k] ret_from_fork
     1.81%     1.80%  fio              [kernel.vmlinux]    [k] psi_group_change
     1.81%     0.01%  iou-wrk-3212     [kernel.vmlinux]    [k] io_wqe_worker
     1.81%     0.00%  iou-wrk-3212     [kernel.vmlinux]    [k] ret_from_fork
     1.79%     0.01%  iou-wrk-3215     [kernel.vmlinux]    [k] io_wqe_worker
     1.79%     0.00%  iou-wrk-3215     [kernel.vmlinux]    [k] ret_from_fork
     1.68%     0.00%  swapper          [kernel.vmlinux]    [k] cpu_startup_entry
     1.68%     0.00%  swapper          [kernel.vmlinux]    [k] secondary_startup_64_no_verify
     1.68%     0.02%  swapper          [kernel.vmlinux]    [k] do_idle
     1.64%     0.00%  swapper          [kernel.vmlinux]    [k] start_secondary
     1.62%     0.43%  fio              [kernel.vmlinux]    [k] enqueue_entity
     1.59%     0.23%  fio              [kernel.vmlinux]    [k] pick_next_task_fair
     1.53%     0.01%  iou-wrk-3204     [kernel.vmlinux]    [k] io_worker_handle_work
     1.53%     0.01%  iou-wrk-3234     [kernel.vmlinux]    [k] io_worker_handle_work
     1.53%     0.01%  iou-wrk-3194     [kernel.vmlinux]    [k] io_worker_handle_work
     1.53%     0.01%  iou-wrk-3230     [kernel.vmlinux]    [k] io_worker_handle_work
     1.52%     0.02%  iou-wrk-3232     [kernel.vmlinux]    [k] io_worker_handle_work
     1.51%     0.01%  iou-wrk-3216     [kernel.vmlinux]    [k] io_worker_handle_work
     1.51%     0.01%  iou-wrk-3209     [kernel.vmlinux]    [k] io_worker_handle_work
     1.51%     0.01%  iou-wrk-3226     [kernel.vmlinux]    [k] io_worker_handle_work
     1.51%     0.01%  iou-wrk-3229     [kernel.vmlinux]    [k] io_worker_handle_work
     1.50%     0.01%  iou-wrk-3210     [kernel.vmlinux]    [k] io_worker_handle_work
     1.50%     0.01%  iou-wrk-3197     [kernel.vmlinux]    [k] io_worker_handle_work
     1.50%     0.01%  iou-wrk-3198     [kernel.vmlinux]    [k] io_worker_handle_work
     1.50%     0.01%  iou-wrk-3231     [kernel.vmlinux]    [k] io_worker_handle_work
     1.50%     0.01%  iou-wrk-3213     [kernel.vmlinux]    [k] io_worker_handle_work
     1.50%     0.01%  iou-wrk-3222     [kernel.vmlinux]    [k] io_worker_handle_work
     1.49%     0.01%  iou-wrk-3218     [kernel.vmlinux]    [k] io_worker_handle_work
     1.49%     0.01%  iou-wrk-3206     [kernel.vmlinux]    [k] io_worker_handle_work
     1.49%     0.01%  iou-wrk-3200     [kernel.vmlinux]    [k] io_worker_handle_work
     1.49%     0.01%  iou-wrk-3208     [kernel.vmlinux]    [k] io_worker_handle_work
     1.49%     0.01%  iou-wrk-3224     [kernel.vmlinux]    [k] io_worker_handle_work
     1.49%     0.01%  iou-wrk-3217     [kernel.vmlinux]    [k] io_worker_handle_work
     1.49%     0.01%  iou-wrk-3214     [kernel.vmlinux]    [k] io_worker_handle_work
     1.49%     0.01%  iou-wrk-3220     [kernel.vmlinux]    [k] io_worker_handle_work
     1.48%     0.01%  iou-wrk-3223     [kernel.vmlinux]    [k] io_worker_handle_work
     1.48%     0.01%  iou-wrk-3236     [kernel.vmlinux]    [k] io_worker_handle_work
     1.48%     0.01%  iou-wrk-3233     [kernel.vmlinux]    [k] io_worker_handle_work
     1.48%     0.01%  iou-wrk-3203     [kernel.vmlinux]    [k] io_worker_handle_work
     1.48%     0.01%  iou-wrk-3199     [kernel.vmlinux]    [k] io_worker_handle_work
     1.47%     0.01%  iou-wrk-3196     [kernel.vmlinux]    [k] io_worker_handle_work
     1.47%     0.01%  iou-wrk-3227     [kernel.vmlinux]    [k] io_worker_handle_work
     1.47%     0.01%  iou-wrk-3228     [kernel.vmlinux]    [k] io_worker_handle_work
     1.47%     0.01%  iou-wrk-3235     [kernel.vmlinux]    [k] io_worker_handle_work
     1.46%     0.01%  iou-wrk-3225     [kernel.vmlinux]    [k] io_worker_handle_work
     1.45%     0.00%  iou-wrk-3204     [kernel.vmlinux]    [k] io_wq_submit_work
     1.45%     0.00%  iou-wrk-3194     [kernel.vmlinux]    [k] io_wq_submit_work
     1.45%     0.01%  iou-wrk-3204     [kernel.vmlinux]    [k] io_issue_sqe
     1.45%     0.01%  iou-wrk-3195     [kernel.vmlinux]    [k] io_worker_handle_work
     1.45%     0.00%  iou-wrk-3194     [kernel.vmlinux]    [k] io_issue_sqe
     1.45%     0.00%  iou-wrk-3234     [kernel.vmlinux]    [k] io_wq_submit_work
     1.45%     0.01%  iou-wrk-3205     [kernel.vmlinux]    [k] io_worker_handle_work
     1.45%     0.00%  iou-wrk-3234     [kernel.vmlinux]    [k] io_issue_sqe
     1.45%     0.01%  iou-wrk-3204     [kernel.vmlinux]    [k] io_read
     1.45%     0.01%  iou-wrk-3194     [kernel.vmlinux]    [k] io_read
     1.45%     0.00%  iou-wrk-3234     [kernel.vmlinux]    [k] io_read
     1.45%     0.01%  iou-wrk-3219     [kernel.vmlinux]    [k] io_worker_handle_work
     1.44%     0.00%  iou-wrk-3230     [kernel.vmlinux]    [k] io_wq_submit_work
     1.44%     0.00%  iou-wrk-3230     [kernel.vmlinux]    [k] io_issue_sqe
     1.44%     0.61%  fio              [kernel.vmlinux]    [k] update_load_avg
     1.44%     0.00%  iou-wrk-3230     [kernel.vmlinux]    [k] io_read
     1.44%     0.00%  iou-wrk-3216     [kernel.vmlinux]    [k] io_wq_submit_work
     1.43%     0.00%  iou-wrk-3209     [kernel.vmlinux]    [k] io_wq_submit_work
     1.43%     0.01%  iou-wrk-3221     [kernel.vmlinux]    [k] io_worker_handle_work
     1.43%     0.00%  iou-wrk-3232     [kernel.vmlinux]    [k] io_wq_submit_work
     1.43%     0.01%  iou-wrk-3202     [kernel.vmlinux]    [k] io_worker_handle_work
     1.43%     0.00%  iou-wrk-3210     [kernel.vmlinux]    [k] io_wq_submit_work
     1.43%     0.00%  iou-wrk-3216     [kernel.vmlinux]    [k] io_issue_sqe
     1.43%     0.00%  iou-wrk-3232     [kernel.vmlinux]    [k] io_issue_sqe
