# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 41K of event 'cycles'
# Event count (approx.): 8152358521559
#
# Children      Self  Command          Shared Object               Symbol                                 
# ........  ........  ...............  ..........................  .......................................
#
    24.30%     0.05%  fio              [kernel.vmlinux]            [k] entry_SYSCALL_64
    24.24%     0.00%  fio              [kernel.vmlinux]            [k] do_syscall_64
    23.92%     0.04%  fio              [kernel.vmlinux]            [k] __do_sys_io_uring_enter
    23.82%     0.72%  fio              [kernel.vmlinux]            [k] io_submit_sqes
    22.13%     0.43%  fio              [kernel.vmlinux]            [k] __io_queue_sqe
    14.95%     0.07%  fio              [kernel.vmlinux]            [k] io_queue_async_work
    14.49%     0.24%  fio              [kernel.vmlinux]            [k] io_wqe_enqueue
    13.98%     0.26%  fio              [kernel.vmlinux]            [k] io_wqe_activate_free_worker
    13.53%     0.33%  fio              [kernel.vmlinux]            [k] try_to_wake_up
     6.88%     0.11%  fio              [kernel.vmlinux]            [k] ttwu_do_activate
     6.75%     0.26%  fio              [kernel.vmlinux]            [k] io_issue_sqe
     6.50%     0.33%  fio              [kernel.vmlinux]            [k] io_read
     5.64%     0.32%  fio              [kernel.vmlinux]            [k] io_setup_async_rw
     5.20%     0.43%  fio              [kernel.vmlinux]            [k] __kmalloc
     4.61%     0.17%  fio              [kernel.vmlinux]            [k] __cond_resched
     4.44%     0.18%  fio              [kernel.vmlinux]            [k] preempt_schedule_common
     4.44%     0.73%  fio              [kernel.vmlinux]            [k] __sched_text_start
     3.82%     1.59%  fio              [kernel.vmlinux]            [k] select_task_rq_fair
     3.62%     0.50%  fio              [kernel.vmlinux]            [k] enqueue_task_fair
     3.16%     0.21%  fio              [kernel.vmlinux]            [k] psi_task_change
     2.43%     2.40%  fio              [kernel.vmlinux]            [k] psi_group_change
     2.25%     0.00%  swapper          [kernel.vmlinux]            [k] cpu_startup_entry
     2.25%     0.00%  swapper          [kernel.vmlinux]            [k] secondary_startup_64_no_verify
     2.24%     0.03%  swapper          [kernel.vmlinux]            [k] do_idle
     2.15%     0.00%  swapper          [kernel.vmlinux]            [k] start_secondary
     2.14%     0.00%  kswapd0          [kernel.vmlinux]            [k] balance_pgdat
     2.14%     0.00%  kswapd0          [kernel.vmlinux]            [k] kswapd
     2.14%     0.00%  kswapd0          [kernel.vmlinux]            [k] kthread
     2.14%     0.00%  kswapd0          [kernel.vmlinux]            [k] ret_from_fork
     2.14%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_node
     2.14%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_lruvec
     2.09%     0.22%  fio              [kernel.vmlinux]            [k] pick_next_task_fair
     1.98%     0.01%  iou-wrk-3100     [kernel.vmlinux]            [k] io_wqe_worker
     1.98%     0.00%  iou-wrk-3100     [kernel.vmlinux]            [k] ret_from_fork
     1.95%     0.01%  iou-wrk-3095     [kernel.vmlinux]            [k] io_wqe_worker
     1.95%     0.00%  iou-wrk-3095     [kernel.vmlinux]            [k] ret_from_fork
     1.93%     0.02%  iou-wrk-3116     [kernel.vmlinux]            [k] io_wqe_worker
     1.93%     0.00%  iou-wrk-3116     [kernel.vmlinux]            [k] ret_from_fork
     1.91%     0.00%  iou-wrk-3107     [kernel.vmlinux]            [k] io_wqe_worker
     1.91%     0.00%  iou-wrk-3107     [kernel.vmlinux]            [k] ret_from_fork
     1.90%     0.01%  iou-wrk-3121     [kernel.vmlinux]            [k] io_wqe_worker
     1.90%     0.00%  iou-wrk-3121     [kernel.vmlinux]            [k] ret_from_fork
     1.89%     0.01%  iou-wrk-3108     [kernel.vmlinux]            [k] io_wqe_worker
     1.89%     0.00%  iou-wrk-3108     [kernel.vmlinux]            [k] ret_from_fork
     1.88%     0.00%  iou-wrk-3106     [kernel.vmlinux]            [k] io_wqe_worker
     1.88%     0.00%  iou-wrk-3106     [kernel.vmlinux]            [k] ret_from_fork
     1.85%     0.01%  iou-wrk-3115     [kernel.vmlinux]            [k] io_wqe_worker
     1.85%     0.00%  iou-wrk-3115     [kernel.vmlinux]            [k] ret_from_fork
     1.81%     0.02%  iou-wrk-3102     [kernel.vmlinux]            [k] io_wqe_worker
     1.81%     0.00%  iou-wrk-3102     [kernel.vmlinux]            [k] ret_from_fork
     1.79%     0.01%  iou-wrk-3124     [kernel.vmlinux]            [k] io_wqe_worker
     1.79%     0.00%  iou-wrk-3124     [kernel.vmlinux]            [k] ret_from_fork
     1.78%     0.01%  iou-wrk-3101     [kernel.vmlinux]            [k] io_wqe_worker
     1.78%     0.00%  iou-wrk-3101     [kernel.vmlinux]            [k] ret_from_fork
     1.78%     0.01%  iou-wrk-3125     [kernel.vmlinux]            [k] io_wqe_worker
     1.78%     0.00%  iou-wrk-3125     [kernel.vmlinux]            [k] ret_from_fork
     1.77%     0.02%  iou-wrk-3130     [kernel.vmlinux]            [k] io_wqe_worker
     1.77%     0.00%  iou-wrk-3130     [kernel.vmlinux]            [k] ret_from_fork
     1.75%     0.01%  iou-wrk-3132     [kernel.vmlinux]            [k] io_wqe_worker
     1.75%     0.00%  iou-wrk-3132     [kernel.vmlinux]            [k] ret_from_fork
     1.75%     0.01%  iou-wrk-3117     [kernel.vmlinux]            [k] io_wqe_worker
     1.75%     0.00%  iou-wrk-3117     [kernel.vmlinux]            [k] ret_from_fork
     1.75%     0.01%  iou-wrk-3114     [kernel.vmlinux]            [k] io_wqe_worker
     1.75%     0.00%  iou-wrk-3114     [kernel.vmlinux]            [k] ret_from_fork
     1.75%     0.02%  iou-wrk-3126     [kernel.vmlinux]            [k] io_wqe_worker
     1.75%     0.00%  iou-wrk-3126     [kernel.vmlinux]            [k] ret_from_fork
     1.73%     0.70%  fio              [kernel.vmlinux]            [k] update_load_avg
     1.72%     0.01%  iou-wrk-3131     [kernel.vmlinux]            [k] io_wqe_worker
     1.72%     0.00%  iou-wrk-3131     [kernel.vmlinux]            [k] ret_from_fork
     1.70%     0.01%  iou-wrk-3119     [kernel.vmlinux]            [k] io_wqe_worker
     1.70%     0.00%  iou-wrk-3119     [kernel.vmlinux]            [k] ret_from_fork
     1.69%     0.07%  iou-wrk-3118     [kernel.vmlinux]            [k] io_wqe_worker
     1.69%     0.00%  iou-wrk-3118     [kernel.vmlinux]            [k] ret_from_fork
     1.69%     0.02%  iou-wrk-3128     [kernel.vmlinux]            [k] io_wqe_worker
     1.69%     0.00%  iou-wrk-3128     [kernel.vmlinux]            [k] ret_from_fork
     1.68%     0.01%  iou-wrk-3103     [kernel.vmlinux]            [k] io_wqe_worker
     1.68%     0.00%  iou-wrk-3103     [kernel.vmlinux]            [k] ret_from_fork
     1.68%     0.01%  iou-wrk-3111     [kernel.vmlinux]            [k] io_wqe_worker
     1.68%     0.00%  iou-wrk-3111     [kernel.vmlinux]            [k] ret_from_fork
     1.66%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_inactive_list
     1.65%     0.02%  iou-wrk-3110     [kernel.vmlinux]            [k] io_wqe_worker
     1.65%     0.00%  iou-wrk-3110     [kernel.vmlinux]            [k] ret_from_fork
     1.65%     0.01%  iou-wrk-3113     [kernel.vmlinux]            [k] io_wqe_worker
     1.65%     0.00%  iou-wrk-3113     [kernel.vmlinux]            [k] ret_from_fork
     1.64%     0.01%  iou-wrk-3127     [kernel.vmlinux]            [k] io_wqe_worker
     1.64%     0.00%  iou-wrk-3127     [kernel.vmlinux]            [k] ret_from_fork
     1.64%     0.42%  fio              [kernel.vmlinux]            [k] enqueue_entity
     1.64%     0.00%  iou-wrk-3097     [kernel.vmlinux]            [k] io_wqe_worker
     1.64%     0.00%  iou-wrk-3097     [kernel.vmlinux]            [k] ret_from_fork
     1.64%     0.03%  iou-wrk-3133     [kernel.vmlinux]            [k] io_wqe_worker
     1.64%     0.00%  iou-wrk-3133     [kernel.vmlinux]            [k] ret_from_fork
     1.63%     0.00%  iou-wrk-3099     [kernel.vmlinux]            [k] io_wqe_worker
     1.63%     0.00%  iou-wrk-3099     [kernel.vmlinux]            [k] ret_from_fork
     1.63%     0.01%  iou-wrk-3094     [kernel.vmlinux]            [k] io_wqe_worker
     1.63%     0.00%  iou-wrk-3094     [kernel.vmlinux]            [k] ret_from_fork
     1.62%     0.01%  iou-wrk-3123     [kernel.vmlinux]            [k] io_wqe_worker
     1.62%     0.00%  iou-wrk-3123     [kernel.vmlinux]            [k] ret_from_fork
