# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 43K of event 'cycles'
# Event count (approx.): 9102693993722
#
# Children      Self  Command          Shared Object     Symbol                                  
# ........  ........  ...............  ................  ........................................
#
     1.84%     0.01%  iou-wrk-3154     [kernel.vmlinux]  [k] io_wqe_worker
     1.84%     0.00%  iou-wrk-3154     [kernel.vmlinux]  [k] ret_from_fork
     1.84%     0.00%  iou-wrk-3165     [kernel.vmlinux]  [k] io_wqe_worker
     1.84%     0.00%  iou-wrk-3165     [kernel.vmlinux]  [k] ret_from_fork
     1.82%     0.00%  iou-wrk-3130     [kernel.vmlinux]  [k] io_wqe_worker
     1.82%     0.00%  iou-wrk-3130     [kernel.vmlinux]  [k] ret_from_fork
     1.82%     0.00%  iou-wrk-3157     [kernel.vmlinux]  [k] io_wqe_worker
     1.82%     0.00%  iou-wrk-3157     [kernel.vmlinux]  [k] ret_from_fork
     1.80%     0.02%  iou-wrk-3144     [kernel.vmlinux]  [k] io_wqe_worker
     1.80%     0.00%  iou-wrk-3144     [kernel.vmlinux]  [k] ret_from_fork
     1.80%     0.00%  iou-wrk-3164     [kernel.vmlinux]  [k] io_wqe_worker
     1.80%     0.00%  iou-wrk-3164     [kernel.vmlinux]  [k] ret_from_fork
     1.77%     0.01%  iou-wrk-3146     [kernel.vmlinux]  [k] io_wqe_worker
     1.77%     0.00%  iou-wrk-3146     [kernel.vmlinux]  [k] ret_from_fork
     1.77%     0.00%  iou-wrk-3150     [kernel.vmlinux]  [k] io_wqe_worker
     1.77%     0.00%  iou-wrk-3150     [kernel.vmlinux]  [k] ret_from_fork
     1.76%     0.01%  iou-wrk-3135     [kernel.vmlinux]  [k] io_wqe_worker
     1.76%     0.00%  iou-wrk-3135     [kernel.vmlinux]  [k] ret_from_fork
     1.75%     0.00%  iou-wrk-3140     [kernel.vmlinux]  [k] io_wqe_worker
     1.75%     0.00%  iou-wrk-3140     [kernel.vmlinux]  [k] ret_from_fork
     1.73%     0.01%  iou-wrk-3155     [kernel.vmlinux]  [k] io_wqe_worker
     1.73%     0.00%  iou-wrk-3155     [kernel.vmlinux]  [k] ret_from_fork
     1.71%     0.01%  iou-wrk-3137     [kernel.vmlinux]  [k] io_worker_handle_work
     1.71%     0.01%  iou-wrk-3158     [kernel.vmlinux]  [k] io_worker_handle_work
     1.69%     0.02%  iou-wrk-3162     [kernel.vmlinux]  [k] io_worker_handle_work
     1.69%     0.02%  iou-wrk-3161     [kernel.vmlinux]  [k] io_worker_handle_work
     1.68%     0.01%  iou-wrk-3151     [kernel.vmlinux]  [k] io_worker_handle_work
     1.67%     0.01%  iou-wrk-3128     [kernel.vmlinux]  [k] io_wqe_worker
     1.67%     0.00%  iou-wrk-3128     [kernel.vmlinux]  [k] ret_from_fork
     1.65%     0.00%  iou-wrk-3137     [kernel.vmlinux]  [k] io_issue_sqe
     1.65%     0.00%  iou-wrk-3137     [kernel.vmlinux]  [k] io_wq_submit_work
     1.65%     0.01%  iou-wrk-3137     [kernel.vmlinux]  [k] io_read
     1.65%     0.01%  iou-wrk-3145     [kernel.vmlinux]  [k] io_wqe_worker
     1.65%     0.00%  iou-wrk-3145     [kernel.vmlinux]  [k] ret_from_fork
     1.65%     1.63%  fio              [kernel.vmlinux]  [k] psi_group_change
     1.65%     0.00%  iou-wrk-3158     [kernel.vmlinux]  [k] io_issue_sqe
     1.65%     0.00%  iou-wrk-3158     [kernel.vmlinux]  [k] io_wq_submit_work
     1.64%     0.01%  iou-wrk-3158     [kernel.vmlinux]  [k] io_read
     1.64%     0.01%  iou-wrk-3149     [kernel.vmlinux]  [k] io_worker_handle_work
     1.63%     0.02%  iou-wrk-3152     [kernel.vmlinux]  [k] io_worker_handle_work
     1.63%     0.00%  iou-wrk-3151     [kernel.vmlinux]  [k] io_wq_submit_work
     1.63%     0.01%  iou-wrk-3151     [kernel.vmlinux]  [k] io_issue_sqe
     1.63%     0.02%  iou-wrk-3129     [kernel.vmlinux]  [k] io_wqe_worker
     1.63%     0.00%  iou-wrk-3129     [kernel.vmlinux]  [k] ret_from_fork
     1.62%     0.00%  iou-wrk-3162     [kernel.vmlinux]  [k] io_wq_submit_work
     1.62%     0.01%  iou-wrk-3162     [kernel.vmlinux]  [k] io_issue_sqe
     1.62%     0.01%  iou-wrk-3151     [kernel.vmlinux]  [k] io_read
     1.61%     0.01%  iou-wrk-3161     [kernel.vmlinux]  [k] io_issue_sqe
     1.61%     0.00%  iou-wrk-3161     [kernel.vmlinux]  [k] io_wq_submit_work
     1.61%     0.01%  iou-wrk-3143     [kernel.vmlinux]  [k] io_worker_handle_work
     1.61%     0.00%  iou-wrk-3162     [kernel.vmlinux]  [k] io_read
