# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 13K of event 'cycles'
# Event count (approx.): 2819917169225
#
# Children      Self  Command          Shared Object               Symbol                                 
# ........  ........  ...............  ..........................  .......................................
#
    24.36%     0.01%  fio              [kernel.vmlinux]            [k] entry_SYSCALL_64
    24.34%     0.00%  fio              [kernel.vmlinux]            [k] do_syscall_64
    23.95%     0.05%  fio              [kernel.vmlinux]            [k] __do_sys_io_uring_enter
    23.87%     0.51%  fio              [kernel.vmlinux]            [k] io_submit_sqes
    22.45%     0.62%  fio              [kernel.vmlinux]            [k] __io_queue_sqe
    15.58%     0.05%  fio              [kernel.vmlinux]            [k] io_queue_async_work
    15.21%     0.20%  fio              [kernel.vmlinux]            [k] io_wqe_enqueue
    14.78%     0.22%  fio              [kernel.vmlinux]            [k] io_wqe_activate_free_worker
    14.15%     0.24%  fio              [kernel.vmlinux]            [k] try_to_wake_up
     6.64%     0.07%  fio              [kernel.vmlinux]            [k] ttwu_do_activate
     6.27%     0.25%  fio              [kernel.vmlinux]            [k] io_issue_sqe
     6.02%     0.34%  fio              [kernel.vmlinux]            [k] io_read
     5.24%     0.30%  fio              [kernel.vmlinux]            [k] io_setup_async_rw
     4.82%     0.43%  fio              [kernel.vmlinux]            [k] __kmalloc
     4.27%     0.18%  fio              [kernel.vmlinux]            [k] __cond_resched
     4.20%     1.91%  fio              [kernel.vmlinux]            [k] select_task_rq_fair
     3.90%     0.56%  fio              [kernel.vmlinux]            [k] __sched_text_start
     3.89%     0.12%  fio              [kernel.vmlinux]            [k] preempt_schedule_common
     3.82%     0.48%  fio              [kernel.vmlinux]            [k] enqueue_task_fair
     3.12%     0.03%  swapper          [kernel.vmlinux]            [k] do_idle
     3.12%     0.00%  swapper          [kernel.vmlinux]            [k] cpu_startup_entry
     3.12%     0.00%  swapper          [kernel.vmlinux]            [k] secondary_startup_64_no_verify
     3.11%     0.00%  swapper          [kernel.vmlinux]            [k] start_secondary
     2.75%     0.21%  fio              [kernel.vmlinux]            [k] psi_task_change
     2.34%     0.01%  swapper          [kernel.vmlinux]            [k] cpuidle_enter
     2.34%     0.00%  swapper          [kernel.vmlinux]            [k] cpuidle_enter_state
     2.18%     0.01%  iou-wrk-3022     [kernel.vmlinux]            [k] io_wqe_worker
     2.18%     0.00%  iou-wrk-3022     [kernel.vmlinux]            [k] ret_from_fork
     2.11%     0.01%  iou-wrk-2998     [kernel.vmlinux]            [k] io_wqe_worker
     2.11%     0.00%  iou-wrk-2998     [kernel.vmlinux]            [k] ret_from_fork
     2.09%     0.00%  kswapd0          [kernel.vmlinux]            [k] balance_pgdat
     2.09%     0.00%  kswapd0          [kernel.vmlinux]            [k] kswapd
     2.09%     0.00%  kswapd0          [kernel.vmlinux]            [k] kthread
     2.09%     0.00%  kswapd0          [kernel.vmlinux]            [k] ret_from_fork
     2.09%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_lruvec
     2.09%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_node
     2.08%     2.06%  fio              [kernel.vmlinux]            [k] psi_group_change
     2.03%     0.01%  iou-wrk-3012     [kernel.vmlinux]            [k] io_wqe_worker
     2.03%     0.00%  iou-wrk-3012     [kernel.vmlinux]            [k] ret_from_fork
     1.95%     0.02%  iou-wrk-2997     [kernel.vmlinux]            [k] io_wqe_worker
     1.95%     0.00%  iou-wrk-2997     [kernel.vmlinux]            [k] ret_from_fork
     1.94%     0.58%  fio              [kernel.vmlinux]            [k] update_load_avg
     1.93%     0.03%  iou-wrk-3010     [kernel.vmlinux]            [k] io_wqe_worker
     1.93%     0.00%  iou-wrk-3010     [kernel.vmlinux]            [k] ret_from_fork
     1.91%     0.02%  iou-wrk-2996     [kernel.vmlinux]            [k] io_wqe_worker
     1.91%     0.00%  iou-wrk-2996     [kernel.vmlinux]            [k] ret_from_fork
     1.89%     0.36%  fio              [kernel.vmlinux]            [k] enqueue_entity
     1.89%     0.00%  iou-wrk-3015     [kernel.vmlinux]            [k] io_wqe_worker
     1.89%     0.00%  iou-wrk-3015     [kernel.vmlinux]            [k] ret_from_fork
     1.88%     0.01%  iou-wrk-3017     [kernel.vmlinux]            [k] io_wqe_worker
     1.88%     0.00%  iou-wrk-3017     [kernel.vmlinux]            [k] ret_from_fork
     1.87%     0.03%  iou-wrk-3013     [kernel.vmlinux]            [k] io_wqe_worker
     1.87%     0.00%  iou-wrk-3013     [kernel.vmlinux]            [k] ret_from_fork
     1.85%     0.01%  iou-wrk-3016     [kernel.vmlinux]            [k] io_wqe_worker
     1.85%     0.00%  iou-wrk-3016     [kernel.vmlinux]            [k] ret_from_fork
     1.82%     0.01%  iou-wrk-3033     [kernel.vmlinux]            [k] io_wqe_worker
     1.82%     0.00%  iou-wrk-3033     [kernel.vmlinux]            [k] ret_from_fork
     1.79%     0.01%  iou-wrk-3029     [kernel.vmlinux]            [k] io_wqe_worker
     1.79%     0.00%  iou-wrk-3029     [kernel.vmlinux]            [k] ret_from_fork
     1.78%     0.20%  fio              [kernel.vmlinux]            [k] pick_next_task_fair
     1.77%     0.01%  iou-wrk-3032     [kernel.vmlinux]            [k] io_wqe_worker
     1.77%     0.00%  iou-wrk-3032     [kernel.vmlinux]            [k] ret_from_fork
     1.77%     0.01%  iou-wrk-3001     [kernel.vmlinux]            [k] io_wqe_worker
     1.77%     0.00%  iou-wrk-3001     [kernel.vmlinux]            [k] ret_from_fork
     1.77%     0.02%  iou-wrk-3006     [kernel.vmlinux]            [k] io_wqe_worker
     1.77%     0.00%  iou-wrk-3006     [kernel.vmlinux]            [k] ret_from_fork
     1.70%     0.01%  iou-wrk-3014     [kernel.vmlinux]            [k] io_wqe_worker
     1.70%     0.00%  iou-wrk-3014     [kernel.vmlinux]            [k] ret_from_fork
     1.69%     0.00%  iou-wrk-2999     [kernel.vmlinux]            [k] io_wqe_worker
     1.69%     0.00%  iou-wrk-2999     [kernel.vmlinux]            [k] ret_from_fork
     1.69%     0.01%  iou-wrk-3003     [kernel.vmlinux]            [k] io_wqe_worker
     1.69%     0.00%  iou-wrk-3003     [kernel.vmlinux]            [k] ret_from_fork
     1.67%     0.03%  iou-wrk-3031     [kernel.vmlinux]            [k] io_wqe_worker
     1.67%     0.00%  iou-wrk-3031     [kernel.vmlinux]            [k] ret_from_fork
     1.67%     0.01%  iou-wrk-3030     [kernel.vmlinux]            [k] io_wqe_worker
     1.67%     0.00%  iou-wrk-3030     [kernel.vmlinux]            [k] ret_from_fork
     1.67%     0.01%  iou-wrk-3002     [kernel.vmlinux]            [k] io_wqe_worker
     1.67%     0.00%  iou-wrk-3002     [kernel.vmlinux]            [k] ret_from_fork
     1.65%     0.01%  iou-wrk-3000     [kernel.vmlinux]            [k] io_wqe_worker
     1.65%     0.00%  iou-wrk-3000     [kernel.vmlinux]            [k] ret_from_fork
     1.65%     0.03%  iou-wrk-3020     [kernel.vmlinux]            [k] io_wqe_worker
     1.65%     0.00%  iou-wrk-3020     [kernel.vmlinux]            [k] ret_from_fork
     1.65%     0.03%  iou-wrk-3019     [kernel.vmlinux]            [k] io_wqe_worker
     1.65%     0.00%  iou-wrk-3019     [kernel.vmlinux]            [k] ret_from_fork
     1.63%     0.64%  fio              [kernel.vmlinux]            [k] _raw_spin_lock
     1.62%     0.01%  iou-wrk-3012     [kernel.vmlinux]            [k] io_worker_handle_work
     1.61%     0.01%  iou-wrk-3025     [kernel.vmlinux]            [k] io_wqe_worker
     1.61%     0.00%  iou-wrk-3025     [kernel.vmlinux]            [k] ret_from_fork
     1.61%     0.01%  iou-wrk-3005     [kernel.vmlinux]            [k] io_wqe_worker
     1.61%     0.00%  iou-wrk-3005     [kernel.vmlinux]            [k] ret_from_fork
     1.59%     0.02%  iou-wrk-3024     [kernel.vmlinux]            [k] io_wqe_worker
     1.59%     0.00%  iou-wrk-3024     [kernel.vmlinux]            [k] ret_from_fork
     1.58%     0.01%  iou-wrk-3009     [kernel.vmlinux]            [k] io_wqe_worker
     1.58%     0.00%  iou-wrk-3009     [kernel.vmlinux]            [k] ret_from_fork
     1.58%     0.01%  iou-wrk-3021     [kernel.vmlinux]            [k] io_wqe_worker
     1.58%     0.00%  iou-wrk-3021     [kernel.vmlinux]            [k] ret_from_fork
     1.58%     0.02%  iou-wrk-3027     [kernel.vmlinux]            [k] io_wqe_worker
     1.58%     0.00%  iou-wrk-3027     [kernel.vmlinux]            [k] ret_from_fork
     1.57%     1.57%  swapper          [kernel.vmlinux]            [k] intel_idle
     1.56%     0.01%  iou-wrk-3026     [kernel.vmlinux]            [k] io_wqe_worker
     1.56%     0.00%  iou-wrk-3026     [kernel.vmlinux]            [k] ret_from_fork
     1.53%     0.01%  iou-wrk-3022     [kernel.vmlinux]            [k] io_worker_handle_work
     1.52%     0.01%  iou-wrk-3012     [kernel.vmlinux]            [k] io_issue_sqe
     1.52%     0.00%  iou-wrk-3012     [kernel.vmlinux]            [k] io_wq_submit_work
     1.52%     0.01%  iou-wrk-3008     [kernel.vmlinux]            [k] io_wqe_worker
     1.52%     0.00%  iou-wrk-3008     [kernel.vmlinux]            [k] ret_from_fork
     1.51%     0.01%  iou-wrk-3012     [kernel.vmlinux]            [k] io_read
     1.51%     0.01%  iou-wrk-3023     [kernel.vmlinux]            [k] io_wqe_worker
     1.51%     0.00%  iou-wrk-3023     [kernel.vmlinux]            [k] ret_from_fork
     1.51%     0.00%  iou-wrk-3004     [kernel.vmlinux]            [k] io_wqe_worker
     1.51%     0.00%  iou-wrk-3004     [kernel.vmlinux]            [k] ret_from_fork
     1.49%     0.02%  iou-wrk-2998     [kernel.vmlinux]            [k] io_worker_handle_work
     1.47%     0.03%  iou-wrk-3011     [kernel.vmlinux]            [k] io_wqe_worker
     1.47%     0.00%  iou-wrk-3011     [kernel.vmlinux]            [k] ret_from_fork
     1.47%     0.03%  iou-wrk-3012     [kernel.vmlinux]            [k] filemap_read
     1.45%     0.01%  iou-wrk-3007     [kernel.vmlinux]            [k] io_wqe_worker
     1.45%     0.00%  iou-wrk-3007     [kernel.vmlinux]            [k] ret_from_fork
     1.45%     0.00%  iou-wrk-3028     [kernel.vmlinux]            [k] io_wqe_worker
     1.45%     0.00%  iou-wrk-3028     [kernel.vmlinux]            [k] ret_from_fork
     1.44%     0.01%  iou-wrk-3022     [kernel.vmlinux]            [k] io_issue_sqe
     1.44%     0.00%  iou-wrk-3022     [kernel.vmlinux]            [k] io_wq_submit_work
     1.44%     0.01%  iou-wrk-3022     [kernel.vmlinux]            [k] io_read
     1.42%     0.00%  iou-wrk-3034     [kernel.vmlinux]            [k] io_wqe_worker
     1.42%     0.00%  iou-wrk-3034     [kernel.vmlinux]            [k] ret_from_fork
     1.40%     0.02%  iou-wrk-3029     [kernel.vmlinux]            [k] io_worker_handle_work
     1.39%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_inactive_list
     1.38%     0.03%  iou-wrk-2999     [kernel.vmlinux]            [k] io_worker_handle_work
     1.37%     0.05%  iou-wrk-3022     [kernel.vmlinux]            [k] filemap_read
