# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 43K of event 'cycles'
# Event count (approx.): 8867488175834
#
# Children      Self  Command          Shared Object     Symbol                                   
# ........  ........  ...............  ................  .........................................
#
     1.97%     0.00%  iou-wrk-3376     [kernel.vmlinux]  [k] ret_from_fork
     1.95%     0.01%  iou-wrk-3371     [kernel.vmlinux]  [k] io_wqe_worker
     1.95%     0.00%  iou-wrk-3371     [kernel.vmlinux]  [k] ret_from_fork
     1.94%     0.01%  iou-wrk-3379     [kernel.vmlinux]  [k] io_wqe_worker
     1.94%     0.00%  iou-wrk-3379     [kernel.vmlinux]  [k] ret_from_fork
     1.92%     0.01%  iou-wrk-3369     [kernel.vmlinux]  [k] io_wqe_worker
     1.92%     0.00%  iou-wrk-3369     [kernel.vmlinux]  [k] ret_from_fork
     1.92%     0.00%  iou-wrk-3363     [kernel.vmlinux]  [k] io_wqe_worker
     1.92%     0.00%  iou-wrk-3363     [kernel.vmlinux]  [k] ret_from_fork
     1.92%     0.01%  iou-wrk-3384     [kernel.vmlinux]  [k] io_wqe_worker
     1.92%     0.00%  iou-wrk-3384     [kernel.vmlinux]  [k] ret_from_fork
     1.91%     0.02%  iou-wrk-3392     [kernel.vmlinux]  [k] io_wqe_worker
     1.91%     0.00%  iou-wrk-3392     [kernel.vmlinux]  [k] ret_from_fork
     1.91%     0.00%  iou-wrk-3375     [kernel.vmlinux]  [k] io_wqe_worker
     1.91%     0.00%  iou-wrk-3375     [kernel.vmlinux]  [k] ret_from_fork
     1.91%     0.01%  iou-wrk-3373     [kernel.vmlinux]  [k] io_wqe_worker
     1.91%     0.00%  iou-wrk-3373     [kernel.vmlinux]  [k] ret_from_fork
     1.91%     0.01%  iou-wrk-3388     [kernel.vmlinux]  [k] io_wqe_worker
     1.91%     0.00%  iou-wrk-3388     [kernel.vmlinux]  [k] ret_from_fork
     1.90%     0.02%  iou-wrk-3387     [kernel.vmlinux]  [k] io_wqe_worker
     1.90%     0.00%  iou-wrk-3387     [kernel.vmlinux]  [k] ret_from_fork
     1.90%     0.01%  iou-wrk-3385     [kernel.vmlinux]  [k] io_wqe_worker
     1.90%     0.00%  iou-wrk-3385     [kernel.vmlinux]  [k] ret_from_fork
     1.90%     0.01%  iou-wrk-3390     [kernel.vmlinux]  [k] io_wqe_worker
     1.90%     0.00%  iou-wrk-3390     [kernel.vmlinux]  [k] ret_from_fork
     1.89%     0.01%  iou-wrk-3386     [kernel.vmlinux]  [k] io_wqe_worker
     1.89%     0.00%  iou-wrk-3386     [kernel.vmlinux]  [k] ret_from_fork
     1.89%     0.01%  iou-wrk-3360     [kernel.vmlinux]  [k] io_wqe_worker
     1.89%     0.00%  iou-wrk-3360     [kernel.vmlinux]  [k] ret_from_fork
     1.88%     0.01%  iou-wrk-3354     [kernel.vmlinux]  [k] io_wqe_worker
     1.88%     0.00%  iou-wrk-3354     [kernel.vmlinux]  [k] ret_from_fork
     1.88%     0.00%  iou-wrk-3367     [kernel.vmlinux]  [k] io_wqe_worker
     1.88%     0.00%  iou-wrk-3367     [kernel.vmlinux]  [k] ret_from_fork
     1.87%     0.00%  iou-wrk-3361     [kernel.vmlinux]  [k] io_wqe_worker
     1.87%     0.00%  iou-wrk-3361     [kernel.vmlinux]  [k] ret_from_fork
     1.87%     0.01%  iou-wrk-3366     [kernel.vmlinux]  [k] io_wqe_worker
     1.87%     0.00%  iou-wrk-3366     [kernel.vmlinux]  [k] ret_from_fork
     1.87%     0.01%  iou-wrk-3389     [kernel.vmlinux]  [k] io_wqe_worker
     1.87%     0.00%  iou-wrk-3389     [kernel.vmlinux]  [k] ret_from_fork
     1.86%     0.02%  iou-wrk-3355     [kernel.vmlinux]  [k] io_wqe_worker
     1.86%     0.00%  iou-wrk-3355     [kernel.vmlinux]  [k] ret_from_fork
     1.85%     0.01%  iou-wrk-3380     [kernel.vmlinux]  [k] io_wqe_worker
     1.85%     0.00%  iou-wrk-3380     [kernel.vmlinux]  [k] ret_from_fork
     1.85%     0.01%  iou-wrk-3374     [kernel.vmlinux]  [k] io_wqe_worker
     1.85%     0.00%  iou-wrk-3374     [kernel.vmlinux]  [k] ret_from_fork
     1.84%     0.01%  iou-wrk-3362     [kernel.vmlinux]  [k] io_wqe_worker
     1.84%     0.00%  iou-wrk-3362     [kernel.vmlinux]  [k] ret_from_fork
     1.83%     0.01%  iou-wrk-3377     [kernel.vmlinux]  [k] io_wqe_worker
     1.83%     0.00%  iou-wrk-3377     [kernel.vmlinux]  [k] ret_from_fork
     1.81%     0.01%  iou-wrk-3393     [kernel.vmlinux]  [k] io_wqe_worker
     1.81%     0.00%  iou-wrk-3393     [kernel.vmlinux]  [k] ret_from_fork
     1.81%     0.01%  iou-wrk-3370     [kernel.vmlinux]  [k] io_wqe_worker
     1.81%     0.00%  iou-wrk-3370     [kernel.vmlinux]  [k] ret_from_fork
     1.80%     0.01%  iou-wrk-3391     [kernel.vmlinux]  [k] io_wqe_worker
     1.80%     0.00%  iou-wrk-3391     [kernel.vmlinux]  [k] ret_from_fork
     1.79%     0.01%  iou-wrk-3381     [kernel.vmlinux]  [k] io_wqe_worker
     1.79%     0.00%  iou-wrk-3381     [kernel.vmlinux]  [k] ret_from_fork
     1.79%     0.01%  iou-wrk-3382     [kernel.vmlinux]  [k] io_wqe_worker
     1.79%     0.00%  iou-wrk-3382     [kernel.vmlinux]  [k] ret_from_fork
     1.78%     0.01%  iou-wrk-3357     [kernel.vmlinux]  [k] io_wqe_worker
     1.78%     0.00%  iou-wrk-3357     [kernel.vmlinux]  [k] ret_from_fork
     1.76%     1.75%  fio              [kernel.vmlinux]  [k] psi_group_change
     1.75%     0.01%  iou-wrk-3358     [kernel.vmlinux]  [k] io_wqe_worker
     1.75%     0.00%  iou-wrk-3358     [kernel.vmlinux]  [k] ret_from_fork
     1.75%     0.01%  iou-wrk-3356     [kernel.vmlinux]  [k] io_wqe_worker
     1.75%     0.00%  iou-wrk-3356     [kernel.vmlinux]  [k] ret_from_fork
     1.74%     0.00%  iou-wrk-3368     [kernel.vmlinux]  [k] io_wqe_worker
     1.74%     0.00%  iou-wrk-3368     [kernel.vmlinux]  [k] ret_from_fork
     1.73%     0.00%  iou-wrk-3359     [kernel.vmlinux]  [k] io_wqe_worker
     1.73%     0.00%  iou-wrk-3359     [kernel.vmlinux]  [k] ret_from_fork
     1.71%     0.01%  iou-wrk-3364     [kernel.vmlinux]  [k] io_wqe_worker
     1.71%     0.00%  iou-wrk-3364     [kernel.vmlinux]  [k] ret_from_fork
     1.71%     0.01%  iou-wrk-3383     [kernel.vmlinux]  [k] io_wqe_worker
     1.71%     0.00%  iou-wrk-3383     [kernel.vmlinux]  [k] ret_from_fork
     1.65%     0.01%  iou-wrk-3378     [kernel.vmlinux]  [k] io_worker_handle_work
     1.61%     0.00%  swapper          [kernel.vmlinux]  [k] cpuidle_enter
     1.60%     0.01%  swapper          [kernel.vmlinux]  [k] cpuidle_enter_state
     1.60%     0.01%  iou-wrk-3376     [kernel.vmlinux]  [k] io_worker_handle_work
     1.60%     0.24%  fio              [kernel.vmlinux]  [k] pick_next_task_fair
     1.58%     0.01%  iou-wrk-3372     [kernel.vmlinux]  [k] io_wqe_worker
     1.58%     0.00%  iou-wrk-3372     [kernel.vmlinux]  [k] ret_from_fork
     1.57%     0.42%  fio              [kernel.vmlinux]  [k] enqueue_entity
     1.56%     0.01%  iou-wrk-3369     [kernel.vmlinux]  [k] io_worker_handle_work
     1.56%     0.00%  iou-wrk-3392     [kernel.vmlinux]  [k] io_worker_handle_work
     1.55%     0.02%  iou-wrk-3365     [kernel.vmlinux]  [k] io_worker_handle_work
     1.54%     0.02%  iou-wrk-3387     [kernel.vmlinux]  [k] io_worker_handle_work
     1.53%     0.02%  iou-wrk-3384     [kernel.vmlinux]  [k] io_worker_handle_work
     1.53%     0.00%  iou-wrk-3376     [kernel.vmlinux]  [k] io_issue_sqe
     1.53%     0.00%  iou-wrk-3376     [kernel.vmlinux]  [k] io_wq_submit_work
     1.53%     0.01%  iou-wrk-3366     [kernel.vmlinux]  [k] io_worker_handle_work
     1.53%     0.00%  iou-wrk-3376     [kernel.vmlinux]  [k] io_read
     1.52%     0.02%  iou-wrk-3354     [kernel.vmlinux]  [k] io_worker_handle_work
     1.52%     0.00%  iou-wrk-3360     [kernel.vmlinux]  [k] io_worker_handle_work
     1.52%     0.00%  iou-wrk-3392     [kernel.vmlinux]  [k] io_wq_submit_work
     1.52%     0.02%  iou-wrk-3374     [kernel.vmlinux]  [k] io_worker_handle_work
     1.51%     0.01%  iou-wrk-3392     [kernel.vmlinux]  [k] io_issue_sqe
     1.51%     0.02%  iou-wrk-3375     [kernel.vmlinux]  [k] io_worker_handle_work
     1.51%     0.03%  iou-wrk-3363     [kernel.vmlinux]  [k] io_worker_handle_work
     1.51%     0.02%  iou-wrk-3386     [kernel.vmlinux]  [k] io_worker_handle_work
     1.51%     0.01%  iou-wrk-3390     [kernel.vmlinux]  [k] io_worker_handle_work
     1.50%     0.01%  iou-wrk-3392     [kernel.vmlinux]  [k] io_read
     1.50%     0.02%  iou-wrk-3367     [kernel.vmlinux]  [k] io_worker_handle_work
     1.50%     0.02%  iou-wrk-3355     [kernel.vmlinux]  [k] io_worker_handle_work
     1.50%     0.02%  iou-wrk-3389     [kernel.vmlinux]  [k] io_worker_handle_work
     1.49%     0.05%  iou-wrk-3376     [kernel.vmlinux]  [k] filemap_read
     1.49%     0.01%  iou-wrk-3361     [kernel.vmlinux]  [k] io_worker_handle_work
     1.49%     0.01%  iou-wrk-3379     [kernel.vmlinux]  [k] io_worker_handle_work
     1.48%     0.02%  iou-wrk-3371     [kernel.vmlinux]  [k] io_worker_handle_work
     1.48%     0.58%  fio              [kernel.vmlinux]  [k] update_load_avg
     1.48%     0.00%  iou-wrk-3365     [kernel.vmlinux]  [k] io_issue_sqe
     1.48%     0.00%  iou-wrk-3365     [kernel.vmlinux]  [k] io_wq_submit_work
     1.48%     0.00%  iou-wrk-3369     [kernel.vmlinux]  [k] io_wq_submit_work
     1.47%     0.01%  iou-wrk-3365     [kernel.vmlinux]  [k] io_read
     1.47%     0.01%  iou-wrk-3369     [kernel.vmlinux]  [k] io_issue_sqe
     1.47%     0.00%  iou-wrk-3384     [kernel.vmlinux]  [k] io_wq_submit_work
     1.47%     0.00%  iou-wrk-3387     [kernel.vmlinux]  [k] io_wq_submit_work
     1.47%     0.05%  iou-wrk-3392     [kernel.vmlinux]  [k] filemap_read
     1.47%     0.00%  iou-wrk-3384     [kernel.vmlinux]  [k] io_read
     1.47%     0.00%  iou-wrk-3384     [kernel.vmlinux]  [k] io_issue_sqe
     1.47%     0.01%  iou-wrk-3387     [kernel.vmlinux]  [k] io_read
     1.47%     0.00%  iou-wrk-3387     [kernel.vmlinux]  [k] io_issue_sqe
     1.47%     0.01%  iou-wrk-3381     [kernel.vmlinux]  [k] io_worker_handle_work
     1.46%     0.00%  iou-wrk-3369     [kernel.vmlinux]  [k] io_read
     1.46%     0.01%  iou-wrk-3370     [kernel.vmlinux]  [k] io_worker_handle_work
     1.46%     0.00%  iou-wrk-3366     [kernel.vmlinux]  [k] io_issue_sqe
     1.46%     0.00%  iou-wrk-3366     [kernel.vmlinux]  [k] io_wq_submit_work
     1.46%     0.00%  iou-wrk-3366     [kernel.vmlinux]  [k] io_read
     1.45%     0.00%  iou-wrk-3354     [kernel.vmlinux]  [k] io_wq_submit_work
     1.45%     0.01%  iou-wrk-3354     [kernel.vmlinux]  [k] io_issue_sqe
     1.45%     0.00%  iou-wrk-3378     [kernel.vmlinux]  [k] io_wq_submit_work
     1.45%     0.02%  iou-wrk-3380     [kernel.vmlinux]  [k] io_worker_handle_work
     1.45%     0.01%  iou-wrk-3378     [kernel.vmlinux]  [k] io_issue_sqe
     1.44%     0.01%  iou-wrk-3354     [kernel.vmlinux]  [k] io_read
     1.44%     0.00%  iou-wrk-3360     [kernel.vmlinux]  [k] io_wq_submit_work
     1.44%     0.00%  iou-wrk-3360     [kernel.vmlinux]  [k] io_issue_sqe
     1.44%     0.01%  iou-wrk-3388     [kernel.vmlinux]  [k] io_worker_handle_work
     1.44%     0.00%  iou-wrk-3360     [kernel.vmlinux]  [k] io_read
     1.44%     0.01%  iou-wrk-3378     [kernel.vmlinux]  [k] io_read
     1.44%     0.03%  iou-wrk-3384     [kernel.vmlinux]  [k] filemap_read
     1.43%     0.00%  iou-wrk-3389     [kernel.vmlinux]  [k] io_wq_submit_work
     1.43%     0.00%  iou-wrk-3355     [kernel.vmlinux]  [k] io_issue_sqe
     1.43%     0.00%  iou-wrk-3355     [kernel.vmlinux]  [k] io_wq_submit_work
     1.43%     0.00%  iou-wrk-3390     [kernel.vmlinux]  [k] io_issue_sqe
     1.43%     0.00%  iou-wrk-3390     [kernel.vmlinux]  [k] io_wq_submit_work
     1.43%     0.04%  iou-wrk-3365     [kernel.vmlinux]  [k] filemap_read
     1.43%     0.01%  iou-wrk-3389     [kernel.vmlinux]  [k] io_issue_sqe
     1.43%     0.01%  iou-wrk-3355     [kernel.vmlinux]  [k] io_read
     1.43%     0.00%  iou-wrk-3390     [kernel.vmlinux]  [k] io_read
     1.43%     0.00%  iou-wrk-3375     [kernel.vmlinux]  [k] io_wq_submit_work
     1.43%     0.00%  iou-wrk-3367     [kernel.vmlinux]  [k] io_wq_submit_work
     1.42%     0.00%  iou-wrk-3374     [kernel.vmlinux]  [k] io_wq_submit_work
     1.42%     0.00%  iou-wrk-3375     [kernel.vmlinux]  [k] io_issue_sqe
     1.42%     0.02%  iou-wrk-3391     [kernel.vmlinux]  [k] io_worker_handle_work
     1.42%     0.00%  iou-wrk-3367     [kernel.vmlinux]  [k] io_issue_sqe
     1.42%     0.00%  iou-wrk-3361     [kernel.vmlinux]  [k] io_read
     1.42%     0.00%  iou-wrk-3361     [kernel.vmlinux]  [k] io_issue_sqe
     1.42%     0.00%  iou-wrk-3361     [kernel.vmlinux]  [k] io_wq_submit_work
     1.42%     0.01%  iou-wrk-3375     [kernel.vmlinux]  [k] io_read
     1.42%     0.01%  iou-wrk-3374     [kernel.vmlinux]  [k] io_issue_sqe
     1.42%     0.00%  iou-wrk-3389     [kernel.vmlinux]  [k] io_read
     1.42%     0.01%  iou-wrk-3379     [kernel.vmlinux]  [k] io_issue_sqe
     1.42%     0.00%  iou-wrk-3379     [kernel.vmlinux]  [k] io_wq_submit_work
     1.42%     0.00%  iou-wrk-3367     [kernel.vmlinux]  [k] io_read
     1.42%     0.01%  iou-wrk-3385     [kernel.vmlinux]  [k] io_worker_handle_work
     1.42%     0.03%  iou-wrk-3366     [kernel.vmlinux]  [k] filemap_read
     1.42%     0.01%  iou-wrk-3387     [kernel.vmlinux]  [k] filemap_read
     1.41%     0.01%  iou-wrk-3374     [kernel.vmlinux]  [k] io_read
     1.41%     0.02%  iou-wrk-3373     [kernel.vmlinux]  [k] io_worker_handle_work
     1.41%     0.00%  iou-wrk-3363     [kernel.vmlinux]  [k] io_wq_submit_work
     1.41%     0.00%  iou-wrk-3379     [kernel.vmlinux]  [k] io_read
     1.41%     0.02%  iou-wrk-3369     [kernel.vmlinux]  [k] filemap_read
     1.41%     0.01%  iou-wrk-3363     [kernel.vmlinux]  [k] io_issue_sqe
     1.41%     0.00%  iou-wrk-3386     [kernel.vmlinux]  [k] io_issue_sqe
     1.41%     0.00%  iou-wrk-3386     [kernel.vmlinux]  [k] io_wq_submit_work
     1.41%     0.00%  iou-wrk-3386     [kernel.vmlinux]  [k] io_read
     1.40%     0.00%  iou-wrk-3363     [kernel.vmlinux]  [k] io_read
     1.40%     0.02%  iou-wrk-3377     [kernel.vmlinux]  [k] io_worker_handle_work
     1.40%     0.02%  iou-wrk-3389     [kernel.vmlinux]  [k] filemap_read
     1.39%     0.00%  iou-wrk-3381     [kernel.vmlinux]  [k] io_wq_submit_work
     1.39%     0.03%  iou-wrk-3355     [kernel.vmlinux]  [k] filemap_read
     1.39%     0.00%  iou-wrk-3381     [kernel.vmlinux]  [k] io_read
     1.39%     0.00%  iou-wrk-3381     [kernel.vmlinux]  [k] io_issue_sqe
     1.39%     0.00%  iou-wrk-3393     [kernel.vmlinux]  [k] io_worker_handle_work
     1.39%     0.04%  iou-wrk-3390     [kernel.vmlinux]  [k] filemap_read
     1.39%     0.03%  iou-wrk-3360     [kernel.vmlinux]  [k] filemap_read
     1.38%     0.00%  iou-wrk-3370     [kernel.vmlinux]  [k] io_wq_submit_work
     1.38%     0.01%  iou-wrk-3362     [kernel.vmlinux]  [k] io_worker_handle_work
     1.38%     0.00%  iou-wrk-3370     [kernel.vmlinux]  [k] io_issue_sqe
     1.38%     0.03%  iou-wrk-3354     [kernel.vmlinux]  [k] filemap_read
     1.37%     0.01%  iou-wrk-3370     [kernel.vmlinux]  [k] io_read
     1.37%     0.04%  iou-wrk-3367     [kernel.vmlinux]  [k] filemap_read
     1.37%     0.00%  iou-wrk-3388     [kernel.vmlinux]  [k] io_issue_sqe
     1.37%     0.00%  iou-wrk-3388     [kernel.vmlinux]  [k] io_wq_submit_work
     1.37%     0.04%  iou-wrk-3375     [kernel.vmlinux]  [k] filemap_read
     1.37%     0.00%  iou-wrk-3388     [kernel.vmlinux]  [k] io_read
     1.37%     0.03%  iou-wrk-3386     [kernel.vmlinux]  [k] filemap_read
     1.37%     0.01%  iou-wrk-3358     [kernel.vmlinux]  [k] io_worker_handle_work
     1.37%     0.04%  iou-wrk-3361     [kernel.vmlinux]  [k] filemap_read
     1.37%     0.04%  iou-wrk-3378     [kernel.vmlinux]  [k] filemap_read
     1.37%     0.02%  iou-wrk-3357     [kernel.vmlinux]  [k] io_worker_handle_work
     1.37%     0.00%  iou-wrk-3385     [kernel.vmlinux]  [k] io_wq_submit_work
     1.36%     0.01%  iou-wrk-3385     [kernel.vmlinux]  [k] io_issue_sqe
     1.36%     0.00%  iou-wrk-3371     [kernel.vmlinux]  [k] io_wq_submit_work
     1.36%     0.02%  iou-wrk-3374     [kernel.vmlinux]  [k] filemap_read
     1.36%     0.00%  iou-wrk-3371     [kernel.vmlinux]  [k] io_issue_sqe
     1.36%     0.00%  iou-wrk-3380     [kernel.vmlinux]  [k] io_issue_sqe
     1.36%     0.00%  iou-wrk-3380     [kernel.vmlinux]  [k] io_wq_submit_work
     1.36%     0.00%  iou-wrk-3371     [kernel.vmlinux]  [k] io_read
     1.36%     0.04%  iou-wrk-3379     [kernel.vmlinux]  [k] filemap_read
     1.36%     0.00%  iou-wrk-3380     [kernel.vmlinux]  [k] io_read
     1.36%     0.01%  iou-wrk-3356     [kernel.vmlinux]  [k] io_worker_handle_work
     1.35%     0.00%  iou-wrk-3385     [kernel.vmlinux]  [k] io_read
     1.35%     0.03%  iou-wrk-3381     [kernel.vmlinux]  [k] filemap_read
     1.35%     0.03%  iou-wrk-3363     [kernel.vmlinux]  [k] filemap_read
     1.35%     0.01%  iou-wrk-3364     [kernel.vmlinux]  [k] io_worker_handle_work
     1.35%     1.35%  swapper          [kernel.vmlinux]  [k] intel_idle
     1.34%     0.00%  iou-wrk-3382     [kernel.vmlinux]  [k] io_worker_handle_work
     1.34%     0.00%  iou-wrk-3373     [kernel.vmlinux]  [k] io_wq_submit_work
     1.34%     0.01%  iou-wrk-3368     [kernel.vmlinux]  [k] io_worker_handle_work
     1.34%     0.01%  iou-wrk-3391     [kernel.vmlinux]  [k] io_wq_submit_work
     1.34%     0.00%  iou-wrk-3373     [kernel.vmlinux]  [k] io_issue_sqe
     1.33%     0.01%  iou-wrk-3373     [kernel.vmlinux]  [k] io_read
     1.33%     0.01%  iou-wrk-3391     [kernel.vmlinux]  [k] io_read
     1.33%     0.00%  iou-wrk-3391     [kernel.vmlinux]  [k] io_issue_sqe
     1.33%     0.01%  iou-wrk-3383     [kernel.vmlinux]  [k] io_worker_handle_work
     1.33%     0.00%  iou-wrk-3377     [kernel.vmlinux]  [k] io_issue_sqe
     1.33%     0.00%  iou-wrk-3377     [kernel.vmlinux]  [k] io_wq_submit_work
     1.33%     0.03%  iou-wrk-3388     [kernel.vmlinux]  [k] filemap_read
     1.32%     0.01%  iou-wrk-3393     [kernel.vmlinux]  [k] io_issue_sqe
     1.32%     0.00%  iou-wrk-3393     [kernel.vmlinux]  [k] io_wq_submit_work
     1.32%     0.02%  iou-wrk-3370     [kernel.vmlinux]  [k] filemap_read
     1.32%     0.00%  iou-wrk-3377     [kernel.vmlinux]  [k] io_read
     1.32%     0.04%  iou-wrk-3371     [kernel.vmlinux]  [k] filemap_read
     1.32%     0.02%  iou-wrk-3385     [kernel.vmlinux]  [k] filemap_read
     1.32%     0.01%  iou-wrk-3393     [kernel.vmlinux]  [k] io_read
     1.32%     0.00%  iou-wrk-3358     [kernel.vmlinux]  [k] io_issue_sqe
     1.32%     0.00%  iou-wrk-3358     [kernel.vmlinux]  [k] io_wq_submit_work
     1.32%     0.00%  iou-wrk-3358     [kernel.vmlinux]  [k] io_read
     1.31%     0.01%  iou-wrk-3362     [kernel.vmlinux]  [k] io_issue_sqe
     1.31%     0.00%  iou-wrk-3362     [kernel.vmlinux]  [k] io_wq_submit_work
     1.30%     0.00%  iou-wrk-3362     [kernel.vmlinux]  [k] io_read
     1.30%     0.04%  iou-wrk-3380     [kernel.vmlinux]  [k] filemap_read
     1.30%     0.00%  iou-wrk-3357     [kernel.vmlinux]  [k] io_wq_submit_work
     1.29%     0.00%  iou-wrk-3356     [kernel.vmlinux]  [k] io_issue_sqe
     1.29%     0.00%  iou-wrk-3356     [kernel.vmlinux]  [k] io_wq_submit_work
     1.29%     0.00%  iou-wrk-3357     [kernel.vmlinux]  [k] io_issue_sqe
     1.29%     0.01%  iou-wrk-3364     [kernel.vmlinux]  [k] io_issue_sqe
     1.29%     0.00%  iou-wrk-3364     [kernel.vmlinux]  [k] io_wq_submit_work
     1.29%     0.00%  iou-wrk-3356     [kernel.vmlinux]  [k] io_read
     1.29%     0.04%  iou-wrk-3391     [kernel.vmlinux]  [k] filemap_read
     1.29%     0.01%  iou-wrk-3357     [kernel.vmlinux]  [k] io_read
     1.28%     0.00%  iou-wrk-3364     [kernel.vmlinux]  [k] io_read
     1.28%     0.00%  iou-wrk-3382     [kernel.vmlinux]  [k] io_wq_submit_work
     1.28%     0.01%  iou-wrk-3382     [kernel.vmlinux]  [k] io_read
     1.28%     0.00%  iou-wrk-3382     [kernel.vmlinux]  [k] io_issue_sqe
     1.28%     0.03%  iou-wrk-3358     [kernel.vmlinux]  [k] filemap_read
     1.27%     0.01%  iou-wrk-3359     [kernel.vmlinux]  [k] io_worker_handle_work
     1.27%     0.00%  iou-wrk-3392     [kernel.vmlinux]  [k] filemap_get_pages
     1.27%     0.00%  iou-wrk-3383     [kernel.vmlinux]  [k] io_wq_submit_work
     1.27%     0.00%  iou-wrk-3383     [kernel.vmlinux]  [k] io_issue_sqe
     1.27%     0.00%  iou-wrk-3384     [kernel.vmlinux]  [k] filemap_get_pages
     1.27%     0.03%  iou-wrk-3377     [kernel.vmlinux]  [k] filemap_read
     1.26%     0.00%  iou-wrk-3383     [kernel.vmlinux]  [k] io_read
     1.26%     0.00%  iou-wrk-3376     [kernel.vmlinux]  [k] filemap_get_pages
     1.26%     0.00%  iou-wrk-3368     [kernel.vmlinux]  [k] io_wq_submit_work
     1.26%     0.04%  iou-wrk-3362     [kernel.vmlinux]  [k] filemap_read
     1.26%     0.00%  iou-wrk-3368     [kernel.vmlinux]  [k] io_issue_sqe
     1.26%     0.00%  iou-wrk-3387     [kernel.vmlinux]  [k] filemap_get_pages
     1.26%     0.00%  iou-wrk-3368     [kernel.vmlinux]  [k] io_read
     1.25%     0.00%  iou-wrk-3366     [kernel.vmlinux]  [k] filemap_get_pages
     1.25%     0.03%  iou-wrk-3373     [kernel.vmlinux]  [k] filemap_read
     1.24%     0.03%  iou-wrk-3357     [kernel.vmlinux]  [k] filemap_read
     1.24%     0.00%  iou-wrk-3365     [kernel.vmlinux]  [k] filemap_get_pages
     1.24%     0.04%  iou-wrk-3393     [kernel.vmlinux]  [k] filemap_read
     1.24%     0.01%  iou-wrk-3356     [kernel.vmlinux]  [k] filemap_read
     1.24%     0.02%  iou-wrk-3372     [kernel.vmlinux]  [k] io_worker_handle_work
     1.24%     0.03%  iou-wrk-3383     [kernel.vmlinux]  [k] filemap_read
     1.24%     0.01%  iou-wrk-3369     [kernel.vmlinux]  [k] filemap_get_pages
     1.24%     0.03%  iou-wrk-3382     [kernel.vmlinux]  [k] filemap_read
     1.23%     0.03%  iou-wrk-3364     [kernel.vmlinux]  [k] filemap_read
     1.22%     0.00%  iou-wrk-3367     [kernel.vmlinux]  [k] filemap_get_pages
     1.21%     0.03%  iou-wrk-3368     [kernel.vmlinux]  [k] filemap_read
     1.21%     0.00%  iou-wrk-3386     [kernel.vmlinux]  [k] filemap_get_pages
     1.21%     0.00%  iou-wrk-3360     [kernel.vmlinux]  [k] filemap_get_pages
     1.20%     0.00%  iou-wrk-3359     [kernel.vmlinux]  [k] io_wq_submit_work
     1.20%     0.00%  iou-wrk-3381     [kernel.vmlinux]  [k] filemap_get_pages
     1.20%     0.00%  iou-wrk-3359     [kernel.vmlinux]  [k] io_issue_sqe
