# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 43K of event 'cycles'
# Event count (approx.): 8867488175834
#
# Children      Self  Command          Shared Object     Symbol                                   
# ........  ........  ...............  ................  .........................................
#
    20.08%     0.00%  fio              [kernel.vmlinux]  [k] entry_SYSCALL_64_after_hwframe
    20.08%     0.00%  fio              [kernel.vmlinux]  [k] do_syscall_64
    19.88%     0.02%  fio              [kernel.vmlinux]  [k] __do_sys_io_uring_enter
    19.79%     0.71%  fio              [kernel.vmlinux]  [k] io_submit_sqes
    18.27%     0.35%  fio              [kernel.vmlinux]  [k] __io_queue_sqe
    12.41%     0.08%  fio              [kernel.vmlinux]  [k] io_queue_async_work
    12.02%     0.20%  fio              [kernel.vmlinux]  [k] io_wqe_enqueue
    11.63%     0.22%  fio              [kernel.vmlinux]  [k] io_wqe_activate_free_worker
    11.22%     0.30%  fio              [kernel.vmlinux]  [k] try_to_wake_up
     5.69%     0.15%  fio              [kernel.vmlinux]  [k] ttwu_do_activate
     5.50%     0.24%  fio              [kernel.vmlinux]  [k] io_issue_sqe
     5.26%     0.28%  fio              [kernel.vmlinux]  [k] io_read
     4.52%     0.24%  fio              [kernel.vmlinux]  [k] io_setup_async_rw
     4.17%     0.44%  fio              [kernel.vmlinux]  [k] __kmalloc
     3.57%     0.12%  fio              [kernel.vmlinux]  [k] __cond_resched
     3.48%     0.68%  fio              [kernel.vmlinux]  [k] __schedule
     3.45%     0.07%  fio              [kernel.vmlinux]  [k] preempt_schedule_common
     3.29%     0.56%  fio              [kernel.vmlinux]  [k] enqueue_task_fair
     2.94%     1.26%  fio              [kernel.vmlinux]  [k] select_task_rq_fair
     2.48%     0.01%  swapper          [kernel.vmlinux]  [k] do_idle
     2.48%     0.00%  swapper          [kernel.vmlinux]  [k] cpu_startup_entry
     2.48%     0.00%  swapper          [kernel.vmlinux]  [k] secondary_startup_64_no_verify
     2.46%     0.00%  swapper          [kernel.vmlinux]  [k] start_secondary
     2.26%     0.16%  fio              [kernel.vmlinux]  [k] psi_task_change
     2.01%     0.00%  iou-wrk-3365     [kernel.vmlinux]  [k] io_wqe_worker
     2.01%     0.00%  iou-wrk-3365     [kernel.vmlinux]  [k] ret_from_fork
     1.99%     0.00%  iou-wrk-3378     [kernel.vmlinux]  [k] io_wqe_worker
     1.99%     0.00%  iou-wrk-3378     [kernel.vmlinux]  [k] ret_from_fork
     1.97%     0.01%  iou-wrk-3376     [kernel.vmlinux]  [k] io_wqe_worker
