# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 42K of event 'cycles'
# Event count (approx.): 8346681468178
#
# Children      Self  Command          Shared Object               Symbol                                 
# ........  ........  ...............  ..........................  .......................................
#
    24.49%     0.02%  fio              [kernel.vmlinux]            [k] entry_SYSCALL_64
    24.47%     0.01%  fio              [kernel.vmlinux]            [k] do_syscall_64
    24.14%     0.04%  fio              [kernel.vmlinux]            [k] __do_sys_io_uring_enter
    24.06%     0.66%  fio              [kernel.vmlinux]            [k] io_submit_sqes
    22.27%     0.43%  fio              [kernel.vmlinux]            [k] __io_queue_sqe
    15.33%     0.16%  fio              [kernel.vmlinux]            [k] io_queue_async_work
    14.81%     0.23%  fio              [kernel.vmlinux]            [k] io_wqe_enqueue
    14.31%     0.40%  fio              [kernel.vmlinux]            [k] io_wqe_activate_free_worker
    13.72%     0.36%  fio              [kernel.vmlinux]            [k] try_to_wake_up
     6.64%     0.09%  fio              [kernel.vmlinux]            [k] ttwu_do_activate
     6.52%     0.29%  fio              [kernel.vmlinux]            [k] io_issue_sqe
     6.25%     0.26%  fio              [kernel.vmlinux]            [k] io_read
     5.49%     0.33%  fio              [kernel.vmlinux]            [k] io_setup_async_rw
     5.02%     0.57%  fio              [kernel.vmlinux]            [k] __kmalloc
     4.29%     0.14%  fio              [kernel.vmlinux]            [k] __cond_resched
     4.16%     0.70%  fio              [kernel.vmlinux]            [k] __sched_text_start
     4.15%     0.10%  fio              [kernel.vmlinux]            [k] preempt_schedule_common
     4.03%     1.81%  fio              [kernel.vmlinux]            [k] select_task_rq_fair
     3.67%     0.49%  fio              [kernel.vmlinux]            [k] enqueue_task_fair
     2.89%     0.18%  fio              [kernel.vmlinux]            [k] psi_task_change
     2.32%     2.29%  fio              [kernel.vmlinux]            [k] psi_group_change
     2.17%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_lruvec
     2.17%     0.00%  kswapd0          [kernel.vmlinux]            [k] balance_pgdat
     2.17%     0.00%  kswapd0          [kernel.vmlinux]            [k] kswapd
     2.17%     0.00%  kswapd0          [kernel.vmlinux]            [k] kthread
     2.17%     0.00%  kswapd0          [kernel.vmlinux]            [k] ret_from_fork
     2.17%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_node
     2.10%     0.23%  fio              [kernel.vmlinux]            [k] pick_next_task_fair
     1.97%     0.01%  iou-wrk-2992     [kernel.vmlinux]            [k] io_wqe_worker
     1.97%     0.00%  iou-wrk-2992     [kernel.vmlinux]            [k] ret_from_fork
     1.90%     0.01%  iou-wrk-3006     [kernel.vmlinux]            [k] io_wqe_worker
     1.90%     0.00%  iou-wrk-3006     [kernel.vmlinux]            [k] ret_from_fork
     1.88%     0.00%  iou-wrk-2993     [kernel.vmlinux]            [k] io_wqe_worker
     1.88%     0.00%  iou-wrk-2993     [kernel.vmlinux]            [k] ret_from_fork
     1.88%     0.02%  iou-wrk-3002     [kernel.vmlinux]            [k] io_wqe_worker
     1.88%     0.00%  iou-wrk-3002     [kernel.vmlinux]            [k] ret_from_fork
     1.88%     0.00%  swapper          [kernel.vmlinux]            [k] cpu_startup_entry
     1.88%     0.00%  swapper          [kernel.vmlinux]            [k] secondary_startup_64_no_verify
     1.87%     0.02%  swapper          [kernel.vmlinux]            [k] do_idle
     1.86%     0.01%  iou-wrk-3023     [kernel.vmlinux]            [k] io_wqe_worker
     1.86%     0.00%  iou-wrk-3023     [kernel.vmlinux]            [k] ret_from_fork
     1.86%     0.01%  iou-wrk-3010     [kernel.vmlinux]            [k] io_wqe_worker
     1.86%     0.00%  iou-wrk-3010     [kernel.vmlinux]            [k] ret_from_fork
     1.85%     0.01%  iou-wrk-2995     [kernel.vmlinux]            [k] io_wqe_worker
     1.85%     0.00%  iou-wrk-2995     [kernel.vmlinux]            [k] ret_from_fork
     1.84%     0.00%  swapper          [kernel.vmlinux]            [k] start_secondary
     1.83%     0.02%  iou-wrk-3019     [kernel.vmlinux]            [k] io_wqe_worker
     1.83%     0.00%  iou-wrk-3019     [kernel.vmlinux]            [k] ret_from_fork
     1.82%     0.01%  iou-wrk-2987     [kernel.vmlinux]            [k] io_wqe_worker
     1.82%     0.00%  iou-wrk-2987     [kernel.vmlinux]            [k] ret_from_fork
     1.79%     0.01%  iou-wrk-2990     [kernel.vmlinux]            [k] io_wqe_worker
     1.79%     0.00%  iou-wrk-2990     [kernel.vmlinux]            [k] ret_from_fork
     1.79%     0.01%  iou-wrk-3013     [kernel.vmlinux]            [k] io_wqe_worker
     1.79%     0.00%  iou-wrk-3013     [kernel.vmlinux]            [k] ret_from_fork
     1.79%     0.01%  iou-wrk-2991     [kernel.vmlinux]            [k] io_wqe_worker
     1.79%     0.00%  iou-wrk-2991     [kernel.vmlinux]            [k] ret_from_fork
     1.79%     0.01%  iou-wrk-3003     [kernel.vmlinux]            [k] io_wqe_worker
     1.79%     0.00%  iou-wrk-3003     [kernel.vmlinux]            [k] ret_from_fork
     1.76%     0.01%  iou-wrk-3021     [kernel.vmlinux]            [k] io_wqe_worker
     1.76%     0.00%  iou-wrk-3021     [kernel.vmlinux]            [k] ret_from_fork
     1.76%     0.01%  iou-wrk-3025     [kernel.vmlinux]            [k] io_wqe_worker
     1.76%     0.00%  iou-wrk-3025     [kernel.vmlinux]            [k] ret_from_fork
     1.75%     0.01%  iou-wrk-2997     [kernel.vmlinux]            [k] io_wqe_worker
     1.75%     0.00%  iou-wrk-2997     [kernel.vmlinux]            [k] ret_from_fork
     1.75%     0.71%  fio              [kernel.vmlinux]            [k] update_load_avg
     1.75%     0.01%  iou-wrk-2999     [kernel.vmlinux]            [k] io_wqe_worker
     1.75%     0.00%  iou-wrk-2999     [kernel.vmlinux]            [k] ret_from_fork
     1.74%     0.01%  iou-wrk-2988     [kernel.vmlinux]            [k] io_wqe_worker
     1.74%     0.00%  iou-wrk-2988     [kernel.vmlinux]            [k] ret_from_fork
     1.73%     0.01%  iou-wrk-3022     [kernel.vmlinux]            [k] io_wqe_worker
     1.73%     0.00%  iou-wrk-3022     [kernel.vmlinux]            [k] ret_from_fork
     1.72%     0.01%  iou-wrk-2998     [kernel.vmlinux]            [k] io_wqe_worker
     1.72%     0.00%  iou-wrk-2998     [kernel.vmlinux]            [k] ret_from_fork
     1.72%     0.02%  iou-wrk-3014     [kernel.vmlinux]            [k] io_wqe_worker
     1.72%     0.00%  iou-wrk-3014     [kernel.vmlinux]            [k] ret_from_fork
     1.72%     0.01%  iou-wrk-3012     [kernel.vmlinux]            [k] io_wqe_worker
     1.72%     0.00%  iou-wrk-3012     [kernel.vmlinux]            [k] ret_from_fork
     1.70%     0.50%  fio              [kernel.vmlinux]            [k] enqueue_entity
     1.70%     0.00%  iou-wrk-3001     [kernel.vmlinux]            [k] io_wqe_worker
     1.70%     0.00%  iou-wrk-3001     [kernel.vmlinux]            [k] ret_from_fork
     1.69%     0.00%  iou-wrk-2989     [kernel.vmlinux]            [k] io_wqe_worker
     1.69%     0.00%  iou-wrk-2989     [kernel.vmlinux]            [k] ret_from_fork
     1.69%     0.01%  kswapd0          [kernel.vmlinux]            [k] shrink_inactive_list
     1.67%     0.01%  iou-wrk-3015     [kernel.vmlinux]            [k] io_wqe_worker
     1.67%     0.00%  iou-wrk-3015     [kernel.vmlinux]            [k] ret_from_fork
     1.66%     0.02%  iou-wrk-3008     [kernel.vmlinux]            [k] io_wqe_worker
