# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 50663668354832
#
# Children      Self  Command          Shared Object               Symbol                                        
# ........  ........  ...............  ..........................  ..............................................
#
     1.75%     0.01%  iou-wrk-3258     [kernel.vmlinux]            [k] io_wqe_worker
     1.75%     0.00%  iou-wrk-3258     [kernel.vmlinux]            [k] ret_from_fork
     1.75%     0.01%  iou-wrk-3234     [kernel.vmlinux]            [k] io_wqe_worker
     1.75%     0.00%  iou-wrk-3234     [kernel.vmlinux]            [k] ret_from_fork
     1.75%     0.01%  iou-wrk-3221     [kernel.vmlinux]            [k] io_wqe_worker
     1.75%     0.00%  iou-wrk-3221     [kernel.vmlinux]            [k] ret_from_fork
     1.75%     0.01%  iou-wrk-3249     [kernel.vmlinux]            [k] io_wqe_worker
     1.75%     0.00%  iou-wrk-3249     [kernel.vmlinux]            [k] ret_from_fork
     1.75%     0.01%  iou-wrk-3223     [kernel.vmlinux]            [k] io_wqe_worker
     1.75%     0.00%  iou-wrk-3223     [kernel.vmlinux]            [k] ret_from_fork
     1.75%     0.01%  iou-wrk-3235     [kernel.vmlinux]            [k] io_wqe_worker
     1.75%     0.00%  iou-wrk-3235     [kernel.vmlinux]            [k] ret_from_fork
     1.74%     0.01%  iou-wrk-3229     [kernel.vmlinux]            [k] io_wqe_worker
     1.74%     0.00%  iou-wrk-3229     [kernel.vmlinux]            [k] ret_from_fork
     1.74%     0.01%  iou-wrk-3227     [kernel.vmlinux]            [k] io_wqe_worker
     1.74%     0.00%  iou-wrk-3227     [kernel.vmlinux]            [k] ret_from_fork
     1.74%     0.01%  iou-wrk-3247     [kernel.vmlinux]            [k] io_wqe_worker
     1.74%     0.00%  iou-wrk-3247     [kernel.vmlinux]            [k] ret_from_fork
     1.74%     0.01%  iou-wrk-3243     [kernel.vmlinux]            [k] io_wqe_worker
     1.74%     0.00%  iou-wrk-3243     [kernel.vmlinux]            [k] ret_from_fork
     1.74%     0.01%  iou-wrk-3231     [kernel.vmlinux]            [k] io_wqe_worker
     1.74%     0.00%  iou-wrk-3231     [kernel.vmlinux]            [k] ret_from_fork
     1.73%     0.01%  iou-wrk-3230     [kernel.vmlinux]            [k] io_wqe_worker
     1.73%     0.00%  iou-wrk-3230     [kernel.vmlinux]            [k] ret_from_fork
     1.73%     0.01%  iou-wrk-3248     [kernel.vmlinux]            [k] io_wqe_worker
     1.73%     0.00%  iou-wrk-3248     [kernel.vmlinux]            [k] ret_from_fork
     1.72%     0.01%  iou-wrk-3222     [kernel.vmlinux]            [k] io_wqe_worker
     1.72%     0.00%  iou-wrk-3222     [kernel.vmlinux]            [k] ret_from_fork
     1.72%     0.69%  fio              [kernel.vmlinux]            [k] update_load_avg
     1.72%     0.01%  iou-wrk-3257     [kernel.vmlinux]            [k] io_wqe_worker
     1.72%     0.00%  iou-wrk-3257     [kernel.vmlinux]            [k] ret_from_fork
     1.71%     0.01%  iou-wrk-3232     [kernel.vmlinux]            [k] io_wqe_worker
     1.71%     0.00%  iou-wrk-3232     [kernel.vmlinux]            [k] ret_from_fork
     1.71%     0.01%  iou-wrk-3237     [kernel.vmlinux]            [k] io_wqe_worker
     1.71%     0.00%  iou-wrk-3237     [kernel.vmlinux]            [k] ret_from_fork
     1.71%     0.01%  iou-wrk-3238     [kernel.vmlinux]            [k] io_wqe_worker
     1.71%     0.00%  iou-wrk-3238     [kernel.vmlinux]            [k] ret_from_fork
     1.57%     0.40%  fio              [kernel.vmlinux]            [k] enqueue_entity
     1.35%     0.02%  iou-wrk-3260     [kernel.vmlinux]            [k] io_worker_handle_work
     1.34%     0.02%  iou-wrk-3242     [kernel.vmlinux]            [k] io_worker_handle_work
