# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 31979551606917
#
# Children      Self  Command          Shared Object               Symbol                                              
# ........  ........  ...............  ..........................  ....................................................
#
     2.26%     0.00%  iou-wrk-3110     [kernel.vmlinux]            [k] io_wqe_worker
     2.26%     0.00%  iou-wrk-3110     [kernel.vmlinux]            [k] ret_from_fork
     2.26%     0.00%  iou-wrk-3096     [kernel.vmlinux]            [k] io_wqe_worker
     2.26%     0.00%  iou-wrk-3096     [kernel.vmlinux]            [k] ret_from_fork
     2.26%     0.01%  iou-wrk-3092     [kernel.vmlinux]            [k] io_worker_handle_work
     2.26%     0.00%  iou-wrk-3105     [kernel.vmlinux]            [k] io_wqe_worker
     2.26%     0.00%  iou-wrk-3105     [kernel.vmlinux]            [k] ret_from_fork
     2.26%     0.01%  iou-wrk-3134     [kernel.vmlinux]            [k] io_worker_handle_work
     2.26%     0.00%  iou-wrk-3133     [kernel.vmlinux]            [k] io_wqe_worker
     2.26%     0.00%  iou-wrk-3133     [kernel.vmlinux]            [k] ret_from_fork
     2.25%     0.00%  iou-wrk-3121     [kernel.vmlinux]            [k] io_wqe_worker
     2.25%     0.00%  iou-wrk-3121     [kernel.vmlinux]            [k] ret_from_fork
     2.25%     0.01%  iou-wrk-3094     [kernel.vmlinux]            [k] io_worker_handle_work
     2.25%     0.00%  iou-wrk-3111     [kernel.vmlinux]            [k] io_wqe_worker
     2.25%     0.00%  iou-wrk-3111     [kernel.vmlinux]            [k] ret_from_fork
     2.25%     0.01%  iou-wrk-3106     [kernel.vmlinux]            [k] io_worker_handle_work
     2.25%     0.08%  fio              [kernel.vmlinux]            [k] try_to_wake_up
     2.25%     0.00%  iou-wrk-3122     [kernel.vmlinux]            [k] io_wqe_worker
     2.25%     0.00%  iou-wrk-3122     [kernel.vmlinux]            [k] ret_from_fork
     2.25%     0.00%  iou-wrk-3103     [kernel.vmlinux]            [k] io_wqe_worker
     2.25%     0.00%  iou-wrk-3103     [kernel.vmlinux]            [k] ret_from_fork
     2.24%     0.00%  iou-wrk-3107     [kernel.vmlinux]            [k] io_wq_submit_work
     2.24%     0.00%  iou-wrk-3104     [kernel.vmlinux]            [k] io_wqe_worker
     2.24%     0.00%  iou-wrk-3104     [kernel.vmlinux]            [k] ret_from_fork
     2.24%     0.00%  iou-wrk-3107     [kernel.vmlinux]            [k] io_issue_sqe
     2.24%     0.00%  iou-wrk-3116     [kernel.vmlinux]            [k] io_wq_submit_work
     2.24%     0.00%  iou-wrk-3109     [kernel.vmlinux]            [k] io_wq_submit_work
     2.24%     0.00%  iou-wrk-3097     [kernel.vmlinux]            [k] io_wqe_worker
     2.24%     0.00%  iou-wrk-3097     [kernel.vmlinux]            [k] ret_from_fork
     2.24%     0.00%  iou-wrk-3116     [kernel.vmlinux]            [k] io_issue_sqe
     2.24%     0.01%  iou-wrk-3113     [kernel.vmlinux]            [k] io_worker_handle_work
     2.24%     0.00%  iou-wrk-3107     [kernel.vmlinux]            [k] io_read
     2.24%     0.00%  iou-wrk-3109     [kernel.vmlinux]            [k] io_issue_sqe
     2.24%     0.00%  iou-wrk-3102     [kernel.vmlinux]            [k] io_wqe_worker
     2.24%     0.00%  iou-wrk-3102     [kernel.vmlinux]            [k] ret_from_fork
     2.24%     0.00%  iou-wrk-3115     [kernel.vmlinux]            [k] io_wqe_worker
     2.24%     0.00%  iou-wrk-3115     [kernel.vmlinux]            [k] ret_from_fork
     2.24%     0.00%  iou-wrk-3116     [kernel.vmlinux]            [k] io_read
     2.24%     0.00%  iou-wrk-3108     [kernel.vmlinux]            [k] io_wq_submit_work
     2.24%     0.00%  iou-wrk-3109     [kernel.vmlinux]            [k] io_read
     2.24%     0.01%  iou-wrk-3118     [kernel.vmlinux]            [k] io_worker_handle_work
     2.23%     0.00%  iou-wrk-3108     [kernel.vmlinux]            [k] io_issue_sqe
     2.23%     0.00%  iou-wrk-3131     [kernel.vmlinux]            [k] io_wq_submit_work
     2.23%     0.00%  iou-wrk-3108     [kernel.vmlinux]            [k] io_read
     2.23%     0.00%  iou-wrk-3131     [kernel.vmlinux]            [k] io_issue_sqe
     2.23%     0.00%  iou-wrk-3095     [kernel.vmlinux]            [k] io_wqe_worker
     2.23%     0.00%  iou-wrk-3095     [kernel.vmlinux]            [k] ret_from_fork
     2.23%     0.00%  iou-wrk-3131     [kernel.vmlinux]            [k] io_read
     2.23%     0.01%  iou-wrk-3123     [kernel.vmlinux]            [k] io_worker_handle_work
     2.22%     0.00%  iou-wrk-3117     [kernel.vmlinux]            [k] io_wq_submit_work
     2.22%     0.00%  iou-wrk-3117     [kernel.vmlinux]            [k] io_issue_sqe
     2.22%     0.00%  iou-wrk-3092     [kernel.vmlinux]            [k] io_wq_submit_work
     2.22%     0.00%  iou-wrk-3134     [kernel.vmlinux]            [k] io_wq_submit_work
     2.22%     0.00%  iou-wrk-3092     [kernel.vmlinux]            [k] io_issue_sqe
     2.22%     0.00%  iou-wrk-3094     [kernel.vmlinux]            [k] io_wq_submit_work
     2.22%     0.01%  iou-wrk-3126     [kernel.vmlinux]            [k] io_worker_handle_work
     2.22%     0.00%  iou-wrk-3117     [kernel.vmlinux]            [k] io_read
     2.22%     0.00%  iou-wrk-3134     [kernel.vmlinux]            [k] io_issue_sqe
     2.21%     0.00%  iou-wrk-3114     [kernel.vmlinux]            [k] io_wqe_worker
