# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 64155171953591
#
# Children      Self  Command          Shared Object       Symbol                                             
# ........  ........  ...............  ..................  ...................................................
#
     0.00%     0.00%  iou-wrk-2929     [kernel.vmlinux]    [k] wake_all_kswapds
     0.00%     0.00%  iou-wrk-2952     [kernel.vmlinux]    [k] __cond_resched
     0.00%     0.00%  iou-wrk-2942     [kernel.vmlinux]    [k] xas_start
     0.00%     0.00%  iou-wrk-2944     [kernel.vmlinux]    [k] try_to_del_timer_sync
     0.00%     0.00%  iou-wrk-2949     [kernel.vmlinux]    [k] wake_all_kswapds
     0.00%     0.00%  iou-wrk-2930     [kernel.vmlinux]    [k] bio_alloc_bioset
     0.00%     0.00%  iou-wrk-2950     [kernel.vmlinux]    [k] __read_end_io
     0.00%     0.00%  iou-wrk-2931     [kernel.vmlinux]    [k] try_to_del_timer_sync
     0.00%     0.00%  iou-wrk-2929     [kernel.vmlinux]    [k] xas_start
     0.00%     0.00%  iou-wrk-2960     [kernel.vmlinux]    [k] ext4_inode_block_valid
     0.00%     0.00%  iou-wrk-2950     [kernel.vmlinux]    [k] __switch_to_asm
     0.00%     0.00%  iou-wrk-2952     [kernel.vmlinux]    [k] scheduler_tick
     0.00%     0.00%  iou-wrk-2953     [kernel.vmlinux]    [k] psi_task_change
     0.00%     0.00%  iou-wrk-2958     [kernel.vmlinux]    [k] sched_clock_cpu
     0.00%     0.00%  iou-wrk-2953     [kernel.vmlinux]    [k] atime_needs_update
     0.00%     0.00%  iou-wrk-2958     [kernel.vmlinux]    [k] wake_all_kswapds
     0.00%     0.00%  iou-wrk-2968     [kernel.vmlinux]    [k] try_to_del_timer_sync
     0.00%     0.00%  iou-wrk-2932     [kernel.vmlinux]    [k] __mod_memcg_state
     0.00%     0.00%  iou-wrk-2965     [kernel.vmlinux]    [k] bio_alloc_bioset
     0.00%     0.00%  iou-wrk-2952     [kernel.vmlinux]    [k] update_rq_clock
     0.00%     0.00%  iou-wrk-2950     [kernel.vmlinux]    [k] update_rq_clock
     0.00%     0.00%  iou-wrk-2930     [kernel.vmlinux]    [k] set_next_entity
     0.00%     0.00%  iou-wrk-2934     [kernel.vmlinux]    [k] xas_start
     0.00%     0.00%  iou-wrk-2957     [kernel.vmlinux]    [k] sched_clock_cpu
     0.00%     0.00%  swapper          [kernel.vmlinux]    [k] raw_spin_rq_lock_nested
     0.00%     0.00%  iou-wrk-2963     [kernel.vmlinux]    [k] wake_all_kswapds
     0.00%     0.00%  iou-wrk-2959     [kernel.vmlinux]    [k] native_sched_clock
     0.00%     0.00%  iou-wrk-2948     [kernel.vmlinux]    [k] __switch_to
     0.00%     0.00%  iou-wrk-2942     [kernel.vmlinux]    [k] do_shrink_slab
     0.00%     0.00%  fio              [kernel.vmlinux]    [k] sched_clock
     0.00%     0.00%  iou-wrk-2956     [kernel.vmlinux]    [k] del_timer_sync
     0.00%     0.00%  iou-wrk-2932     [kernel.vmlinux]    [k] wake_all_kswapds
     0.00%     0.00%  iou-wrk-2958     [kernel.vmlinux]    [k] do_shrink_slab
     0.00%     0.00%  iou-wrk-2956     [kernel.vmlinux]    [k] __mem_cgroup_uncharge_list
     0.00%     0.00%  iou-wrk-2955     [kernel.vmlinux]    [k] free_unref_page_prepare.part.0
     0.00%     0.00%  iou-wrk-2953     [kernel.vmlinux]    [k] do_shrink_slab
     0.00%     0.00%  iou-wrk-2959     [kernel.vmlinux]    [k] __slab_free
     0.00%     0.00%  iou-wrk-2935     [kernel.vmlinux]    [k] __slab_free
     0.00%     0.00%  iou-wrk-2951     [kernel.vmlinux]    [k] do_shrink_slab
     0.00%     0.00%  iou-wrk-2944     [kernel.vmlinux]    [k] do_shrink_slab
     0.00%     0.00%  iou-wrk-2950     [kernel.vmlinux]    [k] kfree
     0.00%     0.00%  iou-wrk-2936     [kernel.vmlinux]    [k] __read_end_io
     0.00%     0.00%  iou-wrk-2946     [kernel.vmlinux]    [k] blk_throtl_bio
     0.00%     0.00%  iou-wrk-2943     [kernel.vmlinux]    [k] scheduler_tick
     0.00%     0.00%  iou-wrk-2933     [kernel.vmlinux]    [k] __slab_free
     0.00%     0.00%  iou-wrk-2939     [kernel.vmlinux]    [k] iov_iter_restore
     0.00%     0.00%  iou-wrk-2954     [kernel.vmlinux]    [k] __list_add_valid
     0.00%     0.00%  iou-wrk-2949     [kernel.vmlinux]    [k] iov_iter_restore
     0.00%     0.00%  iou-wrk-2959     [kernel.vmlinux]    [k] unlock_page
     0.00%     0.00%  iou-wrk-2945     [kernel.vmlinux]    [k] try_to_wake_up
     0.00%     0.00%  iou-wrk-2936     [kernel.vmlinux]    [k] blk_throtl_bio
     0.00%     0.00%  iou-wrk-2932     [kernel.vmlinux]    [k] free_unref_page_prepare.part.0
     0.00%     0.00%  iou-wrk-2935     [kernel.vmlinux]    [k] bio_associate_blkg
     0.00%     0.00%  iou-wrk-2963     [kernel.vmlinux]    [k] sched_clock_cpu
     0.00%     0.00%  iou-wrk-2933     [kernel.vmlinux]    [k] _raw_spin_unlock_irqrestore
     0.00%     0.00%  iou-wrk-2936     [kernel.vmlinux]    [k] wake_all_kswapds
     0.00%     0.00%  iou-wrk-2951     [kernel.vmlinux]    [k] mempool_alloc
     0.00%     0.00%  iou-wrk-2960     [kernel.vmlinux]    [k] wake_all_kswapds
     0.00%     0.00%  kswapd0          [kernel.vmlinux]    [k] workingset_update_node
     0.00%     0.00%  iou-wrk-2929     [kernel.vmlinux]    [k] scheduler_tick
     0.00%     0.00%  iou-wrk-2967     [kernel.vmlinux]    [k] scheduler_tick
     0.00%     0.00%  iou-wrk-2929     [kernel.vmlinux]    [k] psi_memstall_enter
     0.00%     0.00%  iou-wrk-2931     [kernel.vmlinux]    [k] ext4_inode_block_valid
     0.00%     0.00%  iou-wrk-2947     [kernel.vmlinux]    [k] __slab_free
     0.00%     0.00%  iou-wrk-2932     [kernel.vmlinux]    [k] bio_associate_blkg_from_css
     0.00%     0.00%  iou-wrk-2939     [kernel.vmlinux]    [k] selinux_file_permission
     0.00%     0.00%  iou-wrk-2963     [kernel.vmlinux]    [k] __mod_node_page_state
     0.00%     0.00%  iou-wrk-2956     [kernel.vmlinux]    [k] atime_needs_update
     0.00%     0.00%  iou-wrk-2938     [kernel.vmlinux]    [k] get_mem_cgroup_from_mm
     0.00%     0.00%  iou-wrk-2958     [kernel.vmlinux]    [k] iov_iter_restore
     0.00%     0.00%  iou-wrk-2964     [kernel.vmlinux]    [k] del_timer_sync
     0.00%     0.00%  iou-wrk-2945     [kernel.vmlinux]    [k] raw_spin_rq_lock_nested.constprop.0
     0.00%     0.00%  iou-wrk-2930     [kernel.vmlinux]    [k] __read_end_io
     0.00%     0.00%  iou-wrk-2937     [kernel.vmlinux]    [k] mempool_alloc
     0.00%     0.00%  iou-wrk-2950     [kernel.vmlinux]    [k] raw_spin_rq_lock_nested.constprop.0
     0.00%     0.00%  iou-wrk-2966     [kernel.vmlinux]    [k] __mod_node_page_state
     0.00%     0.00%  iou-wrk-2931     [kernel.vmlinux]    [k] touch_atime
     0.00%     0.00%  iou-wrk-2968     [kernel.vmlinux]    [k] psi_memstall_leave
     0.00%     0.00%  iou-wrk-2952     [kernel.vmlinux]    [k] sched_clock_cpu
     0.00%     0.00%  iou-wrk-2932     [kernel.vmlinux]    [k] set_next_entity
     0.00%     0.00%  iou-wrk-2946     [kernel.vmlinux]    [k] kfree
     0.00%     0.00%  iou-wrk-2953     [kernel.vmlinux]    [k] kfree
     0.00%     0.00%  iou-wrk-2953     [kernel.vmlinux]    [k] lock_timer_base
     0.00%     0.00%  iou-wrk-2959     [kernel.vmlinux]    [k] del_timer_sync
     0.00%     0.00%  iou-wrk-2931     [kernel.vmlinux]    [k] raw_spin_rq_lock_nested.constprop.0
     0.00%     0.00%  iou-wrk-2953     [kernel.vmlinux]    [k] bio_associate_blkg
     0.00%     0.00%  iou-wrk-2938     [kernel.vmlinux]    [k] do_shrink_slab
     0.00%     0.00%  iou-wrk-2931     [kernel.vmlinux]    [k] do_shrink_slab
     0.00%     0.00%  iou-wrk-2930     [kernel.vmlinux]    [k] scheduler_tick
     0.00%     0.00%  iou-wrk-2959     [kernel.vmlinux]    [k] count_shadow_nodes
     0.00%     0.00%  iou-wrk-2938     [kernel.vmlinux]    [k] unlock_page
     0.00%     0.00%  iou-wrk-2933     [kernel.vmlinux]    [k] scheduler_tick
     0.00%     0.00%  iou-wrk-2953     [kernel.vmlinux]    [k] unlock_page
     0.00%     0.00%  iou-wrk-2934     [kernel.vmlinux]    [k] __slab_free
     0.00%     0.00%  iou-wrk-2936     [kernel.vmlinux]    [k] unlock_page
     0.00%     0.00%  iou-wrk-2959     [kernel.vmlinux]    [k] __hrtimer_run_queues
     0.00%     0.00%  iou-wrk-2929     [kernel.vmlinux]    [k] mempool_alloc
     0.00%     0.00%  iou-wrk-2956     [kernel.vmlinux]    [k] __slab_free
     0.00%     0.00%  iou-wrk-2944     [kernel.vmlinux]    [k] scheduler_tick
     0.00%     0.00%  iou-wrk-2963     [kernel.vmlinux]    [k] unlock_page
     0.00%     0.00%  iou-wrk-2929     [kernel.vmlinux]    [k] percpu_counter_add_batch
     0.00%     0.00%  iou-wrk-2964     [kernel.vmlinux]    [k] __mod_memcg_state
     0.00%     0.00%  iou-wrk-2966     [kernel.vmlinux]    [k] percpu_counter_add_batch
     0.00%     0.00%  iou-wrk-2940     [kernel.vmlinux]    [k] get_mem_cgroup_from_mm
     0.00%     0.00%  iou-wrk-2964     [kernel.vmlinux]    [k] sched_clock_cpu
     0.00%     0.00%  iou-wrk-2943     [kernel.vmlinux]    [k] mempool_alloc
     0.00%     0.00%  iou-wrk-2929     [kernel.vmlinux]    [k] __mod_lruvec_state
     0.00%     0.00%  iou-wrk-2951     [kernel.vmlinux]    [k] get_mem_cgroup_from_mm
     0.00%     0.00%  iou-wrk-2957     [kernel.vmlinux]    [k] __mod_memcg_state
     0.00%     0.00%  iou-wrk-2950     [kernel.vmlinux]    [k] iov_iter_restore
     0.00%     0.00%  iou-wrk-2935     [kernel.vmlinux]    [k] kfree
     0.00%     0.00%  iou-wrk-2930     [kernel.vmlinux]    [k] wake_all_kswapds
     0.00%     0.00%  iou-wrk-2965     [kernel.vmlinux]    [k] wake_all_kswapds
     0.00%     0.00%  iou-wrk-2956     [kernel.vmlinux]    [k] sched_clock_cpu
     0.00%     0.00%  kswapd0          [kernel.vmlinux]    [k] page_counter_uncharge
     0.00%     0.00%  iou-wrk-2966     [kernel.vmlinux]    [k] __list_add_valid
     0.00%     0.00%  iou-wrk-2942     [kernel.vmlinux]    [k] native_sched_clock
     0.00%     0.00%  iou-wrk-2945     [kernel.vmlinux]    [k] _raw_spin_unlock_irqrestore
     0.00%     0.00%  fio              [kernel.vmlinux]    [k] mutex_unlock
     0.00%     0.00%  kswapd0          [kernel.vmlinux]    [k] __mod_zone_page_state
     0.00%     0.00%  iou-wrk-2958     [kernel.vmlinux]    [k] native_sched_clock
     0.00%     0.00%  iou-wrk-2938     [kernel.vmlinux]    [k] try_to_del_timer_sync
     0.00%     0.00%  iou-wrk-2938     [kernel.vmlinux]    [k] __read_end_io
     0.00%     0.00%  iou-wrk-2966     [kernel.vmlinux]    [k] mempool_alloc
     0.00%     0.00%  iou-wrk-2929     [kernel.vmlinux]    [k] sched_clock_cpu
     0.00%     0.00%  iou-wrk-2951     [kernel.vmlinux]    [k] __slab_free
     0.00%     0.00%  iou-wrk-2930     [kernel.vmlinux]    [k] raw_spin_rq_lock_nested.constprop.0
     0.00%     0.00%  iou-wrk-2939     [kernel.vmlinux]    [k] wake_all_kswapds
     0.00%     0.00%  iou-wrk-2942     [kernel.vmlinux]    [k] __switch_to_asm
     0.00%     0.00%  iou-wrk-2962     [kernel.vmlinux]    [k] update_rq_clock
     0.00%     0.00%  iou-wrk-2937     [kernel.vmlinux]    [k] __read_end_io
     0.00%     0.00%  iou-wrk-2931     [kernel.vmlinux]    [k] blk_throtl_bio
     0.00%     0.00%  iou-wrk-2929     [kernel.vmlinux]    [k] __switch_to_asm
     0.00%     0.00%  iou-wrk-2962     [kernel.vmlinux]    [k] blk_throtl_bio
     0.00%     0.00%  iou-wrk-2942     [kernel.vmlinux]    [k] psi_memstall_enter
     0.00%     0.00%  iou-wrk-2934     [kernel.vmlinux]    [k] lock_timer_base
     0.00%     0.00%  iou-wrk-2949     [kernel.vmlinux]    [k] __update_load_avg_cfs_rq
     0.00%     0.00%  iou-wrk-2931     [kernel.vmlinux]    [k] kfree
     0.00%     0.00%  iou-wrk-2938     [kernel.vmlinux]    [k] bio_associate_blkg
     0.00%     0.00%  iou-wrk-2961     [kernel.vmlinux]    [k] __mod_memcg_state
     0.00%     0.00%  iou-wrk-2948     [kernel.vmlinux]    [k] raw_spin_rq_lock_nested.constprop.0
     0.00%     0.00%  iou-wrk-2935     [kernel.vmlinux]    [k] del_timer_sync
     0.00%     0.00%  iou-wrk-2935     [kernel.vmlinux]    [k] do_shrink_slab
     0.00%     0.00%  iou-wrk-2958     [kernel.vmlinux]    [k] unlock_page
     0.00%     0.00%  iou-wrk-2963     [kernel.vmlinux]    [k] scheduler_tick
     0.00%     0.00%  iou-wrk-2934     [kernel.vmlinux]    [k] autoremove_wake_function
     0.00%     0.00%  iou-wrk-2956     [kernel.vmlinux]    [k] unlock_page
     0.00%     0.00%  iou-wrk-2934     [kernel.vmlinux]    [k] try_to_wake_up
     0.00%     0.00%  kswapd0          [kernel.vmlinux]    [k] scheduler_tick
     0.00%     0.00%  iou-wrk-2934     [kernel.vmlinux]    [k] __mod_node_page_state
     0.00%     0.00%  iou-wrk-2954     [kernel.vmlinux]    [k] unlock_page
     0.00%     0.00%  iou-wrk-2941     [kernel.vmlinux]    [k] preempt_schedule_common
     0.00%     0.00%  iou-wrk-2966     [kernel.vmlinux]    [k] preempt_schedule_common
     0.00%     0.00%  iou-wrk-2953     [kernel.vmlinux]    [k] wake_all_kswapds
     0.00%     0.00%  iou-wrk-2958     [kernel.vmlinux]    [k] __mod_memcg_state
     0.00%     0.00%  iou-wrk-2947     [kernel.vmlinux]    [k] ttwu_do_activate
     0.00%     0.00%  iou-wrk-2948     [kernel.vmlinux]    [k] io_clean_op
     0.00%     0.00%  iou-wrk-2947     [kernel.vmlinux]    [k] __read_end_io
     0.00%     0.00%  iou-wrk-2943     [kernel.vmlinux]    [k] ttwu_do_activate
     0.00%     0.00%  iou-wrk-2931     [kernel.vmlinux]    [k] __mod_node_page_state
     0.00%     0.00%  iou-wrk-2964     [kernel.vmlinux]    [k] workingset_update_node
     0.00%     0.00%  iou-wrk-2939     [kernel.vmlinux]    [k] __mod_node_page_state
     0.00%     0.00%  iou-wrk-2944     [kernel.vmlinux]    [k] bio_associate_blkg
     0.00%     0.00%  iou-wrk-2937     [kernel.vmlinux]    [k] update_rq_clock
     0.00%     0.00%  iou-wrk-2956     [kernel.vmlinux]    [k] get_mem_cgroup_from_mm
     0.00%     0.00%  iou-wrk-2930     [kernel.vmlinux]    [k] kfree
     0.00%     0.00%  iou-wrk-2929     [kernel.vmlinux]    [k] selinux_file_permission
     0.00%     0.00%  iou-wrk-2968     [kernel.vmlinux]    [k] get_mem_cgroup_from_mm
     0.00%     0.00%  iou-wrk-2965     [kernel.vmlinux]    [k] blk_throtl_bio
     0.00%     0.00%  iou-wrk-2943     [kernel.vmlinux]    [k] wake_all_kswapds
     0.00%     0.00%  iou-wrk-2952     [kernel.vmlinux]    [k] percpu_counter_add_batch
     0.00%     0.00%  iou-wrk-2930     [kernel.vmlinux]    [k] get_mem_cgroup_from_mm
     0.00%     0.00%  iou-wrk-2964     [kernel.vmlinux]    [k] unlock_page
     0.00%     0.00%  iou-wrk-2940     [kernel.vmlinux]    [k] workingset_update_node
     0.00%     0.00%  iou-wrk-2962     [kernel.vmlinux]    [k] mempool_alloc
     0.00%     0.00%  iou-wrk-2963     [kernel.vmlinux]    [k] update_rq_clock
     0.00%     0.00%  iou-wrk-2966     [kernel.vmlinux]    [k] blk_throtl_bio
     0.00%     0.00%  iou-wrk-2934     [kernel.vmlinux]    [k] kfree
     0.00%     0.00%  iou-wrk-2966     [kernel.vmlinux]    [k] set_next_entity
     0.00%     0.00%  iou-wrk-2931     [kernel.vmlinux]    [k] get_mem_cgroup_from_mm
     0.00%     0.00%  iou-wrk-2967     [kernel.vmlinux]    [k] bio_alloc_bioset
     0.00%     0.00%  kswapd0          [kernel.vmlinux]    [k] page_counter_cancel
     0.00%     0.00%  iou-wrk-2968     [kernel.vmlinux]    [k] workingset_update_node
     0.00%     0.00%  iou-wrk-2937     [kernel.vmlinux]    [k] __switch_to_asm
     0.00%     0.00%  kswapd0          [kernel.vmlinux]    [k] uncharge_page
     0.00%     0.00%  iou-wrk-2964     [kernel.vmlinux]    [k] kfree
     0.00%     0.00%  fio              [kernel.vmlinux]    [k] wake_up_process
     0.00%     0.00%  iou-wrk-2949     [kernel.vmlinux]    [k] psi_task_change
     0.00%     0.00%  iou-wrk-2958     [kernel.vmlinux]    [k] iterate_groups.isra.0
     0.00%     0.00%  iou-wrk-2953     [kernel.vmlinux]    [k] mempool_alloc
     0.00%     0.00%  iou-wrk-2954     [kernel.vmlinux]    [k] del_timer_sync
     0.00%     0.00%  iou-wrk-2938     [kernel.vmlinux]    [k] bio_alloc_bioset
     0.00%     0.00%  iou-wrk-2950     [kernel.vmlinux]    [k] percpu_counter_add_batch
     0.00%     0.00%  iou-wrk-2957     [kernel.vmlinux]    [k] native_sched_clock
     0.00%     0.00%  iou-wrk-2938     [kernel.vmlinux]    [k] __switch_to_asm
     0.00%     0.00%  iou-wrk-2938     [kernel.vmlinux]    [k] selinux_file_permission
     0.00%     0.00%  iou-wrk-2929     [kernel.vmlinux]    [k] del_timer_sync
     0.00%     0.00%  iou-wrk-2951     [kernel.vmlinux]    [k] workingset_update_node
     0.00%     0.00%  iou-wrk-2966     [kernel.vmlinux]    [k] selinux_file_permission
     0.00%     0.00%  iou-wrk-2966     [kernel.vmlinux]    [k] kfree
     0.00%     0.00%  iou-wrk-2959     [kernel.vmlinux]    [k] lock_timer_base
     0.00%     0.00%  iou-wrk-2961     [kernel.vmlinux]    [k] del_timer_sync
     0.00%     0.00%  iou-wrk-2963     [kernel.vmlinux]    [k] blk_throtl_bio
     0.00%     0.00%  iou-wrk-2935     [kernel.vmlinux]    [k] sched_clock_cpu
     0.00%     0.00%  iou-wrk-2930     [kernel.vmlinux]    [k] count_shadow_nodes
     0.00%     0.00%  iou-wrk-2956     [kernel.vmlinux]    [k] try_to_del_timer_sync
     0.00%     0.00%  iou-wrk-2947     [kernel.vmlinux]    [k] try_to_del_timer_sync
     0.00%     0.00%  iou-wrk-2967     [kernel.vmlinux]    [k] raw_spin_rq_lock_nested.constprop.0
     0.00%     0.00%  iou-wrk-2967     [kernel.vmlinux]    [k] preempt_schedule_common
     0.00%     0.00%  iou-wrk-2954     [kernel.vmlinux]    [k] do_shrink_slab
     0.00%     0.00%  iou-wrk-2966     [kernel.vmlinux]    [k] free_unref_page_prepare.part.0
     0.00%     0.00%  iou-wrk-2955     [kernel.vmlinux]    [k] count_shadow_nodes
     0.00%     0.00%  iou-wrk-2955     [kernel.vmlinux]    [k] page_mapping
     0.00%     0.00%  iou-wrk-2937     [kernel.vmlinux]    [k] __mod_node_page_state
     0.00%     0.00%  iou-wrk-2949     [kernel.vmlinux]    [k] do_shrink_slab
     0.00%     0.00%  iou-wrk-2933     [kernel.vmlinux]    [k] unlock_page
     0.00%     0.00%  iou-wrk-2968     [kernel.vmlinux]    [k] _raw_spin_unlock_irqrestore
     0.00%     0.00%  iou-wrk-2933     [kernel.vmlinux]    [k] sched_clock_cpu
     0.00%     0.00%  iou-wrk-2939     [kernel.vmlinux]    [k] get_mem_cgroup_from_mm
     0.00%     0.00%  iou-wrk-2952     [kernel.vmlinux]    [k] wake_all_kswapds
     0.00%     0.00%  iou-wrk-2938     [kernel.vmlinux]    [k] ttwu_do_activate
     0.00%     0.00%  iou-wrk-2937     [kernel.vmlinux]    [k] __mod_memcg_state
     0.00%     0.00%  iou-wrk-2968     [kernel.vmlinux]    [k] mempool_alloc
     0.00%     0.00%  iou-wrk-2963     [kernel.vmlinux]    [k] iov_iter_restore
     0.00%     0.00%  iou-wrk-2943     [kernel.vmlinux]    [k] unlock_page
     0.00%     0.00%  iou-wrk-2931     [kernel.vmlinux]    [k] bio_associate_blkg
     0.00%     0.00%  iou-wrk-2944     [kernel.vmlinux]    [k] update_rq_clock
     0.00%     0.00%  iou-wrk-2958     [kernel.vmlinux]    [k] workingset_update_node
     0.00%     0.00%  iou-wrk-2950     [kernel.vmlinux]    [k] __slab_free
     0.00%     0.00%  iou-wrk-2961     [kernel.vmlinux]    [k] free_unref_page_prepare.part.0
     0.00%     0.00%  iou-wrk-2967     [kernel.vmlinux]    [k] bio_associate_blkg
     0.00%     0.00%  iou-wrk-2959     [kernel.vmlinux]    [k] selinux_file_permission
     0.00%     0.00%  iou-wrk-2958     [kernel.vmlinux]    [k] get_mem_cgroup_from_mm
     0.00%     0.00%  iou-wrk-2938     [kernel.vmlinux]    [k] percpu_counter_add_batch
     0.00%     0.00%  iou-wrk-2931     [kernel.vmlinux]    [k] mempool_alloc
     0.00%     0.00%  iou-wrk-2933     [kernel.vmlinux]    [k] try_to_del_timer_sync
     0.00%     0.00%  fio              [kernel.vmlinux]    [k] __memcpy
     0.00%     0.00%  iou-wrk-2944     [kernel.vmlinux]    [k] blk_throtl_bio
     0.00%     0.00%  iou-wrk-2929     [kernel.vmlinux]    [k] native_sched_clock
     0.00%     0.00%  iou-wrk-2941     [kernel.vmlinux]    [k] selinux_file_permission
     0.00%     0.00%  iou-wrk-2960     [kernel.vmlinux]    [k] kmem_cache_free
     0.00%     0.00%  iou-wrk-2945     [kernel.vmlinux]    [k] get_mem_cgroup_from_mm
     0.00%     0.00%  iou-wrk-2940     [kernel.vmlinux]    [k] mempool_alloc
     0.00%     0.00%  iou-wrk-2957     [kernel.vmlinux]    [k] mempool_alloc
     0.00%     0.00%  iou-wrk-2953     [kernel.vmlinux]    [k] ttwu_do_activate
     0.00%     0.00%  iou-wrk-2954     [kernel.vmlinux]    [k] selinux_file_permission
     0.00%     0.00%  iou-wrk-2954     [kernel.vmlinux]    [k] psi_memstall_enter
     0.00%     0.00%  iou-wrk-2961     [kernel.vmlinux]    [k] __switch_to_asm
     0.00%     0.00%  iou-wrk-2960     [kernel.vmlinux]    [k] raw_spin_rq_lock_nested.constprop.0
     0.00%     0.00%  iou-wrk-2956     [kernel.vmlinux]    [k] psi_memstall_enter
     0.00%     0.00%  iou-wrk-2962     [kernel.vmlinux]    [k] __read_end_io
     0.00%     0.00%  iou-wrk-2961     [kernel.vmlinux]    [k] mempool_alloc
     0.00%     0.00%  iou-wrk-2960     [kernel.vmlinux]    [k] __read_end_io
     0.00%     0.00%  iou-wrk-2967     [kernel.vmlinux]    [k] __switch_to_asm
     0.00%     0.00%  iou-wrk-2963     [kernel.vmlinux]    [k] del_timer_sync
     0.00%     0.00%  iou-wrk-2956     [kernel.vmlinux]    [k] percpu_counter_add_batch
     0.00%     0.00%  iou-wrk-2938     [kernel.vmlinux]    [k] update_rq_clock
     0.00%     0.00%  iou-wrk-2958     [kernel.vmlinux]    [k] io_clean_op
     0.00%     0.00%  iou-wrk-2941     [kernel.vmlinux]    [k] try_to_del_timer_sync
     0.00%     0.00%  iou-wrk-2966     [kernel.vmlinux]    [k] lock_timer_base
     0.00%     0.00%  iou-wrk-2941     [kernel.vmlinux]    [k] mempool_alloc
     0.00%     0.00%  iou-wrk-2955     [kernel.vmlinux]    [k] __read_end_io
     0.00%     0.00%  iou-wrk-2964     [kernel.vmlinux]    [k] _raw_spin_unlock_irqrestore
     0.00%     0.00%  iou-wrk-2941     [kernel.vmlinux]    [k] xas_start
     0.00%     0.00%  iou-wrk-2957     [kernel.vmlinux]    [k] blk_throtl_bio
     0.00%     0.00%  iou-wrk-2933     [kernel.vmlinux]    [k] blk_throtl_bio
     0.00%     0.00%  iou-wrk-2952     [kernel.vmlinux]    [k] do_shrink_slab
     0.00%     0.00%  iou-wrk-2964     [kernel.vmlinux]    [k] free_unref_page_prepare.part.0
     0.00%     0.00%  iou-wrk-2964     [kernel.vmlinux]    [k] do_shrink_slab
     0.00%     0.00%  iou-wrk-2955     [kernel.vmlinux]    [k] preempt_schedule_common
     0.00%     0.00%  iou-wrk-2953     [kernel.vmlinux]    [k] _raw_spin_unlock_irqrestore
     0.00%     0.00%  iou-wrk-2937     [kernel.vmlinux]    [k] sched_clock_cpu
     0.00%     0.00%  iou-wrk-2968     [kernel.vmlinux]    [k] __mod_node_page_state
     0.00%     0.00%  iou-wrk-2944     [kernel.vmlinux]    [k] __switch_to_asm
     0.00%     0.00%  iou-wrk-2937     [kernel.vmlinux]    [k] __slab_free
     0.00%     0.00%  iou-wrk-2940     [kernel.vmlinux]    [k] __list_add_valid
     0.00%     0.00%  iou-wrk-2933     [kernel.vmlinux]    [k] atime_needs_update
     0.00%     0.00%  iou-wrk-2961     [kernel.vmlinux]    [k] ttwu_do_activate
     0.00%     0.00%  iou-wrk-2958     [kernel.vmlinux]    [k] xas_start
     0.00%     0.00%  iou-wrk-2929     [kernel.vmlinux]    [k] __read_end_io
     0.00%     0.00%  iou-wrk-2929     [kernel.vmlinux]    [k] get_mem_cgroup_from_mm
     0.00%     0.00%  iou-wrk-2934     [kernel.vmlinux]    [k] workingset_update_node
     0.00%     0.00%  iou-wrk-2950     [kernel.vmlinux]    [k] psi_memstall_enter
     0.00%     0.00%  iou-wrk-2963     [kernel.vmlinux]    [k] workingset_update_node
     0.00%     0.00%  iou-wrk-2956     [kernel.vmlinux]    [k] io_clean_op
     0.00%     0.00%  iou-wrk-2944     [kernel.vmlinux]    [k] __slab_free
     0.00%     0.00%  iou-wrk-2950     [kernel.vmlinux]    [k] blk_throtl_bio
     0.00%     0.00%  iou-wrk-2960     [kernel.vmlinux]    [k] percpu_counter_add_batch
     0.00%     0.00%  iou-wrk-2967     [kernel.vmlinux]    [k] __read_end_io
     0.00%     0.00%  iou-wrk-2956     [kernel.vmlinux]    [k] workingset_update_node
     0.00%     0.00%  iou-wrk-2932     [kernel.vmlinux]    [k] selinux_file_permission
     0.00%     0.00%  iou-wrk-2966     [kernel.vmlinux]    [k] __mod_memcg_state
     0.00%     0.00%  iou-wrk-2957     [kernel.vmlinux]    [k] selinux_file_permission
     0.00%     0.00%  iou-wrk-2959     [kernel.vmlinux]    [k] __read_end_io
     0.00%     0.00%  iou-wrk-2964     [kernel.vmlinux]    [k] xas_start
     0.00%     0.00%  iou-wrk-2964     [kernel.vmlinux]    [k] try_to_del_timer_sync
     0.00%     0.00%  iou-wrk-2937     [kernel.vmlinux]    [k] psi_memstall_enter
     0.00%     0.00%  iou-wrk-2933     [kernel.vmlinux]    [k] psi_memstall_enter
     0.00%     0.00%  iou-wrk-2961     [kernel.vmlinux]    [k] psi_memstall_enter
     0.00%     0.00%  iou-wrk-2931     [kernel.vmlinux]    [k] atime_needs_update
     0.00%     0.00%  iou-wrk-2931     [kernel.vmlinux]    [k] scheduler_tick
     0.00%     0.00%  iou-wrk-2937     [kernel.vmlinux]    [k] preempt_schedule_common
     0.00%     0.00%  iou-wrk-2962     [kernel.vmlinux]    [k] sched_clock_cpu
     0.00%     0.00%  iou-wrk-2966     [kernel.vmlinux]    [k] xas_start
     0.00%     0.00%  iou-wrk-2958     [kernel.vmlinux]    [k] bio_alloc_bioset
     0.00%     0.00%  iou-wrk-2938     [kernel.vmlinux]    [k] preempt_schedule_common
