# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 64155171953591
#
# Children      Self  Command          Shared Object       Symbol                                             
# ........  ........  ...............  ..................  ...................................................
#
     2.26%     0.00%  iou-wrk-2935     [kernel.vmlinux]    [k] ret_from_fork
     2.25%     0.01%  iou-wrk-2961     [kernel.vmlinux]    [k] io_worker_handle_work
     2.25%     0.01%  iou-wrk-2932     [kernel.vmlinux]    [k] io_worker_handle_work
     2.24%     0.01%  iou-wrk-2967     [kernel.vmlinux]    [k] io_worker_handle_work
     2.24%     0.01%  iou-wrk-2943     [kernel.vmlinux]    [k] io_worker_handle_work
     2.24%     0.00%  iou-wrk-2944     [kernel.vmlinux]    [k] io_wqe_worker
     2.24%     0.00%  iou-wrk-2944     [kernel.vmlinux]    [k] ret_from_fork
     2.24%     0.01%  iou-wrk-2947     [kernel.vmlinux]    [k] io_worker_handle_work
     2.24%     0.01%  iou-wrk-2941     [kernel.vmlinux]    [k] io_worker_handle_work
     2.24%     0.01%  iou-wrk-2956     [kernel.vmlinux]    [k] io_worker_handle_work
     2.23%     0.01%  iou-wrk-2953     [kernel.vmlinux]    [k] io_worker_handle_work
     2.23%     0.01%  iou-wrk-2940     [kernel.vmlinux]    [k] io_worker_handle_work
     2.23%     0.01%  iou-wrk-2957     [kernel.vmlinux]    [k] io_worker_handle_work
     2.23%     0.01%  iou-wrk-2955     [kernel.vmlinux]    [k] io_worker_handle_work
     2.23%     0.00%  iou-wrk-2966     [kernel.vmlinux]    [k] io_wq_submit_work
     2.22%     0.00%  iou-wrk-2966     [kernel.vmlinux]    [k] io_issue_sqe
     2.22%     0.00%  iou-wrk-2966     [kernel.vmlinux]    [k] io_read
     2.22%     0.01%  iou-wrk-2938     [kernel.vmlinux]    [k] io_worker_handle_work
     2.22%     0.01%  iou-wrk-2949     [kernel.vmlinux]    [k] io_worker_handle_work
     2.22%     0.01%  iou-wrk-2942     [kernel.vmlinux]    [k] io_worker_handle_work
     2.22%     0.00%  iou-wrk-2961     [kernel.vmlinux]    [k] io_wq_submit_work
     2.21%     0.00%  iou-wrk-2961     [kernel.vmlinux]    [k] io_issue_sqe
