# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 36040858486202
#
# Children      Self  Command          Shared Object               Symbol                                        
# ........  ........  ...............  ..........................  ..............................................
#
     7.70%     0.03%  fio              [kernel.vmlinux]            [k] entry_SYSCALL_64
     7.67%     0.01%  fio              [kernel.vmlinux]            [k] do_syscall_64
     7.57%     0.04%  fio              [kernel.vmlinux]            [k] __do_sys_io_uring_enter
     7.13%     0.35%  fio              [kernel.vmlinux]            [k] io_submit_sqes
     5.87%     0.18%  fio              [kernel.vmlinux]            [k] __io_queue_sqe
     3.37%     0.06%  fio              [kernel.vmlinux]            [k] io_queue_async_work
     2.97%     0.15%  fio              [kernel.vmlinux]            [k] io_wqe_enqueue
     2.66%     0.07%  fio              [kernel.vmlinux]            [k] io_wqe_activate_free_worker
     2.52%     0.06%  fio              [kernel.vmlinux]            [k] try_to_wake_up
     2.32%     0.12%  fio              [kernel.vmlinux]            [k] io_issue_sqe
     2.21%     0.17%  fio              [kernel.vmlinux]            [k] io_read
     1.76%     0.16%  fio              [kernel.vmlinux]            [k] io_setup_async_rw
     1.50%     0.29%  fio              [kernel.vmlinux]            [k] __kmalloc
     1.28%     0.02%  fio              [kernel.vmlinux]            [k] ttwu_do_activate
     1.23%     0.00%  kswapd0          [kernel.vmlinux]            [k] balance_pgdat
     1.23%     0.00%  kswapd0          [kernel.vmlinux]            [k] kswapd
     1.23%     0.00%  kswapd0          [kernel.vmlinux]            [k] kthread
     1.23%     0.00%  kswapd0          [kernel.vmlinux]            [k] ret_from_fork
     1.23%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_node
     1.23%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_lruvec
     1.19%     0.20%  fio              [kernel.vmlinux]            [k] __sched_text_start
     1.17%     0.00%  iou-wrk-2990     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-2990     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3027     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3027     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.00%  iou-wrk-2986     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-2986     [kernel.vmlinux]            [k] ret_from_fork
