# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 40K of event 'cycles'
# Event count (approx.): 8276759233968
#
# Children      Self  Command          Shared Object               Symbol                                 
# ........  ........  ...............  ..........................  .......................................
#
    23.21%     0.03%  fio              [kernel.vmlinux]            [k] entry_SYSCALL_64
    23.18%     0.00%  fio              [kernel.vmlinux]            [k] do_syscall_64
    22.86%     0.02%  fio              [kernel.vmlinux]            [k] __do_sys_io_uring_enter
    22.80%     0.60%  fio              [kernel.vmlinux]            [k] io_submit_sqes
    21.19%     0.38%  fio              [kernel.vmlinux]            [k] __io_queue_sqe
    14.48%     0.08%  fio              [kernel.vmlinux]            [k] io_queue_async_work
    14.06%     0.23%  fio              [kernel.vmlinux]            [k] io_wqe_enqueue
    13.55%     0.25%  fio              [kernel.vmlinux]            [k] io_wqe_activate_free_worker
    13.08%     0.35%  fio              [kernel.vmlinux]            [k] try_to_wake_up
     6.34%     0.24%  fio              [kernel.vmlinux]            [k] io_issue_sqe
     6.18%     0.10%  fio              [kernel.vmlinux]            [k] ttwu_do_activate
     6.11%     0.48%  fio              [kernel.vmlinux]            [k] io_read
     5.11%     0.28%  fio              [kernel.vmlinux]            [k] io_setup_async_rw
     4.67%     0.45%  fio              [kernel.vmlinux]            [k] __kmalloc
     4.07%     0.16%  fio              [kernel.vmlinux]            [k] __cond_resched
     3.90%     0.13%  fio              [kernel.vmlinux]            [k] preempt_schedule_common
     3.88%     0.67%  fio              [kernel.vmlinux]            [k] __sched_text_start
     3.81%     1.65%  fio              [kernel.vmlinux]            [k] select_task_rq_fair
     3.41%     0.45%  fio              [kernel.vmlinux]            [k] enqueue_task_fair
     3.19%     0.00%  swapper          [kernel.vmlinux]            [k] cpu_startup_entry
     3.19%     0.00%  swapper          [kernel.vmlinux]            [k] secondary_startup_64_no_verify
     3.19%     0.02%  swapper          [kernel.vmlinux]            [k] do_idle
     3.18%     0.00%  swapper          [kernel.vmlinux]            [k] start_secondary
     2.69%     0.18%  fio              [kernel.vmlinux]            [k] psi_task_change
     2.24%     0.02%  swapper          [kernel.vmlinux]            [k] cpuidle_enter_state
     2.24%     0.00%  swapper          [kernel.vmlinux]            [k] cpuidle_enter
     2.12%     0.00%  kswapd0          [kernel.vmlinux]            [k] balance_pgdat
     2.12%     0.00%  kswapd0          [kernel.vmlinux]            [k] kswapd
     2.12%     0.00%  kswapd0          [kernel.vmlinux]            [k] kthread
     2.12%     0.00%  kswapd0          [kernel.vmlinux]            [k] ret_from_fork
     2.12%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_lruvec
     2.12%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_node
     2.06%     2.05%  fio              [kernel.vmlinux]            [k] psi_group_change
     2.06%     0.01%  iou-wrk-3239     [kernel.vmlinux]            [k] io_wqe_worker
     2.06%     0.00%  iou-wrk-3239     [kernel.vmlinux]            [k] ret_from_fork
     1.97%     0.01%  iou-wrk-3232     [kernel.vmlinux]            [k] io_wqe_worker
     1.97%     0.00%  iou-wrk-3232     [kernel.vmlinux]            [k] ret_from_fork
     1.96%     0.02%  iou-wrk-3240     [kernel.vmlinux]            [k] io_wqe_worker
     1.96%     0.00%  iou-wrk-3240     [kernel.vmlinux]            [k] ret_from_fork
