# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 32094324233218
#
# Children      Self  Command          Shared Object       Symbol                                              
# ........  ........  ...............  ..................  ....................................................
#
     0.00%     0.00%  iou-wrk-3654     [kernel.vmlinux]    [k] mempool_alloc
     0.00%     0.00%  iou-wrk-3636     [kernel.vmlinux]    [k] wake_all_kswapds
     0.00%     0.00%  iou-wrk-3641     [kernel.vmlinux]    [k] lock_timer_base
     0.00%     0.00%  iou-wrk-3630     [kernel.vmlinux]    [k] unlock_page
     0.00%     0.00%  iou-wrk-3630     [kernel.vmlinux]    [k] _raw_spin_unlock_irqrestore
     0.00%     0.00%  iou-wrk-3629     [kernel.vmlinux]    [k] _raw_spin_unlock_irqrestore
     0.00%     0.00%  iou-wrk-3667     [kernel.vmlinux]    [k] wake_all_kswapds
     0.00%     0.00%  iou-wrk-3641     [kernel.vmlinux]    [k] io_clean_op
     0.00%     0.00%  iou-wrk-3661     [kernel.vmlinux]    [k] preempt_schedule_common
     0.00%     0.00%  iou-wrk-3654     [kernel.vmlinux]    [k] __update_load_avg_se
     0.00%     0.00%  iou-wrk-3650     [kernel.vmlinux]    [k] kmem_cache_free
     0.00%     0.00%  iou-wrk-3643     [kernel.vmlinux]    [k] kmem_cache_free
     0.00%     0.00%  iou-wrk-3627     [kernel.vmlinux]    [k] get_mem_cgroup_from_mm
     0.00%     0.00%  iou-wrk-3663     [kernel.vmlinux]    [k] get_mem_cgroup_from_mm
     0.00%     0.00%  iou-wrk-3627     [kernel.vmlinux]    [k] __update_load_avg_se
     0.00%     0.00%  iou-wrk-3646     [kernel.vmlinux]    [k] preempt_schedule_common
     0.00%     0.00%  iou-wrk-3666     [kernel.vmlinux]    [k] get_mem_cgroup_from_mm
     0.00%     0.00%  iou-wrk-3659     [kernel.vmlinux]    [k] selinux_file_permission
     0.00%     0.00%  iou-wrk-3664     [kernel.vmlinux]    [k] __mod_memcg_state
     0.00%     0.00%  iou-wrk-3649     [kernel.vmlinux]    [k] rcu_read_unlock_strict
     0.00%     0.00%  iou-wrk-3627     [kernel.vmlinux]    [k] workingset_update_node
     0.00%     0.00%  iou-wrk-3646     [kernel.vmlinux]    [k] psi_memstall_enter
     0.00%     0.00%  iou-wrk-3644     [kernel.vmlinux]    [k] update_cfs_group
     0.00%     0.00%  iou-wrk-3654     [kernel.vmlinux]    [k] iterate_groups.isra.0
     0.00%     0.00%  iou-wrk-3628     [kernel.vmlinux]    [k] mempool_alloc
     0.00%     0.00%  iou-wrk-3634     [kernel.vmlinux]    [k] kmem_cache_free
     0.00%     0.00%  iou-wrk-3660     [kernel.vmlinux]    [k] bio_associate_blkg
     0.00%     0.00%  iou-wrk-3657     [kernel.vmlinux]    [k] mempool_alloc
     0.00%     0.00%  iou-wrk-3648     [kernel.vmlinux]    [k] workingset_update_node
     0.00%     0.00%  iou-wrk-3636     [kernel.vmlinux]    [k] __read_end_io
     0.00%     0.00%  iou-wrk-3650     [kernel.vmlinux]    [k] bio_associate_blkg_from_css
     0.00%     0.00%  iou-wrk-3631     [kernel.vmlinux]    [k] rcu_read_unlock_strict
     0.00%     0.00%  iou-wrk-3631     [kernel.vmlinux]    [k] selinux_file_permission
     0.00%     0.00%  iou-wrk-3638     [kernel.vmlinux]    [k] release_pages
     0.00%     0.00%  iou-wrk-3643     [kernel.vmlinux]    [k] enqueue_task_fair
     0.00%     0.00%  iou-wrk-3659     [kernel.vmlinux]    [k] bio_alloc_bioset
     0.00%     0.00%  iou-wrk-3647     [kernel.vmlinux]    [k] percpu_counter_add_batch
     0.00%     0.00%  iou-wrk-3641     [kernel.vmlinux]    [k] xas_start
     0.00%     0.00%  iou-wrk-3663     [kernel.vmlinux]    [k] workingset_update_node
     0.00%     0.00%  iou-wrk-3643     [kernel.vmlinux]    [k] __mod_memcg_state
     0.00%     0.00%  iou-wrk-3657     [kernel.vmlinux]    [k] shrink_slab
     0.00%     0.00%  iou-wrk-3641     [kernel.vmlinux]    [k] xas_find_conflict
     0.00%     0.00%  iou-wrk-3625     [kernel.vmlinux]    [k] shrink_slab
     0.00%     0.00%  iou-wrk-3639     [kernel.vmlinux]    [k] del_timer_sync
     0.00%     0.00%  iou-wrk-3643     [kernel.vmlinux]    [k] __switch_to_asm
     0.00%     0.00%  iou-wrk-3647     [kernel.vmlinux]    [k] __update_load_avg_se
     0.00%     0.00%  iou-wrk-3643     [kernel.vmlinux]    [k] unlock_page
     0.00%     0.00%  iou-wrk-3649     [kernel.vmlinux]    [k] psi_memstall_enter
     0.00%     0.00%  iou-wrk-3666     [kernel.vmlinux]    [k] sched_clock_cpu
     0.00%     0.00%  iou-wrk-3667     [kernel.vmlinux]    [k] enqueue_task_fair
     0.00%     0.00%  iou-wrk-3644     [kernel.vmlinux]    [k] reweight_entity
     0.00%     0.00%  iou-wrk-3659     [kernel.vmlinux]    [k] psi_memstall_enter
     0.00%     0.00%  iou-wrk-3635     [kernel.vmlinux]    [k] native_sched_clock
     0.00%     0.00%  iou-wrk-3655     [kernel.vmlinux]    [k] psi_task_change
     0.00%     0.00%  iou-wrk-3630     [kernel.vmlinux]    [k] try_to_del_timer_sync
     0.00%     0.00%  iou-wrk-3666     [kernel.vmlinux]    [k] del_timer_sync
     0.00%     0.00%  iou-wrk-3655     [kernel.vmlinux]    [k] reweight_entity
     0.00%     0.00%  iou-wrk-3650     [kernel.vmlinux]    [k] __switch_to
     0.00%     0.00%  iou-wrk-3648     [kernel.vmlinux]    [k] try_to_del_timer_sync
     0.00%     0.00%  iou-wrk-3643     [kernel.vmlinux]    [k] workingset_update_node
     0.00%     0.00%  iou-wrk-3655     [kernel.vmlinux]    [k] kmem_cache_free
     0.00%     0.00%  iou-wrk-3631     [kernel.vmlinux]    [k] io_clean_op
     0.00%     0.00%  iou-wrk-3637     [kernel.vmlinux]    [k] psi_memstall_enter
     0.00%     0.00%  iou-wrk-3643     [kernel.vmlinux]    [k] del_timer_sync
     0.00%     0.00%  iou-wrk-3642     [kernel.vmlinux]    [k] __update_load_avg_cfs_rq
     0.00%     0.00%  iou-wrk-3664     [kernel.vmlinux]    [k] _raw_spin_unlock_irqrestore
     0.00%     0.00%  iou-wrk-3626     [kernel.vmlinux]    [k] reweight_entity
     0.00%     0.00%  iou-wrk-3650     [kernel.vmlinux]    [k] io_clean_op
     0.00%     0.00%  iou-wrk-3660     [kernel.vmlinux]    [k] kmem_cache_free
     0.00%     0.00%  iou-wrk-3628     [kernel.vmlinux]    [k] wake_all_kswapds
     0.00%     0.00%  iou-wrk-3642     [kernel.vmlinux]    [k] bio_associate_blkg
     0.00%     0.00%  iou-wrk-3641     [kernel.vmlinux]    [k] try_to_del_timer_sync
     0.00%     0.00%  iou-wrk-3638     [kernel.vmlinux]    [k] bio_associate_blkg
     0.00%     0.00%  iou-wrk-3657     [kernel.vmlinux]    [k] __switch_to
     0.00%     0.00%  iou-wrk-3656     [kernel.vmlinux]    [k] blk_throtl_bio
     0.00%     0.00%  iou-wrk-3660     [kernel.vmlinux]    [k] ttwu_do_activate
     0.00%     0.00%  iou-wrk-3646     [kernel.vmlinux]    [k] mempool_alloc
     0.00%     0.00%  iou-wrk-3652     [kernel.vmlinux]    [k] __update_load_avg_se
     0.00%     0.00%  iou-wrk-3648     [kernel.vmlinux]    [k] bio_associate_blkg
     0.00%     0.00%  iou-wrk-3639     [kernel.vmlinux]    [k] mempool_alloc
     0.00%     0.00%  iou-wrk-3627     [kernel.vmlinux]    [k] xas_start
     0.00%     0.00%  iou-wrk-3664     [kernel.vmlinux]    [k] kmem_cache_free
     0.00%     0.00%  iou-wrk-3646     [kernel.vmlinux]    [k] __sched_text_start
     0.00%     0.00%  iou-wrk-3657     [kernel.vmlinux]    [k] xas_start
     0.00%     0.00%  iou-wrk-3634     [kernel.vmlinux]    [k] internal_add_timer
     0.00%     0.00%  iou-wrk-3643     [kernel.vmlinux]    [k] bio_alloc_bioset
     0.00%     0.00%  iou-wrk-3626     [kernel.vmlinux]    [k] mempool_alloc
     0.00%     0.00%  iou-wrk-3640     [kernel.vmlinux]    [k] try_to_del_timer_sync
     0.00%     0.00%  iou-wrk-3655     [kernel.vmlinux]    [k] __read_end_io
     0.00%     0.00%  iou-wrk-3631     [kernel.vmlinux]    [k] update_curr
     0.00%     0.00%  iou-wrk-3649     [kernel.vmlinux]    [k] mempool_alloc
     0.00%     0.00%  iou-wrk-3638     [kernel.vmlinux]    [k] workingset_update_node
     0.00%     0.00%  iou-wrk-3639     [kernel.vmlinux]    [k] ttwu_do_activate
     0.00%     0.00%  iou-wrk-3645     [kernel.vmlinux]    [k] blk_throtl_bio
     0.00%     0.00%  iou-wrk-3632     [kernel.vmlinux]    [k] __update_load_avg_cfs_rq
     0.00%     0.00%  iou-wrk-3630     [kernel.vmlinux]    [k] xas_start
     0.00%     0.00%  iou-wrk-3643     [kernel.vmlinux]    [k] get_mem_cgroup_from_mm
     0.00%     0.00%  iou-wrk-3625     [kernel.vmlinux]    [k] get_mem_cgroup_from_mm
     0.00%     0.00%  iou-wrk-3633     [kernel.vmlinux]    [k] selinux_file_permission
     0.00%     0.00%  iou-wrk-3666     [kernel.vmlinux]    [k] percpu_counter_add_batch
     0.00%     0.00%  iou-wrk-3649     [kernel.vmlinux]    [k] __switch_to
     0.00%     0.00%  iou-wrk-3631     [kernel.vmlinux]    [k] unlock_page
     0.00%     0.00%  iou-wrk-3638     [kernel.vmlinux]    [k] kmem_cache_free
     0.00%     0.00%  iou-wrk-3625     [kernel.vmlinux]    [k] kmem_cache_free
     0.00%     0.00%  iou-wrk-3663     [kernel.vmlinux]    [k] io_clean_op
     0.00%     0.00%  iou-wrk-3656     [kernel.vmlinux]    [k] unlock_page
     0.00%     0.00%  iou-wrk-3628     [kernel.vmlinux]    [k] update_rq_clock
     0.00%     0.00%  iou-wrk-3666     [kernel.vmlinux]    [k] raw_spin_rq_lock_nested.constprop.0
     0.00%     0.00%  iou-wrk-3641     [kernel.vmlinux]    [k] update_rq_clock
     0.00%     0.00%  iou-wrk-3649     [kernel.vmlinux]    [k] wake_all_kswapds
     0.00%     0.00%  iou-wrk-3635     [kernel.vmlinux]    [k] _raw_spin_unlock_irqrestore
     0.00%     0.00%  iou-wrk-3647     [kernel.vmlinux]    [k] __slab_free
     0.00%     0.00%  iou-wrk-3640     [kernel.vmlinux]    [k] wake_all_kswapds
     0.00%     0.00%  iou-wrk-3663     [kernel.vmlinux]    [k] lock_timer_base
     0.00%     0.00%  iou-wrk-3627     [kernel.vmlinux]    [k] __mod_memcg_state
     0.00%     0.00%  iou-wrk-3628     [kernel.vmlinux]    [k] _raw_spin_unlock_irqrestore
     0.00%     0.00%  iou-wrk-3630     [kernel.vmlinux]    [k] __switch_to
     0.00%     0.00%  iou-wrk-3631     [kernel.vmlinux]    [k] bio_associate_blkg
     0.00%     0.00%  iou-wrk-3645     [kernel.vmlinux]    [k] dequeue_entity
     0.00%     0.00%  iou-wrk-3632     [kernel.vmlinux]    [k] __mod_memcg_state
     0.00%     0.00%  iou-wrk-3637     [kernel.vmlinux]    [k] __mod_memcg_state
     0.00%     0.00%  iou-wrk-3667     [kernel.vmlinux]    [k] _raw_spin_unlock_irqrestore
     0.00%     0.00%  iou-wrk-3667     [kernel.vmlinux]    [k] workingset_update_node
     0.00%     0.00%  iou-wrk-3653     [kernel.vmlinux]    [k] set_next_entity
     0.00%     0.00%  iou-wrk-3647     [kernel.vmlinux]    [k] update_rq_clock
     0.00%     0.00%  iou-wrk-3632     [kernel.vmlinux]    [k] __switch_to
     0.00%     0.00%  iou-wrk-3639     [kernel.vmlinux]    [k] sched_clock_cpu
     0.00%     0.00%  iou-wrk-3632     [kernel.vmlinux]    [k] native_sched_clock
     0.00%     0.00%  iou-wrk-3643     [kernel.vmlinux]    [k] preempt_schedule_common
     0.00%     0.00%  iou-wrk-3645     [kernel.vmlinux]    [k] update_curr
     0.00%     0.00%  iou-wrk-3636     [kernel.vmlinux]    [k] __slab_free
     0.00%     0.00%  iou-wrk-3641     [kernel.vmlinux]    [k] ttwu_do_activate
     0.00%     0.00%  iou-wrk-3636     [kernel.vmlinux]    [k] scheduler_tick
     0.00%     0.00%  iou-wrk-3660     [kernel.vmlinux]    [k] lock_timer_base
     0.00%     0.00%  iou-wrk-3642     [kernel.vmlinux]    [k] kfree
     0.00%     0.00%  iou-wrk-3644     [kernel.vmlinux]    [k] __update_load_avg_cfs_rq
     0.00%     0.00%  iou-wrk-3635     [kernel.vmlinux]    [k] scheduler_tick
     0.00%     0.00%  iou-wrk-3665     [kernel.vmlinux]    [k] update_rq_clock
     0.00%     0.00%  iou-wrk-3639     [kernel.vmlinux]    [k] xas_start
     0.00%     0.00%  iou-wrk-3652     [kernel.vmlinux]    [k] _raw_spin_unlock_irqrestore
     0.00%     0.00%  iou-wrk-3636     [kernel.vmlinux]    [k] sched_clock_cpu
     0.00%     0.00%  iou-wrk-3655     [kernel.vmlinux]    [k] mempool_alloc
     0.00%     0.00%  iou-wrk-3657     [kernel.vmlinux]    [k] blk_throtl_bio
     0.00%     0.00%  iou-wrk-3645     [kernel.vmlinux]    [k] bio_associate_blkg
     0.00%     0.00%  iou-wrk-3636     [kernel.vmlinux]    [k] _raw_spin_unlock_irqrestore
     0.00%     0.00%  iou-wrk-3635     [kernel.vmlinux]    [k] workingset_update_node
     0.00%     0.00%  iou-wrk-3629     [kernel.vmlinux]    [k] xas_find_conflict
     0.00%     0.00%  iou-wrk-3644     [kernel.vmlinux]    [k] __switch_to
     0.00%     0.00%  iou-wrk-3640     [kernel.vmlinux]    [k] __update_load_avg_cfs_rq
     0.00%     0.00%  iou-wrk-3641     [kernel.vmlinux]    [k] blk_throtl_bio
     0.00%     0.00%  iou-wrk-3666     [kernel.vmlinux]    [k] shrink_slab
     0.00%     0.00%  fio              [kernel.vmlinux]    [k] finish_wait
     0.00%     0.00%  iou-wrk-3640     [kernel.vmlinux]    [k] raw_spin_rq_lock_nested.constprop.0
     0.00%     0.00%  iou-wrk-3647     [kernel.vmlinux]    [k] io_clean_op
     0.00%     0.00%  iou-wrk-3655     [kernel.vmlinux]    [k] bio_associate_blkg
     0.00%     0.00%  iou-wrk-3647     [kernel.vmlinux]    [k] shrink_slab
     0.00%     0.00%  iou-wrk-3659     [kernel.vmlinux]    [k] io_clean_op
     0.00%     0.00%  iou-wrk-3641     [kernel.vmlinux]    [k] up_read
     0.00%     0.00%  iou-wrk-3657     [kernel.vmlinux]    [k] unlock_page
     0.00%     0.00%  iou-wrk-3664     [kernel.vmlinux]    [k] wake_all_kswapds
     0.00%     0.00%  iou-wrk-3645     [kernel.vmlinux]    [k] wake_all_kswapds
     0.00%     0.00%  iou-wrk-3660     [kernel.vmlinux]    [k] __slab_free
     0.00%     0.00%  iou-wrk-3655     [kernel.vmlinux]    [k] __update_load_avg_cfs_rq
     0.00%     0.00%  iou-wrk-3636     [kernel.vmlinux]    [k] blk_throtl_bio
     0.00%     0.00%  iou-wrk-3665     [kernel.vmlinux]    [k] ttwu_do_activate
     0.00%     0.00%  iou-wrk-3665     [kernel.vmlinux]    [k] wake_all_kswapds
     0.00%     0.00%  iou-wrk-3659     [kernel.vmlinux]    [k] iterate_groups.isra.0
     0.00%     0.00%  iou-wrk-3647     [kernel.vmlinux]    [k] __switch_to
     0.00%     0.00%  iou-wrk-3644     [kernel.vmlinux]    [k] ttwu_do_activate
     0.00%     0.00%  iou-wrk-3632     [kernel.vmlinux]    [k] __zone_watermark_ok
     0.00%     0.00%  iou-wrk-3650     [kernel.vmlinux]    [k] __mod_node_page_state
     0.00%     0.00%  iou-wrk-3646     [kernel.vmlinux]    [k] rcu_read_unlock_strict
     0.00%     0.00%  iou-wrk-3635     [kernel.vmlinux]    [k] reweight_entity
     0.00%     0.00%  iou-wrk-3646     [kernel.vmlinux]    [k] free_unref_page_prepare.part.0
     0.00%     0.00%  iou-wrk-3652     [kernel.vmlinux]    [k] __switch_to
     0.00%     0.00%  iou-wrk-3645     [kernel.vmlinux]    [k] rcu_read_unlock_strict
     0.00%     0.00%  iou-wrk-3627     [kernel.vmlinux]    [k] unlock_page
     0.00%     0.00%  iou-wrk-3666     [kernel.vmlinux]    [k] update_rq_clock
     0.00%     0.00%  iou-wrk-3644     [kernel.vmlinux]    [k] wake_all_kswapds
     0.00%     0.00%  iou-wrk-3637     [kernel.vmlinux]    [k] psi_memstall_leave
     0.00%     0.00%  iou-wrk-3645     [kernel.vmlinux]    [k] workingset_update_node
     0.00%     0.00%  iou-wrk-3639     [kernel.vmlinux]    [k] __mod_lruvec_state
     0.00%     0.00%  iou-wrk-3655     [kernel.vmlinux]    [k] get_mem_cgroup_from_mm
     0.00%     0.00%  iou-wrk-3628     [kernel.vmlinux]    [k] enqueue_task_fair
     0.00%     0.00%  iou-wrk-3664     [kernel.vmlinux]    [k] sched_clock_cpu
     0.00%     0.00%  iou-wrk-3639     [kernel.vmlinux]    [k] __switch_to_asm
     0.00%     0.00%  iou-wrk-3625     [kernel.vmlinux]    [k] io_clean_op
     0.00%     0.00%  iou-wrk-3642     [kernel.vmlinux]    [k] _raw_spin_unlock_irqrestore
     0.00%     0.00%  iou-wrk-3646     [kernel.vmlinux]    [k] __read_end_io
     0.00%     0.00%  iou-wrk-3639     [kernel.vmlinux]    [k] _raw_spin_unlock_irqrestore
     0.00%     0.00%  iou-wrk-3644     [kernel.vmlinux]    [k] io_clean_op
     0.00%     0.00%  iou-wrk-3650     [kernel.vmlinux]    [k] __update_load_avg_se
     0.00%     0.00%  fio              [kernel.vmlinux]    [k] wake_up_process
     0.00%     0.00%  iou-wrk-3638     [kernel.vmlinux]    [k] unlock_page
     0.00%     0.00%  iou-wrk-3663     [kernel.vmlinux]    [k] mempool_alloc
     0.00%     0.00%  iou-wrk-3665     [kernel.vmlinux]    [k] mempool_alloc
     0.00%     0.00%  iou-wrk-3637     [kernel.vmlinux]    [k] __switch_to_asm
     0.00%     0.00%  iou-wrk-3654     [kernel.vmlinux]    [k] get_mem_cgroup_from_mm
     0.00%     0.00%  iou-wrk-3654     [kernel.vmlinux]    [k] _raw_spin_unlock_irqrestore
     0.00%     0.00%  iou-wrk-3637     [kernel.vmlinux]    [k] kmem_cache_alloc
     0.00%     0.00%  iou-wrk-3643     [kernel.vmlinux]    [k] selinux_file_permission
     0.00%     0.00%  iou-wrk-3659     [kernel.vmlinux]    [k] native_sched_clock
     0.00%     0.00%  iou-wrk-3638     [kernel.vmlinux]    [k] enqueue_task_fair
     0.00%     0.00%  iou-wrk-3633     [kernel.vmlinux]    [k] bio_associate_blkg
     0.00%     0.00%  iou-wrk-3632     [kernel.vmlinux]    [k] workingset_update_node
     0.00%     0.00%  iou-wrk-3625     [kernel.vmlinux]    [k] selinux_file_permission
     0.00%     0.00%  iou-wrk-3664     [kernel.vmlinux]    [k] bio_associate_blkg
     0.00%     0.00%  iou-wrk-3663     [kernel.vmlinux]    [k] bio_associate_blkg_from_css
     0.00%     0.00%  iou-wrk-3659     [kernel.vmlinux]    [k] xas_find_conflict
     0.00%     0.00%  iou-wrk-3659     [kernel.vmlinux]    [k] percpu_counter_add_batch
     0.00%     0.00%  iou-wrk-3643     [kernel.vmlinux]    [k] bio_associate_blkg
     0.00%     0.00%  iou-wrk-3666     [kernel.vmlinux]    [k] mempool_alloc
     0.00%     0.00%  iou-wrk-3653     [kernel.vmlinux]    [k] workingset_update_node
     0.00%     0.00%  iou-wrk-3654     [kernel.vmlinux]    [k] atime_needs_update
     0.00%     0.00%  iou-wrk-3649     [kernel.vmlinux]    [k] bio_associate_blkg
     0.00%     0.00%  iou-wrk-3647     [kernel.vmlinux]    [k] bio_associate_blkg
     0.00%     0.00%  iou-wrk-3643     [kernel.vmlinux]    [k] io_clean_op
     0.00%     0.00%  iou-wrk-3660     [kernel.vmlinux]    [k] xas_find_conflict
     0.00%     0.00%  iou-wrk-3636     [kernel.vmlinux]    [k] unlock_page
     0.00%     0.00%  iou-wrk-3635     [kernel.vmlinux]    [k] io_clean_op
     0.00%     0.00%  iou-wrk-3650     [kernel.vmlinux]    [k] __list_add_valid
     0.00%     0.00%  iou-wrk-3632     [kernel.vmlinux]    [k] iov_iter_restore
     0.00%     0.00%  iou-wrk-3665     [kernel.vmlinux]    [k] scheduler_tick
     0.00%     0.00%  iou-wrk-3665     [kernel.vmlinux]    [k] unlock_page
     0.00%     0.00%  iou-wrk-3657     [kernel.vmlinux]    [k] wake_all_kswapds
     0.00%     0.00%  iou-wrk-3628     [kernel.vmlinux]    [k] del_timer_sync
     0.00%     0.00%  iou-wrk-3652     [kernel.vmlinux]    [k] xas_start
     0.00%     0.00%  iou-wrk-3659     [kernel.vmlinux]    [k] __mod_memcg_state
     0.00%     0.00%  iou-wrk-3663     [kernel.vmlinux]    [k] sched_clock_cpu
     0.00%     0.00%  iou-wrk-3639     [kernel.vmlinux]    [k] __switch_to
     0.00%     0.00%  kworker/u160:1-  [kernel.vmlinux]    [k] kthread
     0.00%     0.00%  kworker/u160:1-  [kernel.vmlinux]    [k] ret_from_fork
     0.00%     0.00%  kworker/u160:1-  [kernel.vmlinux]    [k] worker_thread
     0.00%     0.00%  iou-wrk-3655     [kernel.vmlinux]    [k] rcu_read_unlock_strict
     0.00%     0.00%  iou-wrk-3653     [kernel.vmlinux]    [k] xas_find_conflict
     0.00%     0.00%  iou-wrk-3638     [kernel.vmlinux]    [k] __mod_memcg_state
     0.00%     0.00%  iou-wrk-3630     [kernel.vmlinux]    [k] raw_spin_rq_lock_nested.constprop.0
     0.00%     0.00%  iou-wrk-3647     [kernel.vmlinux]    [k] __mod_node_page_state
     0.00%     0.00%  iou-wrk-3645     [kernel.vmlinux]    [k] __mod_memcg_state
     0.00%     0.00%  iou-wrk-3655     [kernel.vmlinux]    [k] iov_iter_restore
     0.00%     0.00%  iou-wrk-3647     [kernel.vmlinux]    [k] kmem_cache_free
     0.00%     0.00%  iou-wrk-3663     [kernel.vmlinux]    [k] try_to_del_timer_sync
     0.00%     0.00%  iou-wrk-3631     [kernel.vmlinux]    [k] psi_memstall_enter
     0.00%     0.00%  iou-wrk-3652     [kernel.vmlinux]    [k] __mod_memcg_state
     0.00%     0.00%  iou-wrk-3637     [kernel.vmlinux]    [k] bio_associate_blkg
     0.00%     0.00%  iou-wrk-3630     [kernel.vmlinux]    [k] psi_memstall_enter
     0.00%     0.00%  iou-wrk-3652     [kernel.vmlinux]    [k] kfree
     0.00%     0.00%  iou-wrk-3640     [kernel.vmlinux]    [k] iov_iter_restore
     0.00%     0.00%  iou-wrk-3654     [kernel.vmlinux]    [k] update_cfs_group
     0.00%     0.00%  iou-wrk-3638     [kernel.vmlinux]    [k] set_next_entity
     0.00%     0.00%  iou-wrk-3649     [kernel.vmlinux]    [k] try_to_del_timer_sync
     0.00%     0.00%  iou-wrk-3661     [kernel.vmlinux]    [k] ktime_get
     0.00%     0.00%  iou-wrk-3661     [kernel.vmlinux]    [k] unlock_page
     0.00%     0.00%  iou-wrk-3629     [kernel.vmlinux]    [k] io_clean_op
     0.00%     0.00%  iou-wrk-3627     [kernel.vmlinux]    [k] kmem_cache_free
     0.00%     0.00%  iou-wrk-3640     [kernel.vmlinux]    [k] get_mem_cgroup_from_mm
     0.00%     0.00%  fio              [kernel.vmlinux]    [k] cpus_share_cache
     0.00%     0.00%  iou-wrk-3630     [kernel.vmlinux]    [k] __mod_memcg_state
     0.00%     0.00%  iou-wrk-3627     [kernel.vmlinux]    [k] try_charge_memcg
     0.00%     0.00%  iou-wrk-3642     [kernel.vmlinux]    [k] wake_all_kswapds
     0.00%     0.00%  iou-wrk-3654     [kernel.vmlinux]    [k] xas_start
     0.00%     0.00%  iou-wrk-3666     [kernel.vmlinux]    [k] kmem_cache_free
     0.00%     0.00%  iou-wrk-3655     [kernel.vmlinux]    [k] native_sched_clock
     0.00%     0.00%  iou-wrk-3661     [kernel.vmlinux]    [k] xas_find_conflict
     0.00%     0.00%  iou-wrk-3635     [kernel.vmlinux]    [k] mempool_alloc
     0.00%     0.00%  iou-wrk-3666     [kernel.vmlinux]    [k] workingset_update_node
     0.00%     0.00%  iou-wrk-3634     [kernel.vmlinux]    [k] sched_clock_cpu
     0.00%     0.00%  iou-wrk-3630     [kernel.vmlinux]    [k] ttwu_do_activate
     0.00%     0.00%  iou-wrk-3667     [kernel.vmlinux]    [k] xas_start
     0.00%     0.00%  iou-wrk-3646     [kernel.vmlinux]    [k] psi_group_change
     0.00%     0.00%  iou-wrk-3650     [kernel.vmlinux]    [k] mempool_alloc
     0.00%     0.00%  iou-wrk-3653     [kernel.vmlinux]    [k] dequeue_entity
     0.00%     0.00%  iou-wrk-3645     [kernel.vmlinux]    [k] io_clean_op
     0.00%     0.00%  iou-wrk-3654     [kernel.vmlinux]    [k] bio_associate_blkg
     0.00%     0.00%  iou-wrk-3661     [kernel.vmlinux]    [k] io_clean_op
     0.00%     0.00%  iou-wrk-3634     [kernel.vmlinux]    [k] try_charge_memcg
     0.00%     0.00%  iou-wrk-3666     [kernel.vmlinux]    [k] xas_find_conflict
     0.00%     0.00%  iou-wrk-3631     [kernel.vmlinux]    [k] alloc_pages
     0.00%     0.00%  iou-wrk-3629     [kernel.vmlinux]    [k] kmem_cache_free
     0.00%     0.00%  iou-wrk-3667     [kernel.vmlinux]    [k] shrink_slab
     0.00%     0.00%  iou-wrk-3665     [kernel.vmlinux]    [k] percpu_counter_add_batch
     0.00%     0.00%  iou-wrk-3640     [kernel.vmlinux]    [k] xas_start
     0.00%     0.00%  iou-wrk-3656     [kernel.vmlinux]    [k] workingset_update_node
     0.00%     0.00%  iou-wrk-3663     [kernel.vmlinux]    [k] __read_end_io
     0.00%     0.00%  iou-wrk-3640     [kernel.vmlinux]    [k] update_rq_clock
     0.00%     0.00%  iou-wrk-3642     [kernel.vmlinux]    [k] __wake_up_common
     0.00%     0.00%  iou-wrk-3648     [kernel.vmlinux]    [k] mempool_alloc
     0.00%     0.00%  iou-wrk-3664     [kernel.vmlinux]    [k] shrink_slab
     0.00%     0.00%  iou-wrk-3657     [kernel.vmlinux]    [k] selinux_file_permission
     0.00%     0.00%  iou-wrk-3653     [kernel.vmlinux]    [k] __read_end_io
     0.00%     0.00%  iou-wrk-3663     [kernel.vmlinux]    [k] ttwu_do_activate
     0.00%     0.00%  iou-wrk-3646     [kernel.vmlinux]    [k] bio_associate_blkg_from_css
     0.00%     0.00%  iou-wrk-3644     [kernel.vmlinux]    [k] __update_load_avg_se
     0.00%     0.00%  iou-wrk-3656     [kernel.vmlinux]    [k] unaccount_page_cache_page
     0.00%     0.00%  iou-wrk-3627     [kernel.vmlinux]    [k] bio_associate_blkg_from_css
     0.00%     0.00%  iou-wrk-3648     [kernel.vmlinux]    [k] __update_load_avg_se
     0.00%     0.00%  iou-wrk-3632     [kernel.vmlinux]    [k] unlock_page
     0.00%     0.00%  iou-wrk-3666     [kernel.vmlinux]    [k] bio_associate_blkg
     0.00%     0.00%  iou-wrk-3665     [kernel.vmlinux]    [k] preempt_schedule_common
     0.00%     0.00%  iou-wrk-3628     [kernel.vmlinux]    [k] try_to_del_timer_sync
     0.00%     0.00%  iou-wrk-3656     [kernel.vmlinux]    [k] __slab_free
     0.00%     0.00%  iou-wrk-3632     [kernel.vmlinux]    [k] __slab_free
     0.00%     0.00%  iou-wrk-3642     [kernel.vmlinux]    [k] psi_memstall_enter
     0.00%     0.00%  iou-wrk-3641     [kernel.vmlinux]    [k] page_mapping
     0.00%     0.00%  iou-wrk-3639     [kernel.vmlinux]    [k] rcu_read_unlock_strict
     0.00%     0.00%  iou-wrk-3629     [kernel.vmlinux]    [k] __mod_memcg_state
