# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 32094324233218
#
# Children      Self  Command          Shared Object       Symbol                                              
# ........  ........  ...............  ..................  ....................................................
#
     2.28%     0.00%  iou-wrk-3656     [kernel.vmlinux]    [k] io_wqe_worker
     2.28%     0.00%  iou-wrk-3656     [kernel.vmlinux]    [k] ret_from_fork
     2.28%     0.00%  iou-wrk-3659     [kernel.vmlinux]    [k] io_wqe_worker
     2.28%     0.00%  iou-wrk-3659     [kernel.vmlinux]    [k] ret_from_fork
     2.28%     0.00%  iou-wrk-3647     [kernel.vmlinux]    [k] io_wqe_worker
     2.28%     0.00%  iou-wrk-3647     [kernel.vmlinux]    [k] ret_from_fork
     2.27%     0.00%  iou-wrk-3637     [kernel.vmlinux]    [k] io_wq_submit_work
     2.27%     0.00%  iou-wrk-3637     [kernel.vmlinux]    [k] io_issue_sqe
     2.27%     0.00%  iou-wrk-3644     [kernel.vmlinux]    [k] io_wqe_worker
     2.27%     0.00%  iou-wrk-3644     [kernel.vmlinux]    [k] ret_from_fork
     2.27%     0.00%  iou-wrk-3637     [kernel.vmlinux]    [k] io_read
     2.27%     0.00%  iou-wrk-3664     [kernel.vmlinux]    [k] io_wqe_worker
     2.27%     0.00%  iou-wrk-3664     [kernel.vmlinux]    [k] ret_from_fork
     2.27%     0.00%  iou-wrk-3634     [kernel.vmlinux]    [k] io_wqe_worker
     2.27%     0.00%  iou-wrk-3634     [kernel.vmlinux]    [k] ret_from_fork
     2.26%     0.00%  iou-wrk-3661     [kernel.vmlinux]    [k] io_wqe_worker
     2.26%     0.00%  iou-wrk-3661     [kernel.vmlinux]    [k] ret_from_fork
     2.26%     0.01%  iou-wrk-3628     [kernel.vmlinux]    [k] io_worker_handle_work
     2.26%     0.01%  iou-wrk-3629     [kernel.vmlinux]    [k] io_worker_handle_work
     2.26%     0.00%  iou-wrk-3663     [kernel.vmlinux]    [k] io_wqe_worker
     2.26%     0.00%  iou-wrk-3663     [kernel.vmlinux]    [k] ret_from_fork
     2.26%     0.01%  iou-wrk-3667     [kernel.vmlinux]    [k] io_worker_handle_work
     2.26%     0.00%  iou-wrk-3635     [kernel.vmlinux]    [k] io_wqe_worker
     2.26%     0.00%  iou-wrk-3635     [kernel.vmlinux]    [k] ret_from_fork
     2.26%     0.00%  iou-wrk-3650     [kernel.vmlinux]    [k] io_wqe_worker
     2.26%     0.00%  iou-wrk-3650     [kernel.vmlinux]    [k] ret_from_fork
     2.25%     0.00%  iou-wrk-3630     [kernel.vmlinux]    [k] io_wqe_worker
     2.25%     0.00%  iou-wrk-3630     [kernel.vmlinux]    [k] ret_from_fork
     2.25%     0.00%  iou-wrk-3657     [kernel.vmlinux]    [k] io_wqe_worker
     2.25%     0.00%  iou-wrk-3657     [kernel.vmlinux]    [k] ret_from_fork
     2.25%     0.00%  iou-wrk-3640     [kernel.vmlinux]    [k] io_wqe_worker
     2.25%     0.00%  iou-wrk-3640     [kernel.vmlinux]    [k] ret_from_fork
     2.25%     0.00%  iou-wrk-3632     [kernel.vmlinux]    [k] io_wqe_worker
     2.25%     0.00%  iou-wrk-3632     [kernel.vmlinux]    [k] ret_from_fork
     2.25%     0.00%  iou-wrk-3639     [kernel.vmlinux]    [k] io_wqe_worker
     2.25%     0.00%  iou-wrk-3639     [kernel.vmlinux]    [k] ret_from_fork
     2.24%     0.01%  iou-wrk-3649     [kernel.vmlinux]    [k] io_worker_handle_work
     2.24%     0.02%  iou-wrk-3633     [kernel.vmlinux]    [k] filemap_read
     2.24%     0.02%  iou-wrk-3631     [kernel.vmlinux]    [k] filemap_read
     2.24%     0.01%  iou-wrk-3638     [kernel.vmlinux]    [k] io_worker_handle_work
     2.24%     0.00%  iou-wrk-3645     [kernel.vmlinux]    [k] io_wq_submit_work
     2.24%     0.00%  iou-wrk-3653     [kernel.vmlinux]    [k] io_wq_submit_work
     2.23%     0.00%  iou-wrk-3653     [kernel.vmlinux]    [k] io_issue_sqe
     2.23%     0.00%  iou-wrk-3655     [kernel.vmlinux]    [k] io_wqe_worker
     2.23%     0.00%  iou-wrk-3655     [kernel.vmlinux]    [k] ret_from_fork
     2.23%     0.00%  iou-wrk-3645     [kernel.vmlinux]    [k] io_issue_sqe
     2.23%     0.00%  iou-wrk-3642     [kernel.vmlinux]    [k] io_wqe_worker
     2.23%     0.00%  iou-wrk-3642     [kernel.vmlinux]    [k] ret_from_fork
     2.23%     0.02%  iou-wrk-3625     [kernel.vmlinux]    [k] filemap_read
     2.23%     0.00%  iou-wrk-3652     [kernel.vmlinux]    [k] io_wqe_worker
     2.23%     0.00%  iou-wrk-3652     [kernel.vmlinux]    [k] ret_from_fork
     2.23%     0.00%  iou-wrk-3653     [kernel.vmlinux]    [k] io_read
     2.23%     0.00%  iou-wrk-3626     [kernel.vmlinux]    [k] io_wqe_worker
     2.23%     0.00%  iou-wrk-3626     [kernel.vmlinux]    [k] ret_from_fork
     2.23%     0.00%  iou-wrk-3645     [kernel.vmlinux]    [k] io_read
     2.23%     0.01%  iou-wrk-3643     [kernel.vmlinux]    [k] io_worker_handle_work
     2.23%     0.00%  iou-wrk-3628     [kernel.vmlinux]    [k] io_wq_submit_work
     2.22%     0.02%  iou-wrk-3637     [kernel.vmlinux]    [k] filemap_read
     2.22%     0.00%  iou-wrk-3666     [kernel.vmlinux]    [k] io_wqe_worker
     2.22%     0.00%  iou-wrk-3666     [kernel.vmlinux]    [k] ret_from_fork
     2.22%     0.00%  iou-wrk-3636     [kernel.vmlinux]    [k] io_wqe_worker
     2.22%     0.00%  iou-wrk-3636     [kernel.vmlinux]    [k] ret_from_fork
     2.22%     0.00%  iou-wrk-3628     [kernel.vmlinux]    [k] io_issue_sqe
     2.22%     0.01%  iou-wrk-3648     [kernel.vmlinux]    [k] io_worker_handle_work
     2.22%     0.00%  iou-wrk-3628     [kernel.vmlinux]    [k] io_read
     2.22%     0.00%  iou-wrk-3629     [kernel.vmlinux]    [k] io_wq_submit_work
     2.22%     0.01%  iou-wrk-3641     [kernel.vmlinux]    [k] io_worker_handle_work
     2.22%     0.00%  iou-wrk-3629     [kernel.vmlinux]    [k] io_issue_sqe
     2.21%     0.00%  iou-wrk-3667     [kernel.vmlinux]    [k] io_wq_submit_work
     2.21%     0.00%  iou-wrk-3629     [kernel.vmlinux]    [k] io_read
     2.21%     0.00%  iou-wrk-3667     [kernel.vmlinux]    [k] io_issue_sqe
     2.21%     0.01%  iou-wrk-3665     [kernel.vmlinux]    [k] io_worker_handle_work
     2.21%     0.00%  iou-wrk-3654     [kernel.vmlinux]    [k] io_wqe_worker
     2.21%     0.00%  iou-wrk-3654     [kernel.vmlinux]    [k] ret_from_fork
