# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11K of event 'cycles'
# Event count (approx.): 2377160966936
#
# Children      Self  Command          Shared Object     Symbol                                 
# ........  ........  ...............  ................  .......................................
#
    28.74%     0.02%  fio              [kernel.vmlinux]  [k] entry_SYSCALL_64_after_hwframe
    28.72%     0.01%  fio              [kernel.vmlinux]  [k] do_syscall_64
    28.49%     0.05%  fio              [kernel.vmlinux]  [k] __do_sys_io_uring_enter
    28.40%     0.73%  fio              [kernel.vmlinux]  [k] io_submit_sqes
    26.15%     0.34%  fio              [kernel.vmlinux]  [k] __io_queue_sqe
    18.64%     0.06%  fio              [kernel.vmlinux]  [k] io_queue_async_work
    18.08%     0.28%  fio              [kernel.vmlinux]  [k] io_wqe_enqueue
    17.42%     0.40%  fio              [kernel.vmlinux]  [k] io_wqe_activate_free_worker
    16.83%     0.44%  fio              [kernel.vmlinux]  [k] try_to_wake_up
     8.47%     0.11%  fio              [kernel.vmlinux]  [k] ttwu_do_activate
     7.18%     0.30%  fio              [kernel.vmlinux]  [k] io_issue_sqe
     6.88%     0.43%  fio              [kernel.vmlinux]  [k] io_read
     5.68%     0.22%  fio              [kernel.vmlinux]  [k] io_setup_async_rw
     5.35%     0.55%  fio              [kernel.vmlinux]  [k] __kmalloc
     5.00%     2.12%  fio              [kernel.vmlinux]  [k] select_task_rq_fair
     4.62%     0.12%  fio              [kernel.vmlinux]  [k] __cond_resched
     4.60%     0.61%  fio              [kernel.vmlinux]  [k] enqueue_task_fair
     4.52%     0.73%  fio              [kernel.vmlinux]  [k] __schedule
     4.50%     0.12%  fio              [kernel.vmlinux]  [k] preempt_schedule_common
     3.77%     0.15%  fio              [kernel.vmlinux]  [k] psi_task_change
     3.12%     3.12%  fio              [kernel.vmlinux]  [k] psi_group_change
     2.81%     0.02%  iou-wrk-3469     [kernel.vmlinux]  [k] io_wqe_worker
     2.81%     0.00%  iou-wrk-3469     [kernel.vmlinux]  [k] ret_from_fork
     2.70%     0.00%  swapper          [kernel.vmlinux]  [k] cpu_startup_entry
     2.70%     0.00%  swapper          [kernel.vmlinux]  [k] do_idle
     2.70%     0.00%  swapper          [kernel.vmlinux]  [k] secondary_startup_64_no_verify
     2.66%     0.00%  swapper          [kernel.vmlinux]  [k] start_secondary
     2.28%     0.56%  fio              [kernel.vmlinux]  [k] enqueue_entity
     2.22%     0.02%  iou-wrk-3444     [kernel.vmlinux]  [k] io_wqe_worker
     2.22%     0.00%  iou-wrk-3444     [kernel.vmlinux]  [k] ret_from_fork
     2.20%     0.02%  iou-wrk-3477     [kernel.vmlinux]  [k] io_wqe_worker
     2.20%     0.00%  iou-wrk-3477     [kernel.vmlinux]  [k] ret_from_fork
     2.19%     0.01%  iou-wrk-3472     [kernel.vmlinux]  [k] io_wqe_worker
     2.19%     0.00%  iou-wrk-3472     [kernel.vmlinux]  [k] ret_from_fork
     2.01%     0.02%  iou-wrk-3467     [kernel.vmlinux]  [k] io_wqe_worker
     2.01%     0.00%  iou-wrk-3467     [kernel.vmlinux]  [k] ret_from_fork
     2.00%     0.29%  fio              [kernel.vmlinux]  [k] pick_next_task_fair
     1.94%     0.86%  fio              [kernel.vmlinux]  [k] update_load_avg
     1.88%     0.01%  iou-wrk-3466     [kernel.vmlinux]  [k] io_wqe_worker
     1.88%     0.00%  iou-wrk-3466     [kernel.vmlinux]  [k] ret_from_fork
     1.86%     0.02%  iou-wrk-3440     [kernel.vmlinux]  [k] io_wqe_worker
     1.86%     0.00%  iou-wrk-3440     [kernel.vmlinux]  [k] ret_from_fork
     1.83%     0.01%  iou-wrk-3457     [kernel.vmlinux]  [k] io_wqe_worker
     1.83%     0.00%  iou-wrk-3457     [kernel.vmlinux]  [k] ret_from_fork
     1.78%     0.01%  iou-wrk-3473     [kernel.vmlinux]  [k] io_wqe_worker
     1.78%     0.00%  iou-wrk-3473     [kernel.vmlinux]  [k] ret_from_fork
     1.71%     0.00%  swapper          [kernel.vmlinux]  [k] cpuidle_enter
     1.71%     0.00%  swapper          [kernel.vmlinux]  [k] cpuidle_enter_state
     1.69%     0.02%  iou-wrk-3439     [kernel.vmlinux]  [k] io_wqe_worker
     1.69%     0.00%  iou-wrk-3439     [kernel.vmlinux]  [k] ret_from_fork
     1.68%     1.68%  fio              [kernel.vmlinux]  [k] available_idle_cpu
     1.68%     0.01%  iou-wrk-3471     [kernel.vmlinux]  [k] io_wqe_worker
     1.68%     0.00%  iou-wrk-3471     [kernel.vmlinux]  [k] ret_from_fork
     1.68%     0.02%  iou-wrk-3452     [kernel.vmlinux]  [k] io_wqe_worker
     1.68%     0.00%  iou-wrk-3452     [kernel.vmlinux]  [k] ret_from_fork
     1.67%     0.01%  iou-wrk-3461     [kernel.vmlinux]  [k] io_wqe_worker
     1.67%     0.00%  iou-wrk-3461     [kernel.vmlinux]  [k] ret_from_fork
     1.62%     0.01%  iou-wrk-3438     [kernel.vmlinux]  [k] io_wqe_worker
     1.62%     0.00%  iou-wrk-3438     [kernel.vmlinux]  [k] ret_from_fork
     1.62%     0.02%  iou-wrk-3476     [kernel.vmlinux]  [k] io_wqe_worker
     1.62%     0.00%  iou-wrk-3476     [kernel.vmlinux]  [k] ret_from_fork
     1.59%     0.02%  iou-wrk-3453     [kernel.vmlinux]  [k] io_wqe_worker
     1.59%     0.00%  iou-wrk-3453     [kernel.vmlinux]  [k] ret_from_fork
     1.56%     0.77%  fio              [kernel.vmlinux]  [k] _raw_spin_lock
     1.55%     0.01%  iou-wrk-3460     [kernel.vmlinux]  [k] io_wqe_worker
     1.55%     0.00%  iou-wrk-3460     [kernel.vmlinux]  [k] ret_from_fork
     1.55%     0.00%  iou-wrk-3469     [kernel.vmlinux]  [k] io_worker_handle_work
     1.54%     0.00%  iou-wrk-3443     [kernel.vmlinux]  [k] io_wqe_worker
     1.54%     0.00%  iou-wrk-3443     [kernel.vmlinux]  [k] ret_from_fork
     1.53%     0.00%  iou-wrk-3470     [kernel.vmlinux]  [k] io_wqe_worker
     1.53%     0.00%  iou-wrk-3470     [kernel.vmlinux]  [k] ret_from_fork
     1.52%     0.02%  iou-wrk-3447     [kernel.vmlinux]  [k] io_wqe_worker
     1.52%     0.00%  iou-wrk-3447     [kernel.vmlinux]  [k] ret_from_fork
     1.49%     0.00%  iou-wrk-3462     [kernel.vmlinux]  [k] io_wqe_worker
     1.49%     0.00%  iou-wrk-3462     [kernel.vmlinux]  [k] ret_from_fork
     1.47%     0.02%  iou-wrk-3468     [kernel.vmlinux]  [k] io_wqe_worker
     1.47%     0.00%  iou-wrk-3468     [kernel.vmlinux]  [k] ret_from_fork
     1.47%     0.00%  iou-wrk-3437     [kernel.vmlinux]  [k] io_wqe_worker
     1.47%     0.00%  iou-wrk-3437     [kernel.vmlinux]  [k] ret_from_fork
     1.46%     0.00%  iou-wrk-3474     [kernel.vmlinux]  [k] io_wqe_worker
     1.46%     0.00%  iou-wrk-3474     [kernel.vmlinux]  [k] ret_from_fork
     1.45%     0.02%  iou-wrk-3444     [kernel.vmlinux]  [k] io_worker_handle_work
     1.45%     0.00%  kswapd0          [kernel.vmlinux]  [k] balance_pgdat
     1.45%     0.00%  kswapd0          [kernel.vmlinux]  [k] kswapd
     1.45%     0.00%  kswapd0          [kernel.vmlinux]  [k] kthread
     1.45%     0.00%  kswapd0          [kernel.vmlinux]  [k] ret_from_fork
     1.45%     0.00%  kswapd0          [kernel.vmlinux]  [k] shrink_node
     1.45%     0.02%  iou-wrk-3455     [kernel.vmlinux]  [k] io_wqe_worker
     1.45%     0.00%  iou-wrk-3455     [kernel.vmlinux]  [k] ret_from_fork
     1.44%     0.05%  kswapd0          [kernel.vmlinux]  [k] evict_pages
     1.44%     0.00%  kswapd0          [kernel.vmlinux]  [k] lru_gen_shrink_lruvec
     1.44%     0.00%  kswapd0          [kernel.vmlinux]  [k] shrink_lruvec
     1.44%     0.00%  iou-wrk-3441     [kernel.vmlinux]  [k] io_wqe_worker
     1.44%     0.00%  iou-wrk-3441     [kernel.vmlinux]  [k] ret_from_fork
     1.42%     0.02%  iou-wrk-3472     [kernel.vmlinux]  [k] io_worker_handle_work
     1.42%     0.02%  iou-wrk-3442     [kernel.vmlinux]  [k] io_wqe_worker
     1.42%     0.00%  iou-wrk-3442     [kernel.vmlinux]  [k] ret_from_fork
     1.41%     0.02%  iou-wrk-3458     [kernel.vmlinux]  [k] io_wqe_worker
     1.41%     0.00%  iou-wrk-3458     [kernel.vmlinux]  [k] ret_from_fork
     1.41%     0.01%  iou-wrk-3465     [kernel.vmlinux]  [k] io_wqe_worker
     1.41%     0.00%  iou-wrk-3465     [kernel.vmlinux]  [k] ret_from_fork
     1.40%     0.01%  iou-wrk-3450     [kernel.vmlinux]  [k] io_wqe_worker
     1.40%     0.00%  iou-wrk-3450     [kernel.vmlinux]  [k] ret_from_fork
     1.40%     0.02%  iou-wrk-3463     [kernel.vmlinux]  [k] io_wqe_worker
     1.40%     0.00%  iou-wrk-3463     [kernel.vmlinux]  [k] ret_from_fork
     1.40%     0.00%  iou-wrk-3456     [kernel.vmlinux]  [k] io_wqe_worker
     1.40%     0.00%  iou-wrk-3456     [kernel.vmlinux]  [k] ret_from_fork
     1.36%     0.02%  iou-wrk-3479     [kernel.vmlinux]  [k] io_wqe_worker
     1.36%     0.00%  iou-wrk-3479     [kernel.vmlinux]  [k] ret_from_fork
     1.36%     0.00%  iou-wrk-3464     [kernel.vmlinux]  [k] io_wqe_worker
     1.36%     0.00%  iou-wrk-3464     [kernel.vmlinux]  [k] ret_from_fork
     1.34%     0.06%  kswapd0          [kernel.vmlinux]  [k] shrink_page_list
     1.32%     0.02%  iou-wrk-3440     [kernel.vmlinux]  [k] io_worker_handle_work
     1.32%     1.32%  swapper          [kernel.vmlinux]  [k] intel_idle
     1.31%     0.03%  iou-wrk-3466     [kernel.vmlinux]  [k] io_worker_handle_work
     1.30%     0.01%  iou-wrk-3448     [kernel.vmlinux]  [k] io_wqe_worker
     1.30%     0.00%  iou-wrk-3448     [kernel.vmlinux]  [k] ret_from_fork
     1.28%     0.01%  iou-wrk-3444     [kernel.vmlinux]  [k] io_read
     1.28%     0.00%  iou-wrk-3444     [kernel.vmlinux]  [k] io_issue_sqe
     1.28%     0.00%  iou-wrk-3444     [kernel.vmlinux]  [k] io_wq_submit_work
     1.28%     0.01%  iou-wrk-3451     [kernel.vmlinux]  [k] io_wqe_worker
     1.28%     0.00%  iou-wrk-3451     [kernel.vmlinux]  [k] ret_from_fork
     1.27%     0.57%  fio              [kernel.vmlinux]  [k] update_curr
     1.24%     0.02%  iou-wrk-3478     [kernel.vmlinux]  [k] io_wqe_worker
     1.24%     0.00%  iou-wrk-3478     [kernel.vmlinux]  [k] ret_from_fork
     1.24%     0.00%  iou-wrk-3472     [kernel.vmlinux]  [k] io_issue_sqe
     1.24%     0.00%  iou-wrk-3472     [kernel.vmlinux]  [k] io_read
     1.24%     0.00%  iou-wrk-3472     [kernel.vmlinux]  [k] io_wq_submit_work
     1.23%     0.00%  iou-wrk-3475     [kernel.vmlinux]  [k] io_wqe_worker
     1.23%     0.00%  iou-wrk-3475     [kernel.vmlinux]  [k] ret_from_fork
     1.20%     0.03%  fio              [kernel.vmlinux]  [k] raw_spin_rq_lock_nested.constprop.0
     1.17%     0.01%  iou-wrk-3469     [kernel.vmlinux]  [k] io_read
     1.17%     0.00%  iou-wrk-3469     [kernel.vmlinux]  [k] io_issue_sqe
     1.17%     0.00%  iou-wrk-3469     [kernel.vmlinux]  [k] io_wq_submit_work
     1.15%     0.06%  iou-wrk-3469     [kernel.vmlinux]  [k] _raw_spin_lock
     1.13%     0.02%  iou-wrk-3472     [kernel.vmlinux]  [k] filemap_read
     1.13%     1.13%  iou-wrk-3469     [kernel.vmlinux]  [k] native_queued_spin_lock_slowpath
     1.12%     0.02%  iou-wrk-3466     [kernel.vmlinux]  [k] io_read
     1.12%     0.00%  iou-wrk-3466     [kernel.vmlinux]  [k] io_issue_sqe
     1.12%     0.00%  iou-wrk-3466     [kernel.vmlinux]  [k] io_wq_submit_work
     1.12%     0.00%  iou-wrk-3461     [kernel.vmlinux]  [k] io_worker_handle_work
     1.12%     0.02%  iou-wrk-3438     [kernel.vmlinux]  [k] io_worker_handle_work
     1.11%     0.28%  iou-wrk-3477     [kernel.vmlinux]  [k] io_worker_handle_work
     1.10%     0.00%  iou-wrk-3449     [kernel.vmlinux]  [k] io_wqe_worker
     1.10%     0.00%  iou-wrk-3449     [kernel.vmlinux]  [k] ret_from_fork
     1.08%     0.01%  iou-wrk-3445     [kernel.vmlinux]  [k] io_wqe_worker
     1.08%     0.00%  iou-wrk-3445     [kernel.vmlinux]  [k] ret_from_fork
     1.06%     0.06%  iou-wrk-3466     [kernel.vmlinux]  [k] filemap_read
     1.05%     0.32%  iou-wrk-3469     [kernel.vmlinux]  [k] filemap_read
     1.04%     0.02%  iou-wrk-3457     [kernel.vmlinux]  [k] io_worker_handle_work
     1.04%     0.62%  fio              [kernel.vmlinux]  [k] reweight_entity
     1.03%     0.04%  iou-wrk-3460     [kernel.vmlinux]  [k] io_worker_handle_work
     1.03%     0.05%  fio              [kernel.vmlinux]  [k] ttwu_do_wakeup
     1.02%     0.02%  iou-wrk-3474     [kernel.vmlinux]  [k] io_worker_handle_work
     1.02%     0.03%  iou-wrk-3476     [kernel.vmlinux]  [k] io_worker_handle_work
     1.01%     0.02%  iou-wrk-3470     [kernel.vmlinux]  [k] io_worker_handle_work
     1.00%     0.01%  iou-wrk-3438     [kernel.vmlinux]  [k] io_read
     1.00%     0.00%  iou-wrk-3438     [kernel.vmlinux]  [k] io_issue_sqe
     1.00%     0.00%  iou-wrk-3438     [kernel.vmlinux]  [k] io_wq_submit_work
     1.00%     0.01%  iou-wrk-3461     [kernel.vmlinux]  [k] io_issue_sqe
     1.00%     0.00%  iou-wrk-3461     [kernel.vmlinux]  [k] io_wq_submit_work
     0.99%     0.00%  iou-wrk-3461     [kernel.vmlinux]  [k] io_read
     0.98%     0.01%  iou-wrk-3477     [kernel.vmlinux]  [k] schedule_timeout
     0.98%     0.10%  fio              [kernel.vmlinux]  [k] check_preempt_curr
     0.98%     0.01%  iou-wrk-3467     [kernel.vmlinux]  [k] schedule_timeout
     0.98%     0.04%  iou-wrk-3462     [kernel.vmlinux]  [k] io_worker_handle_work
     0.97%     0.00%  iou-wrk-3467     [kernel.vmlinux]  [k] io_worker_handle_work
     0.97%     0.02%  iou-wrk-3450     [kernel.vmlinux]  [k] io_worker_handle_work
     0.96%     0.04%  iou-wrk-3438     [kernel.vmlinux]  [k] filemap_read
     0.95%     0.03%  iou-wrk-3437     [kernel.vmlinux]  [k] io_worker_handle_work
     0.95%     0.02%  iou-wrk-3439     [kernel.vmlinux]  [k] io_worker_handle_work
     0.94%     0.02%  iou-wrk-3455     [kernel.vmlinux]  [k] io_worker_handle_work
     0.94%     0.02%  iou-wrk-3479     [kernel.vmlinux]  [k] io_worker_handle_work
     0.94%     0.02%  iou-wrk-3452     [kernel.vmlinux]  [k] io_worker_handle_work
     0.94%     0.00%  iou-wrk-3457     [kernel.vmlinux]  [k] io_issue_sqe
     0.94%     0.00%  iou-wrk-3457     [kernel.vmlinux]  [k] io_read
     0.94%     0.00%  iou-wrk-3457     [kernel.vmlinux]  [k] io_wq_submit_work
     0.94%     0.02%  iou-wrk-3456     [kernel.vmlinux]  [k] io_worker_handle_work
     0.93%     0.01%  iou-wrk-3474     [kernel.vmlinux]  [k] io_issue_sqe
     0.93%     0.00%  iou-wrk-3474     [kernel.vmlinux]  [k] io_wq_submit_work
     0.93%     0.03%  iou-wrk-3468     [kernel.vmlinux]  [k] io_worker_handle_work
     0.93%     0.00%  iou-wrk-3467     [kernel.vmlinux]  [k] schedule
     0.92%     0.01%  kswapd0          [kernel.vmlinux]  [k] __remove_mapping
     0.92%     0.00%  iou-wrk-3474     [kernel.vmlinux]  [k] io_read
     0.92%     0.03%  iou-wrk-3467     [kernel.vmlinux]  [k] __schedule
     0.92%     0.07%  iou-wrk-3444     [kernel.vmlinux]  [k] filemap_read
     0.92%     0.01%  iou-wrk-3440     [kernel.vmlinux]  [k] io_wq_submit_work
     0.91%     0.02%  iou-wrk-3441     [kernel.vmlinux]  [k] io_worker_handle_work
     0.91%     0.02%  iou-wrk-3477     [kernel.vmlinux]  [k] schedule
     0.91%     0.02%  iou-wrk-3440     [kernel.vmlinux]  [k] io_read
     0.91%     0.00%  iou-wrk-3440     [kernel.vmlinux]  [k] io_issue_sqe
     0.91%     0.02%  iou-wrk-3442     [kernel.vmlinux]  [k] io_worker_handle_work
     0.90%     0.02%  iou-wrk-3463     [kernel.vmlinux]  [k] io_worker_handle_work
     0.89%     0.04%  iou-wrk-3465     [kernel.vmlinux]  [k] io_worker_handle_work
     0.88%     0.02%  iou-wrk-3439     [kernel.vmlinux]  [k] io_read
     0.88%     0.00%  iou-wrk-3439     [kernel.vmlinux]  [k] io_issue_sqe
     0.88%     0.00%  iou-wrk-3439     [kernel.vmlinux]  [k] io_wq_submit_work
     0.88%     0.02%  iou-wrk-3447     [kernel.vmlinux]  [k] io_worker_handle_work
     0.88%     0.01%  iou-wrk-3477     [kernel.vmlinux]  [k] __schedule
     0.88%     0.03%  kswapd0          [kernel.vmlinux]  [k] __delete_from_page_cache
     0.88%     0.01%  iou-wrk-3460     [kernel.vmlinux]  [k] io_wq_submit_work
     0.87%     0.02%  iou-wrk-3460     [kernel.vmlinux]  [k] io_issue_sqe
     0.87%     0.02%  iou-wrk-3473     [kernel.vmlinux]  [k] io_worker_handle_work
     0.87%     0.07%  iou-wrk-3457     [kernel.vmlinux]  [k] filemap_read
     0.86%     0.03%  iou-wrk-3453     [kernel.vmlinux]  [k] io_worker_handle_work
     0.86%     0.01%  iou-wrk-3479     [kernel.vmlinux]  [k] io_wq_submit_work
     0.86%     0.00%  iou-wrk-3473     [kernel.vmlinux]  [k] schedule_timeout
     0.86%     0.27%  fio              [kernel.vmlinux]  [k] check_preempt_wakeup
     0.86%     0.35%  iou-wrk-3474     [kernel.vmlinux]  [k] filemap_read
     0.86%     0.08%  swapper          [kernel.vmlinux]  [k] __schedule
     0.86%     0.00%  swapper          [kernel.vmlinux]  [k] schedule_idle
     0.85%     0.00%  iou-wrk-3479     [kernel.vmlinux]  [k] io_issue_sqe
     0.85%     0.00%  iou-wrk-3479     [kernel.vmlinux]  [k] io_read
     0.85%     0.01%  iou-wrk-3467     [kernel.vmlinux]  [k] io_issue_sqe
     0.85%     0.00%  iou-wrk-3467     [kernel.vmlinux]  [k] io_wq_submit_work
     0.85%     0.00%  iou-wrk-3460     [kernel.vmlinux]  [k] io_read
