# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 31618580708647
#
# Children      Self  Command          Shared Object         Symbol                                        
# ........  ........  ...............  ....................  ..............................................
#
     1.18%     0.00%  iou-wrk-3057     [kernel.vmlinux]      [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3057     [kernel.vmlinux]      [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3039     [kernel.vmlinux]      [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3039     [kernel.vmlinux]      [k] ret_from_fork
     1.18%     0.01%  iou-wrk-3080     [kernel.vmlinux]      [k] io_worker_handle_work
     1.18%     0.00%  iou-wrk-3084     [kernel.vmlinux]      [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3084     [kernel.vmlinux]      [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3069     [kernel.vmlinux]      [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3069     [kernel.vmlinux]      [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3092     [kernel.vmlinux]      [k] io_worker_handle_work
     1.18%     0.00%  iou-wrk-3094     [kernel.vmlinux]      [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3094     [kernel.vmlinux]      [k] ret_from_fork
     1.18%     0.01%  iou-wrk-3039     [kernel.vmlinux]      [k] io_worker_handle_work
     1.18%     0.00%  iou-wrk-3072     [kernel.vmlinux]      [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3072     [kernel.vmlinux]      [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3097     [kernel.vmlinux]      [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3097     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.01%  iou-wrk-3078     [kernel.vmlinux]      [k] io_worker_handle_work
     1.17%     0.01%  iou-wrk-3053     [kernel.vmlinux]      [k] io_worker_handle_work
     1.17%     0.00%  iou-wrk-3105     [kernel.vmlinux]      [k] io_worker_handle_work
     1.17%     0.00%  iou-wrk-3034     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3034     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3077     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3077     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3103     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3103     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.01%  iou-wrk-3069     [kernel.vmlinux]      [k] io_worker_handle_work
     1.17%     0.00%  iou-wrk-3041     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3041     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3063     [kernel.vmlinux]      [k] io_worker_handle_work
     1.17%     0.00%  iou-wrk-3079     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3079     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3047     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3047     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3074     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3074     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3046     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3046     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3099     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3099     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3061     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3061     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3049     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3049     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3044     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3044     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3060     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3060     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3100     [kernel.vmlinux]      [k] io_wq_submit_work
     1.17%     0.00%  iou-wrk-3040     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3040     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3058     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3058     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.01%  iou-wrk-3106     [kernel.vmlinux]      [k] io_worker_handle_work
     1.17%     0.00%  iou-wrk-3051     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3051     [kernel.vmlinux]      [k] ret_from_fork
