# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 898K of event 'cycles'
# Event count (approx.): 86704214777183
#
# Children      Self  Command          Shared Object               Symbol                                        
# ........  ........  ...............  ..........................  ..............................................
#
     1.04%     0.00%  iou-wrk-2989     [kernel.vmlinux]            [k] io_wqe_worker
     1.04%     0.00%  iou-wrk-2989     [kernel.vmlinux]            [k] ret_from_fork
     1.04%     0.00%  iou-wrk-3019     [kernel.vmlinux]            [k] io_wqe_worker
     1.04%     0.00%  iou-wrk-3019     [kernel.vmlinux]            [k] ret_from_fork
     1.04%     0.00%  iou-wrk-3001     [kernel.vmlinux]            [k] io_wqe_worker
     1.04%     0.00%  iou-wrk-3001     [kernel.vmlinux]            [k] ret_from_fork
     1.04%     0.00%  iou-wrk-2948     [kernel.vmlinux]            [k] io_wqe_worker
     1.04%     0.00%  iou-wrk-2948     [kernel.vmlinux]            [k] ret_from_fork
     1.04%     0.00%  iou-wrk-2984     [kernel.vmlinux]            [k] io_wqe_worker
     1.04%     0.00%  iou-wrk-2984     [kernel.vmlinux]            [k] ret_from_fork
     1.04%     0.00%  iou-wrk-3013     [kernel.vmlinux]            [k] io_wqe_worker
     1.04%     0.00%  iou-wrk-3013     [kernel.vmlinux]            [k] ret_from_fork
     1.04%     0.00%  iou-wrk-2990     [kernel.vmlinux]            [k] io_wqe_worker
     1.04%     0.00%  iou-wrk-2990     [kernel.vmlinux]            [k] ret_from_fork
     1.04%     0.00%  iou-wrk-3004     [kernel.vmlinux]            [k] io_wqe_worker
     1.04%     0.00%  iou-wrk-3004     [kernel.vmlinux]            [k] ret_from_fork
     1.04%     0.00%  iou-wrk-2953     [kernel.vmlinux]            [k] io_wqe_worker
     1.04%     0.00%  iou-wrk-2953     [kernel.vmlinux]            [k] ret_from_fork
     1.04%     0.00%  iou-wrk-2952     [kernel.vmlinux]            [k] io_wqe_worker
     1.04%     0.00%  iou-wrk-2952     [kernel.vmlinux]            [k] ret_from_fork
     1.04%     0.00%  iou-wrk-2966     [kernel.vmlinux]            [k] io_wqe_worker
     1.04%     0.00%  iou-wrk-2966     [kernel.vmlinux]            [k] ret_from_fork
     1.04%     0.00%  iou-wrk-3007     [kernel.vmlinux]            [k] io_wqe_worker
     1.04%     0.00%  iou-wrk-3007     [kernel.vmlinux]            [k] ret_from_fork
     1.04%     0.00%  iou-wrk-2988     [kernel.vmlinux]            [k] io_wqe_worker
     1.04%     0.00%  iou-wrk-2988     [kernel.vmlinux]            [k] ret_from_fork
     1.04%     0.00%  iou-wrk-2983     [kernel.vmlinux]            [k] io_wqe_worker
     1.04%     0.00%  iou-wrk-2983     [kernel.vmlinux]            [k] ret_from_fork
     1.03%     0.00%  iou-wrk-3012     [kernel.vmlinux]            [k] io_wqe_worker
     1.03%     0.00%  iou-wrk-3012     [kernel.vmlinux]            [k] ret_from_fork
     1.03%     0.00%  iou-wrk-2956     [kernel.vmlinux]            [k] io_wqe_worker
     1.03%     0.00%  iou-wrk-2956     [kernel.vmlinux]            [k] ret_from_fork
     1.03%     0.00%  iou-wrk-2950     [kernel.vmlinux]            [k] io_wqe_worker
     1.03%     0.00%  iou-wrk-2950     [kernel.vmlinux]            [k] ret_from_fork
     1.03%     0.00%  iou-wrk-2979     [kernel.vmlinux]            [k] io_wqe_worker
     1.03%     0.00%  iou-wrk-2979     [kernel.vmlinux]            [k] ret_from_fork
     1.03%     0.00%  iou-wrk-3008     [kernel.vmlinux]            [k] io_wqe_worker
     1.03%     0.00%  iou-wrk-3008     [kernel.vmlinux]            [k] ret_from_fork
     1.03%     0.00%  iou-wrk-2982     [kernel.vmlinux]            [k] io_wqe_worker
     1.03%     0.00%  iou-wrk-2982     [kernel.vmlinux]            [k] ret_from_fork
     1.03%     0.00%  iou-wrk-2947     [kernel.vmlinux]            [k] io_wqe_worker
     1.03%     0.00%  iou-wrk-2947     [kernel.vmlinux]            [k] ret_from_fork
     1.03%     0.00%  iou-wrk-2944     [kernel.vmlinux]            [k] io_wqe_worker
     1.03%     0.00%  iou-wrk-2944     [kernel.vmlinux]            [k] ret_from_fork
     1.03%     0.00%  iou-wrk-2971     [kernel.vmlinux]            [k] io_wqe_worker
     1.03%     0.00%  iou-wrk-2971     [kernel.vmlinux]            [k] ret_from_fork
     1.03%     0.00%  iou-wrk-2967     [kernel.vmlinux]            [k] io_wqe_worker
     1.03%     0.00%  iou-wrk-2967     [kernel.vmlinux]            [k] ret_from_fork
     1.03%     0.00%  iou-wrk-2986     [kernel.vmlinux]            [k] io_wqe_worker
     1.03%     0.00%  iou-wrk-2986     [kernel.vmlinux]            [k] ret_from_fork
     1.03%     0.00%  iou-wrk-2955     [kernel.vmlinux]            [k] io_wqe_worker
     1.03%     0.00%  iou-wrk-2955     [kernel.vmlinux]            [k] ret_from_fork
     1.03%     0.00%  iou-wrk-3009     [kernel.vmlinux]            [k] io_wqe_worker
     1.03%     0.00%  iou-wrk-3009     [kernel.vmlinux]            [k] ret_from_fork
     1.03%     0.00%  iou-wrk-2969     [kernel.vmlinux]            [k] io_wqe_worker
     1.03%     0.00%  iou-wrk-2969     [kernel.vmlinux]            [k] ret_from_fork
     1.03%     0.00%  iou-wrk-2995     [kernel.vmlinux]            [k] io_wqe_worker
     1.03%     0.00%  iou-wrk-2995     [kernel.vmlinux]            [k] ret_from_fork
     1.03%     0.00%  iou-wrk-2962     [kernel.vmlinux]            [k] io_wqe_worker
     1.03%     0.00%  iou-wrk-2962     [kernel.vmlinux]            [k] ret_from_fork
     1.03%     0.00%  iou-wrk-2987     [kernel.vmlinux]            [k] io_wqe_worker
     1.03%     0.00%  iou-wrk-2987     [kernel.vmlinux]            [k] ret_from_fork
     1.03%     0.00%  iou-wrk-2981     [kernel.vmlinux]            [k] io_wqe_worker
     1.03%     0.00%  iou-wrk-2981     [kernel.vmlinux]            [k] ret_from_fork
     1.03%     0.00%  iou-wrk-3017     [kernel.vmlinux]            [k] io_wqe_worker
     1.03%     0.00%  iou-wrk-3017     [kernel.vmlinux]            [k] ret_from_fork
     1.03%     0.00%  iou-wrk-2999     [kernel.vmlinux]            [k] io_wqe_worker
     1.03%     0.00%  iou-wrk-2999     [kernel.vmlinux]            [k] ret_from_fork
     1.03%     0.00%  iou-wrk-2943     [kernel.vmlinux]            [k] io_wqe_worker
     1.03%     0.00%  iou-wrk-2943     [kernel.vmlinux]            [k] ret_from_fork
     1.03%     0.00%  iou-wrk-3016     [kernel.vmlinux]            [k] io_wqe_worker
     1.03%     0.00%  iou-wrk-3016     [kernel.vmlinux]            [k] ret_from_fork
     1.02%     0.00%  iou-wrk-2954     [kernel.vmlinux]            [k] io_wqe_worker
     1.02%     0.00%  iou-wrk-2954     [kernel.vmlinux]            [k] ret_from_fork
     1.02%     0.00%  iou-wrk-2970     [kernel.vmlinux]            [k] io_wqe_worker
     1.02%     0.00%  iou-wrk-2970     [kernel.vmlinux]            [k] ret_from_fork
     1.02%     0.00%  iou-wrk-2946     [kernel.vmlinux]            [k] io_wqe_worker
     1.02%     0.00%  iou-wrk-2946     [kernel.vmlinux]            [k] ret_from_fork
     1.02%     0.00%  iou-wrk-3015     [kernel.vmlinux]            [k] io_wqe_worker
     1.02%     0.00%  iou-wrk-3015     [kernel.vmlinux]            [k] ret_from_fork
     1.02%     0.00%  iou-wrk-3011     [kernel.vmlinux]            [k] io_wqe_worker
     1.02%     0.00%  iou-wrk-3011     [kernel.vmlinux]            [k] ret_from_fork
     1.02%     0.00%  iou-wrk-2972     [kernel.vmlinux]            [k] io_wqe_worker
     1.02%     0.00%  iou-wrk-2972     [kernel.vmlinux]            [k] ret_from_fork
     1.02%     0.00%  iou-wrk-2958     [kernel.vmlinux]            [k] io_wqe_worker
     1.02%     0.00%  iou-wrk-2958     [kernel.vmlinux]            [k] ret_from_fork
     1.02%     0.00%  iou-wrk-2973     [kernel.vmlinux]            [k] io_wqe_worker
     1.02%     0.00%  iou-wrk-2973     [kernel.vmlinux]            [k] ret_from_fork
     1.02%     0.00%  iou-wrk-2960     [kernel.vmlinux]            [k] io_wqe_worker
     1.02%     0.00%  iou-wrk-2960     [kernel.vmlinux]            [k] ret_from_fork
     1.02%     0.00%  iou-wrk-2965     [kernel.vmlinux]            [k] io_wqe_worker
     1.02%     0.00%  iou-wrk-2965     [kernel.vmlinux]            [k] ret_from_fork
     1.02%     0.00%  iou-wrk-2964     [kernel.vmlinux]            [k] io_wqe_worker
     1.02%     0.00%  iou-wrk-2964     [kernel.vmlinux]            [k] ret_from_fork
     1.01%     0.00%  iou-wrk-3020     [kernel.vmlinux]            [k] io_wqe_worker
     1.01%     0.00%  iou-wrk-3020     [kernel.vmlinux]            [k] ret_from_fork
     1.01%     0.00%  iou-wrk-2949     [kernel.vmlinux]            [k] io_wqe_worker
     1.01%     0.00%  iou-wrk-2949     [kernel.vmlinux]            [k] ret_from_fork
     1.01%     0.00%  iou-wrk-2968     [kernel.vmlinux]            [k] io_wqe_worker
     1.01%     0.00%  iou-wrk-2968     [kernel.vmlinux]            [k] ret_from_fork
     1.01%     0.00%  iou-wrk-2985     [kernel.vmlinux]            [k] io_wqe_worker
     1.01%     0.00%  iou-wrk-2985     [kernel.vmlinux]            [k] ret_from_fork
     1.01%     0.00%  iou-wrk-2961     [kernel.vmlinux]            [k] io_wqe_worker
     1.01%     0.00%  iou-wrk-2961     [kernel.vmlinux]            [k] ret_from_fork
     1.01%     0.00%  iou-wrk-2974     [kernel.vmlinux]            [k] io_wqe_worker
     1.01%     0.00%  iou-wrk-2974     [kernel.vmlinux]            [k] ret_from_fork
     1.01%     0.00%  iou-wrk-2975     [kernel.vmlinux]            [k] io_wqe_worker
     1.01%     0.00%  iou-wrk-2975     [kernel.vmlinux]            [k] ret_from_fork
     1.01%     0.00%  iou-wrk-2997     [kernel.vmlinux]            [k] io_wqe_worker
