# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 32050145111127
#
# Children      Self  Command          Shared Object       Symbol                                        
# ........  ........  ...............  ..................  ..............................................
#
     1.18%     0.01%  iou-wrk-3289     [kernel.vmlinux]    [k] io_worker_handle_work
     1.18%     0.00%  iou-wrk-3288     [kernel.vmlinux]    [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3288     [kernel.vmlinux]    [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3343     [kernel.vmlinux]    [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3343     [kernel.vmlinux]    [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3316     [kernel.vmlinux]    [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3316     [kernel.vmlinux]    [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3272     [kernel.vmlinux]    [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3272     [kernel.vmlinux]    [k] ret_from_fork
     1.18%     0.01%  iou-wrk-3270     [kernel.vmlinux]    [k] io_worker_handle_work
     1.18%     0.01%  iou-wrk-3339     [kernel.vmlinux]    [k] io_worker_handle_work
     1.18%     0.00%  iou-wrk-3323     [kernel.vmlinux]    [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3323     [kernel.vmlinux]    [k] ret_from_fork
     1.18%     0.01%  iou-wrk-3344     [kernel.vmlinux]    [k] io_worker_handle_work
     1.18%     0.00%  iou-wrk-3264     [kernel.vmlinux]    [k] io_worker_handle_work
     1.18%     0.00%  iou-wrk-3301     [kernel.vmlinux]    [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3301     [kernel.vmlinux]    [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3285     [kernel.vmlinux]    [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3285     [kernel.vmlinux]    [k] ret_from_fork
     1.18%     0.01%  iou-wrk-3294     [kernel.vmlinux]    [k] io_worker_handle_work
     1.18%     0.00%  iou-wrk-3273     [kernel.vmlinux]    [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3273     [kernel.vmlinux]    [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3306     [kernel.vmlinux]    [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3306     [kernel.vmlinux]    [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3309     [kernel.vmlinux]    [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3309     [kernel.vmlinux]    [k] ret_from_fork
     1.18%     0.01%  iou-wrk-3319     [kernel.vmlinux]    [k] io_worker_handle_work
     1.18%     0.00%  iou-wrk-3337     [kernel.vmlinux]    [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3337     [kernel.vmlinux]    [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3292     [kernel.vmlinux]    [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3292     [kernel.vmlinux]    [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3327     [kernel.vmlinux]    [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3327     [kernel.vmlinux]    [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3275     [kernel.vmlinux]    [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3275     [kernel.vmlinux]    [k] ret_from_fork
     1.17%     0.01%  iou-wrk-3283     [kernel.vmlinux]    [k] io_worker_handle_work
     1.17%     0.00%  iou-wrk-3333     [kernel.vmlinux]    [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3333     [kernel.vmlinux]    [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3281     [kernel.vmlinux]    [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3281     [kernel.vmlinux]    [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3267     [kernel.vmlinux]    [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3267     [kernel.vmlinux]    [k] ret_from_fork
     1.17%     0.01%  iou-wrk-3340     [kernel.vmlinux]    [k] io_worker_handle_work
     1.17%     0.00%  iou-wrk-3314     [kernel.vmlinux]    [k] io_wq_submit_work
     1.17%     0.00%  iou-wrk-3266     [kernel.vmlinux]    [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3266     [kernel.vmlinux]    [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3328     [kernel.vmlinux]    [k] io_wq_submit_work
     1.17%     0.00%  iou-wrk-3284     [kernel.vmlinux]    [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3284     [kernel.vmlinux]    [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3314     [kernel.vmlinux]    [k] io_issue_sqe
     1.17%     0.00%  iou-wrk-3287     [kernel.vmlinux]    [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3287     [kernel.vmlinux]    [k] ret_from_fork
     1.17%     0.01%  iou-wrk-3302     [kernel.vmlinux]    [k] io_worker_handle_work
     1.17%     0.01%  iou-wrk-3303     [kernel.vmlinux]    [k] io_worker_handle_work
     1.17%     0.00%  iou-wrk-3328     [kernel.vmlinux]    [k] io_issue_sqe
     1.17%     0.00%  iou-wrk-3300     [kernel.vmlinux]    [k] io_worker_handle_work
     1.17%     0.00%  iou-wrk-3311     [kernel.vmlinux]    [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3311     [kernel.vmlinux]    [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3312     [kernel.vmlinux]    [k] io_wq_submit_work
     1.17%     0.00%  iou-wrk-3322     [kernel.vmlinux]    [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3322     [kernel.vmlinux]    [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3314     [kernel.vmlinux]    [k] io_read
     1.17%     0.01%  iou-wrk-3272     [kernel.vmlinux]    [k] io_worker_handle_work
     1.17%     0.00%  iou-wrk-3298     [kernel.vmlinux]    [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3298     [kernel.vmlinux]    [k] ret_from_fork
     1.17%     0.01%  iou-wrk-3343     [kernel.vmlinux]    [k] io_worker_handle_work
     1.17%     0.00%  iou-wrk-3328     [kernel.vmlinux]    [k] io_read
     1.17%     0.00%  iou-wrk-3335     [kernel.vmlinux]    [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3335     [kernel.vmlinux]    [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3271     [kernel.vmlinux]    [k] io_wq_submit_work
     1.17%     0.00%  iou-wrk-3312     [kernel.vmlinux]    [k] io_issue_sqe
     1.17%     0.01%  iou-wrk-3304     [kernel.vmlinux]    [k] io_worker_handle_work
     1.17%     0.00%  iou-wrk-3295     [kernel.vmlinux]    [k] io_worker_handle_work
     1.17%     0.00%  iou-wrk-3312     [kernel.vmlinux]    [k] io_read
     1.17%     0.01%  iou-wrk-3324     [kernel.vmlinux]    [k] io_worker_handle_work
     1.17%     0.00%  iou-wrk-3329     [kernel.vmlinux]    [k] io_wq_submit_work
     1.17%     0.00%  iou-wrk-3268     [kernel.vmlinux]    [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3268     [kernel.vmlinux]    [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3336     [kernel.vmlinux]    [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3336     [kernel.vmlinux]    [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3282     [kernel.vmlinux]    [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3282     [kernel.vmlinux]    [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3310     [kernel.vmlinux]    [k] io_wqe_worker
