# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11K of event 'cycles'
# Event count (approx.): 2349040424760
#
# Children      Self  Command          Shared Object     Symbol                                 
# ........  ........  ...............  ................  .......................................
#
    29.41%     0.01%  fio              [kernel.vmlinux]  [k] entry_SYSCALL_64_after_hwframe
    29.40%     0.01%  fio              [kernel.vmlinux]  [k] do_syscall_64
    29.11%     0.03%  fio              [kernel.vmlinux]  [k] __do_sys_io_uring_enter
    29.05%     0.72%  fio              [kernel.vmlinux]  [k] io_submit_sqes
    26.51%     0.51%  fio              [kernel.vmlinux]  [k] __io_queue_sqe
    19.59%     0.10%  fio              [kernel.vmlinux]  [k] io_queue_async_work
    18.80%     0.47%  fio              [kernel.vmlinux]  [k] io_wqe_enqueue
    17.92%     0.86%  fio              [kernel.vmlinux]  [k] io_wqe_activate_free_worker
    16.81%     0.53%  fio              [kernel.vmlinux]  [k] try_to_wake_up
     8.46%     0.12%  fio              [kernel.vmlinux]  [k] ttwu_do_activate
     6.40%     0.26%  fio              [kernel.vmlinux]  [k] io_issue_sqe
     6.16%     0.32%  fio              [kernel.vmlinux]  [k] io_read
     5.77%     0.01%  swapper          [kernel.vmlinux]  [k] cpu_startup_entry
     5.77%     0.00%  swapper          [kernel.vmlinux]  [k] secondary_startup_64_no_verify
     5.76%     0.04%  swapper          [kernel.vmlinux]  [k] do_idle
     5.74%     0.00%  swapper          [kernel.vmlinux]  [k] start_secondary
     5.26%     0.29%  fio              [kernel.vmlinux]  [k] io_setup_async_rw
     4.89%     0.49%  fio              [kernel.vmlinux]  [k] enqueue_task_fair
     4.84%     0.41%  fio              [kernel.vmlinux]  [k] __kmalloc
     4.54%     0.00%  swapper          [kernel.vmlinux]  [k] cpuidle_enter_state
     4.54%     0.00%  swapper          [kernel.vmlinux]  [k] cpuidle_enter
     4.33%     1.98%  fio              [kernel.vmlinux]  [k] select_task_rq_fair
     4.25%     0.11%  fio              [kernel.vmlinux]  [k] __cond_resched
     4.14%     0.87%  fio              [kernel.vmlinux]  [k] __schedule
     4.14%     0.12%  fio              [kernel.vmlinux]  [k] preempt_schedule_common
     3.93%     3.93%  swapper          [kernel.vmlinux]  [k] intel_idle
     3.47%     0.13%  fio              [kernel.vmlinux]  [k] psi_task_change
     2.80%     2.80%  fio              [kernel.vmlinux]  [k] psi_group_change
     2.62%     0.45%  fio              [kernel.vmlinux]  [k] enqueue_entity
     2.39%     0.94%  fio              [kernel.vmlinux]  [k] update_load_avg
     2.15%     0.00%  iou-wrk-2980     [kernel.vmlinux]  [k] io_wqe_worker
     2.15%     0.00%  iou-wrk-2980     [kernel.vmlinux]  [k] ret_from_fork
     1.98%     0.02%  iou-wrk-2993     [kernel.vmlinux]  [k] io_wqe_worker
     1.98%     0.00%  iou-wrk-2993     [kernel.vmlinux]  [k] ret_from_fork
     1.92%     0.02%  iou-wrk-2989     [kernel.vmlinux]  [k] io_wqe_worker
     1.92%     0.00%  iou-wrk-2989     [kernel.vmlinux]  [k] ret_from_fork
     1.91%     0.02%  iou-wrk-2984     [kernel.vmlinux]  [k] io_wqe_worker
     1.91%     0.00%  iou-wrk-2984     [kernel.vmlinux]  [k] ret_from_fork
     1.91%     0.02%  iou-wrk-2982     [kernel.vmlinux]  [k] io_wqe_worker
     1.91%     0.00%  iou-wrk-2982     [kernel.vmlinux]  [k] ret_from_fork
     1.90%     0.70%  fio              [kernel.vmlinux]  [k] _raw_spin_lock
     1.90%     0.01%  iou-wrk-2988     [kernel.vmlinux]  [k] io_wqe_worker
