# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 721K of event 'cycles'
# Event count (approx.): 64064804027726
#
# Children      Self  Command          Shared Object       Symbol                                 
# ........  ........  ...............  ..................  .......................................
#
     0.88%     0.00%  iou-wrk-3463     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3421     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3421     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3395     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3395     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3409     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3409     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3408     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3408     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3425     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3425     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3410     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3410     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3406     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3406     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3405     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3405     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3414     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3414     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.00%  iou-wrk-3424     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3424     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3439     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3439     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3431     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3431     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3433     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3433     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3452     [kernel.vmlinux]    [k] io_wqe_worker
