# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 720K of event 'cycles'
# Event count (approx.): 63497295424487
#
# Children      Self  Command          Shared Object       Symbol                                          
# ........  ........  ...............  ..................  ................................................
#
     0.89%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3207     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3207     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3200     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3200     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.00%  iou-wrk-3191     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3191     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3226     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3226     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3208     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3208     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3218     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3218     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3151     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3151     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3192     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3192     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3181     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3181     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3205     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3205     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3201     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3201     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3198     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3198     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3152     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3152     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3221     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3221     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3212     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3212     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3213     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3213     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3172     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3172     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3174     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3174     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3195     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3195     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3194     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3194     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3165     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3165     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3162     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3162     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3219     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3219     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3215     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3215     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.00%  iou-wrk-3230     [kernel.vmlinux]    [k] io_wqe_worker
