# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 31306094655244
#
# Children      Self  Command          Shared Object               Symbol                                       
# ........  ........  ...............  ..........................  .............................................
#
     2.29%     0.00%  iou-wrk-3033     [kernel.vmlinux]            [k] io_read
     2.29%     0.00%  iou-wrk-3014     [kernel.vmlinux]            [k] io_wqe_worker
     2.29%     0.00%  iou-wrk-3014     [kernel.vmlinux]            [k] ret_from_fork
     2.29%     0.00%  iou-wrk-3009     [kernel.vmlinux]            [k] io_issue_sqe
     2.29%     0.00%  iou-wrk-3009     [kernel.vmlinux]            [k] io_read
     2.29%     0.00%  iou-wrk-3035     [kernel.vmlinux]            [k] io_wqe_worker
     2.29%     0.00%  iou-wrk-3035     [kernel.vmlinux]            [k] ret_from_fork
     2.29%     0.00%  iou-wrk-3038     [kernel.vmlinux]            [k] io_wqe_worker
     2.29%     0.00%  iou-wrk-3038     [kernel.vmlinux]            [k] ret_from_fork
     2.28%     0.01%  iou-wrk-3021     [kernel.vmlinux]            [k] io_worker_handle_work
     2.28%     0.00%  iou-wrk-3032     [kernel.vmlinux]            [k] io_wqe_worker
     2.28%     0.00%  iou-wrk-3032     [kernel.vmlinux]            [k] ret_from_fork
     2.28%     0.01%  iou-wrk-3015     [kernel.vmlinux]            [k] io_worker_handle_work
     2.28%     0.00%  iou-wrk-3030     [kernel.vmlinux]            [k] io_wqe_worker
     2.28%     0.00%  iou-wrk-3030     [kernel.vmlinux]            [k] ret_from_fork
     2.28%     0.00%  iou-wrk-3007     [kernel.vmlinux]            [k] io_wqe_worker
     2.28%     0.00%  iou-wrk-3007     [kernel.vmlinux]            [k] ret_from_fork
     2.28%     0.00%  iou-wrk-3042     [kernel.vmlinux]            [k] io_wqe_worker
     2.28%     0.00%  iou-wrk-3042     [kernel.vmlinux]            [k] ret_from_fork
     2.27%     0.00%  iou-wrk-3008     [kernel.vmlinux]            [k] io_wqe_worker
     2.27%     0.00%  iou-wrk-3008     [kernel.vmlinux]            [k] ret_from_fork
     2.27%     0.00%  iou-wrk-3010     [kernel.vmlinux]            [k] io_wqe_worker
     2.27%     0.00%  iou-wrk-3010     [kernel.vmlinux]            [k] ret_from_fork
     2.27%     0.01%  iou-wrk-3028     [kernel.vmlinux]            [k] io_worker_handle_work
     2.26%     0.00%  iou-wrk-3023     [kernel.vmlinux]            [k] io_wq_submit_work
     2.26%     0.01%  iou-wrk-3016     [kernel.vmlinux]            [k] io_worker_handle_work
     2.26%     0.00%  iou-wrk-3023     [kernel.vmlinux]            [k] io_issue_sqe
     2.26%     0.01%  iou-wrk-3012     [kernel.vmlinux]            [k] io_worker_handle_work
     2.26%     0.00%  iou-wrk-3006     [kernel.vmlinux]            [k] io_wqe_worker
     2.26%     0.00%  iou-wrk-3006     [kernel.vmlinux]            [k] ret_from_fork
     2.26%     0.00%  iou-wrk-3018     [kernel.vmlinux]            [k] io_wqe_worker
     2.26%     0.00%  iou-wrk-3018     [kernel.vmlinux]            [k] ret_from_fork
     2.26%     0.00%  iou-wrk-3023     [kernel.vmlinux]            [k] io_read
     2.26%     0.01%  iou-wrk-3035     [kernel.vmlinux]            [k] io_worker_handle_work
     2.25%     0.02%  iou-wrk-3031     [kernel.vmlinux]            [k] filemap_read
     2.25%     0.00%  iou-wrk-3034     [kernel.vmlinux]            [k] io_wq_submit_work
     2.25%     0.00%  iou-wrk-3005     [kernel.vmlinux]            [k] io_wqe_worker
     2.25%     0.00%  iou-wrk-3005     [kernel.vmlinux]            [k] ret_from_fork
     2.25%     0.00%  iou-wrk-3034     [kernel.vmlinux]            [k] io_issue_sqe
     2.25%     0.02%  iou-wrk-3033     [kernel.vmlinux]            [k] filemap_read
     2.25%     0.02%  iou-wrk-3043     [kernel.vmlinux]            [k] filemap_read
     2.25%     0.00%  iou-wrk-3034     [kernel.vmlinux]            [k] io_read
     2.25%     0.01%  iou-wrk-3022     [kernel.vmlinux]            [k] io_worker_handle_work
     2.25%     0.01%  iou-wrk-3007     [kernel.vmlinux]            [k] io_worker_handle_work
     2.25%     0.01%  iou-wrk-3037     [kernel.vmlinux]            [k] io_worker_handle_work
     2.24%     0.00%  iou-wrk-3021     [kernel.vmlinux]            [k] io_wq_submit_work
     2.24%     0.02%  iou-wrk-3009     [kernel.vmlinux]            [k] filemap_read
     2.24%     0.00%  iou-wrk-3021     [kernel.vmlinux]            [k] io_issue_sqe
     2.24%     0.00%  iou-wrk-3015     [kernel.vmlinux]            [k] io_wq_submit_work
     2.24%     0.01%  iou-wrk-3040     [kernel.vmlinux]            [k] io_worker_handle_work
     2.24%     0.00%  iou-wrk-3021     [kernel.vmlinux]            [k] io_read
     2.24%     0.01%  iou-wrk-3013     [kernel.vmlinux]            [k] io_worker_handle_work
     2.24%     0.00%  iou-wrk-3015     [kernel.vmlinux]            [k] io_issue_sqe
     2.24%     0.00%  iou-wrk-3015     [kernel.vmlinux]            [k] io_read
     2.23%     0.01%  iou-wrk-3024     [kernel.vmlinux]            [k] io_worker_handle_work
     2.23%     0.00%  iou-wrk-3025     [kernel.vmlinux]            [k] io_wqe_worker
     2.23%     0.00%  iou-wrk-3025     [kernel.vmlinux]            [k] ret_from_fork
     2.23%     0.00%  iou-wrk-3028     [kernel.vmlinux]            [k] io_wq_submit_work
     2.23%     0.01%  iou-wrk-3011     [kernel.vmlinux]            [k] io_worker_handle_work
     2.23%     0.00%  iou-wrk-3028     [kernel.vmlinux]            [k] io_issue_sqe
     2.23%     0.00%  iou-wrk-3028     [kernel.vmlinux]            [k] io_read
     2.22%     0.00%  iou-wrk-3004     [kernel.vmlinux]            [k] io_wqe_worker
     2.22%     0.00%  iou-wrk-3004     [kernel.vmlinux]            [k] ret_from_fork
     2.22%     0.00%  iou-wrk-3027     [kernel.vmlinux]            [k] io_wqe_worker
     2.22%     0.00%  iou-wrk-3027     [kernel.vmlinux]            [k] ret_from_fork
     2.22%     0.01%  iou-wrk-3019     [kernel.vmlinux]            [k] io_worker_handle_work
     2.22%     0.00%  iou-wrk-3016     [kernel.vmlinux]            [k] io_wq_submit_work
     2.22%     0.00%  iou-wrk-3016     [kernel.vmlinux]            [k] io_issue_sqe
     2.22%     0.02%  iou-wrk-3023     [kernel.vmlinux]            [k] filemap_read
     2.22%     0.00%  iou-wrk-3012     [kernel.vmlinux]            [k] io_wq_submit_work
     2.22%     0.00%  iou-wrk-3036     [kernel.vmlinux]            [k] io_wqe_worker
     2.22%     0.00%  iou-wrk-3036     [kernel.vmlinux]            [k] ret_from_fork
     2.22%     0.01%  iou-wrk-3014     [kernel.vmlinux]            [k] io_worker_handle_work
     2.22%     0.01%  iou-wrk-3041     [kernel.vmlinux]            [k] io_worker_handle_work
     2.22%     0.00%  iou-wrk-3012     [kernel.vmlinux]            [k] io_issue_sqe
     2.22%     0.00%  iou-wrk-3016     [kernel.vmlinux]            [k] io_read
     2.22%     0.00%  iou-wrk-3017     [kernel.vmlinux]            [k] io_wqe_worker
     2.22%     0.00%  iou-wrk-3017     [kernel.vmlinux]            [k] ret_from_fork
     2.22%     0.00%  iou-wrk-3020     [kernel.vmlinux]            [k] io_wqe_worker
     2.22%     0.00%  iou-wrk-3020     [kernel.vmlinux]            [k] ret_from_fork
     2.21%     0.00%  iou-wrk-3012     [kernel.vmlinux]            [k] io_read
     2.21%     0.01%  iou-wrk-3039     [kernel.vmlinux]            [k] io_worker_handle_work
     2.21%     0.01%  iou-wrk-3026     [kernel.vmlinux]            [k] io_worker_handle_work
     2.21%     0.02%  iou-wrk-3034     [kernel.vmlinux]            [k] filemap_read
     2.21%     0.00%  iou-wrk-3035     [kernel.vmlinux]            [k] io_wq_submit_work
     2.21%     0.01%  iou-wrk-3038     [kernel.vmlinux]            [k] io_worker_handle_work
     2.21%     0.00%  iou-wrk-3037     [kernel.vmlinux]            [k] io_wq_submit_work
     2.20%     0.00%  iou-wrk-3037     [kernel.vmlinux]            [k] io_issue_sqe
     2.20%     0.00%  iou-wrk-3035     [kernel.vmlinux]            [k] io_issue_sqe
     2.20%     0.00%  iou-wrk-3022     [kernel.vmlinux]            [k] io_wq_submit_work
     2.20%     0.00%  iou-wrk-3035     [kernel.vmlinux]            [k] io_read
     2.20%     0.00%  iou-wrk-3037     [kernel.vmlinux]            [k] io_read
     2.20%     0.00%  iou-wrk-3040     [kernel.vmlinux]            [k] io_wq_submit_work
     2.20%     0.00%  iou-wrk-3007     [kernel.vmlinux]            [k] io_wq_submit_work
     2.20%     0.10%  fio              [kernel.vmlinux]            [k] io_wqe_activate_free_worker
     2.20%     0.00%  iou-wrk-3013     [kernel.vmlinux]            [k] io_wq_submit_work
     2.20%     0.00%  iou-wrk-3022     [kernel.vmlinux]            [k] io_issue_sqe
     2.20%     0.00%  iou-wrk-3007     [kernel.vmlinux]            [k] io_issue_sqe
     2.20%     0.00%  iou-wrk-3040     [kernel.vmlinux]            [k] io_issue_sqe
     2.20%     0.01%  iou-wrk-3032     [kernel.vmlinux]            [k] io_worker_handle_work
     2.20%     0.00%  iou-wrk-3013     [kernel.vmlinux]            [k] io_issue_sqe
     2.20%     0.00%  iou-wrk-3040     [kernel.vmlinux]            [k] io_read
     2.20%     0.01%  iou-wrk-3042     [kernel.vmlinux]            [k] io_worker_handle_work
     2.20%     0.02%  iou-wrk-3021     [kernel.vmlinux]            [k] filemap_read
     2.20%     0.00%  iou-wrk-3007     [kernel.vmlinux]            [k] io_read
     2.20%     0.00%  iou-wrk-3024     [kernel.vmlinux]            [k] io_wq_submit_work
     2.20%     0.00%  iou-wrk-3022     [kernel.vmlinux]            [k] io_read
     2.20%     0.00%  iou-wrk-3013     [kernel.vmlinux]            [k] io_read
     2.19%     0.00%  iou-wrk-3024     [kernel.vmlinux]            [k] io_issue_sqe
     2.19%     0.02%  iou-wrk-3015     [kernel.vmlinux]            [k] filemap_read
     2.19%     0.01%  iou-wrk-3008     [kernel.vmlinux]            [k] io_worker_handle_work
     2.19%     0.01%  iou-wrk-3030     [kernel.vmlinux]            [k] io_worker_handle_work
     2.19%     0.00%  iou-wrk-3024     [kernel.vmlinux]            [k] io_read
     2.19%     0.00%  iou-wrk-3011     [kernel.vmlinux]            [k] io_wq_submit_work
     2.19%     0.00%  iou-wrk-3011     [kernel.vmlinux]            [k] io_issue_sqe
     2.19%     0.02%  iou-wrk-3028     [kernel.vmlinux]            [k] filemap_read
     2.19%     0.00%  iou-wrk-3011     [kernel.vmlinux]            [k] io_read
     2.18%     0.00%  iou-wrk-3019     [kernel.vmlinux]            [k] io_wq_submit_work
     2.18%     0.01%  iou-wrk-3010     [kernel.vmlinux]            [k] io_worker_handle_work
     2.18%     0.00%  iou-wrk-3019     [kernel.vmlinux]            [k] io_issue_sqe
     2.18%     0.00%  iou-wrk-3041     [kernel.vmlinux]            [k] io_wq_submit_work
     2.18%     0.00%  iou-wrk-3041     [kernel.vmlinux]            [k] io_issue_sqe
     2.18%     0.00%  iou-wrk-3019     [kernel.vmlinux]            [k] io_read
     2.18%     0.00%  iou-wrk-3041     [kernel.vmlinux]            [k] io_read
     2.18%     0.00%  iou-wrk-3014     [kernel.vmlinux]            [k] io_wq_submit_work
     2.18%     0.00%  iou-wrk-3014     [kernel.vmlinux]            [k] io_issue_sqe
     2.18%     0.02%  iou-wrk-3016     [kernel.vmlinux]            [k] filemap_read
     2.17%     0.02%  iou-wrk-3012     [kernel.vmlinux]            [k] filemap_read
     2.17%     0.00%  iou-wrk-3039     [kernel.vmlinux]            [k] io_wq_submit_work
     2.17%     0.00%  iou-wrk-3026     [kernel.vmlinux]            [k] io_wq_submit_work
     2.17%     0.00%  iou-wrk-3029     [kernel.vmlinux]            [k] io_wqe_worker
     2.17%     0.00%  iou-wrk-3029     [kernel.vmlinux]            [k] ret_from_fork
     2.17%     0.00%  iou-wrk-3014     [kernel.vmlinux]            [k] io_read
     2.17%     0.00%  iou-wrk-3039     [kernel.vmlinux]            [k] io_issue_sqe
     2.17%     0.00%  iou-wrk-3026     [kernel.vmlinux]            [k] io_issue_sqe
     2.17%     0.00%  iou-wrk-3038     [kernel.vmlinux]            [k] io_wq_submit_work
     2.17%     0.00%  iou-wrk-3026     [kernel.vmlinux]            [k] io_read
     2.17%     0.00%  iou-wrk-3039     [kernel.vmlinux]            [k] io_read
     2.17%     0.00%  iou-wrk-3038     [kernel.vmlinux]            [k] io_issue_sqe
     2.17%     0.00%  iou-wrk-3038     [kernel.vmlinux]            [k] io_read
     2.17%     0.00%  iou-wrk-3042     [kernel.vmlinux]            [k] io_wq_submit_work
     2.16%     0.02%  iou-wrk-3037     [kernel.vmlinux]            [k] filemap_read
     2.16%     0.01%  iou-wrk-3018     [kernel.vmlinux]            [k] io_worker_handle_work
     2.16%     0.00%  iou-wrk-3042     [kernel.vmlinux]            [k] io_issue_sqe
     2.16%     0.02%  iou-wrk-3013     [kernel.vmlinux]            [k] filemap_read
     2.16%     0.02%  iou-wrk-3022     [kernel.vmlinux]            [k] filemap_read
     2.16%     0.02%  iou-wrk-3035     [kernel.vmlinux]            [k] filemap_read
     2.16%     0.02%  iou-wrk-3024     [kernel.vmlinux]            [k] filemap_read
     2.16%     0.00%  iou-wrk-3042     [kernel.vmlinux]            [k] io_read
     2.16%     0.00%  iou-wrk-3032     [kernel.vmlinux]            [k] io_wq_submit_work
     2.16%     0.02%  iou-wrk-3040     [kernel.vmlinux]            [k] filemap_read
