# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 31306094655244
#
# Children      Self  Command          Shared Object               Symbol                                       
# ........  ........  ...............  ..........................  .............................................
#
     0.08%     0.00%  iou-wrk-3011     [kernel.vmlinux]            [k] copyout
     0.08%     0.07%  iou-wrk-3008     [kernel.vmlinux]            [k] xas_load
     0.08%     0.08%  iou-wrk-3024     [kernel.vmlinux]            [k] mem_cgroup_css_rstat_flush
     0.08%     0.00%  iou-wrk-3018     [kernel.vmlinux]            [k] schedule
     0.08%     0.07%  iou-wrk-3041     [kernel.vmlinux]            [k] xas_load
     0.08%     0.08%  iou-wrk-3038     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.08%     0.00%  iou-wrk-3038     [kernel.vmlinux]            [k] copyout
     0.08%     0.00%  iou-wrk-3038     [kernel.vmlinux]            [k] schedule_timeout
     0.08%     0.00%  iou-wrk-3007     [kernel.vmlinux]            [k] copyout
     0.08%     0.07%  iou-wrk-3005     [kernel.vmlinux]            [k] xas_load
     0.08%     0.00%  iou-wrk-3035     [kernel.vmlinux]            [k] copyout
     0.07%     0.07%  iou-wrk-3019     [kernel.vmlinux]            [k] xas_load
     0.07%     0.07%  iou-wrk-3007     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.07%     0.07%  iou-wrk-3014     [kernel.vmlinux]            [k] xas_load
     0.07%     0.07%  iou-wrk-3035     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.07%     0.07%  iou-wrk-3012     [kernel.vmlinux]            [k] xas_load
     0.07%     0.07%  iou-wrk-3042     [kernel.vmlinux]            [k] xas_load
     0.07%     0.07%  iou-wrk-3040     [kernel.vmlinux]            [k] xas_load
     0.07%     0.00%  iou-wrk-3029     [kernel.vmlinux]            [k] copy_page_to_iter
     0.07%     0.07%  iou-wrk-3027     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.07%     0.00%  iou-wrk-3027     [kernel.vmlinux]            [k] copyout
     0.07%     0.00%  iou-wrk-3008     [kernel.vmlinux]            [k] schedule_timeout
     0.07%     0.07%  iou-wrk-3026     [kernel.vmlinux]            [k] xas_load
     0.07%     0.01%  iou-wrk-3039     [kernel.vmlinux]            [k] __sched_text_start
     0.07%     0.00%  iou-wrk-3039     [kernel.vmlinux]            [k] schedule
     0.07%     0.00%  iou-wrk-3028     [kernel.vmlinux]            [k] copyout
     0.07%     0.01%  iou-wrk-3018     [kernel.vmlinux]            [k] __sched_text_start
     0.07%     0.07%  iou-wrk-3028     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.07%     0.00%  iou-wrk-3005     [kernel.vmlinux]            [k] copyout
     0.07%     0.00%  iou-wrk-3004     [kernel.vmlinux]            [k] copy_page_to_iter
     0.07%     0.07%  iou-wrk-3006     [kernel.vmlinux]            [k] xas_load
     0.07%     0.00%  iou-wrk-3020     [kernel.vmlinux]            [k] copy_page_to_iter
     0.07%     0.00%  iou-wrk-3008     [kernel.vmlinux]            [k] copyout
     0.07%     0.07%  iou-wrk-3005     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.07%     0.07%  iou-wrk-3008     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.07%     0.00%  iou-wrk-3018     [kernel.vmlinux]            [k] copyout
     0.07%     0.07%  iou-wrk-3018     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.07%     0.00%  iou-wrk-3027     [kernel.vmlinux]            [k] schedule
     0.07%     0.00%  iou-wrk-3026     [kernel.vmlinux]            [k] copyout
     0.07%     0.00%  iou-wrk-3039     [kernel.vmlinux]            [k] copyout
     0.07%     0.07%  iou-wrk-3025     [kernel.vmlinux]            [k] xas_load
     0.07%     0.07%  iou-wrk-3029     [kernel.vmlinux]            [k] xas_load
     0.07%     0.07%  iou-wrk-3039     [kernel.vmlinux]            [k] xas_load
     0.07%     0.07%  iou-wrk-3039     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.07%     0.07%  iou-wrk-3026     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.07%     0.00%  iou-wrk-3025     [kernel.vmlinux]            [k] copy_page_to_iter
     0.07%     0.07%  iou-wrk-3018     [kernel.vmlinux]            [k] xas_load
     0.07%     0.07%  iou-wrk-3039     [kernel.vmlinux]            [k] mem_cgroup_css_rstat_flush
     0.07%     0.01%  iou-wrk-3027     [kernel.vmlinux]            [k] __sched_text_start
     0.07%     0.00%  iou-wrk-3014     [kernel.vmlinux]            [k] copyout
     0.07%     0.00%  iou-wrk-3019     [kernel.vmlinux]            [k] copyout
     0.07%     0.07%  iou-wrk-3014     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.07%     0.07%  iou-wrk-3036     [kernel.vmlinux]            [k] xas_load
     0.07%     0.00%  iou-wrk-3024     [kernel.vmlinux]            [k] copyout
     0.07%     0.07%  iou-wrk-3019     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.07%     0.00%  iou-wrk-3017     [kernel.vmlinux]            [k] copy_page_to_iter
     0.07%     0.07%  iou-wrk-3024     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.07%     0.07%  iou-wrk-3027     [kernel.vmlinux]            [k] xas_load
     0.07%     0.00%  iou-wrk-3013     [kernel.vmlinux]            [k] schedule_timeout
     0.07%     0.00%  iou-wrk-3030     [kernel.vmlinux]            [k] schedule
     0.07%     0.07%  iou-wrk-3020     [kernel.vmlinux]            [k] xas_load
     0.07%     0.01%  iou-wrk-3030     [kernel.vmlinux]            [k] __sched_text_start
     0.07%     0.07%  iou-wrk-3029     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.07%     0.00%  iou-wrk-3029     [kernel.vmlinux]            [k] copyout
     0.07%     0.07%  iou-wrk-3004     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.07%     0.00%  iou-wrk-3004     [kernel.vmlinux]            [k] copyout
     0.07%     0.07%  iou-wrk-3017     [kernel.vmlinux]            [k] xas_load
     0.07%     0.00%  iou-wrk-3020     [kernel.vmlinux]            [k] copyout
     0.07%     0.00%  iou-wrk-3036     [kernel.vmlinux]            [k] copyout
     0.07%     0.07%  iou-wrk-3020     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.07%     0.07%  fio              [kernel.vmlinux]            [k] _find_next_bit
     0.07%     0.07%  iou-wrk-3036     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.07%     0.07%  iou-wrk-3011     [kernel.vmlinux]            [k] xas_load
     0.07%     0.00%  swapper          [kernel.vmlinux]            [k] find_busiest_group
     0.07%     0.00%  iou-wrk-3032     [kernel.vmlinux]            [k] schedule
     0.07%     0.01%  iou-wrk-3032     [kernel.vmlinux]            [k] __sched_text_start
     0.07%     0.00%  iou-wrk-3025     [kernel.vmlinux]            [k] schedule
     0.07%     0.00%  iou-wrk-3010     [kernel.vmlinux]            [k] schedule
     0.07%     0.01%  iou-wrk-3025     [kernel.vmlinux]            [k] __sched_text_start
     0.07%     0.00%  iou-wrk-3014     [kernel.vmlinux]            [k] schedule_timeout
     0.07%     0.04%  fio              [kernel.vmlinux]            [k] io_import_iovec
     0.07%     0.05%  swapper          [kernel.vmlinux]            [k] update_sd_lb_stats.constprop.0
     0.07%     0.01%  iou-wrk-3010     [kernel.vmlinux]            [k] __sched_text_start
     0.07%     0.07%  iou-wrk-3025     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.07%     0.00%  iou-wrk-3025     [kernel.vmlinux]            [k] copyout
     0.07%     0.00%  iou-wrk-3011     [kernel.vmlinux]            [k] schedule_timeout
     0.07%     0.00%  iou-wrk-3017     [kernel.vmlinux]            [k] copyout
     0.07%     0.00%  fio              [kernel.vmlinux]            [k] raw_spin_rq_lock_nested.constprop.0
     0.07%     0.07%  iou-wrk-3017     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.07%     0.00%  iou-wrk-3038     [kernel.vmlinux]            [k] __remove_mapping
     0.07%     0.00%  iou-wrk-3007     [kernel.vmlinux]            [k] mem_cgroup_flush_stats
     0.07%     0.00%  iou-wrk-3026     [kernel.vmlinux]            [k] schedule
     0.07%     0.00%  iou-wrk-3030     [kernel.vmlinux]            [k] __remove_mapping
     0.07%     0.00%  iou-wrk-3042     [kernel.vmlinux]            [k] schedule
     0.07%     0.06%  fio              [kernel.vmlinux]            [k] memcpy_erms
     0.06%     0.00%  iou-wrk-3019     [kernel.vmlinux]            [k] schedule_timeout
     0.06%     0.01%  iou-wrk-3007     [kernel.vmlinux]            [k] cgroup_rstat_flush_locked
     0.06%     0.00%  iou-wrk-3007     [kernel.vmlinux]            [k] cgroup_rstat_flush_irqsafe
     0.06%     0.00%  iou-wrk-3024     [kernel.vmlinux]            [k] schedule_timeout
     0.06%     0.01%  iou-wrk-3042     [kernel.vmlinux]            [k] __sched_text_start
     0.06%     0.00%  iou-wrk-3023     [kernel.vmlinux]            [k] __remove_mapping
     0.06%     0.00%  iou-wrk-3008     [kernel.vmlinux]            [k] schedule
     0.06%     0.00%  iou-wrk-3041     [kernel.vmlinux]            [k] schedule
     0.06%     0.00%  iou-wrk-3038     [kernel.vmlinux]            [k] schedule
     0.06%     0.01%  iou-wrk-3038     [kernel.vmlinux]            [k] __sched_text_start
     0.06%     0.01%  iou-wrk-3041     [kernel.vmlinux]            [k] __sched_text_start
     0.06%     0.00%  iou-wrk-3031     [kernel.vmlinux]            [k] __remove_mapping
     0.06%     0.01%  iou-wrk-3026     [kernel.vmlinux]            [k] __sched_text_start
     0.06%     0.00%  iou-wrk-3009     [kernel.vmlinux]            [k] mem_cgroup_flush_stats
     0.06%     0.00%  iou-wrk-3028     [kernel.vmlinux]            [k] __remove_mapping
     0.06%     0.00%  iou-wrk-3042     [kernel.vmlinux]            [k] mem_cgroup_flush_stats
     0.06%     0.00%  iou-wrk-3041     [kernel.vmlinux]            [k] mem_cgroup_flush_stats
     0.06%     0.00%  iou-wrk-3039     [kernel.vmlinux]            [k] __remove_mapping
     0.06%     0.00%  iou-wrk-3036     [kernel.vmlinux]            [k] mem_cgroup_flush_stats
     0.06%     0.00%  iou-wrk-3012     [kernel.vmlinux]            [k] mem_cgroup_flush_stats
     0.06%     0.00%  iou-wrk-3018     [kernel.vmlinux]            [k] mem_cgroup_flush_stats
     0.06%     0.01%  iou-wrk-3041     [kernel.vmlinux]            [k] cgroup_rstat_flush_locked
     0.06%     0.00%  iou-wrk-3041     [kernel.vmlinux]            [k] cgroup_rstat_flush_irqsafe
     0.06%     0.01%  iou-wrk-3009     [kernel.vmlinux]            [k] cgroup_rstat_flush_locked
     0.06%     0.00%  iou-wrk-3009     [kernel.vmlinux]            [k] cgroup_rstat_flush_irqsafe
     0.06%     0.00%  iou-wrk-3037     [kernel.vmlinux]            [k] schedule_timeout
     0.06%     0.01%  iou-wrk-3012     [kernel.vmlinux]            [k] cgroup_rstat_flush_locked
     0.06%     0.00%  iou-wrk-3012     [kernel.vmlinux]            [k] cgroup_rstat_flush_irqsafe
     0.06%     0.00%  iou-wrk-3036     [kernel.vmlinux]            [k] cgroup_rstat_flush_irqsafe
     0.06%     0.00%  iou-wrk-3042     [kernel.vmlinux]            [k] cgroup_rstat_flush_irqsafe
     0.06%     0.01%  iou-wrk-3008     [kernel.vmlinux]            [k] __sched_text_start
     0.06%     0.01%  iou-wrk-3042     [kernel.vmlinux]            [k] cgroup_rstat_flush_locked
     0.06%     0.01%  iou-wrk-3036     [kernel.vmlinux]            [k] cgroup_rstat_flush_locked
     0.06%     0.00%  iou-wrk-3033     [kernel.vmlinux]            [k] __remove_mapping
     0.06%     0.00%  iou-wrk-3026     [kernel.vmlinux]            [k] __remove_mapping
     0.06%     0.01%  iou-wrk-3018     [kernel.vmlinux]            [k] cgroup_rstat_flush_locked
     0.06%     0.00%  iou-wrk-3018     [kernel.vmlinux]            [k] cgroup_rstat_flush_irqsafe
     0.06%     0.00%  iou-wrk-3014     [kernel.vmlinux]            [k] __remove_mapping
     0.06%     0.00%  iou-wrk-3032     [kernel.vmlinux]            [k] __remove_mapping
     0.06%     0.00%  iou-wrk-3040     [kernel.vmlinux]            [k] __remove_mapping
     0.06%     0.00%  iou-wrk-3031     [kernel.vmlinux]            [k] mem_cgroup_flush_stats
     0.06%     0.00%  iou-wrk-3042     [kernel.vmlinux]            [k] __remove_mapping
     0.06%     0.00%  iou-wrk-3022     [kernel.vmlinux]            [k] mem_cgroup_flush_stats
     0.06%     0.00%  iou-wrk-3027     [kernel.vmlinux]            [k] __remove_mapping
     0.06%     0.00%  iou-wrk-3012     [kernel.vmlinux]            [k] __remove_mapping
     0.06%     0.00%  iou-wrk-3005     [kernel.vmlinux]            [k] mem_cgroup_flush_stats
     0.06%     0.00%  iou-wrk-3023     [kernel.vmlinux]            [k] mem_cgroup_flush_stats
     0.06%     0.00%  iou-wrk-3031     [kernel.vmlinux]            [k] cgroup_rstat_flush_irqsafe
     0.06%     0.01%  iou-wrk-3031     [kernel.vmlinux]            [k] cgroup_rstat_flush_locked
     0.06%     0.00%  iou-wrk-3015     [kernel.vmlinux]            [k] __remove_mapping
     0.06%     0.00%  iou-wrk-3016     [kernel.vmlinux]            [k] mem_cgroup_flush_stats
     0.06%     0.01%  iou-wrk-3022     [kernel.vmlinux]            [k] cgroup_rstat_flush_locked
     0.06%     0.00%  iou-wrk-3022     [kernel.vmlinux]            [k] cgroup_rstat_flush_irqsafe
     0.06%     0.00%  iou-wrk-3043     [kernel.vmlinux]            [k] __remove_mapping
     0.06%     0.00%  iou-wrk-3029     [kernel.vmlinux]            [k] mem_cgroup_flush_stats
     0.06%     0.00%  iou-wrk-3009     [kernel.vmlinux]            [k] __remove_mapping
     0.06%     0.00%  iou-wrk-3026     [kernel.vmlinux]            [k] mem_cgroup_flush_stats
     0.06%     0.00%  iou-wrk-3010     [kernel.vmlinux]            [k] __remove_mapping
     0.06%     0.01%  iou-wrk-3005     [kernel.vmlinux]            [k] cgroup_rstat_flush_locked
     0.06%     0.00%  iou-wrk-3005     [kernel.vmlinux]            [k] cgroup_rstat_flush_irqsafe
     0.06%     0.00%  iou-wrk-3016     [kernel.vmlinux]            [k] __remove_mapping
     0.06%     0.00%  iou-wrk-3034     [kernel.vmlinux]            [k] mem_cgroup_flush_stats
     0.06%     0.00%  iou-wrk-3036     [kernel.vmlinux]            [k] __remove_mapping
     0.06%     0.00%  iou-wrk-3006     [kernel.vmlinux]            [k] __remove_mapping
     0.06%     0.00%  iou-wrk-3034     [kernel.vmlinux]            [k] __remove_mapping
     0.06%     0.00%  iou-wrk-3023     [kernel.vmlinux]            [k] cgroup_rstat_flush_irqsafe
     0.06%     0.00%  iou-wrk-3020     [kernel.vmlinux]            [k] __remove_mapping
     0.06%     0.00%  iou-wrk-3040     [kernel.vmlinux]            [k] mem_cgroup_flush_stats
     0.06%     0.01%  iou-wrk-3034     [kernel.vmlinux]            [k] cgroup_rstat_flush_locked
     0.06%     0.00%  iou-wrk-3034     [kernel.vmlinux]            [k] cgroup_rstat_flush_irqsafe
     0.06%     0.01%  iou-wrk-3023     [kernel.vmlinux]            [k] cgroup_rstat_flush_locked
     0.06%     0.00%  iou-wrk-3038     [kernel.vmlinux]            [k] mem_cgroup_flush_stats
     0.06%     0.00%  iou-wrk-3013     [kernel.vmlinux]            [k] __remove_mapping
     0.06%     0.00%  iou-wrk-3029     [kernel.vmlinux]            [k] cgroup_rstat_flush_irqsafe
     0.06%     0.01%  iou-wrk-3016     [kernel.vmlinux]            [k] cgroup_rstat_flush_locked
     0.06%     0.00%  iou-wrk-3016     [kernel.vmlinux]            [k] cgroup_rstat_flush_irqsafe
     0.06%     0.00%  iou-wrk-3032     [kernel.vmlinux]            [k] mem_cgroup_flush_stats
     0.06%     0.00%  iou-wrk-3035     [kernel.vmlinux]            [k] mem_cgroup_flush_stats
     0.06%     0.00%  iou-wrk-3014     [kernel.vmlinux]            [k] mem_cgroup_flush_stats
     0.06%     0.01%  iou-wrk-3029     [kernel.vmlinux]            [k] cgroup_rstat_flush_locked
     0.06%     0.00%  iou-wrk-3037     [kernel.vmlinux]            [k] __remove_mapping
     0.06%     0.00%  iou-wrk-3033     [kernel.vmlinux]            [k] mem_cgroup_flush_stats
     0.06%     0.01%  iou-wrk-3013     [kernel.vmlinux]            [k] __sched_text_start
     0.06%     0.01%  iou-wrk-3038     [kernel.vmlinux]            [k] cgroup_rstat_flush_locked
     0.06%     0.00%  iou-wrk-3038     [kernel.vmlinux]            [k] cgroup_rstat_flush_irqsafe
     0.06%     0.01%  iou-wrk-3040     [kernel.vmlinux]            [k] cgroup_rstat_flush_locked
     0.06%     0.00%  iou-wrk-3040     [kernel.vmlinux]            [k] cgroup_rstat_flush_irqsafe
     0.06%     0.00%  iou-wrk-3029     [kernel.vmlinux]            [k] __remove_mapping
     0.06%     0.00%  iou-wrk-3008     [kernel.vmlinux]            [k] mem_cgroup_flush_stats
     0.06%     0.01%  iou-wrk-3026     [kernel.vmlinux]            [k] cgroup_rstat_flush_locked
     0.06%     0.00%  iou-wrk-3026     [kernel.vmlinux]            [k] cgroup_rstat_flush_irqsafe
     0.06%     0.06%  fio              [kernel.vmlinux]            [k] update_cfs_group
     0.06%     0.00%  iou-wrk-3013     [kernel.vmlinux]            [k] mem_cgroup_flush_stats
     0.06%     0.01%  iou-wrk-3035     [kernel.vmlinux]            [k] cgroup_rstat_flush_locked
     0.06%     0.00%  iou-wrk-3035     [kernel.vmlinux]            [k] cgroup_rstat_flush_irqsafe
     0.06%     0.01%  iou-wrk-3014     [kernel.vmlinux]            [k] cgroup_rstat_flush_locked
     0.06%     0.00%  iou-wrk-3014     [kernel.vmlinux]            [k] cgroup_rstat_flush_irqsafe
     0.06%     0.00%  iou-wrk-3028     [kernel.vmlinux]            [k] mem_cgroup_flush_stats
     0.06%     0.00%  iou-wrk-3015     [kernel.vmlinux]            [k] mem_cgroup_flush_stats
     0.06%     0.00%  iou-wrk-3021     [kernel.vmlinux]            [k] mem_cgroup_flush_stats
     0.06%     0.00%  iou-wrk-3021     [kernel.vmlinux]            [k] __remove_mapping
     0.06%     0.00%  iou-wrk-3032     [kernel.vmlinux]            [k] cgroup_rstat_flush_irqsafe
     0.06%     0.00%  iou-wrk-3013     [kernel.vmlinux]            [k] schedule
     0.06%     0.00%  iou-wrk-3024     [kernel.vmlinux]            [k] __remove_mapping
     0.06%     0.00%  iou-wrk-3004     [kernel.vmlinux]            [k] mem_cgroup_flush_stats
     0.06%     0.00%  iou-wrk-3030     [kernel.vmlinux]            [k] mem_cgroup_flush_stats
     0.06%     0.01%  iou-wrk-3032     [kernel.vmlinux]            [k] cgroup_rstat_flush_locked
     0.06%     0.01%  iou-wrk-3033     [kernel.vmlinux]            [k] cgroup_rstat_flush_locked
     0.06%     0.00%  iou-wrk-3033     [kernel.vmlinux]            [k] cgroup_rstat_flush_irqsafe
     0.06%     0.01%  iou-wrk-3028     [kernel.vmlinux]            [k] cgroup_rstat_flush_locked
     0.06%     0.00%  iou-wrk-3028     [kernel.vmlinux]            [k] cgroup_rstat_flush_irqsafe
     0.06%     0.00%  iou-wrk-3005     [kernel.vmlinux]            [k] __remove_mapping
     0.06%     0.00%  iou-wrk-3008     [kernel.vmlinux]            [k] cgroup_rstat_flush_irqsafe
     0.06%     0.01%  iou-wrk-3013     [kernel.vmlinux]            [k] cgroup_rstat_flush_locked
     0.06%     0.00%  iou-wrk-3013     [kernel.vmlinux]            [k] cgroup_rstat_flush_irqsafe
     0.06%     0.00%  iou-wrk-3018     [kernel.vmlinux]            [k] __remove_mapping
     0.06%     0.01%  iou-wrk-3011     [kernel.vmlinux]            [k] __sched_text_start
     0.06%     0.01%  iou-wrk-3008     [kernel.vmlinux]            [k] cgroup_rstat_flush_locked
     0.06%     0.00%  iou-wrk-3012     [kernel.vmlinux]            [k] schedule_timeout
     0.06%     0.01%  iou-wrk-3015     [kernel.vmlinux]            [k] cgroup_rstat_flush_locked
     0.06%     0.00%  iou-wrk-3015     [kernel.vmlinux]            [k] cgroup_rstat_flush_irqsafe
     0.06%     0.00%  iou-wrk-3043     [kernel.vmlinux]            [k] mem_cgroup_flush_stats
     0.06%     0.00%  iou-wrk-3021     [kernel.vmlinux]            [k] cgroup_rstat_flush_irqsafe
     0.06%     0.00%  iou-wrk-3025     [kernel.vmlinux]            [k] __remove_mapping
     0.06%     0.01%  iou-wrk-3021     [kernel.vmlinux]            [k] cgroup_rstat_flush_locked
     0.06%     0.01%  iou-wrk-3004     [kernel.vmlinux]            [k] cgroup_rstat_flush_locked
     0.06%     0.00%  iou-wrk-3004     [kernel.vmlinux]            [k] cgroup_rstat_flush_irqsafe
     0.06%     0.00%  iou-wrk-3017     [kernel.vmlinux]            [k] __remove_mapping
     0.06%     0.00%  iou-wrk-3030     [kernel.vmlinux]            [k] cgroup_rstat_flush_irqsafe
     0.06%     0.01%  iou-wrk-3030     [kernel.vmlinux]            [k] cgroup_rstat_flush_locked
     0.06%     0.00%  iou-wrk-3011     [kernel.vmlinux]            [k] schedule
     0.06%     0.00%  iou-wrk-3037     [kernel.vmlinux]            [k] mem_cgroup_flush_stats
     0.06%     0.00%  iou-wrk-3043     [kernel.vmlinux]            [k] cgroup_rstat_flush_irqsafe
     0.06%     0.00%  iou-wrk-3010     [kernel.vmlinux]            [k] mem_cgroup_flush_stats
     0.06%     0.01%  iou-wrk-3043     [kernel.vmlinux]            [k] cgroup_rstat_flush_locked
     0.06%     0.05%  fio              [kernel.vmlinux]            [k] iterate_groups.isra.0
     0.06%     0.00%  iou-wrk-3022     [kernel.vmlinux]            [k] schedule_timeout
     0.06%     0.00%  iou-wrk-3011     [kernel.vmlinux]            [k] mem_cgroup_flush_stats
     0.06%     0.00%  iou-wrk-3019     [kernel.vmlinux]            [k] __remove_mapping
     0.06%     0.00%  iou-wrk-3035     [kernel.vmlinux]            [k] __remove_mapping
     0.06%     0.00%  iou-wrk-3017     [kernel.vmlinux]            [k] mem_cgroup_flush_stats
     0.06%     0.00%  iou-wrk-3037     [kernel.vmlinux]            [k] cgroup_rstat_flush_irqsafe
     0.06%     0.00%  iou-wrk-3041     [kernel.vmlinux]            [k] __remove_mapping
     0.06%     0.00%  iou-wrk-3010     [kernel.vmlinux]            [k] cgroup_rstat_flush_irqsafe
     0.06%     0.00%  iou-wrk-3007     [kernel.vmlinux]            [k] __remove_mapping
     0.06%     0.01%  iou-wrk-3037     [kernel.vmlinux]            [k] cgroup_rstat_flush_locked
     0.06%     0.01%  iou-wrk-3010     [kernel.vmlinux]            [k] cgroup_rstat_flush_locked
     0.06%     0.01%  iou-wrk-3011     [kernel.vmlinux]            [k] cgroup_rstat_flush_locked
     0.06%     0.00%  iou-wrk-3011     [kernel.vmlinux]            [k] cgroup_rstat_flush_irqsafe
     0.06%     0.00%  iou-wrk-3014     [kernel.vmlinux]            [k] schedule
     0.06%     0.01%  iou-wrk-3017     [kernel.vmlinux]            [k] cgroup_rstat_flush_locked
     0.06%     0.00%  iou-wrk-3017     [kernel.vmlinux]            [k] cgroup_rstat_flush_irqsafe
     0.06%     0.00%  iou-wrk-3004     [kernel.vmlinux]            [k] __remove_mapping
     0.06%     0.03%  fio              [kernel.vmlinux]            [k] update_rq_clock
     0.06%     0.01%  iou-wrk-3014     [kernel.vmlinux]            [k] __sched_text_start
     0.06%     0.00%  iou-wrk-3025     [kernel.vmlinux]            [k] mem_cgroup_flush_stats
     0.06%     0.00%  iou-wrk-3022     [kernel.vmlinux]            [k] __remove_mapping
     0.06%     0.00%  iou-wrk-3027     [kernel.vmlinux]            [k] mem_cgroup_flush_stats
     0.06%     0.00%  iou-wrk-3006     [kernel.vmlinux]            [k] mem_cgroup_flush_stats
     0.06%     0.00%  iou-wrk-3019     [kernel.vmlinux]            [k] mem_cgroup_flush_stats
     0.06%     0.00%  iou-wrk-3008     [kernel.vmlinux]            [k] __remove_mapping
     0.06%     0.00%  iou-wrk-3020     [kernel.vmlinux]            [k] mem_cgroup_flush_stats
     0.06%     0.00%  iou-wrk-3011     [kernel.vmlinux]            [k] __remove_mapping
     0.06%     0.00%  iou-wrk-3020     [kernel.vmlinux]            [k] cgroup_rstat_flush_irqsafe
     0.06%     0.01%  iou-wrk-3025     [kernel.vmlinux]            [k] cgroup_rstat_flush_locked
     0.06%     0.00%  iou-wrk-3025     [kernel.vmlinux]            [k] cgroup_rstat_flush_irqsafe
     0.06%     0.01%  iou-wrk-3020     [kernel.vmlinux]            [k] cgroup_rstat_flush_locked
     0.06%     0.01%  iou-wrk-3024     [kernel.vmlinux]            [k] __sched_text_start
     0.06%     0.01%  iou-wrk-3019     [kernel.vmlinux]            [k] cgroup_rstat_flush_locked
     0.06%     0.00%  iou-wrk-3019     [kernel.vmlinux]            [k] cgroup_rstat_flush_irqsafe
     0.06%     0.00%  iou-wrk-3006     [kernel.vmlinux]            [k] cgroup_rstat_flush_irqsafe
     0.06%     0.01%  iou-wrk-3027     [kernel.vmlinux]            [k] cgroup_rstat_flush_locked
     0.06%     0.00%  iou-wrk-3027     [kernel.vmlinux]            [k] cgroup_rstat_flush_irqsafe
     0.06%     0.01%  iou-wrk-3006     [kernel.vmlinux]            [k] cgroup_rstat_flush_locked
     0.06%     0.00%  iou-wrk-3040     [kernel.vmlinux]            [k] schedule_timeout
     0.06%     0.00%  iou-wrk-3019     [kernel.vmlinux]            [k] schedule
     0.06%     0.00%  iou-wrk-3024     [kernel.vmlinux]            [k] schedule
     0.06%     0.01%  iou-wrk-3019     [kernel.vmlinux]            [k] __sched_text_start
     0.05%     0.01%  iou-wrk-3037     [kernel.vmlinux]            [k] __sched_text_start
     0.05%     0.00%  kswapd0          [kernel.vmlinux]            [k] free_pcppages_bulk
     0.05%     0.00%  iou-wrk-3037     [kernel.vmlinux]            [k] schedule
     0.05%     0.03%  fio              [kernel.vmlinux]            [k] cpumask_next_wrap
     0.05%     0.05%  iou-wrk-3012     [kernel.vmlinux]            [k] mem_cgroup_css_rstat_flush
     0.05%     0.05%  iou-wrk-3018     [kernel.vmlinux]            [k] mem_cgroup_css_rstat_flush
     0.05%     0.05%  iou-wrk-3007     [kernel.vmlinux]            [k] mem_cgroup_css_rstat_flush
     0.05%     0.05%  iou-wrk-3041     [kernel.vmlinux]            [k] mem_cgroup_css_rstat_flush
     0.05%     0.01%  fio              [kernel.vmlinux]            [k] cpumask_next
     0.05%     0.05%  iou-wrk-3009     [kernel.vmlinux]            [k] mem_cgroup_css_rstat_flush
     0.05%     0.05%  iou-wrk-3036     [kernel.vmlinux]            [k] mem_cgroup_css_rstat_flush
     0.05%     0.05%  iou-wrk-3023     [kernel.vmlinux]            [k] mem_cgroup_css_rstat_flush
     0.05%     0.00%  iou-wrk-3012     [kernel.vmlinux]            [k] __sched_text_start
     0.05%     0.00%  iou-wrk-3038     [kernel.vmlinux]            [k] __delete_from_page_cache
     0.05%     0.01%  iou-wrk-3022     [kernel.vmlinux]            [k] __sched_text_start
     0.05%     0.00%  iou-wrk-3012     [kernel.vmlinux]            [k] schedule
     0.05%     0.05%  iou-wrk-3005     [kernel.vmlinux]            [k] mem_cgroup_css_rstat_flush
     0.05%     0.05%  iou-wrk-3022     [kernel.vmlinux]            [k] mem_cgroup_css_rstat_flush
     0.05%     0.00%  iou-wrk-3028     [kernel.vmlinux]            [k] schedule_timeout
     0.05%     0.05%  iou-wrk-3031     [kernel.vmlinux]            [k] mem_cgroup_css_rstat_flush
     0.05%     0.00%  iou-wrk-3022     [kernel.vmlinux]            [k] schedule
     0.05%     0.00%  iou-wrk-3030     [kernel.vmlinux]            [k] __delete_from_page_cache
