# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11K of event 'cycles'
# Event count (approx.): 2398592790048
#
# Children      Self  Command          Shared Object     Symbol                                         
# ........  ........  ...............  ................  ...............................................
#
     1.52%     0.00%  iou-wrk-3067     [kernel.vmlinux]  [k] ret_from_fork
     1.51%     0.02%  iou-wrk-3061     [kernel.vmlinux]  [k] io_wqe_worker
     1.51%     0.00%  iou-wrk-3061     [kernel.vmlinux]  [k] ret_from_fork
     1.49%     0.01%  iou-wrk-3052     [kernel.vmlinux]  [k] io_wqe_worker
     1.49%     0.00%  iou-wrk-3052     [kernel.vmlinux]  [k] ret_from_fork
     1.48%     0.01%  iou-wrk-3071     [kernel.vmlinux]  [k] io_wqe_worker
     1.48%     0.00%  iou-wrk-3071     [kernel.vmlinux]  [k] ret_from_fork
     1.47%     0.01%  iou-wrk-3066     [kernel.vmlinux]  [k] io_wqe_worker
     1.47%     0.00%  iou-wrk-3066     [kernel.vmlinux]  [k] ret_from_fork
     1.47%     0.00%  iou-wrk-3053     [kernel.vmlinux]  [k] io_wqe_worker
     1.47%     0.00%  iou-wrk-3053     [kernel.vmlinux]  [k] ret_from_fork
     1.45%     0.04%  fio              [kernel.vmlinux]  [k] raw_spin_rq_lock_nested.constprop.0
     1.45%     0.02%  iou-wrk-3072     [kernel.vmlinux]  [k] io_worker_handle_work
     1.41%     0.00%  iou-wrk-3050     [kernel.vmlinux]  [k] io_wqe_worker
     1.41%     0.00%  iou-wrk-3050     [kernel.vmlinux]  [k] ret_from_fork
     1.40%     0.01%  iou-wrk-3079     [kernel.vmlinux]  [k] io_wqe_worker
     1.40%     0.00%  iou-wrk-3079     [kernel.vmlinux]  [k] ret_from_fork
     1.40%     0.01%  iou-wrk-3075     [kernel.vmlinux]  [k] io_wqe_worker
     1.40%     0.00%  iou-wrk-3075     [kernel.vmlinux]  [k] ret_from_fork
     1.39%     0.02%  iou-wrk-3083     [kernel.vmlinux]  [k] io_wqe_worker
     1.39%     0.00%  iou-wrk-3083     [kernel.vmlinux]  [k] ret_from_fork
     1.39%     0.04%  iou-wrk-3082     [kernel.vmlinux]  [k] io_wqe_worker
     1.39%     0.00%  iou-wrk-3082     [kernel.vmlinux]  [k] ret_from_fork
     1.37%     0.01%  iou-wrk-3048     [kernel.vmlinux]  [k] io_wqe_worker
     1.37%     0.00%  iou-wrk-3048     [kernel.vmlinux]  [k] ret_from_fork
     1.35%     0.01%  iou-wrk-3084     [kernel.vmlinux]  [k] io_worker_handle_work
     1.35%     0.02%  iou-wrk-3073     [kernel.vmlinux]  [k] io_worker_handle_work
     1.35%     0.01%  iou-wrk-3062     [kernel.vmlinux]  [k] io_wqe_worker
     1.35%     0.00%  iou-wrk-3062     [kernel.vmlinux]  [k] ret_from_fork
     1.34%     0.00%  iou-wrk-3057     [kernel.vmlinux]  [k] io_wqe_worker
     1.34%     0.00%  iou-wrk-3057     [kernel.vmlinux]  [k] ret_from_fork
     1.33%     0.02%  iou-wrk-3055     [kernel.vmlinux]  [k] io_wqe_worker
     1.33%     0.00%  iou-wrk-3055     [kernel.vmlinux]  [k] ret_from_fork
     1.28%     0.01%  iou-wrk-3054     [kernel.vmlinux]  [k] io_wqe_worker
     1.28%     0.00%  iou-wrk-3054     [kernel.vmlinux]  [k] ret_from_fork
     1.28%     0.00%  iou-wrk-3063     [kernel.vmlinux]  [k] io_wqe_worker
     1.28%     0.00%  iou-wrk-3063     [kernel.vmlinux]  [k] ret_from_fork
     1.26%     0.01%  iou-wrk-3087     [kernel.vmlinux]  [k] io_worker_handle_work
     1.24%     0.00%  iou-wrk-3073     [kernel.vmlinux]  [k] io_issue_sqe
     1.24%     0.00%  iou-wrk-3073     [kernel.vmlinux]  [k] io_read
     1.24%     0.00%  iou-wrk-3073     [kernel.vmlinux]  [k] io_wq_submit_work
     1.20%     0.00%  iou-wrk-3058     [kernel.vmlinux]  [k] io_wqe_worker
     1.20%     0.00%  iou-wrk-3058     [kernel.vmlinux]  [k] ret_from_fork
     1.19%     0.02%  iou-wrk-3068     [kernel.vmlinux]  [k] io_worker_handle_work
     1.19%     0.02%  iou-wrk-3084     [kernel.vmlinux]  [k] io_wq_submit_work
     1.19%     0.02%  iou-wrk-3070     [kernel.vmlinux]  [k] io_worker_handle_work
     1.18%     0.02%  iou-wrk-3065     [kernel.vmlinux]  [k] io_worker_handle_work
     1.17%     0.03%  iou-wrk-3073     [kernel.vmlinux]  [k] filemap_read
     1.17%     0.00%  iou-wrk-3084     [kernel.vmlinux]  [k] io_issue_sqe
     1.17%     0.00%  iou-wrk-3084     [kernel.vmlinux]  [k] io_read
     1.17%     0.01%  iou-wrk-3069     [kernel.vmlinux]  [k] io_worker_handle_work
     1.17%     0.01%  iou-wrk-3087     [kernel.vmlinux]  [k] io_read
     1.17%     0.00%  iou-wrk-3087     [kernel.vmlinux]  [k] io_issue_sqe
     1.17%     0.00%  iou-wrk-3087     [kernel.vmlinux]  [k] io_wq_submit_work
     1.15%     0.02%  iou-wrk-3085     [kernel.vmlinux]  [k] io_worker_handle_work
     1.14%     0.49%  fio              [kernel.vmlinux]  [k] update_curr
     1.14%     0.03%  iou-wrk-3064     [kernel.vmlinux]  [k] io_worker_handle_work
     1.13%     0.03%  iou-wrk-3084     [kernel.vmlinux]  [k] filemap_read
     1.12%     0.02%  iou-wrk-3076     [kernel.vmlinux]  [k] io_worker_handle_work
     1.11%     0.02%  iou-wrk-3074     [kernel.vmlinux]  [k] io_worker_handle_work
     1.11%     0.01%  iou-wrk-3072     [kernel.vmlinux]  [k] io_wq_submit_work
     1.11%     0.01%  iou-wrk-3070     [kernel.vmlinux]  [k] io_issue_sqe
     1.11%     0.00%  iou-wrk-3070     [kernel.vmlinux]  [k] io_wq_submit_work
     1.11%     0.02%  iou-wrk-3049     [kernel.vmlinux]  [k] io_worker_handle_work
     1.10%     0.23%  iou-wrk-3072     [kernel.vmlinux]  [k] io_issue_sqe
     1.10%     0.00%  iou-wrk-3070     [kernel.vmlinux]  [k] io_read
     1.09%     0.02%  iou-wrk-3056     [kernel.vmlinux]  [k] io_worker_handle_work
     1.09%     0.00%  iou-wrk-3061     [kernel.vmlinux]  [k] io_worker_handle_work
     1.09%     0.00%  iou-wrk-3077     [kernel.vmlinux]  [k] io_worker_handle_work
     1.07%     0.01%  iou-wrk-3067     [kernel.vmlinux]  [k] io_worker_handle_work
     1.06%     0.02%  iou-wrk-3071     [kernel.vmlinux]  [k] io_worker_handle_work
     1.05%     1.05%  fio              [kernel.vmlinux]  [k] native_queued_spin_lock_slowpath
     1.05%     0.01%  iou-wrk-3074     [kernel.vmlinux]  [k] io_issue_sqe
     1.05%     0.00%  iou-wrk-3074     [kernel.vmlinux]  [k] io_wq_submit_work
     1.05%     0.01%  iou-wrk-3065     [kernel.vmlinux]  [k] io_wq_submit_work
     1.04%     0.01%  iou-wrk-3085     [kernel.vmlinux]  [k] io_issue_sqe
     1.04%     0.00%  iou-wrk-3085     [kernel.vmlinux]  [k] io_wq_submit_work
     1.04%     0.00%  iou-wrk-3065     [kernel.vmlinux]  [k] io_issue_sqe
     1.04%     0.00%  iou-wrk-3065     [kernel.vmlinux]  [k] io_read
     1.04%     0.00%  iou-wrk-3074     [kernel.vmlinux]  [k] io_read
     1.04%     0.01%  iou-wrk-3061     [kernel.vmlinux]  [k] io_wq_submit_work
     1.04%     0.01%  iou-wrk-3068     [kernel.vmlinux]  [k] io_read
     1.04%     0.00%  iou-wrk-3068     [kernel.vmlinux]  [k] io_issue_sqe
     1.04%     0.00%  iou-wrk-3068     [kernel.vmlinux]  [k] io_wq_submit_work
     1.04%     0.01%  iou-wrk-3085     [kernel.vmlinux]  [k] io_read
     1.03%     0.26%  iou-wrk-3069     [kernel.vmlinux]  [k] io_issue_sqe
     1.03%     0.00%  iou-wrk-3069     [kernel.vmlinux]  [k] io_wq_submit_work
