# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 43K of event 'cycles'
# Event count (approx.): 8853140402121
#
# Children      Self  Command          Shared Object       Symbol                                 
# ........  ........  ...............  ..................  .......................................
#
     1.83%     0.01%  iou-wrk-3184     [kernel.vmlinux]    [k] io_wqe_worker
     1.83%     0.00%  iou-wrk-3184     [kernel.vmlinux]    [k] ret_from_fork
     1.82%     0.01%  iou-wrk-3183     [kernel.vmlinux]    [k] io_wqe_worker
     1.82%     0.00%  iou-wrk-3183     [kernel.vmlinux]    [k] ret_from_fork
     1.82%     0.01%  iou-wrk-3163     [kernel.vmlinux]    [k] io_wqe_worker
     1.82%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] ret_from_fork
     1.81%     0.01%  iou-wrk-3162     [kernel.vmlinux]    [k] io_wqe_worker
     1.81%     0.00%  iou-wrk-3162     [kernel.vmlinux]    [k] ret_from_fork
     1.81%     0.00%  iou-wrk-3200     [kernel.vmlinux]    [k] io_wqe_worker
     1.81%     0.00%  iou-wrk-3200     [kernel.vmlinux]    [k] ret_from_fork
     1.81%     0.01%  iou-wrk-3199     [kernel.vmlinux]    [k] io_wqe_worker
     1.81%     0.00%  iou-wrk-3199     [kernel.vmlinux]    [k] ret_from_fork
     1.79%     0.01%  iou-wrk-3176     [kernel.vmlinux]    [k] io_wqe_worker
     1.79%     0.00%  iou-wrk-3176     [kernel.vmlinux]    [k] ret_from_fork
     1.78%     1.78%  fio              [kernel.vmlinux]    [k] psi_group_change
     1.78%     0.01%  iou-wrk-3194     [kernel.vmlinux]    [k] io_wqe_worker
     1.78%     0.00%  iou-wrk-3194     [kernel.vmlinux]    [k] ret_from_fork
     1.77%     0.02%  iou-wrk-3177     [kernel.vmlinux]    [k] io_wqe_worker
     1.77%     0.00%  iou-wrk-3177     [kernel.vmlinux]    [k] ret_from_fork
     1.73%     0.44%  fio              [kernel.vmlinux]    [k] enqueue_entity
     1.71%     0.01%  iou-wrk-3168     [kernel.vmlinux]    [k] io_wqe_worker
     1.71%     0.00%  iou-wrk-3168     [kernel.vmlinux]    [k] ret_from_fork
     1.69%     0.01%  iou-wrk-3175     [kernel.vmlinux]    [k] io_wqe_worker
     1.69%     0.00%  iou-wrk-3175     [kernel.vmlinux]    [k] ret_from_fork
     1.69%     0.01%  iou-wrk-3196     [kernel.vmlinux]    [k] io_wqe_worker
     1.69%     0.00%  iou-wrk-3196     [kernel.vmlinux]    [k] ret_from_fork
     1.68%     0.00%  iou-wrk-3170     [kernel.vmlinux]    [k] io_wqe_worker
     1.68%     0.00%  iou-wrk-3170     [kernel.vmlinux]    [k] ret_from_fork
     1.68%     0.09%  iou-wrk-3178     [kernel.vmlinux]    [k] io_worker_handle_work
     1.67%     0.01%  iou-wrk-3189     [kernel.vmlinux]    [k] io_wqe_worker
     1.67%     0.00%  iou-wrk-3189     [kernel.vmlinux]    [k] ret_from_fork
     1.67%     0.01%  iou-wrk-3180     [kernel.vmlinux]    [k] io_wqe_worker
     1.67%     0.00%  iou-wrk-3180     [kernel.vmlinux]    [k] ret_from_fork
     1.65%     0.01%  iou-wrk-3174     [kernel.vmlinux]    [k] io_wqe_worker
     1.65%     0.00%  iou-wrk-3174     [kernel.vmlinux]    [k] ret_from_fork
     1.64%     0.01%  iou-wrk-3191     [kernel.vmlinux]    [k] io_worker_handle_work
     1.63%     0.21%  fio              [kernel.vmlinux]    [k] pick_next_task_fair
     1.59%     0.02%  iou-wrk-3169     [kernel.vmlinux]    [k] io_worker_handle_work
     1.57%     0.01%  iou-wrk-3187     [kernel.vmlinux]    [k] io_worker_handle_work
     1.57%     0.02%  iou-wrk-3198     [kernel.vmlinux]    [k] io_worker_handle_work
     1.56%     0.01%  iou-wrk-3181     [kernel.vmlinux]    [k] io_worker_handle_work
     1.56%     0.00%  iou-wrk-3191     [kernel.vmlinux]    [k] io_wq_submit_work
     1.56%     0.01%  iou-wrk-3191     [kernel.vmlinux]    [k] io_issue_sqe
     1.55%     0.02%  iou-wrk-3192     [kernel.vmlinux]    [k] io_worker_handle_work
     1.55%     0.00%  iou-wrk-3191     [kernel.vmlinux]    [k] io_read
     1.54%     0.01%  iou-wrk-3190     [kernel.vmlinux]    [k] io_worker_handle_work
     1.54%     0.02%  iou-wrk-3185     [kernel.vmlinux]    [k] io_worker_handle_work
     1.53%     0.76%  fio              [kernel.vmlinux]    [k] update_load_avg
     1.52%     0.02%  iou-wrk-3166     [kernel.vmlinux]    [k] io_worker_handle_work
