# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 32981024708691
#
# Children      Self  Command          Shared Object       Symbol                                               
# ........  ........  ...............  ..................  .....................................................
#
     1.61%     0.01%  iou-wrk-3148     [kernel.vmlinux]    [k] io_wqe_worker
     1.61%     0.00%  iou-wrk-3148     [kernel.vmlinux]    [k] ret_from_fork
     1.60%     0.01%  iou-wrk-3177     [kernel.vmlinux]    [k] io_wqe_worker
     1.60%     0.00%  iou-wrk-3177     [kernel.vmlinux]    [k] ret_from_fork
     1.60%     0.01%  iou-wrk-3161     [kernel.vmlinux]    [k] io_wqe_worker
     1.60%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] ret_from_fork
     1.58%     0.01%  iou-wrk-3145     [kernel.vmlinux]    [k] io_wqe_worker
     1.58%     0.00%  iou-wrk-3145     [kernel.vmlinux]    [k] ret_from_fork
     1.57%     0.01%  iou-wrk-3140     [kernel.vmlinux]    [k] io_wqe_worker
     1.57%     0.00%  iou-wrk-3140     [kernel.vmlinux]    [k] ret_from_fork
     1.56%     0.01%  iou-wrk-3142     [kernel.vmlinux]    [k] io_wqe_worker
     1.56%     0.00%  iou-wrk-3142     [kernel.vmlinux]    [k] ret_from_fork
     1.56%     0.01%  iou-wrk-3156     [kernel.vmlinux]    [k] io_wqe_worker
     1.56%     0.00%  iou-wrk-3156     [kernel.vmlinux]    [k] ret_from_fork
     1.56%     0.01%  iou-wrk-3158     [kernel.vmlinux]    [k] io_wqe_worker
     1.56%     0.00%  iou-wrk-3158     [kernel.vmlinux]    [k] ret_from_fork
     1.55%     0.01%  iou-wrk-3166     [kernel.vmlinux]    [k] io_wqe_worker
     1.55%     0.00%  iou-wrk-3166     [kernel.vmlinux]    [k] ret_from_fork
     1.54%     0.02%  iou-wrk-3143     [kernel.vmlinux]    [k] io_wqe_worker
     1.54%     0.00%  iou-wrk-3143     [kernel.vmlinux]    [k] ret_from_fork
     1.53%     0.01%  iou-wrk-3176     [kernel.vmlinux]    [k] io_wqe_worker
     1.53%     0.00%  iou-wrk-3176     [kernel.vmlinux]    [k] ret_from_fork
     1.53%     0.02%  iou-wrk-3155     [kernel.vmlinux]    [k] io_wqe_worker
     1.53%     0.00%  iou-wrk-3155     [kernel.vmlinux]    [k] ret_from_fork
     1.53%     0.01%  iou-wrk-3150     [kernel.vmlinux]    [k] io_wqe_worker
     1.53%     0.00%  iou-wrk-3150     [kernel.vmlinux]    [k] ret_from_fork
     1.52%     0.01%  iou-wrk-3165     [kernel.vmlinux]    [k] io_wqe_worker
     1.52%     0.00%  iou-wrk-3165     [kernel.vmlinux]    [k] ret_from_fork
     1.51%     0.01%  iou-wrk-3153     [kernel.vmlinux]    [k] io_wqe_worker
     1.51%     0.00%  iou-wrk-3153     [kernel.vmlinux]    [k] ret_from_fork
     1.49%     0.01%  iou-wrk-3167     [kernel.vmlinux]    [k] io_wqe_worker
     1.49%     0.00%  iou-wrk-3167     [kernel.vmlinux]    [k] ret_from_fork
     1.48%     0.01%  iou-wrk-3174     [kernel.vmlinux]    [k] io_wqe_worker
     1.48%     0.00%  iou-wrk-3174     [kernel.vmlinux]    [k] ret_from_fork
     1.48%     0.01%  iou-wrk-3169     [kernel.vmlinux]    [k] io_wqe_worker
     1.48%     0.00%  iou-wrk-3169     [kernel.vmlinux]    [k] ret_from_fork
     1.45%     0.01%  iou-wrk-3154     [kernel.vmlinux]    [k] io_wqe_worker
     1.45%     0.00%  iou-wrk-3154     [kernel.vmlinux]    [k] ret_from_fork
     1.31%     1.30%  fio              [kernel.vmlinux]    [k] native_queued_spin_lock_slowpath
     1.27%     1.25%  fio              [kernel.vmlinux]    [k] available_idle_cpu
     1.19%     0.50%  fio              [kernel.vmlinux]    [k] update_curr
     1.15%     0.03%  iou-wrk-3175     [kernel.vmlinux]    [k] io_worker_handle_work
     1.14%     0.03%  iou-wrk-3138     [kernel.vmlinux]    [k] io_worker_handle_work
     1.14%     0.02%  iou-wrk-3162     [kernel.vmlinux]    [k] io_worker_handle_work
     1.14%     0.03%  iou-wrk-3144     [kernel.vmlinux]    [k] io_worker_handle_work
     1.13%     0.03%  iou-wrk-3146     [kernel.vmlinux]    [k] io_worker_handle_work
     1.12%     0.03%  iou-wrk-3151     [kernel.vmlinux]    [k] io_worker_handle_work
     1.12%     0.03%  iou-wrk-3173     [kernel.vmlinux]    [k] io_worker_handle_work
     1.11%     0.02%  iou-wrk-3147     [kernel.vmlinux]    [k] io_worker_handle_work
     1.11%     0.02%  iou-wrk-3141     [kernel.vmlinux]    [k] io_worker_handle_work
     1.09%     0.02%  iou-wrk-3139     [kernel.vmlinux]    [k] io_worker_handle_work
     1.09%     0.02%  iou-wrk-3171     [kernel.vmlinux]    [k] io_worker_handle_work
