# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 32981024708691
#
# Children      Self  Command          Shared Object       Symbol                                               
# ........  ........  ...............  ..................  .....................................................
#
     0.01%     0.00%  iou-wrk-3174     [kernel.vmlinux]    [k] __hrtimer_run_queues
     0.01%     0.00%  iou-wrk-3166     [kernel.vmlinux]    [k] io_wqe_dec_running
     0.01%     0.00%  iou-wrk-3171     [kernel.vmlinux]    [k] io_wqe_dec_running
     0.01%     0.00%  iou-wrk-3150     [kernel.vmlinux]    [k] __mem_cgroup_charge
     0.01%     0.00%  iou-wrk-3147     [kernel.vmlinux]    [k] psi_memstall_leave
     0.01%     0.01%  iou-wrk-3157     [kernel.vmlinux]    [k] __wrgsbase_inactive
     0.01%     0.00%  iou-wrk-3174     [kernel.vmlinux]    [k] psi_memstall_enter
     0.01%     0.00%  iou-wrk-3140     [kernel.vmlinux]    [k] __cond_resched
     0.01%     0.00%  iou-wrk-3166     [kernel.vmlinux]    [k] tick_sched_timer
     0.01%     0.00%  iou-wrk-3140     [kernel.vmlinux]    [k] enqueue_timer
     0.01%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] tick_sched_timer
     0.01%     0.00%  iou-wrk-3151     [kernel.vmlinux]    [k] tick_sched_handle.isra.0
     0.01%     0.00%  iou-wrk-3173     [kernel.vmlinux]    [k] psi_memstall_leave
     0.01%     0.00%  iou-wrk-3154     [kernel.vmlinux]    [k] __slab_free
     0.01%     0.00%  iou-wrk-3152     [kernel.vmlinux]    [k] tick_sched_timer
     0.01%     0.00%  kswapd0          [kernel.vmlinux]    [k] asm_sysvec_apic_timer_interrupt
     0.01%     0.01%  iou-wrk-3165     [kernel.vmlinux]    [k] __slab_free
     0.01%     0.00%  iou-wrk-3153     [kernel.vmlinux]    [k] __slab_free
     0.01%     0.01%  iou-wrk-3172     [kernel.vmlinux]    [k] __wrgsbase_inactive
     0.00%     0.00%  iou-wrk-3144     [kernel.vmlinux]    [k] psi_memstall_enter
     0.00%     0.00%  iou-wrk-3173     [kernel.vmlinux]    [k] __hrtimer_run_queues
     0.00%     0.00%  iou-wrk-3152     [kernel.vmlinux]    [k] psi_memstall_leave
     0.00%     0.00%  iou-wrk-3157     [kernel.vmlinux]    [k] current_time
     0.00%     0.00%  iou-wrk-3158     [kernel.vmlinux]    [k] xas_start
     0.00%     0.00%  iou-wrk-3147     [kernel.vmlinux]    [k] __list_add_valid
     0.00%     0.00%  iou-wrk-3140     [kernel.vmlinux]    [k] xas_create
     0.00%     0.00%  iou-wrk-3149     [kernel.vmlinux]    [k] percpu_counter_add_batch
     0.00%     0.00%  kcompactd0       [kernel.vmlinux]    [k] page_counter_cancel
     0.00%     0.00%  iou-wrk-3143     [kernel.vmlinux]    [k] workingset_refault
     0.00%     0.00%  iou-wrk-3172     [kernel.vmlinux]    [k] percpu_counter_add_batch
     0.00%     0.00%  iou-wrk-3138     [kernel.vmlinux]    [k] update_process_times
     0.00%     0.00%  iou-wrk-3175     [kernel.vmlinux]    [k] lru_gen_add_page
     0.00%     0.00%  iou-wrk-3144     [kernel.vmlinux]    [k] __wrgsbase_inactive
     0.00%     0.00%  iou-wrk-3160     [kernel.vmlinux]    [k] xas_create
     0.00%     0.00%  iou-wrk-3145     [kernel.vmlinux]    [k] workingset_refault
     0.00%     0.00%  iou-wrk-3167     [kernel.vmlinux]    [k] psi_memstall_enter
     0.00%     0.00%  iou-wrk-3157     [kernel.vmlinux]    [k] __hrtimer_run_queues
     0.00%     0.00%  iou-wrk-3140     [kernel.vmlinux]    [k] __slab_free
     0.00%     0.00%  fio              [kernel.vmlinux]    [k] irqtime_account_irq
     0.00%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] tick_sched_timer
     0.00%     0.00%  iou-wrk-3173     [kernel.vmlinux]    [k] tick_sched_timer
     0.00%     0.00%  iou-wrk-3177     [kernel.vmlinux]    [k] __hrtimer_run_queues
     0.00%     0.00%  iou-wrk-3164     [kernel.vmlinux]    [k] xas_create
     0.00%     0.00%  iou-wrk-3174     [kernel.vmlinux]    [k] __slab_free
     0.00%     0.00%  iou-wrk-3157     [kernel.vmlinux]    [k] __list_add_valid
     0.00%     0.00%  iou-wrk-3153     [kernel.vmlinux]    [k] __hrtimer_run_queues
     0.00%     0.00%  iou-wrk-3158     [kernel.vmlinux]    [k] xas_create
     0.00%     0.00%  iou-wrk-3168     [kernel.vmlinux]    [k] dequeue_task
     0.00%     0.00%  iou-wrk-3155     [kernel.vmlinux]    [k] io_cqring_ev_posted
     0.00%     0.00%  iou-wrk-3149     [kernel.vmlinux]    [k] __hrtimer_run_queues
     0.00%     0.00%  iou-wrk-3139     [kernel.vmlinux]    [k] io_wqe_dec_running
     0.00%     0.00%  iou-wrk-3151     [kernel.vmlinux]    [k] xas_create
     0.00%     0.00%  iou-wrk-3151     [kernel.vmlinux]    [k] io_wqe_dec_running
     0.00%     0.00%  iou-wrk-3176     [kernel.vmlinux]    [k] ext4_es_lookup_extent
     0.00%     0.00%  iou-wrk-3164     [kernel.vmlinux]    [k] psi_memstall_enter
     0.00%     0.00%  iou-wrk-3149     [kernel.vmlinux]    [k] io_wqe_dec_running
     0.00%     0.00%  iou-wrk-3142     [kernel.vmlinux]    [k] __hrtimer_run_queues
     0.00%     0.00%  iou-wrk-3145     [kernel.vmlinux]    [k] __hrtimer_run_queues
     0.00%     0.00%  iou-wrk-3151     [kernel.vmlinux]    [k] psi_memstall_enter
     0.00%     0.00%  iou-wrk-3140     [kernel.vmlinux]    [k] __wrgsbase_inactive
     0.00%     0.00%  iou-wrk-3168     [kernel.vmlinux]    [k] __mod_lruvec_page_state
     0.00%     0.00%  iou-wrk-3147     [kernel.vmlinux]    [k] workingset_refault
     0.00%     0.00%  iou-wrk-3171     [kernel.vmlinux]    [k] psi_memstall_leave
     0.00%     0.00%  iou-wrk-3141     [kernel.vmlinux]    [k] psi_memstall_leave
     0.00%     0.00%  iou-wrk-3170     [kernel.vmlinux]    [k] tick_sched_timer
     0.00%     0.00%  iou-wrk-3159     [kernel.vmlinux]    [k] tick_sched_handle.isra.0
     0.00%     0.00%  iou-wrk-3176     [kernel.vmlinux]    [k] __slab_free
     0.00%     0.00%  iou-wrk-3158     [kernel.vmlinux]    [k] __list_add_valid
     0.00%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] current_time
     0.00%     0.00%  iou-wrk-3142     [kernel.vmlinux]    [k] workingset_refault
     0.00%     0.00%  iou-wrk-3156     [kernel.vmlinux]    [k] current_time
     0.00%     0.00%  iou-wrk-3138     [kernel.vmlinux]    [k] io_wqe_dec_running
     0.00%     0.00%  iou-wrk-3151     [kernel.vmlinux]    [k] dequeue_task
     0.00%     0.00%  iou-wrk-3175     [kernel.vmlinux]    [k] xas_start
     0.00%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] __cgroup_account_cputime
     0.00%     0.00%  iou-wrk-3152     [kernel.vmlinux]    [k] xas_create
     0.00%     0.00%  iou-wrk-3144     [kernel.vmlinux]    [k] fput_many
     0.00%     0.00%  iou-wrk-3143     [kernel.vmlinux]    [k] xas_start
     0.00%     0.00%  iou-wrk-3160     [kernel.vmlinux]    [k] __hrtimer_run_queues
     0.00%     0.00%  iou-wrk-3170     [kernel.vmlinux]    [k] __wrgsbase_inactive
     0.00%     0.00%  iou-wrk-3148     [kernel.vmlinux]    [k] psi_memstall_enter
     0.00%     0.00%  iou-wrk-3166     [kernel.vmlinux]    [k] __check_block_validity.constprop.0
     0.00%     0.00%  iou-wrk-3162     [kernel.vmlinux]    [k] __cgroup_account_cputime
     0.00%     0.00%  iou-wrk-3149     [kernel.vmlinux]    [k] xas_create
     0.00%     0.00%  iou-wrk-3158     [kernel.vmlinux]    [k] __sysvec_apic_timer_interrupt
     0.00%     0.00%  iou-wrk-3157     [kernel.vmlinux]    [k] _raw_spin_unlock_irqrestore
     0.00%     0.00%  iou-wrk-3177     [kernel.vmlinux]    [k] xas_create
     0.00%     0.00%  iou-wrk-3166     [kernel.vmlinux]    [k] tick_sched_handle.isra.0
     0.00%     0.00%  iou-wrk-3148     [kernel.vmlinux]    [k] xas_create
     0.00%     0.00%  iou-wrk-3150     [kernel.vmlinux]    [k] __list_add_valid
     0.00%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] enqueue_timer
     0.00%     0.00%  iou-wrk-3162     [kernel.vmlinux]    [k] xas_start
     0.00%     0.00%  iou-wrk-3140     [kernel.vmlinux]    [k] psi_memstall_leave
     0.00%     0.00%  iou-wrk-3177     [kernel.vmlinux]    [k] tick_sched_timer
     0.00%     0.00%  swapper          [kernel.vmlinux]    [k] __rdgsbase_inactive
     0.00%     0.00%  iou-wrk-3141     [kernel.vmlinux]    [k] __hrtimer_run_queues
     0.00%     0.00%  iou-wrk-3139     [kernel.vmlinux]    [k] __list_add_valid
     0.00%     0.00%  iou-wrk-3172     [kernel.vmlinux]    [k] xas_create
     0.00%     0.00%  iou-wrk-3170     [kernel.vmlinux]    [k] workingset_refault
     0.00%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] __cgroup_account_cputime
     0.00%     0.00%  iou-wrk-3176     [kernel.vmlinux]    [k] current_time
     0.00%     0.00%  iou-wrk-3148     [kernel.vmlinux]    [k] __hrtimer_run_queues
     0.00%     0.00%  iou-wrk-3176     [kernel.vmlinux]    [k] __hrtimer_run_queues
     0.00%     0.00%  iou-wrk-3150     [kernel.vmlinux]    [k] psi_memstall_enter
     0.00%     0.00%  iou-wrk-3165     [kernel.vmlinux]    [k] io_wqe_dec_running
     0.00%     0.00%  iou-wrk-3151     [kernel.vmlinux]    [k] psi_memstall_leave
     0.00%     0.00%  iou-wrk-3175     [kernel.vmlinux]    [k] __check_block_validity.constprop.0
     0.00%     0.00%  iou-wrk-3139     [kernel.vmlinux]    [k] __wrgsbase_inactive
     0.00%     0.00%  fio              [kernel.vmlinux]    [k] native_apic_msr_eoi_write
     0.00%     0.00%  iou-wrk-3147     [kernel.vmlinux]    [k] lru_gen_add_page
     0.00%     0.00%  iou-wrk-3177     [kernel.vmlinux]    [k] __mem_cgroup_charge
     0.00%     0.00%  iou-wrk-3172     [kernel.vmlinux]    [k] _raw_spin_unlock_irqrestore
     0.00%     0.00%  iou-wrk-3142     [kernel.vmlinux]    [k] __slab_free
     0.00%     0.00%  iou-wrk-3147     [kernel.vmlinux]    [k] current_time
     0.00%     0.00%  iou-wrk-3160     [kernel.vmlinux]    [k] __mem_cgroup_charge
     0.00%     0.00%  iou-wrk-3171     [kernel.vmlinux]    [k] psi_memstall_enter
     0.00%     0.00%  iou-wrk-3139     [kernel.vmlinux]    [k] tick_sched_timer
     0.00%     0.00%  iou-wrk-3171     [kernel.vmlinux]    [k] __list_add_valid
     0.00%     0.00%  swapper          [kernel.vmlinux]    [k] cpuidle_not_available
     0.00%     0.00%  kswapd0          [kernel.vmlinux]    [k] sysvec_apic_timer_interrupt
     0.00%     0.00%  iou-wrk-3165     [kernel.vmlinux]    [k] __mem_cgroup_charge
     0.00%     0.00%  iou-wrk-3162     [kernel.vmlinux]    [k] __hrtimer_run_queues
     0.00%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] xas_create
     0.00%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] __list_add_valid
     0.00%     0.00%  iou-wrk-3146     [kernel.vmlinux]    [k] workingset_refault
     0.00%     0.00%  iou-wrk-3164     [kernel.vmlinux]    [k] io_wqe_dec_running
     0.00%     0.00%  iou-wrk-3138     [kernel.vmlinux]    [k] get_nohz_timer_target
     0.00%     0.00%  iou-wrk-3155     [kernel.vmlinux]    [k] __wrgsbase_inactive
     0.00%     0.00%  iou-wrk-3155     [kernel.vmlinux]    [k] xas_create
     0.00%     0.00%  iou-wrk-3157     [kernel.vmlinux]    [k] workingset_refault
     0.00%     0.00%  iou-wrk-3150     [kernel.vmlinux]    [k] tick_sched_timer
     0.00%     0.00%  iou-wrk-3169     [kernel.vmlinux]    [k] workingset_refault
     0.00%     0.00%  iou-wrk-3143     [kernel.vmlinux]    [k] __cgroup_account_cputime
     0.00%     0.00%  iou-wrk-3164     [kernel.vmlinux]    [k] __check_block_validity.constprop.0
     0.00%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] tick_sched_handle.isra.0
     0.00%     0.00%  iou-wrk-3139     [kernel.vmlinux]    [k] lru_gen_add_page
     0.00%     0.00%  iou-wrk-3174     [kernel.vmlinux]    [k] psi_memstall_leave
     0.00%     0.00%  iou-wrk-3175     [kernel.vmlinux]    [k] __cgroup_account_cputime
     0.00%     0.00%  iou-wrk-3160     [kernel.vmlinux]    [k] io_wqe_dec_running
     0.00%     0.00%  iou-wrk-3175     [kernel.vmlinux]    [k] fput_many
     0.00%     0.00%  iou-wrk-3156     [kernel.vmlinux]    [k] __cond_resched
     0.00%     0.00%  iou-wrk-3142     [kernel.vmlinux]    [k] dequeue_task
     0.00%     0.00%  iou-wrk-3164     [kernel.vmlinux]    [k] __hrtimer_run_queues
     0.00%     0.00%  iou-wrk-3159     [kernel.vmlinux]    [k] update_process_times
     0.00%     0.00%  iou-wrk-3170     [kernel.vmlinux]    [k] __list_add_valid
     0.00%     0.00%  iou-wrk-3152     [kernel.vmlinux]    [k] update_process_times
     0.00%     0.00%  iou-wrk-3152     [kernel.vmlinux]    [k] tick_sched_handle.isra.0
     0.00%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] __slab_free
     0.00%     0.00%  iou-wrk-3171     [kernel.vmlinux]    [k] __cgroup_account_cputime
     0.00%     0.00%  iou-wrk-3147     [kernel.vmlinux]    [k] get_nohz_timer_target
     0.00%     0.00%  iou-wrk-3167     [kernel.vmlinux]    [k] percpu_counter_add_batch
     0.00%     0.00%  iou-wrk-3154     [kernel.vmlinux]    [k] dequeue_task
     0.00%     0.00%  iou-wrk-3165     [kernel.vmlinux]    [k] percpu_counter_add_batch
     0.00%     0.00%  iou-wrk-3139     [kernel.vmlinux]    [k] __cgroup_account_cputime
     0.00%     0.00%  iou-wrk-3157     [kernel.vmlinux]    [k] dequeue_task
     0.00%     0.00%  iou-wrk-3173     [kernel.vmlinux]    [k] io_wqe_dec_running
     0.00%     0.00%  iou-wrk-3153     [kernel.vmlinux]    [k] __cond_resched
     0.00%     0.00%  iou-wrk-3145     [kernel.vmlinux]    [k] __cgroup_account_cputime
     0.00%     0.00%  iou-wrk-3168     [kernel.vmlinux]    [k] __slab_free
     0.00%     0.00%  iou-wrk-3167     [kernel.vmlinux]    [k] __hrtimer_run_queues
     0.00%     0.00%  iou-wrk-3167     [kernel.vmlinux]    [k] __slab_free
     0.00%     0.00%  iou-wrk-3155     [kernel.vmlinux]    [k] __hrtimer_run_queues
     0.00%     0.00%  iou-wrk-3166     [kernel.vmlinux]    [k] ext4_es_lookup_extent
     0.00%     0.00%  iou-wrk-3171     [kernel.vmlinux]    [k] workingset_refault
     0.00%     0.00%  iou-wrk-3152     [kernel.vmlinux]    [k] __check_block_validity.constprop.0
     0.00%     0.00%  iou-wrk-3149     [kernel.vmlinux]    [k] __wrgsbase_inactive
     0.00%     0.00%  iou-wrk-3166     [kernel.vmlinux]    [k] update_process_times
     0.00%     0.00%  iou-wrk-3172     [kernel.vmlinux]    [k] __hrtimer_run_queues
     0.00%     0.00%  iou-wrk-3156     [kernel.vmlinux]    [k] percpu_counter_add_batch
     0.00%     0.00%  iou-wrk-3150     [kernel.vmlinux]    [k] __cond_resched
     0.00%     0.00%  iou-wrk-3154     [kernel.vmlinux]    [k] psi_memstall_enter
     0.00%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] update_process_times
     0.00%     0.00%  swapper          [kernel.vmlinux]    [k] cpumask_next_and
     0.00%     0.00%  iou-wrk-3176     [kernel.vmlinux]    [k] psi_memstall_leave
     0.00%     0.00%  iou-wrk-3176     [kernel.vmlinux]    [k] io_cqring_ev_posted
     0.00%     0.00%  iou-wrk-3166     [kernel.vmlinux]    [k] workingset_refault
     0.00%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] __wrgsbase_inactive
     0.00%     0.00%  iou-wrk-3169     [kernel.vmlinux]    [k] xas_start
     0.00%     0.00%  iou-wrk-3151     [kernel.vmlinux]    [k] update_process_times
     0.00%     0.00%  iou-wrk-3170     [kernel.vmlinux]    [k] current_time
     0.00%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] __check_block_validity.constprop.0
     0.00%     0.00%  iou-wrk-3139     [kernel.vmlinux]    [k] tick_sched_handle.isra.0
     0.00%     0.00%  iou-wrk-3172     [kernel.vmlinux]    [k] xas_start
     0.00%     0.00%  iou-wrk-3142     [kernel.vmlinux]    [k] ext4_es_lookup_extent
     0.00%     0.00%  iou-wrk-3145     [kernel.vmlinux]    [k] fput_many
     0.00%     0.00%  iou-wrk-3172     [kernel.vmlinux]    [k] __cgroup_account_cputime
     0.00%     0.00%  iou-wrk-3148     [kernel.vmlinux]    [k] current_time
     0.00%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] psi_memstall_leave
     0.00%     0.00%  iou-wrk-3141     [kernel.vmlinux]    [k] lru_gen_add_page
     0.00%     0.00%  iou-wrk-3160     [kernel.vmlinux]    [k] current_time
     0.00%     0.00%  iou-wrk-3159     [kernel.vmlinux]    [k] __wrgsbase_inactive
     0.00%     0.00%  iou-wrk-3169     [kernel.vmlinux]    [k] __hrtimer_run_queues
     0.00%     0.00%  iou-wrk-3174     [kernel.vmlinux]    [k] tick_sched_timer
     0.00%     0.00%  iou-wrk-3159     [kernel.vmlinux]    [k] ext4_es_lookup_extent
     0.00%     0.00%  iou-wrk-3146     [kernel.vmlinux]    [k] tick_sched_handle.isra.0
     0.00%     0.00%  iou-wrk-3153     [kernel.vmlinux]    [k] __cgroup_account_cputime
     0.00%     0.00%  iou-wrk-3142     [kernel.vmlinux]    [k] current_time
     0.00%     0.00%  iou-wrk-3142     [kernel.vmlinux]    [k] io_wqe_dec_running
     0.00%     0.00%  iou-wrk-3150     [kernel.vmlinux]    [k] xas_create
     0.00%     0.00%  iou-wrk-3165     [kernel.vmlinux]    [k] ext4_file_read_iter
     0.00%     0.00%  iou-wrk-3162     [kernel.vmlinux]    [k] io_wqe_dec_running
     0.00%     0.00%  iou-wrk-3143     [kernel.vmlinux]    [k] psi_memstall_leave
     0.00%     0.00%  iou-wrk-3170     [kernel.vmlinux]    [k] bio_alloc_bioset
     0.00%     0.00%  iou-wrk-3146     [kernel.vmlinux]    [k] xas_start
     0.00%     0.00%  iou-wrk-3176     [kernel.vmlinux]    [k] xas_start
     0.00%     0.00%  iou-wrk-3177     [kernel.vmlinux]    [k] xas_start
     0.00%     0.00%  iou-wrk-3174     [kernel.vmlinux]    [k] xas_create
     0.00%     0.00%  iou-wrk-3145     [kernel.vmlinux]    [k] tick_sched_timer
     0.00%     0.00%  iou-wrk-3141     [kernel.vmlinux]    [k] __wrgsbase_inactive
     0.00%     0.00%  iou-wrk-3146     [kernel.vmlinux]    [k] fput_many
     0.00%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] ext4_es_lookup_extent
     0.00%     0.00%  iou-wrk-3173     [kernel.vmlinux]    [k] workingset_refault
     0.00%     0.00%  iou-wrk-3153     [kernel.vmlinux]    [k] xas_create
     0.00%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] load_new_mm_cr3
     0.00%     0.00%  :-1              [kernel.vmlinux]    [k] do_exit
     0.00%     0.00%  :-1              [kernel.vmlinux]    [k] ret_from_fork
     0.00%     0.00%  swapper          [kernel.vmlinux]    [k] tick_sched_handle.isra.0
     0.00%     0.00%  iou-wrk-3164     [kernel.vmlinux]    [k] current_time
     0.00%     0.00%  iou-wrk-3173     [kernel.vmlinux]    [k] __list_add_valid
     0.00%     0.00%  iou-wrk-3148     [kernel.vmlinux]    [k] __cgroup_account_cputime
     0.00%     0.00%  iou-wrk-3141     [kernel.vmlinux]    [k] workingset_refault
     0.00%     0.00%  :-1              [kernel.vmlinux]    [k] io_wqe_worker
     0.00%     0.00%  kswapd0          [kernel.vmlinux]    [k] bad_range
     0.00%     0.00%  iou-wrk-3139     [kernel.vmlinux]    [k] update_process_times
     0.00%     0.00%  iou-wrk-3147     [kernel.vmlinux]    [k] __hrtimer_run_queues
     0.00%     0.00%  iou-wrk-3152     [kernel.vmlinux]    [k] percpu_counter_add_batch
     0.00%     0.00%  iou-wrk-3147     [kernel.vmlinux]    [k] __cgroup_account_cputime
     0.00%     0.00%  swapper          [kernel.vmlinux]    [k] tick_nohz_tick_stopped
     0.00%     0.00%  iou-wrk-3150     [kernel.vmlinux]    [k] __check_block_validity.constprop.0
     0.00%     0.00%  iou-wrk-3145     [kernel.vmlinux]    [k] xas_create
     0.00%     0.00%  iou-wrk-3143     [kernel.vmlinux]    [k] __hrtimer_run_queues
     0.00%     0.00%  iou-wrk-3150     [kernel.vmlinux]    [k] tick_sched_handle.isra.0
     0.00%     0.00%  iou-wrk-3147     [kernel.vmlinux]    [k] fput_many
     0.00%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] current_time
     0.00%     0.00%  iou-wrk-3149     [kernel.vmlinux]    [k] __cgroup_account_cputime
     0.00%     0.00%  iou-wrk-3142     [kernel.vmlinux]    [k] tick_sched_timer
     0.00%     0.00%  iou-wrk-3150     [kernel.vmlinux]    [k] get_nohz_timer_target
     0.00%     0.00%  iou-wrk-3158     [kernel.vmlinux]    [k] hrtimer_interrupt
     0.00%     0.00%  iou-wrk-3150     [kernel.vmlinux]    [k] xas_start
     0.00%     0.00%  iou-wrk-3165     [kernel.vmlinux]    [k] load_new_mm_cr3
     0.00%     0.00%  iou-wrk-3159     [kernel.vmlinux]    [k] io_wqe_dec_running
     0.00%     0.00%  iou-wrk-3157     [kernel.vmlinux]    [k] tick_sched_timer
     0.00%     0.00%  iou-wrk-3159     [kernel.vmlinux]    [k] __cgroup_account_cputime
     0.00%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] get_nohz_timer_target
     0.00%     0.00%  iou-wrk-3143     [kernel.vmlinux]    [k] io_wqe_dec_running
     0.00%     0.00%  iou-wrk-3151     [kernel.vmlinux]    [k] workingset_refault
     0.00%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] ext4_es_lookup_extent
     0.00%     0.00%  iou-wrk-3173     [kernel.vmlinux]    [k] psi_flags_change
     0.00%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] tick_sched_handle.isra.0
     0.00%     0.00%  iou-wrk-3147     [kernel.vmlinux]    [k] io_wqe_dec_running
     0.00%     0.00%  swapper          [kernel.vmlinux]    [k] update_process_times
     0.00%     0.00%  iou-wrk-3139     [kernel.vmlinux]    [k] load_new_mm_cr3
     0.00%     0.00%  iou-wrk-3159     [kernel.vmlinux]    [k] current_time
     0.00%     0.00%  iou-wrk-3153     [kernel.vmlinux]    [k] xas_start
     0.00%     0.00%  iou-wrk-3173     [kernel.vmlinux]    [k] tick_sched_handle.isra.0
     0.00%     0.00%  iou-wrk-3155     [kernel.vmlinux]    [k] psi_memstall_enter
     0.00%     0.00%  iou-wrk-3160     [kernel.vmlinux]    [k] tick_sched_timer
     0.00%     0.00%  iou-wrk-3152     [kernel.vmlinux]    [k] psi_flags_change
     0.00%     0.00%  iou-wrk-3138     [kernel.vmlinux]    [k] _raw_spin_unlock_irqrestore
     0.00%     0.00%  swapper          [kernel.vmlinux]    [k] update_rq_clock
     0.00%     0.00%  iou-wrk-3165     [kernel.vmlinux]    [k] current_time
     0.00%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] lru_gen_add_page
     0.00%     0.00%  iou-wrk-3170     [kernel.vmlinux]    [k] io_wqe_dec_running
     0.00%     0.00%  iou-wrk-3159     [kernel.vmlinux]    [k] __check_block_validity.constprop.0
     0.00%     0.00%  iou-wrk-3150     [kernel.vmlinux]    [k] psi_memstall_leave
     0.00%     0.00%  fio              [kernel.vmlinux]    [k] kernel_init_free_pages.part.0
     0.00%     0.00%  iou-wrk-3151     [kernel.vmlinux]    [k] __list_add_valid
     0.00%     0.00%  iou-wrk-3177     [kernel.vmlinux]    [k] percpu_counter_add_batch
     0.00%     0.00%  iou-wrk-3160     [kernel.vmlinux]    [k] __list_add_valid
     0.00%     0.00%  iou-wrk-3172     [kernel.vmlinux]    [k] io_wqe_dec_running
     0.00%     0.00%  iou-wrk-3151     [kernel.vmlinux]    [k] ext4_inode_block_valid
     0.00%     0.00%  iou-wrk-3166     [kernel.vmlinux]    [k] __slab_free
     0.00%     0.00%  iou-wrk-3157     [kernel.vmlinux]    [k] __cond_resched
     0.00%     0.00%  iou-wrk-3156     [kernel.vmlinux]    [k] xas_start
     0.00%     0.00%  iou-wrk-3175     [kernel.vmlinux]    [k] psi_memstall_leave
     0.00%     0.00%  iou-wrk-3144     [kernel.vmlinux]    [k] workingset_refault
     0.00%     0.00%  iou-wrk-3153     [kernel.vmlinux]    [k] psi_memstall_enter
     0.00%     0.00%  iou-wrk-3168     [kernel.vmlinux]    [k] __hrtimer_run_queues
     0.00%     0.00%  iou-wrk-3177     [kernel.vmlinux]    [k] __cgroup_account_cputime
     0.00%     0.00%  iou-wrk-3141     [kernel.vmlinux]    [k] psi_flags_change
     0.00%     0.00%  iou-wrk-3145     [kernel.vmlinux]    [k] xas_start
     0.00%     0.00%  iou-wrk-3138     [kernel.vmlinux]    [k] bio_alloc_bioset
     0.00%     0.00%  iou-wrk-3159     [kernel.vmlinux]    [k] io_cqring_ev_posted
     0.00%     0.00%  iou-wrk-3141     [kernel.vmlinux]    [k] tick_sched_timer
     0.00%     0.00%  iou-wrk-3177     [kernel.vmlinux]    [k] psi_memstall_leave
     0.00%     0.00%  iou-wrk-3164     [kernel.vmlinux]    [k] __list_add_valid
     0.00%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] update_process_times
     0.00%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] io_wqe_dec_running
     0.00%     0.00%  iou-wrk-3164     [kernel.vmlinux]    [k] tick_sched_timer
     0.00%     0.00%  iou-wrk-3159     [kernel.vmlinux]    [k] get_nohz_timer_target
     0.00%     0.00%  iou-wrk-3141     [kernel.vmlinux]    [k] xas_start
     0.00%     0.00%  iou-wrk-3146     [kernel.vmlinux]    [k] current_time
     0.00%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] fput_many
     0.00%     0.00%  iou-wrk-3162     [kernel.vmlinux]    [k] _raw_spin_unlock_irqrestore
     0.00%     0.00%  iou-wrk-3149     [kernel.vmlinux]    [k] tick_sched_timer
     0.00%     0.00%  iou-wrk-3164     [kernel.vmlinux]    [k] xas_start
     0.00%     0.00%  iou-wrk-3168     [kernel.vmlinux]    [k] ext4_es_lookup_extent
     0.00%     0.00%  iou-wrk-3175     [kernel.vmlinux]    [k] _raw_spin_unlock_irqrestore
     0.00%     0.00%  iou-wrk-3155     [kernel.vmlinux]    [k] tick_sched_timer
     0.00%     0.00%  iou-wrk-3162     [kernel.vmlinux]    [k] fput_many
     0.00%     0.00%  iou-wrk-3146     [kernel.vmlinux]    [k] __list_add_valid
     0.00%     0.00%  iou-wrk-3144     [kernel.vmlinux]    [k] __hrtimer_run_queues
     0.00%     0.00%  fio              [kernel.vmlinux]    [k] clear_page_erms
     0.00%     0.00%  iou-wrk-3176     [kernel.vmlinux]    [k] tick_sched_timer
     0.00%     0.00%  iou-wrk-3140     [kernel.vmlinux]    [k] __check_block_validity.constprop.0
     0.00%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] xas_create
     0.00%     0.00%  iou-wrk-3168     [kernel.vmlinux]    [k] __check_block_validity.constprop.0
