# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 889K of event 'cycles'
# Event count (approx.): 81621143610943
#
# Children      Self  Command          Shared Object               Symbol                                              
# ........  ........  ...............  ..........................  ....................................................
#
     1.73%     0.01%  iou-wrk-3254     [kernel.vmlinux]            [k] io_wqe_worker
     1.73%     0.00%  iou-wrk-3254     [kernel.vmlinux]            [k] ret_from_fork
     1.73%     0.01%  iou-wrk-3252     [kernel.vmlinux]            [k] io_wqe_worker
     1.73%     0.00%  iou-wrk-3252     [kernel.vmlinux]            [k] ret_from_fork
     1.73%     0.01%  iou-wrk-3266     [kernel.vmlinux]            [k] io_wqe_worker
     1.73%     0.00%  iou-wrk-3266     [kernel.vmlinux]            [k] ret_from_fork
     1.73%     0.01%  iou-wrk-3249     [kernel.vmlinux]            [k] io_wqe_worker
     1.73%     0.00%  iou-wrk-3249     [kernel.vmlinux]            [k] ret_from_fork
     1.73%     0.01%  iou-wrk-3235     [kernel.vmlinux]            [k] io_wqe_worker
     1.73%     0.00%  iou-wrk-3235     [kernel.vmlinux]            [k] ret_from_fork
     1.72%     0.01%  iou-wrk-3244     [kernel.vmlinux]            [k] io_wqe_worker
     1.72%     0.00%  iou-wrk-3244     [kernel.vmlinux]            [k] ret_from_fork
     1.72%     0.01%  iou-wrk-3241     [kernel.vmlinux]            [k] io_wqe_worker
     1.72%     0.00%  iou-wrk-3241     [kernel.vmlinux]            [k] ret_from_fork
     1.72%     0.01%  iou-wrk-3261     [kernel.vmlinux]            [k] io_wqe_worker
     1.72%     0.00%  iou-wrk-3261     [kernel.vmlinux]            [k] ret_from_fork
     1.72%     0.01%  iou-wrk-3238     [kernel.vmlinux]            [k] io_wqe_worker
     1.72%     0.00%  iou-wrk-3238     [kernel.vmlinux]            [k] ret_from_fork
     1.72%     0.01%  iou-wrk-3253     [kernel.vmlinux]            [k] io_wqe_worker
     1.72%     0.00%  iou-wrk-3253     [kernel.vmlinux]            [k] ret_from_fork
     1.72%     0.01%  iou-wrk-3234     [kernel.vmlinux]            [k] io_wqe_worker
     1.72%     0.00%  iou-wrk-3234     [kernel.vmlinux]            [k] ret_from_fork
