# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 65408539148108
#
# Children      Self  Command          Shared Object         Symbol                                     
# ........  ........  ...............  ....................  ...........................................
#
     0.89%     0.01%  iou-wrk-3338     [kernel.vmlinux]      [k] io_wqe_worker
     0.89%     0.00%  iou-wrk-3338     [kernel.vmlinux]      [k] ret_from_fork
     0.89%     0.01%  iou-wrk-3343     [kernel.vmlinux]      [k] io_wqe_worker
     0.89%     0.00%  iou-wrk-3343     [kernel.vmlinux]      [k] ret_from_fork
     0.89%     0.01%  iou-wrk-3297     [kernel.vmlinux]      [k] io_wqe_worker
     0.89%     0.00%  iou-wrk-3297     [kernel.vmlinux]      [k] ret_from_fork
     0.89%     0.01%  iou-wrk-3344     [kernel.vmlinux]      [k] io_wqe_worker
     0.89%     0.00%  iou-wrk-3344     [kernel.vmlinux]      [k] ret_from_fork
     0.89%     0.01%  iou-wrk-3333     [kernel.vmlinux]      [k] io_wqe_worker
     0.89%     0.00%  iou-wrk-3333     [kernel.vmlinux]      [k] ret_from_fork
     0.89%     0.01%  iou-wrk-3328     [kernel.vmlinux]      [k] io_wqe_worker
     0.89%     0.00%  iou-wrk-3328     [kernel.vmlinux]      [k] ret_from_fork
     0.89%     0.01%  iou-wrk-3266     [kernel.vmlinux]      [k] io_wqe_worker
     0.89%     0.00%  iou-wrk-3266     [kernel.vmlinux]      [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3308     [kernel.vmlinux]      [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3308     [kernel.vmlinux]      [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3295     [kernel.vmlinux]      [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3295     [kernel.vmlinux]      [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3327     [kernel.vmlinux]      [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3327     [kernel.vmlinux]      [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3312     [kernel.vmlinux]      [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3312     [kernel.vmlinux]      [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3307     [kernel.vmlinux]      [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3307     [kernel.vmlinux]      [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3263     [kernel.vmlinux]      [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3263     [kernel.vmlinux]      [k] ret_from_fork
