# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 851K of event 'cycles'
# Event count (approx.): 78454916979610
#
# Children      Self  Command          Shared Object               Symbol                                        
# ........  ........  ...............  ..........................  ..............................................
#
    24.74%     0.03%  fio              [kernel.vmlinux]            [k] entry_SYSCALL_64
    24.70%     0.01%  fio              [kernel.vmlinux]            [k] do_syscall_64
    24.40%     0.03%  fio              [kernel.vmlinux]            [k] __do_sys_io_uring_enter
    24.33%     0.68%  fio              [kernel.vmlinux]            [k] io_submit_sqes
    22.51%     0.43%  fio              [kernel.vmlinux]            [k] __io_queue_sqe
    15.35%     0.06%  fio              [kernel.vmlinux]            [k] io_queue_async_work
    14.87%     0.24%  fio              [kernel.vmlinux]            [k] io_wqe_enqueue
    14.34%     0.28%  fio              [kernel.vmlinux]            [k] io_wqe_activate_free_worker
    13.84%     0.38%  fio              [kernel.vmlinux]            [k] try_to_wake_up
     6.74%     0.29%  fio              [kernel.vmlinux]            [k] io_issue_sqe
     6.74%     0.13%  fio              [kernel.vmlinux]            [k] ttwu_do_activate
     6.45%     0.33%  fio              [kernel.vmlinux]            [k] io_read
     5.58%     0.33%  fio              [kernel.vmlinux]            [k] io_setup_async_rw
     5.12%     0.54%  fio              [kernel.vmlinux]            [k] __kmalloc
     4.42%     0.17%  fio              [kernel.vmlinux]            [k] __cond_resched
     4.23%     0.71%  fio              [kernel.vmlinux]            [k] __sched_text_start
     4.23%     0.12%  fio              [kernel.vmlinux]            [k] preempt_schedule_common
     4.07%     1.74%  fio              [kernel.vmlinux]            [k] select_task_rq_fair
     3.67%     0.50%  fio              [kernel.vmlinux]            [k] enqueue_task_fair
     2.94%     0.19%  fio              [kernel.vmlinux]            [k] psi_task_change
     2.30%     2.29%  fio              [kernel.vmlinux]            [k] psi_group_change
     2.24%     0.00%  kswapd0          [kernel.vmlinux]            [k] balance_pgdat
     2.24%     0.00%  kswapd0          [kernel.vmlinux]            [k] kswapd
     2.24%     0.00%  kswapd0          [kernel.vmlinux]            [k] kthread
     2.24%     0.00%  kswapd0          [kernel.vmlinux]            [k] ret_from_fork
     2.24%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_node
     2.23%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_lruvec
     2.05%     0.25%  fio              [kernel.vmlinux]            [k] pick_next_task_fair
     1.80%     0.01%  iou-wrk-2961     [kernel.vmlinux]            [k] io_wqe_worker
     1.80%     0.00%  iou-wrk-2961     [kernel.vmlinux]            [k] ret_from_fork
     1.79%     0.01%  iou-wrk-2963     [kernel.vmlinux]            [k] io_wqe_worker
     1.79%     0.00%  iou-wrk-2963     [kernel.vmlinux]            [k] ret_from_fork
     1.79%     0.01%  iou-wrk-2973     [kernel.vmlinux]            [k] io_wqe_worker
     1.79%     0.00%  iou-wrk-2973     [kernel.vmlinux]            [k] ret_from_fork
     1.78%     0.01%  iou-wrk-2985     [kernel.vmlinux]            [k] io_wqe_worker
     1.78%     0.00%  iou-wrk-2985     [kernel.vmlinux]            [k] ret_from_fork
     1.78%     0.73%  fio              [kernel.vmlinux]            [k] update_load_avg
