# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 41K of event 'cycles'
# Event count (approx.): 8192759448945
#
# Children      Self  Command          Shared Object               Symbol                                 
# ........  ........  ...............  ..........................  .......................................
#
    24.54%     0.04%  fio              [kernel.vmlinux]            [k] entry_SYSCALL_64
    24.49%     0.01%  fio              [kernel.vmlinux]            [k] do_syscall_64
    24.17%     0.04%  fio              [kernel.vmlinux]            [k] __do_sys_io_uring_enter
    24.10%     0.65%  fio              [kernel.vmlinux]            [k] io_submit_sqes
    22.18%     0.43%  fio              [kernel.vmlinux]            [k] __io_queue_sqe
    15.31%     0.06%  fio              [kernel.vmlinux]            [k] io_queue_async_work
    14.82%     0.19%  fio              [kernel.vmlinux]            [k] io_wqe_enqueue
    14.32%     0.27%  fio              [kernel.vmlinux]            [k] io_wqe_activate_free_worker
    13.82%     0.40%  fio              [kernel.vmlinux]            [k] try_to_wake_up
     6.49%     0.17%  fio              [kernel.vmlinux]            [k] ttwu_do_activate
     6.44%     0.23%  fio              [kernel.vmlinux]            [k] io_issue_sqe
     6.22%     0.31%  fio              [kernel.vmlinux]            [k] io_read
     5.31%     0.32%  fio              [kernel.vmlinux]            [k] io_setup_async_rw
     4.86%     0.47%  fio              [kernel.vmlinux]            [k] __kmalloc
     4.22%     0.25%  fio              [kernel.vmlinux]            [k] __cond_resched
     4.04%     0.11%  fio              [kernel.vmlinux]            [k] preempt_schedule_common
     4.02%     1.67%  fio              [kernel.vmlinux]            [k] select_task_rq_fair
     3.95%     0.70%  fio              [kernel.vmlinux]            [k] __sched_text_start
     3.50%     0.47%  fio              [kernel.vmlinux]            [k] enqueue_task_fair
     2.83%     0.18%  fio              [kernel.vmlinux]            [k] psi_task_change
     2.37%     0.00%  swapper          [kernel.vmlinux]            [k] cpu_startup_entry
     2.37%     0.00%  swapper          [kernel.vmlinux]            [k] secondary_startup_64_no_verify
     2.37%     0.03%  swapper          [kernel.vmlinux]            [k] do_idle
     2.27%     0.00%  swapper          [kernel.vmlinux]            [k] start_secondary
     2.16%     0.00%  kswapd0          [kernel.vmlinux]            [k] balance_pgdat
     2.16%     0.00%  kswapd0          [kernel.vmlinux]            [k] kswapd
     2.16%     0.00%  kswapd0          [kernel.vmlinux]            [k] kthread
     2.16%     0.00%  kswapd0          [kernel.vmlinux]            [k] ret_from_fork
     2.16%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_node
     2.16%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_lruvec
     2.15%     2.14%  fio              [kernel.vmlinux]            [k] psi_group_change
     1.98%     0.02%  iou-wrk-2966     [kernel.vmlinux]            [k] io_wqe_worker
     1.98%     0.00%  iou-wrk-2966     [kernel.vmlinux]            [k] ret_from_fork
     1.96%     0.01%  iou-wrk-2986     [kernel.vmlinux]            [k] io_wqe_worker
     1.96%     0.00%  iou-wrk-2986     [kernel.vmlinux]            [k] ret_from_fork
     1.93%     0.01%  iou-wrk-2984     [kernel.vmlinux]            [k] io_wqe_worker
     1.93%     0.00%  iou-wrk-2984     [kernel.vmlinux]            [k] ret_from_fork
     1.87%     0.02%  iou-wrk-2991     [kernel.vmlinux]            [k] io_wqe_worker
     1.87%     0.00%  iou-wrk-2991     [kernel.vmlinux]            [k] ret_from_fork
     1.86%     0.02%  iou-wrk-2971     [kernel.vmlinux]            [k] io_wqe_worker
     1.86%     0.00%  iou-wrk-2971     [kernel.vmlinux]            [k] ret_from_fork
     1.86%     0.01%  iou-wrk-2983     [kernel.vmlinux]            [k] io_wqe_worker
     1.86%     0.00%  iou-wrk-2983     [kernel.vmlinux]            [k] ret_from_fork
     1.86%     0.01%  iou-wrk-2967     [kernel.vmlinux]            [k] io_wqe_worker
     1.86%     0.00%  iou-wrk-2967     [kernel.vmlinux]            [k] ret_from_fork
     1.85%     0.21%  fio              [kernel.vmlinux]            [k] pick_next_task_fair
     1.83%     0.01%  iou-wrk-2975     [kernel.vmlinux]            [k] io_wqe_worker
     1.83%     0.00%  iou-wrk-2975     [kernel.vmlinux]            [k] ret_from_fork
     1.83%     0.00%  iou-wrk-2955     [kernel.vmlinux]            [k] io_wqe_worker
     1.83%     0.00%  iou-wrk-2955     [kernel.vmlinux]            [k] ret_from_fork
     1.81%     0.02%  iou-wrk-2958     [kernel.vmlinux]            [k] io_wqe_worker
     1.81%     0.00%  iou-wrk-2958     [kernel.vmlinux]            [k] ret_from_fork
     1.77%     0.00%  iou-wrk-2980     [kernel.vmlinux]            [k] io_wqe_worker
     1.77%     0.00%  iou-wrk-2980     [kernel.vmlinux]            [k] ret_from_fork
     1.76%     0.01%  iou-wrk-2981     [kernel.vmlinux]            [k] io_wqe_worker
     1.76%     0.00%  iou-wrk-2981     [kernel.vmlinux]            [k] ret_from_fork
     1.75%     0.01%  iou-wrk-2959     [kernel.vmlinux]            [k] io_wqe_worker
     1.75%     0.00%  iou-wrk-2959     [kernel.vmlinux]            [k] ret_from_fork
     1.75%     0.01%  iou-wrk-2977     [kernel.vmlinux]            [k] io_wqe_worker
     1.75%     0.00%  iou-wrk-2977     [kernel.vmlinux]            [k] ret_from_fork
     1.75%     0.01%  iou-wrk-2954     [kernel.vmlinux]            [k] io_wqe_worker
     1.75%     0.00%  iou-wrk-2954     [kernel.vmlinux]            [k] ret_from_fork
     1.74%     0.02%  iou-wrk-2987     [kernel.vmlinux]            [k] io_wqe_worker
     1.74%     0.00%  iou-wrk-2987     [kernel.vmlinux]            [k] ret_from_fork
     1.73%     0.02%  iou-wrk-2960     [kernel.vmlinux]            [k] io_wqe_worker
     1.73%     0.00%  iou-wrk-2960     [kernel.vmlinux]            [k] ret_from_fork
     1.72%     0.00%  iou-wrk-2988     [kernel.vmlinux]            [k] io_wqe_worker
     1.72%     0.00%  iou-wrk-2988     [kernel.vmlinux]            [k] ret_from_fork
     1.72%     0.02%  iou-wrk-2978     [kernel.vmlinux]            [k] io_wqe_worker
     1.72%     0.00%  iou-wrk-2978     [kernel.vmlinux]            [k] ret_from_fork
     1.70%     0.01%  iou-wrk-2979     [kernel.vmlinux]            [k] io_wqe_worker
     1.70%     0.00%  iou-wrk-2979     [kernel.vmlinux]            [k] ret_from_fork
     1.70%     0.02%  iou-wrk-2961     [kernel.vmlinux]            [k] io_wqe_worker
     1.70%     0.00%  iou-wrk-2961     [kernel.vmlinux]            [k] ret_from_fork
     1.69%     0.01%  iou-wrk-2989     [kernel.vmlinux]            [k] io_wqe_worker
     1.69%     0.00%  iou-wrk-2989     [kernel.vmlinux]            [k] ret_from_fork
     1.69%     0.01%  iou-wrk-2992     [kernel.vmlinux]            [k] io_wqe_worker
     1.69%     0.00%  iou-wrk-2992     [kernel.vmlinux]            [k] ret_from_fork
     1.68%     0.43%  fio              [kernel.vmlinux]            [k] enqueue_entity
     1.67%     0.02%  iou-wrk-2962     [kernel.vmlinux]            [k] io_wqe_worker
     1.67%     0.00%  iou-wrk-2962     [kernel.vmlinux]            [k] ret_from_fork
     1.65%     0.02%  iou-wrk-2973     [kernel.vmlinux]            [k] io_wqe_worker
     1.65%     0.00%  iou-wrk-2973     [kernel.vmlinux]            [k] ret_from_fork
     1.64%     0.00%  iou-wrk-2974     [kernel.vmlinux]            [k] io_wqe_worker
     1.64%     0.00%  iou-wrk-2974     [kernel.vmlinux]            [k] ret_from_fork
     1.64%     0.00%  iou-wrk-2969     [kernel.vmlinux]            [k] io_wqe_worker
     1.64%     0.00%  iou-wrk-2969     [kernel.vmlinux]            [k] ret_from_fork
     1.64%     0.01%  kswapd0          [kernel.vmlinux]            [k] shrink_inactive_list
     1.63%     0.01%  iou-wrk-2968     [kernel.vmlinux]            [k] io_wqe_worker
     1.63%     0.00%  iou-wrk-2968     [kernel.vmlinux]            [k] ret_from_fork
     1.63%     0.67%  fio              [kernel.vmlinux]            [k] update_load_avg
     1.63%     0.02%  iou-wrk-2990     [kernel.vmlinux]            [k] io_wqe_worker
     1.63%     0.00%  iou-wrk-2990     [kernel.vmlinux]            [k] ret_from_fork
     1.63%     0.00%  iou-wrk-2964     [kernel.vmlinux]            [k] io_wqe_worker
     1.63%     0.00%  iou-wrk-2964     [kernel.vmlinux]            [k] ret_from_fork
