# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 41K of event 'cycles'
# Event count (approx.): 8137034040902
#
# Children      Self  Command          Shared Object     Symbol                                 
# ........  ........  ...............  ................  .......................................
#
    26.25%     0.01%  fio              [kernel.vmlinux]  [k] entry_SYSCALL_64_after_hwframe
    26.24%     0.02%  fio              [kernel.vmlinux]  [k] do_syscall_64
    25.94%     0.03%  fio              [kernel.vmlinux]  [k] __do_sys_io_uring_enter
    25.86%     0.75%  fio              [kernel.vmlinux]  [k] io_submit_sqes
    24.11%     0.42%  fio              [kernel.vmlinux]  [k] __io_queue_sqe
    16.71%     0.08%  fio              [kernel.vmlinux]  [k] io_queue_async_work
    16.21%     0.28%  fio              [kernel.vmlinux]  [k] io_wqe_enqueue
    15.62%     0.47%  fio              [kernel.vmlinux]  [k] io_wqe_activate_free_worker
    14.88%     0.43%  fio              [kernel.vmlinux]  [k] try_to_wake_up
     7.27%     0.17%  fio              [kernel.vmlinux]  [k] ttwu_do_activate
     6.99%     0.33%  fio              [kernel.vmlinux]  [k] io_issue_sqe
     6.66%     0.35%  fio              [kernel.vmlinux]  [k] io_read
     5.82%     0.24%  fio              [kernel.vmlinux]  [k] io_setup_async_rw
     5.41%     0.60%  fio              [kernel.vmlinux]  [k] __kmalloc
     4.60%     0.14%  fio              [kernel.vmlinux]  [k] __cond_resched
     4.49%     0.68%  fio              [kernel.vmlinux]  [k] __schedule
     4.45%     0.09%  fio              [kernel.vmlinux]  [k] preempt_schedule_common
     4.02%     1.66%  fio              [kernel.vmlinux]  [k] select_task_rq_fair
     4.00%     0.49%  fio              [kernel.vmlinux]  [k] enqueue_task_fair
     3.12%     0.19%  fio              [kernel.vmlinux]  [k] psi_task_change
     2.37%     2.36%  fio              [kernel.vmlinux]  [k] psi_group_change
     2.15%     0.04%  swapper          [kernel.vmlinux]  [k] do_idle
     2.15%     0.00%  swapper          [kernel.vmlinux]  [k] cpu_startup_entry
     2.15%     0.00%  swapper          [kernel.vmlinux]  [k] secondary_startup_64_no_verify
     2.12%     0.00%  swapper          [kernel.vmlinux]  [k] start_secondary
     2.11%     0.49%  fio              [kernel.vmlinux]  [k] enqueue_entity
     2.04%     0.34%  fio              [kernel.vmlinux]  [k] pick_next_task_fair
     1.98%     0.02%  iou-wrk-3179     [kernel.vmlinux]  [k] io_wqe_worker
     1.98%     0.00%  iou-wrk-3179     [kernel.vmlinux]  [k] ret_from_fork
     1.96%     0.02%  iou-wrk-3202     [kernel.vmlinux]  [k] io_wqe_worker
     1.96%     0.00%  iou-wrk-3202     [kernel.vmlinux]  [k] ret_from_fork
     1.95%     0.76%  fio              [kernel.vmlinux]  [k] update_load_avg
     1.88%     0.02%  iou-wrk-3185     [kernel.vmlinux]  [k] io_wqe_worker
     1.88%     0.00%  iou-wrk-3185     [kernel.vmlinux]  [k] ret_from_fork
     1.87%     0.01%  iou-wrk-3175     [kernel.vmlinux]  [k] io_wqe_worker
     1.87%     0.00%  iou-wrk-3175     [kernel.vmlinux]  [k] ret_from_fork
     1.87%     0.02%  iou-wrk-3184     [kernel.vmlinux]  [k] io_wqe_worker
     1.87%     0.00%  iou-wrk-3184     [kernel.vmlinux]  [k] ret_from_fork
     1.84%     0.01%  iou-wrk-3187     [kernel.vmlinux]  [k] io_wqe_worker
     1.84%     0.00%  iou-wrk-3187     [kernel.vmlinux]  [k] ret_from_fork
     1.82%     0.01%  iou-wrk-3172     [kernel.vmlinux]  [k] io_wqe_worker
     1.82%     0.00%  iou-wrk-3172     [kernel.vmlinux]  [k] ret_from_fork
     1.81%     0.01%  iou-wrk-3203     [kernel.vmlinux]  [k] io_wqe_worker
     1.81%     0.00%  iou-wrk-3203     [kernel.vmlinux]  [k] ret_from_fork
     1.79%     0.01%  iou-wrk-3196     [kernel.vmlinux]  [k] io_wqe_worker
     1.79%     0.00%  iou-wrk-3196     [kernel.vmlinux]  [k] ret_from_fork
     1.77%     0.01%  iou-wrk-3183     [kernel.vmlinux]  [k] io_wqe_worker
     1.77%     0.00%  iou-wrk-3183     [kernel.vmlinux]  [k] ret_from_fork
     1.76%     0.02%  iou-wrk-3208     [kernel.vmlinux]  [k] io_wqe_worker
     1.76%     0.00%  iou-wrk-3208     [kernel.vmlinux]  [k] ret_from_fork
     1.76%     0.02%  iou-wrk-3194     [kernel.vmlinux]  [k] io_wqe_worker
     1.76%     0.00%  iou-wrk-3194     [kernel.vmlinux]  [k] ret_from_fork
     1.76%     0.01%  iou-wrk-3200     [kernel.vmlinux]  [k] io_wqe_worker
     1.76%     0.00%  iou-wrk-3200     [kernel.vmlinux]  [k] ret_from_fork
     1.74%     0.02%  iou-wrk-3180     [kernel.vmlinux]  [k] io_wqe_worker
     1.74%     0.00%  iou-wrk-3180     [kernel.vmlinux]  [k] ret_from_fork
     1.73%     0.01%  iou-wrk-3181     [kernel.vmlinux]  [k] io_wqe_worker
     1.73%     0.00%  iou-wrk-3181     [kernel.vmlinux]  [k] ret_from_fork
     1.72%     0.01%  iou-wrk-3190     [kernel.vmlinux]  [k] io_wqe_worker
     1.72%     0.00%  iou-wrk-3190     [kernel.vmlinux]  [k] ret_from_fork
     1.71%     0.00%  iou-wrk-3176     [kernel.vmlinux]  [k] io_wqe_worker
     1.71%     0.00%  iou-wrk-3176     [kernel.vmlinux]  [k] ret_from_fork
     1.70%     0.02%  iou-wrk-3197     [kernel.vmlinux]  [k] io_wqe_worker
     1.70%     0.00%  iou-wrk-3197     [kernel.vmlinux]  [k] ret_from_fork
     1.69%     0.00%  iou-wrk-3186     [kernel.vmlinux]  [k] io_wqe_worker
     1.69%     0.00%  iou-wrk-3186     [kernel.vmlinux]  [k] ret_from_fork
     1.68%     0.02%  iou-wrk-3174     [kernel.vmlinux]  [k] io_wqe_worker
     1.68%     0.00%  iou-wrk-3174     [kernel.vmlinux]  [k] ret_from_fork
     1.68%     0.00%  iou-wrk-3177     [kernel.vmlinux]  [k] io_wqe_worker
     1.68%     0.00%  iou-wrk-3177     [kernel.vmlinux]  [k] ret_from_fork
     1.67%     0.01%  iou-wrk-3171     [kernel.vmlinux]  [k] io_wqe_worker
