# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 40K of event 'cycles'
# Event count (approx.): 7894515641663
#
# Children      Self  Command          Shared Object     Symbol                                  
# ........  ........  ...............  ................  ........................................
#
     1.62%     0.01%  iou-wrk-3249     [kernel.vmlinux]  [k] io_wqe_worker
     1.62%     0.00%  iou-wrk-3249     [kernel.vmlinux]  [k] ret_from_fork
     1.61%     0.02%  iou-wrk-3243     [kernel.vmlinux]  [k] io_wqe_worker
     1.61%     0.00%  iou-wrk-3243     [kernel.vmlinux]  [k] ret_from_fork
     1.60%     0.01%  iou-wrk-3237     [kernel.vmlinux]  [k] io_wqe_worker
     1.60%     0.00%  iou-wrk-3237     [kernel.vmlinux]  [k] ret_from_fork
     1.60%     0.01%  iou-wrk-3245     [kernel.vmlinux]  [k] io_wqe_worker
     1.60%     0.00%  iou-wrk-3245     [kernel.vmlinux]  [k] ret_from_fork
     1.59%     0.02%  iou-wrk-3239     [kernel.vmlinux]  [k] io_wqe_worker
     1.59%     0.00%  iou-wrk-3239     [kernel.vmlinux]  [k] ret_from_fork
     1.58%     0.01%  iou-wrk-3240     [kernel.vmlinux]  [k] io_wqe_worker
     1.58%     0.00%  iou-wrk-3240     [kernel.vmlinux]  [k] ret_from_fork
     1.57%     0.02%  iou-wrk-3232     [kernel.vmlinux]  [k] io_wqe_worker
     1.57%     0.00%  iou-wrk-3232     [kernel.vmlinux]  [k] ret_from_fork
     1.54%     0.01%  iou-wrk-3234     [kernel.vmlinux]  [k] io_wqe_worker
     1.54%     0.00%  iou-wrk-3234     [kernel.vmlinux]  [k] ret_from_fork
     1.51%     0.02%  iou-wrk-3229     [kernel.vmlinux]  [k] io_wqe_worker
     1.51%     0.00%  iou-wrk-3229     [kernel.vmlinux]  [k] ret_from_fork
     1.51%     0.00%  iou-wrk-3262     [kernel.vmlinux]  [k] io_wqe_worker
     1.51%     0.00%  iou-wrk-3262     [kernel.vmlinux]  [k] ret_from_fork
     1.50%     0.02%  iou-wrk-3267     [kernel.vmlinux]  [k] io_wqe_worker
     1.50%     0.00%  iou-wrk-3267     [kernel.vmlinux]  [k] ret_from_fork
     1.48%     0.01%  iou-wrk-3238     [kernel.vmlinux]  [k] io_wqe_worker
     1.48%     0.00%  iou-wrk-3238     [kernel.vmlinux]  [k] ret_from_fork
     1.47%     0.01%  iou-wrk-3228     [kernel.vmlinux]  [k] io_wqe_worker
     1.47%     0.00%  iou-wrk-3228     [kernel.vmlinux]  [k] ret_from_fork
     1.47%     0.01%  iou-wrk-3241     [kernel.vmlinux]  [k] io_wqe_worker
     1.47%     0.00%  iou-wrk-3241     [kernel.vmlinux]  [k] ret_from_fork
     1.46%     0.02%  iou-wrk-3253     [kernel.vmlinux]  [k] io_wqe_worker
     1.46%     0.00%  iou-wrk-3253     [kernel.vmlinux]  [k] ret_from_fork
     1.44%     0.02%  fio              [kernel.vmlinux]  [k] raw_spin_rq_lock_nested.constprop.0
     1.43%     0.01%  iou-wrk-3256     [kernel.vmlinux]  [k] io_wqe_worker
     1.43%     0.00%  iou-wrk-3256     [kernel.vmlinux]  [k] ret_from_fork
     1.40%     0.01%  iou-wrk-3235     [kernel.vmlinux]  [k] io_wqe_worker
     1.40%     0.00%  iou-wrk-3235     [kernel.vmlinux]  [k] ret_from_fork
     1.38%     0.03%  iou-wrk-3231     [kernel.vmlinux]  [k] io_worker_handle_work
     1.30%     1.30%  swapper          [kernel.vmlinux]  [k] intel_idle
     1.29%     0.04%  iou-wrk-3248     [kernel.vmlinux]  [k] io_worker_handle_work
     1.29%     0.00%  iou-wrk-3246     [kernel.vmlinux]  [k] io_wqe_worker
     1.29%     0.00%  iou-wrk-3246     [kernel.vmlinux]  [k] ret_from_fork
     1.26%     0.03%  iou-wrk-3252     [kernel.vmlinux]  [k] io_worker_handle_work
     1.24%     0.00%  iou-wrk-3254     [kernel.vmlinux]  [k] io_wqe_worker
     1.24%     0.00%  iou-wrk-3254     [kernel.vmlinux]  [k] ret_from_fork
     1.18%     1.15%  fio              [kernel.vmlinux]  [k] available_idle_cpu
     1.17%     0.01%  iou-wrk-3251     [kernel.vmlinux]  [k] io_worker_handle_work
     1.17%     0.02%  iou-wrk-3236     [kernel.vmlinux]  [k] io_worker_handle_work
     1.15%     0.02%  iou-wrk-3230     [kernel.vmlinux]  [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3231     [kernel.vmlinux]  [k] io_issue_sqe
     1.15%     0.00%  iou-wrk-3231     [kernel.vmlinux]  [k] io_wq_submit_work
     1.15%     0.00%  iou-wrk-3231     [kernel.vmlinux]  [k] io_read
     1.14%     0.52%  fio              [kernel.vmlinux]  [k] update_curr
     1.14%     0.02%  iou-wrk-3264     [kernel.vmlinux]  [k] io_worker_handle_work
     1.13%     0.02%  iou-wrk-3266     [kernel.vmlinux]  [k] io_worker_handle_work
     1.13%     0.03%  iou-wrk-3263     [kernel.vmlinux]  [k] io_worker_handle_work
     1.13%     0.02%  iou-wrk-3244     [kernel.vmlinux]  [k] io_worker_handle_work
     1.12%     0.03%  iou-wrk-3242     [kernel.vmlinux]  [k] io_worker_handle_work
     1.12%     0.00%  iou-wrk-3248     [kernel.vmlinux]  [k] io_wq_submit_work
     1.11%     0.00%  iou-wrk-3248     [kernel.vmlinux]  [k] io_issue_sqe
     1.11%     0.00%  iou-wrk-3248     [kernel.vmlinux]  [k] io_read
     1.11%     0.02%  iou-wrk-3258     [kernel.vmlinux]  [k] io_worker_handle_work
     1.11%     0.02%  iou-wrk-3259     [kernel.vmlinux]  [k] io_worker_handle_work
     1.10%     0.02%  iou-wrk-3260     [kernel.vmlinux]  [k] io_worker_handle_work
     1.10%     0.04%  iou-wrk-3247     [kernel.vmlinux]  [k] io_worker_handle_work
     1.09%     0.03%  iou-wrk-3243     [kernel.vmlinux]  [k] io_worker_handle_work
     1.09%     0.01%  iou-wrk-3257     [kernel.vmlinux]  [k] io_worker_handle_work
     1.09%     0.06%  iou-wrk-3231     [kernel.vmlinux]  [k] filemap_read
     1.08%     0.04%  iou-wrk-3255     [kernel.vmlinux]  [k] io_worker_handle_work
     1.08%     0.01%  iou-wrk-3250     [kernel.vmlinux]  [k] io_worker_handle_work
     1.07%     0.02%  iou-wrk-3249     [kernel.vmlinux]  [k] io_worker_handle_work
     1.07%     0.01%  iou-wrk-3237     [kernel.vmlinux]  [k] io_worker_handle_work
     1.07%     0.01%  iou-wrk-3245     [kernel.vmlinux]  [k] io_worker_handle_work
     1.06%     0.02%  iou-wrk-3239     [kernel.vmlinux]  [k] io_worker_handle_work
     1.06%     0.02%  iou-wrk-3261     [kernel.vmlinux]  [k] io_worker_handle_work
     1.06%     0.03%  iou-wrk-3265     [kernel.vmlinux]  [k] io_worker_handle_work
     1.05%     0.00%  iou-wrk-3251     [kernel.vmlinux]  [k] io_issue_sqe
     1.05%     0.00%  iou-wrk-3251     [kernel.vmlinux]  [k] io_wq_submit_work
     1.05%     0.01%  iou-wrk-3251     [kernel.vmlinux]  [k] io_read
     1.04%     0.03%  iou-wrk-3267     [kernel.vmlinux]  [k] io_worker_handle_work
     1.04%     0.01%  iou-wrk-3236     [kernel.vmlinux]  [k] io_wq_submit_work
     1.03%     0.02%  iou-wrk-3262     [kernel.vmlinux]  [k] io_worker_handle_work
     1.03%     0.01%  iou-wrk-3236     [kernel.vmlinux]  [k] io_issue_sqe
     1.03%     0.00%  iou-wrk-3263     [kernel.vmlinux]  [k] io_issue_sqe
